names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VIP (for_DEGs),mean_expr_Rest (for_DEGs)
Lamp1,-2.761153,-0.44146988,0.0057597675970013345,0.04990807975860234,0.21929824561403508,0.3584070796460177,0.22658575,0.29665413
Cldn11,-2.7611613,-1.1644607,0.005759622639724811,0.04990807975860234,0.11403508771929824,0.22454852867112743,0.11307784,0.23771676
Arf5,-2.761531,-0.5723417,0.005753102966126274,0.049882502968639233,0.18421052631578946,0.3146629253903159,0.16757403,0.2400135
3110056K07Rik,-2.7618353,-0.394908,0.0057477473319077505,0.04985215326286677,0.10526315789473684,0.22767825023382976,0.09799516,0.12696232
Dzip1l,-2.7630723,-0.38898444,0.0057260092337711125,0.04967964743669028,0.07894736842105263,0.19623713936254406,0.079021245,0.1022626
Elf1,-2.7631874,-1.2299846,0.0057239908592393775,0.0496781764818353,0.07456140350877193,0.18440175552198,0.0720374,0.16144627
Spop,-2.7654762,-0.41394475,0.005683972732396958,0.049362749618457095,0.5043859649122807,0.6618102021728182,0.5904392,0.728623
Gpr161,-2.7660723,-0.6446162,0.005673596569133854,0.04928856767301217,0.06578947368421052,0.1812360601482121,0.06881538,0.10559243
Fam98a,-2.7660763,-0.26907387,0.005673525068748242,0.04928856767301217,0.16666666666666666,0.30379883444852146,0.1546484,0.18360297
Cherp,-2.7663763,-0.3534923,0.005668307735371767,0.049274483613535876,0.13157894736842105,0.2584358586948701,0.1181904,0.14867161
Efcab12,-2.766931,-1.1994815,0.005658670642888756,0.04922255751842696,0.03508771929824561,0.14529822289373337,0.031018432,0.06985482
Znrf2,-2.7674203,-0.33117697,0.005650187983158992,0.049164686239469596,0.22807017543859648,0.37916396863083673,0.22063626,0.27046373
Gm56681,-2.7681353,-1.1256174,0.005637805414155687,0.04907283170662887,0.03508771929824561,0.14540614432693,0.03135138,0.06718255
Tada1,-2.7681723,-0.86633533,0.005637165602820964,0.04907283170662887,0.06140350877192982,0.17429311461256206,0.053653255,0.09574896
Npc1,-2.7688174,-0.46481937,0.005626014982347509,0.0490019522125373,0.13596491228070176,0.26163752787970357,0.12910713,0.17412154
Usp2,-2.7700298,-0.28846574,0.005605116986302357,0.048851603445327386,0.22807017543859648,0.37981149723001656,0.2310469,0.27569738
Rpl28,-2.770408,-0.64231855,0.005598613986699837,0.048810758540760744,0.17982456140350878,0.3044823368587668,0.19569361,0.29071355
Sdhb,-2.7736545,-0.3502989,0.005543052591697874,0.04837344044784731,0.18859649122807018,0.3313547737247284,0.1839486,0.22909059
Ssr3,-2.7741024,-0.72929245,0.005535425715760166,0.04832257601769839,0.09649122807017543,0.21354054248507087,0.08606584,0.13889393
Nkapd1,-2.7756352,-1.3386791,0.005509398007159612,0.048110992672206296,0.03508771929824561,0.14526224908266783,0.030304689,0.0749402
Gm42722,-2.776153,-1.1997309,0.005500630794952496,0.04805004858919817,0.03070175438596491,0.140117994100295,0.030222107,0.06810611
Dnajc17,-2.776638,-1.2541745,0.005492431651339468,0.04799402877121675,0.043859649122807015,0.15504712569249587,0.035580594,0.082868166
Kank1,-2.7775052,-2.5529704,0.005477797964068771,0.0479129008120208,0.021929824561403508,0.1290020864810418,0.023975166,0.13312808
Jph4,-2.7790504,-0.4111111,0.005451808080828893,0.047701101638512655,0.40789473684210525,0.5700050363335492,0.4289399,0.5377969
H2az1,-2.7795148,-0.6970772,0.005444019074284164,0.04766399235125953,0.14035087719298245,0.26260882077847325,0.14224339,0.22139397
Egr1,-2.7819352,-0.85116607,0.005403582154948249,0.047356246739549725,0.06578947368421052,0.17972516008345923,0.06583085,0.115783095
Elp5,-2.7842612,-0.999955,0.005364979976478765,0.04703328286068007,0.06578947368421052,0.17932944816173826,0.05250801,0.10239281
Hspa4,-2.7847996,-0.37350464,0.005356081113047291,0.046970593834066814,0.32456140350877194,0.5026980358299158,0.33895683,0.4204919
Tppp,-2.785034,-0.47219828,0.0053522132518157945,0.04695199806604322,0.19736842105263158,0.3363191596517735,0.18415858,0.24725455
Cisd2,-2.7857943,-0.32473904,0.005339677039338785,0.046857322680285154,0.2412280701754386,0.3976545075185265,0.22903484,0.27941874
Smim13,-2.7858803,-0.355902,0.005338255686976831,0.046857322680285154,0.25,0.4112885819123678,0.24865888,0.30843264
Zfp9,-2.785971,-0.95458287,0.005336767017649286,0.046857322680285154,0.05263157894736842,0.1654075832793726,0.04476854,0.08501528
Klf7,-2.7870107,-0.4079046,0.005319674247215552,0.046773444706374956,0.4780701754385965,0.6333189438089071,0.5493766,0.6787512
Sh2d5,-2.7870107,-0.5880302,0.005319674247215552,0.046773444706374956,0.05263157894736842,0.16681056191092886,0.056678917,0.08402886
Smyd4,-2.7872038,-0.41061425,0.00531650436154048,0.046773444706374956,0.12280701754385964,0.24847111302971436,0.10920611,0.1427013
Yae1d1,-2.787853,-0.8289213,0.005305860653181412,0.04669783024925796,0.06140350877192982,0.17573206705518382,0.054628633,0.09507323
Eif4g3,-2.7900023,-0.2578063,0.005270765783289042,0.04641936302752427,0.7675438596491229,0.7909202100870566,1.1117324,1.2350887
Rps12,-2.79246,-0.6199831,0.00523089523459663,0.04608332949298736,0.20175438596491227,0.33157061659112164,0.20765264,0.3035686
Cep83os,-2.7927146,-0.34259585,0.005226777127651373,0.04606215199081417,0.09210526315789473,0.2136484639182675,0.091529906,0.11470356
Map4k5,-2.7933927,-0.4611106,0.005215831915639599,0.045980775450536755,0.45614035087719296,0.6271314483056335,0.4959756,0.6333541
Gng7,-2.7938366,-0.42176524,0.005208678994419612,0.045932787850362644,0.16228070175438597,0.2946974602489388,0.15077055,0.19719987
9530062K07Rik,-2.795045,-1.292447,0.005189252034420068,0.045776494473035854,0.02631578947368421,0.13673645586013383,0.027712274,0.06656328
Slc6a7,-2.7963598,-0.31643617,0.0051681814763289554,0.04563556893491917,0.20175438596491227,0.3451687171738974,0.18876529,0.23008794
Polr3g,-2.796964,-1.3241371,0.005158528128944269,0.045580286361306316,0.03508771929824561,0.14537017051586446,0.02918781,0.07153749
Plekha2,-2.7980406,-1.8881325,0.0051413632361650115,0.04544356255123482,0.039473684210526314,0.1481761277789769,0.031770427,0.1128716
Arl2bp,-2.8009503,-0.33361337,0.005095236625293431,0.045065506294152236,0.13596491228070176,0.2635081660551119,0.13325155,0.16519342
Rmdn3,-2.8010447,-0.51041645,0.005093744455022657,0.045065506294152236,0.07894736842105263,0.19875530613713216,0.07327176,0.10281965
Gm6999,-2.8018174,-4.239716,0.005081562387026187,0.04497818067995415,0.0043859649122807015,0.11223829052449817,0.0034490803,0.0632312
Vti1b,-2.8022366,-0.27121407,0.005074963993317259,0.044960198648346446,0.2236842105263158,0.37740125188862506,0.22787614,0.26915807
Gm28320,-2.8027215,-0.84845954,0.005067340221022321,0.04490746429382249,0.07456140350877193,0.1897618533707461,0.06615191,0.11612831
Prrc2a,-2.8030586,-0.37543237,0.005062048444057341,0.044875368423563426,0.10964912280701754,0.23390171954816893,0.11116419,0.141956
Ubox5,-2.8031735,-0.52720994,0.005060242640315817,0.04487416493243763,0.07894736842105263,0.1963450607957407,0.07190208,0.10204841
Erg28,-2.8042667,-0.43780872,0.005043116527832362,0.0447370554978064,0.12280701754385964,0.24803942729692785,0.11506535,0.15287784
Gpr89,-2.8047352,-0.3005207,0.005035792820281622,0.04468684051551096,0.17543859649122806,0.3140513706022016,0.1576497,0.1908693
Ptges3,-2.8059394,-0.3436778,0.005017013703322842,0.044564918174461975,0.22807017543859648,0.37869630908698465,0.22972196,0.28345987
Agpat4,-2.8070326,-0.38449574,0.005000019944868377,0.04444278396249199,0.3333333333333333,0.5012231095762285,0.33885762,0.4229937
Arl5b,-2.8070571,-0.42729604,0.004999637227983287,0.04444278396249199,0.09649122807017543,0.21915245701129576,0.09349895,0.12380439
Tssc4,-2.8071558,-1.4327909,0.004998106625315487,0.04444278396249199,0.039473684210526314,0.15062234693143392,0.034048717,0.08938687
Vps13a,-2.8072257,-0.31679693,0.004997022704796693,0.04444278396249199,0.6535087719298246,0.7078926541477805,0.84496814,0.976062
Prkrip1,-2.8077846,-0.90130144,0.00498835898970883,0.044397882097872224,0.05263157894736842,0.16601913806748686,0.047882356,0.087651804
Atraid,-2.8094819,-0.4210316,0.00496213251624328,0.04419373573465593,0.15350877192982457,0.2878264623354198,0.1459594,0.1909547
Chordc1,-2.8095558,-0.35260245,0.0049609923148408105,0.04419373573465593,0.2807017543859649,0.4469386286783222,0.26419917,0.3264989
Zfp706,-2.8098722,-0.5248838,0.004956117460844048,0.04416944483345923,0.16666666666666666,0.29948197712065616,0.16402686,0.22830056
Zc3h18,-2.8114543,-0.3564117,0.004931808111932571,0.04396738021487332,0.14473684210526316,0.27739405712641196,0.12612283,0.15879002
Ecd,-2.8125393,-0.28235057,0.004915201227843613,0.0438338722177756,0.18859649122807018,0.3362472120296424,0.17992619,0.21490519
Hdac2,-2.813016,-0.37036827,0.004907920271962476,0.043783472014485965,0.18859649122807018,0.3308871141808763,0.1708279,0.21576384
Zdhhc5,-2.8130531,-0.5861274,0.004907355778239705,0.043783472014485965,0.10526315789473684,0.2274624073674365,0.08867023,0.13031991
Nvl,-2.813238,-0.35141852,0.004904534190459094,0.04378233677662321,0.33771929824561403,0.523598820058997,0.3495861,0.42781565
Ntsr2,-2.8146188,-2.7037694,0.004883512677750521,0.043609167713910435,0.017543859649122806,0.12637599827325707,0.017323993,0.10782202
Wdr11,-2.815005,-0.2891453,0.00487764626825836,0.043571261711470126,0.16228070175438597,0.2979710770559033,0.14997548,0.18041372
0610040J01Rik,-2.815564,-1.0962204,0.00486916998102443,0.0435100091087883,0.07456140350877193,0.1878912151953378,0.07990021,0.1636751
2610035D17Rik,-2.8169243,-0.40973982,0.004848595850502179,0.043369430926429274,0.35526315789473684,0.5115835671631053,0.37659097,0.47468632
Morn1,-2.8175447,-0.3162373,0.004839236220150758,0.04330012561953076,0.13596491228070176,0.2682207353046982,0.1192678,0.14644933
Ninj2,-2.8189874,-3.3835156,0.004817542861783041,0.04314912556537011,0.017543859649122806,0.12562054824088065,0.013409376,0.131804
Gfm2,-2.819653,-0.29511783,0.004807560252863683,0.0430740726890454,0.2850877192982456,0.4629829484135549,0.29213518,0.34804475
Ybx3,-2.8204627,-0.3386182,0.004795446130326511,0.042979865751125196,0.18421052631578946,0.32667817828620765,0.16339473,0.20249921
Gm16835,-2.8205612,-0.43096125,0.004793972187329369,0.042979865751125196,0.09210526315789473,0.21497949492769264,0.084206164,0.11193277
Kif17,-2.8209927,-0.36635992,0.004787528505893935,0.04293754704718626,0.09210526315789473,0.21667026404777323,0.08664662,0.11035805
Sema6d,-2.8221393,-0.37333134,0.004770444789222756,0.04279861485356109,0.618421052631579,0.7052305921289301,1.0011942,1.1724705
Glce,-2.8221557,-0.31979656,0.004770200263057782,0.04279861485356109,0.22807017543859648,0.37477516368084035,0.22123756,0.26931575
Dclk3,-2.822912,-2.6046815,0.004758964314538912,0.04272414671956584,0.013157894736842105,0.12263472192244046,0.010569865,0.062630154
Cnnm1,-2.8231626,-0.36938933,0.004755244643524804,0.04270502124716293,0.32894736842105265,0.5,0.33359578,0.41312203
Wasl,-2.8241324,-0.3950889,0.004740878555773455,0.04259023965016139,0.3684210526315789,0.5447873947766027,0.38361722,0.4792627
Bdh1,-2.824864,-0.2936388,0.004730069117737674,0.04250734354301381,0.11842105263157894,0.24602489387725734,0.114392355,0.1384988
Casp8ap2,-2.8248723,-0.54718584,0.004729947790219186,0.04250734354301381,0.09649122807017543,0.21861284984531262,0.0914263,0.13093406
4933407K13Rik,-2.825271,-0.7534574,0.004724066785898018,0.04248181878750996,0.04824561403508772,0.16296136412691561,0.051793043,0.08582437
Pak5,-2.8253489,-0.3485302,0.004722915612112064,0.04248181878750996,0.7368421052631579,0.7398733721850493,1.0249845,1.1864365
Lman1,-2.8255708,-0.47818586,0.004719645241296437,0.04247048480697765,0.10526315789473684,0.2291531764875171,0.10185802,0.13920966
Gm36220,-2.826175,-0.7305761,0.004710752948072785,0.0424046672411108,0.07894736842105263,0.19695661558385497,0.07540623,0.12218226
Slc16a10,-2.826405,-0.51366806,0.0047073693990641345,0.042388410104843594,0.14473684210526316,0.27242967119936684,0.13590734,0.18882954
Vps4b,-2.8267996,-0.31417426,0.004701574147352005,0.04235041814929546,0.22807017543859648,0.383408878336571,0.21655397,0.26283893
Degs1,-2.8274653,-0.9433143,0.00469180930408722,0.04229081382114176,0.09210526315789473,0.2089358946686812,0.08320506,0.15430212
Foxp4,-2.8275023,-2.0587246,0.004691267351524163,0.04229081382114176,0.017543859649122806,0.12774300309374775,0.016148861,0.06562405
Sprn,-2.8278394,-0.6948418,0.004686332171351701,0.042269803774494866,0.09210526315789473,0.21095042808835168,0.08371034,0.13219927
Eloc,-2.827901,-0.2881937,0.004685429903196699,0.042269803774494866,0.15789473684210525,0.2949492769263976,0.1661828,0.19947685
Ccdc3,-2.8279052,-4.303069,0.0046853697575785225,0.042269803774494866,0.0043859649122807015,0.11324555723433341,0.0034202153,0.06544278
Rars,-2.8288093,-0.36445326,0.004672154701163408,0.042212776334990175,0.10964912280701754,0.23584430534570833,0.110218465,0.13977034
Fnip1,-2.829179,-0.3767313,0.004666758274982754,0.04217820210184547,0.5263157894736842,0.6697244406072379,0.61359096,0.7418468
Gm44151,-2.8297174,-0.3919703,0.0046589135616982085,0.0421214695164303,0.09649122807017543,0.22033959277645873,0.09180927,0.11882618
M6pr,-2.8299723,-1.3460003,0.004655204960882566,0.04210210612551819,0.05701754385964912,0.16972444060723793,0.04391136,0.10805805
Suz12,-2.8309996,-0.3172668,0.004640278029110719,0.04198123590646634,0.31140350877192985,0.4833800992877185,0.32627892,0.39251268
Arl8a,-2.8315954,-0.47157437,0.004631640280007006,0.041917202534115273,0.13157894736842105,0.26005468019281963,0.13561258,0.1834793
Rps7,-2.831764,-0.6324999,0.0046292005238802785,0.041909237896449826,0.20175438596491227,0.3321102237571048,0.21658589,0.31837842
Ints10,-2.8321092,-0.33411297,0.004624205633342939,0.041878127862462006,0.3026315789473684,0.48320023023239084,0.30385152,0.36990657
Fam168b,-2.8325078,-0.3004111,0.004618443796198365,0.04184004882125761,0.19736842105263158,0.3426865242103748,0.19053937,0.22991492
Cxxc5,-2.832512,-0.47054538,0.00461838442968822,0.04184004882125761,0.12280701754385964,0.24839916540758328,0.124678515,0.16889046
Bcan,-2.832779,-1.2225711,0.004614527088506917,0.041832774247024584,0.08333333333333333,0.19630908698467517,0.08230807,0.18248986
Mark4,-2.8329763,-0.32348004,0.004611680463396017,0.04183075678328718,0.14473684210526316,0.281890783509605,0.13453074,0.16567872
Gramd3,-2.833161,-3.4843903,0.004609013196725181,0.04182512144410861,0.013157894736842105,0.12195121951219512,0.011622573,0.122959025
Sdad1,-2.833227,-0.45997328,0.004608065171964749,0.04182512144410861,0.08333333333333333,0.20490682782934025,0.07833939,0.10624152
Ube2d3,-2.834012,-0.38589463,0.004596761755081524,0.041756250290412626,0.40350877192982454,0.5878840204331247,0.44515195,0.5496741
