names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Endothelial (for_DEGs),mean_expr_Rest (for_DEGs)
Nutf2,-2.5531988,-0.94322765,0.010673858137995105,0.04982740934119674,0.03896103896103896,0.13916171973376507,0.03616614,0.06841903
Pate2,-2.5559711,-3.2103617,0.010589191649867243,0.04945794883224975,0.008658008658008658,0.1062061521856449,0.00564947,0.051109876
Mettl7a1,-2.5578165,-0.31091002,0.010533162121216905,0.04921336570980668,0.09956709956709957,0.2085986688253283,0.095158085,0.11675264
Ptger3,-2.5578697,-2.1429641,0.010531554561190704,0.04921336570980668,0.025974025974025976,0.1235474006116208,0.017561883,0.075339735
Bahcc1,-2.5600011,-0.5781293,0.01046718489532098,0.04895618070274582,0.06493506493506493,0.1686994063680518,0.06196762,0.09115498
Lyrm9,-2.5600665,-0.27891007,0.010465217419511588,0.04895550001084198,0.05627705627705628,0.1603525813995323,0.06657964,0.08022369
Tom1l2,-2.5600705,-0.285739,0.010465094463198595,0.04895550001084198,0.49783549783549785,0.715056664867782,0.7781048,0.8900381
Gab3,-2.5601766,-0.36951506,0.010461898050146131,0.04895550001084198,0.11688311688311688,0.224536787191941,0.11154371,0.14188986
Mettl4,-2.5631735,-0.261702,0.010372018498512946,0.04856179422461106,0.09956709956709957,0.2060442525634107,0.09378917,0.1114382
Vps37d,-2.5640187,-0.9204842,0.010346795522850382,0.04846058840839982,0.04329004329004329,0.14448641842057924,0.03832881,0.071348235
Gm37679,-2.565113,-2.0193946,0.010314220781940303,0.04832486702889903,0.030303030303030304,0.12782874617737003,0.016808992,0.06646346
A430046D13Rik,-2.565852,-0.8880504,0.01029227234642151,0.048236119967397455,0.04329004329004329,0.14326317683036519,0.038403723,0.06995055
Rpia,-2.5666277,-0.9986122,0.010269277283767171,0.04814787656863094,0.047619047619047616,0.14804821010973196,0.03655978,0.071763285
Sdad1,-2.567906,-0.25823426,0.010231495649108273,0.048004240979839234,0.09523809523809523,0.2048210109731966,0.0895083,0.10615173
Gss,-2.5686367,-1.1369654,0.010209944560009784,0.047919862065932385,0.047619047619047616,0.14761647778377407,0.038987394,0.08382052
1700019D03Rik,-2.5689552,-0.78775597,0.010200566230642756,0.047900946280561144,0.04329004329004329,0.144126641482281,0.04483724,0.0761904
Gm16894,-2.5710988,-2.0308526,0.010137642139843603,0.04762210564643315,0.012987012987012988,0.11160280626011873,0.012986334,0.052036475
Bivm,-2.5711315,-0.3865635,0.010136685975825436,0.04762210564643315,0.09523809523809523,0.2005756431012772,0.08065025,0.104180105
Gatb,-2.5712538,-0.28570813,0.010133101075875627,0.04761742320895035,0.1038961038961039,0.21385141212448283,0.099032,0.1194711
Ipo13,-2.5732138,-0.37597635,0.010075896002880223,0.04735688745800098,0.06493506493506493,0.1695268933261378,0.07567154,0.09713695
Tlcd5,-2.5749857,-0.37586856,0.010024420837846184,0.04713968986925569,0.07792207792207792,0.18398992624572766,0.07347672,0.094341606
Gm56518,-2.5758188,-3.0736825,0.01000030615832959,0.04703452240054543,0.017316017316017316,0.1152365533369311,0.0066134543,0.054359894
Taf4b,-2.5768313,-0.38372073,0.009971059869867613,0.046921607478694005,0.0735930735930736,0.1787012052527433,0.07398451,0.09548141
Tstd2,-2.5772722,-0.98401874,0.00995834741418114,0.04687608481299806,0.06060606060606061,0.16028062601187265,0.042971753,0.0832831
