names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
A830018L16Rik,-3.0333443,-0.7016114,0.002418595449557505,0.04821043006647638,0.7325581395348837,0.6893876818100197,0.87813425,1.1900561
Cntn5,-3.045399,-0.6306217,0.0023237180863218665,0.04666539983517829,0.8604651162790697,0.7664571736397917,1.4659485,1.8177843
Maml2,-3.0481315,-1.2776982,0.002302692000513323,0.04638180963552698,0.45348837209302323,0.5422517507631531,0.4286708,0.83188057
Slc44a5,-3.0587127,-0.87698245,0.002222901150827232,0.045283816469088495,0.6046511627906976,0.6095887951158198,0.5222989,0.81522053
Robo1,-3.0652292,-0.4410214,0.0021750330660495164,0.04454507506459642,0.8837209302325582,0.7930687735679656,1.5187186,1.7650023
Adcy8,-3.0664613,-1.0322409,0.0021660878759578854,0.04446354562795139,0.5232558139534884,0.5577302926916862,0.39823076,0.6933904
St6galnac3,-3.0714507,-0.7276822,0.002130213239145093,0.04386117221136295,0.7325581395348837,0.7034656132160172,0.78318006,1.0878897
Pard3,-3.0870216,-0.90709895,0.0020217298851555395,0.04194894364025432,0.5,0.6110253187286766,0.4384923,0.70906806
Cacnb2,-3.1720278,-0.36718857,0.0015137853288579941,0.03296224618023849,0.9069767441860465,0.7813251930328605,1.5224482,1.7266955
Klf12,-3.2522523,-0.69961476,0.001144943311750936,0.02647558243265719,0.8023255813953488,0.716717543544622,0.7893931,1.0825592
Baalc,-3.2563844,-1.648056,0.0011284085488456803,0.02625137463851379,0.2558139534883721,0.4054947028191776,0.107522346,0.30437058
Dpyd,-3.2585812,-0.8894983,0.0011197087335454254,0.0260941662362234,0.6744186046511628,0.6511761537080266,0.69918454,1.0560358
Dgkg,-3.2994335,-0.75387126,0.0009688021475638837,0.023057319490736538,0.6744186046511628,0.6583946848626324,0.68921244,0.9832297
Bcl11b,-3.3263156,-1.1354511,0.000880022410306608,0.021360616228490115,0.46511627906976744,0.5500089782725803,0.3427685,0.64089197
Specc1,-3.407719,-0.7828541,0.0006550836503918992,0.01686024682569955,0.6744186046511628,0.6832106302747352,0.5848399,0.8617546
