names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA Slc17a7 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Pbdc1,-2.5696976,-0.2689756,0.01017873454922498,0.0499821998058617,0.22721749696233293,0.2693669765382913,0.1377777,0.16381474
Trim2,-2.5700266,-0.26047882,0.010169069359070897,0.04994386651037014,0.6318347509113001,0.8000590231665929,1.1911812,1.3202323
Gm41804,-2.5701823,-0.60830146,0.01016449735216531,0.04993053818147749,0.18469015795868773,0.22764497565294378,0.08902331,0.13272583
Acp2,-2.571025,-0.284564,0.010139801579878384,0.04982744485210903,0.1968408262454435,0.24302788844621515,0.122861706,0.1477579
Rhbdd3,-2.5713277,-1.050824,0.010130939594763525,0.04980211249749285,0.10571081409477522,0.1529437804338203,0.03997213,0.08110801
Rbm18,-2.5720606,-0.45898643,0.010109519560117452,0.04970590861488672,0.17496962332928312,0.21975062712114504,0.08989032,0.121584475
Zdhhc9,-2.57427,-0.41695702,0.010045182672558788,0.04940766216577972,0.2077764277035237,0.24992622104175888,0.12476957,0.16332482
Gm14296,-2.5743906,-0.3497656,0.010041679266419313,0.04939947306640186,0.19076549210206561,0.23697801387044415,0.10568551,0.13282944
Atad3a,-2.5748098,-0.3282122,0.010029521342042635,0.049357735981810556,0.1859052247873633,0.23133392356499927,0.10332205,0.12808934
C1galt1,-2.5781164,-0.40430444,0.009934053568570016,0.04890582986212465,0.181044957472661,0.2266489597166888,0.10472016,0.13637261
Slc6a11,-2.5785837,-0.58538806,0.009920625613089196,0.048848673304692454,0.13608748481166463,0.18511140622694408,0.08719579,0.12813427
Smyd4,-2.579277,-0.36654267,0.009900734115748829,0.04875966379951815,0.20534629404617255,0.24948354729231223,0.11315363,0.14363122
Zfp287,-2.59007,-0.34885204,0.009595642972641094,0.04730048187027448,0.19927095990279464,0.244614136048399,0.10982017,0.1378731
Tm7sf3,-2.5907896,-0.51154256,0.009575600743387527,0.047210347151343646,0.18955042527339003,0.2308912498155526,0.10405047,0.14524518
Gm27003,-2.5907962,-0.6320415,0.009575417602703177,0.047210347151343646,0.13487241798298907,0.18219713737642024,0.06301968,0.09604482
Isy1,-2.5963736,-0.7120017,0.009421354313898551,0.046492523492094415,0.1385176184690158,0.18448428508189466,0.060991906,0.09805119
Ubxn11,-2.5975628,-0.5759533,0.009388792662681413,0.04634034879615165,0.15309842041312272,0.19879740298066992,0.06972507,0.102236815
Zfp90,-2.5987675,-0.62931585,0.009355912856022034,0.04618654757327063,0.12150668286755771,0.16983916187103437,0.06575169,0.09995856
ENSMUSG00000121502,-2.6026094,-0.3470816,0.009251730082271958,0.04569742413798668,0.14945321992709598,0.19599380256750776,0.08024704,0.101003274
Acsl5,-2.6035068,-0.2815536,0.009227544643864261,0.04558634391995453,0.16038882138517618,0.20993802567507747,0.09867742,0.11872487
Prmt2,-2.6053653,-0.25377133,0.009177638247239269,0.045348131611496714,0.21992709599027946,0.2644606758152575,0.13553089,0.15961462
Senp8,-2.6085334,-0.49496698,0.009093111050603559,0.044947000354988526,0.1445929526123937,0.19241552309281393,0.076441534,0.10611783
Fbrs,-2.6089263,-0.7422358,0.00908268152173664,0.044903707909671305,0.1421628189550425,0.1876936697653829,0.061134927,0.10025715
Cep57l1,-2.6092224,-0.5197137,0.00907482274198901,0.044873111350247456,0.19441069258809235,0.23671978751660028,0.09746908,0.1369542
Begain,-2.6101527,-0.3816626,0.009050179813342454,0.04475949412562336,0.17132442284325639,0.21761103733215287,0.08903326,0.11450408
Cep83os,-2.6111007,-0.35369104,0.009025133391623549,0.044652059332153334,0.16767922235722965,0.21473365796074959,0.091573104,0.11559373
1110002L01Rik,-2.612224,-0.45872125,0.008995528904917295,0.04451378668050234,0.1445929526123937,0.19271063892577836,0.08015929,0.10858557
Pwwp3a,-2.6122437,-0.6474038,0.00899500929002554,0.04451378668050234,0.10085054678007291,0.15106241699867198,0.053296443,0.08226675
Prrc1,-2.6141307,-0.6267649,0.008945480677977064,0.044282436591238705,0.16403402187120292,0.20820422015641138,0.07911117,0.11966334
Zfp711,-2.618519,-0.2988083,0.008831238521886258,0.043733022315349014,0.20048602673147023,0.24671683635827063,0.117464066,0.14264876
Ccnk,-2.6192935,-0.5925521,0.00881121066095765,0.04364188579906582,0.1385176184690158,0.18548030101814963,0.06586292,0.09772458
Erh,-2.6196885,-0.3442002,0.008801013783902207,0.04359941747298162,0.11543134872417983,0.16666666666666666,0.081179254,0.101970814
Gm56681,-2.6209896,-0.9762953,0.00876749527926391,0.04344939102800097,0.09720534629404617,0.14637745315036152,0.035123006,0.06796615
Gm10785,-2.6220493,-0.45779923,0.00874027871047517,0.04332250303458178,0.11786148238153099,0.16862180906005608,0.06403065,0.08692903
Pgs1,-2.6225014,-0.45679733,0.008728693800381456,0.04327306317642984,0.14580801944106925,0.19381732329939502,0.07770934,0.10517846
Dgat2,-2.6225495,-0.30680946,0.008727457388314038,0.04327306317642984,0.1433778857837181,0.19311642319610448,0.09607791,0.11755357
Apc2,-2.6244233,-0.41649288,0.008679582911688528,0.043053423082346456,0.16038882138517618,0.20750332005312086,0.08418527,0.11084849
Spice1,-2.6249652,-0.5542527,0.00866578014131685,0.042992893721784296,0.17496962332928312,0.2202670798288328,0.085669674,0.12340622
Tomm34,-2.6255138,-0.2868324,0.00865182970659222,0.042931609273524095,0.16767922235722965,0.2146598790025085,0.101759695,0.1228181
Robo2,-2.6263103,-0.31822312,0.008631609408155801,0.04283918448414229,0.6561360874848117,0.7902833111996459,1.5083741,1.6841604
Adamts10,-2.6265166,-0.7883131,0.008626380188140595,0.04282114089328243,0.1385176184690158,0.18529585362254686,0.05927908,0.10027379
Tspan33,-2.6271615,-0.63302726,0.00861004324231671,0.04274794196619549,0.1652490886998785,0.20949535192563082,0.07779925,0.118200585
Cuedc2,-2.627607,-0.2833558,0.00859877911715635,0.04269990664904659,0.1324422843256379,0.18319315331267522,0.10214771,0.12300258
Izumo4,-2.6278594,-0.6904526,0.008592403809419218,0.042676135001681034,0.13608748481166463,0.18404161133244798,0.062489484,0.09899664
Ubl7,-2.6292284,-0.39073306,0.00855788444888125,0.04251254485883512,0.15188335358444716,0.19853917662682602,0.08726266,0.11292401
