names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Epb41l2,9.610072,-0.26741782,7.249795249313618e-22,5.003904401465628e-21,0.4682274247491639,0.3212973318421473,0.34125942,0.3984722
Lgmn,6.6528215,-0.2847937,2.8752716397927355e-11,1.326554755515639e-10,0.394314381270903,0.29629333759386484,0.21987602,0.26204985
Atp5j,6.223702,-0.2881859,4.855590071055463e-10,2.1166402532326457e-09,0.36622073578595316,0.2758827288704266,0.21957263,0.26223713
Rffl,6.21004,-0.2528702,5.297108185381659e-10,2.304992663015469e-09,0.3903010033444816,0.29429621345262824,0.23158471,0.2704238
Bmp2k,6.2034836,-0.38008702,5.522679958441305e-10,2.399262901912981e-09,0.34715719063545153,0.25303562869467966,0.19455436,0.2464733
Gpx4,6.085438,-0.31033248,1.1617343587900162e-09,4.98416129980644e-09,0.4367892976588629,0.3384326569739575,0.2718751,0.32743362
Septin4,5.923752,-0.41507915,3.146785381422799e-09,1.3284229881984386e-08,0.3464882943143813,0.25495286787026683,0.19831668,0.2565572
Naca,5.9165483,-0.25253412,3.2876807234591877e-09,1.3863776057650405e-08,0.37190635451505016,0.2840709378494967,0.1981124,0.23191524
Ctsb,5.703814,-0.27799368,1.1715595742729193e-08,4.8119544116039964e-08,0.545484949832776,0.43269691644032593,0.34636283,0.40671363
Rin2,5.6284575,-0.26365376,1.8182801578070126e-08,7.381354863313858e-08,0.2725752508361204,0.19555839590988977,0.14651927,0.17348094
Atp6v1d,5.6107016,-0.25926492,2.015080852415167e-08,8.15440097957764e-08,0.5247491638795987,0.418357565106247,0.3164921,0.3685249
Serf2,5.440321,-0.28155354,5.31847079434953e-08,2.1046034241120524e-07,0.3411371237458194,0.26118389519092505,0.18843508,0.22477807
Ypel3,5.4075646,-0.25593397,6.388750536530179e-08,2.5182004828599957e-07,0.40836120401337794,0.3222559514299409,0.23267715,0.2721813
Myl6,5.4028845,-0.3737753,6.557776941211435e-08,2.5829297333677993e-07,0.47190635451505014,0.3733423869627736,0.2910054,0.3630208
Rps13,5.389463,-0.30353376,7.066862453034446e-08,2.776931765326639e-07,0.4525083612040134,0.36080044735580763,0.28448635,0.3408462
Sec61a1,5.3696184,-0.25269914,7.890331262645663e-08,3.0928256896759874e-07,0.479933110367893,0.38288864035788467,0.28268212,0.32874322
Npm1,5.362414,-0.27842507,8.21170568166636e-08,3.2164080466152227e-07,0.41438127090301,0.3263700271608883,0.22701083,0.26933387
Plekhh1,5.3471403,-0.3376809,8.935479151460847e-08,3.494343251342642e-07,0.194314381270903,0.1256590509666081,0.106252104,0.13248885
Bcan,5.333411,-0.41572616,9.638461452228745e-08,3.763776474660462e-07,0.2618729096989967,0.1874500718964691,0.14282483,0.18631458
Atp5mpl,5.310958,-0.3007628,1.0905042516478855e-07,4.244184420883355e-07,0.31872909698996654,0.24400862757629013,0.17881161,0.21606258
Tmsb10,5.2981873,-0.26126754,1.1695812542297763e-07,4.544049783278497e-07,0.30501672240802674,0.2323454225914683,0.19313385,0.22740772
Atp5j2,5.254464,-0.3559186,1.4845598128472782e-07,5.737934719678706e-07,0.41103678929765886,0.32317462853490975,0.23624612,0.29345202
Itga6,5.189564,-0.2624379,2.1078700487209817e-07,8.094678892258509e-07,0.24448160535117056,0.17590669436012144,0.14332569,0.1696161
Rabac1,5.1656194,-0.31000414,2.396437640301561e-07,9.177918955943977e-07,0.34347826086956523,0.267015497683336,0.19556934,0.23726895
Abtb2,5.1515846,-0.29511085,2.582946452955867e-07,9.869705800757131e-07,0.21237458193979933,0.14367311072056238,0.1323401,0.16008708
Gabarapl2,4.978102,-0.2838996,6.421079988467964e-07,2.4033210654705975e-06,0.2866220735785953,0.2185253235341109,0.14966649,0.17944923
Map1a,4.942287,-0.32029748,7.721144018495585e-07,2.8774915364351786e-06,0.5013377926421405,0.4072934973637961,0.3048624,0.3681403
Hint1,4.9092917,-0.34367633,9.140596904840419e-07,3.3886291229727106e-06,0.3665551839464883,0.29026202268733026,0.21435484,0.26495078
Sec11c,4.885529,-0.3443056,1.031515653898564e-06,3.814592020403856e-06,0.34347826086956523,0.2681338872024285,0.17171837,0.2133679
Uqcrq,4.8628964,-0.37918887,1.1568049924292265e-06,4.263249231459789e-06,0.37725752508361204,0.2970522447675347,0.22782758,0.28727114
Selenok,4.862804,-0.28426406,1.1573434313995982e-06,4.264648656295557e-06,0.2993311036789298,0.23054801086435533,0.16266675,0.19483936
Tmem59l,4.8440638,-0.25343132,1.2721007760099843e-06,4.676610733532395e-06,0.38193979933110367,0.3057597060233264,0.21098953,0.24686743
Park7,4.795298,-0.2744668,1.6243291351106254e-06,5.939809997335671e-06,0.2698996655518395,0.20550407413324812,0.1367141,0.16313773
Ndufc2,4.7817335,-0.34672692,1.7379014732614258e-06,6.343895202626615e-06,0.34347826086956523,0.27057037865473715,0.1952796,0.24234782
Ap2s1,4.7424674,-0.27653593,2.1113101109952536e-06,7.666338200330062e-06,0.3010033444816054,0.23490174149225115,0.15965432,0.19035536
St3gal4,4.7390714,-0.31181902,2.1470009073278424e-06,7.792775142496167e-06,0.24214046822742474,0.17682537146509028,0.1220105,0.14934622
Tmco1,4.6987743,-0.29750288,2.61727489031382e-06,9.439755208420448e-06,0.3073578595317726,0.23777760025563188,0.15328528,0.18531348
Hspd1,4.69536,-0.32763663,2.661371641654308e-06,9.591075108805157e-06,0.328428093645485,0.2573893593225755,0.16540518,0.20353714
Tuba1b,4.6862316,-0.4295528,2.7828123357245086e-06,1.0019317628422557e-05,0.2665551839464883,0.20063109122863076,0.13868229,0.18261416
Cycs,4.6828284,-0.2617373,2.829432740862816e-06,1.0177624865727425e-05,0.225752508361204,0.16596101613676306,0.117112935,0.13885856
Smc1a,4.6494036,-0.29076573,3.328959081541826e-06,1.1921782023327852e-05,0.345819397993311,0.2740453746604889,0.17977443,0.21585597
Ccp110,4.649045,-0.40110296,3.334753575439727e-06,1.1940941973889321e-05,0.3204013377926421,0.247164083719444,0.1647536,0.21229124
Psma7,4.637097,-0.30414784,3.5333705223995072e-06,1.263530289284998e-05,0.34180602006688965,0.2722879054162007,0.17932627,0.21713136
Jund,4.6203017,-0.278131,3.831820551459433e-06,1.3667996577421343e-05,0.27391304347826084,0.20933855248442243,0.13610752,0.16280463
Ndufa6,4.6170793,-0.26453438,3.891786712071368e-06,1.3874526861265446e-05,0.262876254180602,0.20174948074772328,0.13997862,0.16592683
Acsl3,4.6125507,-0.29963663,3.977572843562787e-06,1.4176599324384149e-05,0.5394648829431438,0.4401262182457262,0.35510585,0.42182645
Pgk1,4.6097956,-0.28708282,4.030648506230263e-06,1.4360053747335877e-05,0.33344481605351173,0.2666560153379134,0.17924275,0.21473509
Skp1,4.589992,-0.35553023,4.432624482174771e-06,1.575041256757949e-05,0.4377926421404682,0.3502556318900783,0.23986183,0.29775137
Bex3,4.589681,-0.2934392,4.4392316177500405e-06,1.5769718874794234e-05,0.30434782608695654,0.23885604729189966,0.16665253,0.2006915
Hspe1,4.5454865,-0.27986285,5.480858343096026e-06,1.9354798748717336e-05,0.23277591973244147,0.17382968525323533,0.122579426,0.14697668
Tma7,4.543464,-0.29295814,5.533722250306529e-06,1.9536344352350075e-05,0.3431438127090301,0.2744048570059115,0.18803456,0.2259019
Rpl22l1,4.498821,-0.29452062,6.833149388873536e-06,2.4016576073123857e-05,0.31505016722408025,0.2517175267614635,0.18182148,0.21878143
Hsbp1,4.4846926,-0.36580333,7.301921171837691e-06,2.5633998156163938e-05,0.2755852842809365,0.21233423869627735,0.14425325,0.1822885
Tmbim6,4.4614496,-0.33853045,8.140701264691415e-06,2.851527088805349e-05,0.4234113712374582,0.34414443201789424,0.23453946,0.28835616
Cct7,4.449719,-0.33786798,8.598266106113935e-06,3.0090571798812378e-05,0.30066889632107024,0.23514139638919956,0.14627896,0.18155956
Ndufb1,4.350067,-0.34009618,1.3609598744649553e-05,4.712498946762029e-05,0.34448160535117056,0.27632209618149867,0.19156629,0.23687048
Fkbp2,4.3464713,-0.2657464,1.3834521127283494e-05,4.789146904020967e-05,0.268561872909699,0.21085636683176226,0.13998674,0.1660649
Sub1,4.324735,-0.2979267,1.527150870815593e-05,5.267592284828624e-05,0.457190635451505,0.37741652021089633,0.27241647,0.32566968
Dynlrb1,4.3171554,-0.2936225,1.5805299465863452e-05,5.443327308994501e-05,0.2946488294314381,0.23426266176705543,0.16579984,0.1997044
Higd2a,4.2984653,-0.2577712,1.7198498994330858e-05,5.913290697091109e-05,0.2180602006688963,0.162086595302764,0.105110064,0.124440506
Cox6a1,4.281651,-0.4257801,1.8551168776749296e-05,6.362091959556524e-05,0.45183946488294313,0.3664323374340949,0.2763216,0.35594773
Rab3a,4.2604127,-0.39211252,2.040497649367306e-05,6.985370345075744e-05,0.3832775919732441,0.31063268892794377,0.22829258,0.29008895
Nme1,4.246465,-0.3933616,2.1716965152639938e-05,7.425997119514318e-05,0.3267558528428094,0.261942802364595,0.1743088,0.22323236
Ndufa7,4.2292123,-0.35320482,2.345110662182505e-05,8.004715890859237e-05,0.262876254180602,0.20442562709698034,0.13780764,0.17289442
Tgfbr2,4.226847,-0.37741795,2.369887587491967e-05,8.085180228023e-05,0.16220735785953178,0.10916280555999361,0.08997184,0.115374684
Aamp,4.217088,-0.34833956,2.474772978450043e-05,8.43658334571843e-05,0.20903010033444816,0.154177983703467,0.094574146,0.11891919
Psma4,4.205667,-0.2559734,2.603131297959233e-05,8.861793738269934e-05,0.28160535117056856,0.2228790541620067,0.13493966,0.15915087
Gsap,4.189004,-0.326655,2.8018167597666012e-05,9.517675895692614e-05,0.19498327759197323,0.1402380571976354,0.1052724,0.13034548
Ctsd,4.1667943,-0.6079517,3.089128002859598e-05,0.00010467196650294754,0.36555183946488295,0.2887042658571657,0.20387425,0.29614496
Omg,4.1520267,-0.26535982,3.295441354315043e-05,0.00011147993099640591,0.23010033444816053,0.1753874420833999,0.110026345,0.1308478
Psmc5,4.1491995,-0.30666453,3.33639766113755e-05,0.00011282281041375029,0.2608695652173913,0.2042658571656814,0.12721571,0.1551153
Cct6a,4.1081495,-0.38683057,3.988420613896437e-05,0.00013414552746951716,0.33244147157190634,0.2657772807157693,0.16531552,0.21110806
Atp5md,4.0939484,-0.4236746,4.240890352499801e-05,0.00014235193475536494,0.4491638795986622,0.3675507269531874,0.29254642,0.3755786
Pgp,4.090465,-0.25243607,4.3050935995087334e-05,0.00014439878294694755,0.22976588628762543,0.17610640677424508,0.109370135,0.12898688
Dstn,4.086734,-0.25493366,4.3748813804723786e-05,0.00014661145259826992,0.4531772575250836,0.3762981306918038,0.26123774,0.3047141
Pkm,4.0586643,-0.31164816,4.935424307671857e-05,0.00016492333185815546,0.5431438127090301,0.451190285988177,0.34646678,0.41469097
Gm28307,4.016571,-0.3297805,5.905103582874208e-05,0.00019627676060345124,0.34816053511705686,0.27979709218725035,0.21655594,0.2653524
Arf5,3.9978583,-0.3186561,6.391819885448439e-05,0.0002119040102677354,0.3745819397993311,0.30631890078287266,0.20023051,0.24410522
Lamp1,3.9676538,-0.38950804,7.258364901930033e-05,0.00023980359635418662,0.4277591973244147,0.34885764499121263,0.23906787,0.30289325
Rpl13a,3.9656103,-0.41033366,7.320839849009136e-05,0.00024177847436439954,0.494314381270903,0.40357884646109604,0.2973059,0.3785276
Abca1,3.9152138,-0.50685704,9.032414173549737e-05,0.00029615737503756125,0.3210702341137124,0.2517574692442882,0.17619132,0.24198034
Kif13a,3.9087672,-0.26203606,9.27682740495412e-05,0.00030398579557453317,0.5404682274247492,0.44228311231826173,0.3617408,0.42043903
Rrp1,3.905535,-0.38160732,9.401712362982128e-05,0.00030777779141487544,0.34013377926421406,0.27632209618149867,0.17625338,0.22402345
Eef2,3.8863354,-0.33949363,0.00010176883764046795,0.0003323846684574418,0.368561872909699,0.3034030995366672,0.19828475,0.24490166
Selenom,3.8815057,-0.30255777,0.00010381171786490465,0.0003387686250947277,0.22775919732441471,0.17694519891356447,0.12799126,0.15563749
Gnb2,3.8796952,-0.26544616,0.00010458740691445986,0.0003412584849777215,0.2836120401337793,0.22907013899984022,0.14553005,0.17252159
