names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CGE-derived (for_DEGs),mean_expr_Rest (for_DEGs)
Grip1,29.340117,2.4324129,3.194553010121683e-189,8.583763938196962e-185,1.0,0.7758094961521708,3.1259954,1.6164815
Dlx6os1,29.302248,3.6642234,9.709274822813927e-189,1.3044410724450512e-184,0.9623430962343096,0.2663351241469435,1.9167007,0.37663773
Rbms3,27.341309,2.543118,1.3700344176447642e-164,1.2270941600704938e-160,0.9916317991631799,0.5023595179323362,1.8448911,0.6492124
Kcnmb2,27.19636,2.9278395,7.171936287276409e-163,4.817748200977928e-159,0.9309623430962343,0.2454624655147379,1.3333565,0.31271383
Gad2,25.66509,2.2944696,2.869050244696364e-145,1.5418276014998258e-141,0.9079497907949791,0.21173950922027007,0.80421954,0.22453174
Erbb4,25.376287,3.0321257,4.608734022491729e-142,2.0639447197392128e-138,1.0,0.7144983301873095,3.4277625,1.5355569
Col19a1,25.099142,2.8242815,5.0816772577746535e-139,1.950638113091499e-135,0.8723849372384938,0.26219689269638446,1.1614463,0.26991287
Grik1,24.760473,2.5357802,2.391177928708408e-135,8.031368868049365e-132,0.9832635983263598,0.49085233047771165,1.989555,0.7364607
Alk,24.70572,2.5029156,9.283094575068537e-135,2.771519458134351e-131,0.8744769874476988,0.22930884274720487,0.9697927,0.25376534
Ptprm,23.999018,2.2967286,2.847229049959588e-127,7.650504457241413e-124,0.9581589958158996,0.370117612893858,1.4659221,0.51763207
Abtb3,23.96538,2.5324607,6.388129849761012e-127,1.56044590057344e-123,0.797071129707113,0.1455278060113257,0.6053925,0.13435678
Nhs,23.891191,2.1361074,3.78162123918529e-126,8.467680224742395e-123,0.899581589958159,0.2587483664875853,0.81135494,0.2504344
Kcnip1,23.812332,2.4386168,2.488754128939302e-125,5.144063341892234e-122,0.8493723849372385,0.22066937708726586,0.8569329,0.2232351
Maf,23.053675,1.9109505,1.3512485520616222e-117,2.5934320424211276e-114,0.8661087866108786,0.21722085087846668,0.7324647,0.25250366
Elavl2,22.292057,1.806047,4.4123769801695944e-110,7.904037963810468e-107,0.9748953974895398,0.5341222593291709,1.5077282,0.6959503
Kcnc2,21.967928,2.0937436,5.837242346950945e-107,9.802918866410745e-104,0.9811715481171548,0.5960505299840279,2.1533363,1.0237579
Cntnap4,21.934025,2.1303353,1.2304801403345146e-106,1.9448824335757887e-103,0.8891213389121339,0.34169449687817627,1.204374,0.42739072
Meg3,21.869432,1.6153058,5.078487966604148e-106,7.581053981258524e-103,1.0,0.9117177290547408,4.3210893,3.2284837
Gad1,21.787806,1.6785568,3.0281763810770708e-105,4.282478913660047e-102,0.8682008368200836,0.2547190358646726,0.6286461,0.24166514
Vwc2,21.611835,2.298572,1.3901178165566138e-103,1.8676232865438104e-100,0.7426778242677824,0.1507550457383476,0.5503927,0.13905069
C130073E24Rik,21.334497,2.3410528,5.432577075520313e-101,6.951111715201467e-98,0.8451882845188284,0.33436184114999273,1.2344791,0.3926501
Nrxn3,21.138027,1.6221602,3.5563566046420178e-99,4.3436046348514104e-96,1.0,0.9277624509946275,4.1776285,3.0845995
Dlx1as,21.011353,2.4813292,5.16427160451974e-98,6.033216435367191e-95,0.6924686192468619,0.12273123275736895,0.43305394,0.09262827
Cit,20.81473,1.6227869,3.18340709301791e-96,3.5640895245579682e-93,0.9539748953974896,0.424931029475824,0.98469365,0.43471974
Sox2ot,20.758757,1.9575944,1.0217754930515222e-95,1.098204299931776e-92,0.9832635983263598,0.4569115725279512,1.7270747,0.7841419
Cntnap3,20.550577,1.9462823,7.605418074280028e-94,7.859907063688629e-91,0.7677824267782427,0.19979671845506025,0.59467006,0.19129205
Nxph1,20.484453,2.4022334,2.9628745685280916e-93,2.9486088761611044e-90,0.8744769874476988,0.4141861478147234,1.8699372,0.71204245
Zfp536,20.284763,1.7354276,1.7530750467499243e-91,1.682325946648945e-88,0.9728033472803347,0.46772905474081605,1.4361914,0.67417985
Gm13629,20.219946,2.2042632,6.53553425484318e-91,6.055510531987457e-88,0.7071129707112971,0.16716277043705532,0.4785317,0.12501962
Fgf12,20.169506,1.2787554,1.8143994981681104e-90,1.6250971505259044e-87,1.0,0.8517859735733991,2.9783509,2.1620364
Ubash3b,19.692255,1.4952886,2.5125550575182634e-86,2.177817883726314e-83,0.9414225941422594,0.4317191810657761,0.99203205,0.4711527
Galntl6,19.643766,1.9463537,6.536685982102924e-86,5.48877351059705e-83,1.0,0.8094235516189923,3.1939957,1.955567
Garnl3,19.589611,1.5140938,1.89631383998764e-85,1.5440591781959966e-82,0.9707112970711297,0.5119427907652098,1.2136275,0.60336506
Dner,19.578287,1.4643246,2.368525099451894e-85,1.8718314535962467e-82,0.9707112970711297,0.5363002758820967,1.207778,0.6153031
5330434G04Rik,19.54935,1.3827468,4.17800994171098e-85,3.2075179181078296e-82,0.9832635983263598,0.6387033541454915,1.4945887,0.8441125
Myo16,19.479115,1.5383983,1.6511162221119906e-84,1.2323748024485887e-81,0.9330543933054394,0.4766226223319297,1.0785064,0.51161075
Npas3,19.477648,1.983734,1.6990535381645206e-84,1.2338802316346125e-81,0.9748953974895398,0.5769928851459271,2.0743883,1.0151036
Plcb4,19.319725,1.36892,3.6659171855752e-83,2.5921893362212006e-80,0.8849372384937239,0.3210396399012633,0.6590729,0.3083954
A230057D06Rik,19.31784,1.2759137,3.802213535796911e-83,2.6196276335093077e-80,1.0,0.7836140554668215,2.3051188,1.5533168
9630014M24Rik,19.221663,1.535326,2.4383275344290273e-82,1.6379465212526988e-79,0.8493723849372385,0.32539567300711486,0.6494825,0.27423322
Slc6a1,19.160358,1.3163403,7.932629092732946e-82,5.19877423711547e-79,0.8619246861924686,0.30332510527080003,0.63613826,0.30531254
