names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CGE-derived (for_DEGs),mean_expr_Rest (for_DEGs)
Ldhb,6.5313673,-0.27886382,6.517192443667728e-11,2.9545632016425147e-10,0.5439330543933054,0.29120081312617974,0.1995907,0.2374475
Lyn,6.050543,-0.3367893,1.443587627759694e-09,5.960233490765669e-09,0.40376569037656906,0.2037171482503267,0.16956435,0.20975602
Sec11c,6.047626,-0.34922016,1.469957527289659e-09,6.066312203697303e-09,0.5083682008368201,0.272143168288079,0.1681239,0.20963246
Dynll2,6.0077477,-0.32351014,1.8811847919232627e-09,7.71127923096538e-09,0.5606694560669456,0.3147596921736605,0.21252836,0.2595348
Abca1,5.8911004,-0.32777685,3.836327653996394e-09,1.542683688459789e-08,0.47489539748953974,0.2554087411064324,0.19209097,0.2357055
Stmn4,5.885863,-0.25751102,3.959828322394088e-09,1.5887798569916253e-08,0.600418410041841,0.342347901844054,0.23821954,0.27880675
Tle5,5.7984223,-0.28130937,6.694175165948785e-09,2.6459618521483352e-08,0.5606694560669456,0.32027733410773923,0.21602333,0.25700092
Sncb,5.7898374,-0.287111,7.045455063898124e-09,2.780861016223969e-08,0.6903765690376569,0.4024974589806882,0.29735878,0.35245162
Tmco1,5.7831116,-0.31281468,7.333131432233379e-09,2.8908632861518616e-08,0.45397489539748953,0.24157833599535355,0.14940897,0.18246023
Bri3,5.754142,-0.25444725,8.708311070362358e-09,3.4179421335179166e-08,0.42887029288702927,0.22400900246841876,0.13168578,0.15520516
Gm28307,5.741246,-0.2777565,9.398238460001955e-09,3.6795959117041025e-08,0.5062761506276151,0.2832873529838827,0.21980631,0.26084656
Ap2m1,5.6843495,-0.28846738,1.3131154258686456e-08,5.0862637297232964e-08,0.4874476987447699,0.27156236387396543,0.17233184,0.20677081
Tgfbr1,5.6668296,-0.2566439,1.4546404545489939e-08,5.6142184736758786e-08,0.5146443514644351,0.2977711630608393,0.3039066,0.3536713
Lpcat2,5.5852594,-0.2988594,2.3335183222171464e-08,8.909013543332584e-08,0.4435146443514644,0.24277624509946275,0.16709483,0.2019011
Ptov1,5.564794,-0.25594506,2.624622429320743e-08,9.980696953842112e-08,0.3723849372384937,0.18872513431102075,0.11681827,0.1379946
Sod1,5.4961653,-0.44937402,3.881392467367956e-08,1.4568098281628298e-07,0.4916317991631799,0.27043705532162043,0.15656887,0.20817733
Map1lc3b,5.494657,-0.27302796,3.914709259920998e-08,1.4686992154995424e-07,0.39330543933054396,0.20429795266444026,0.122890465,0.14669721
Ghitm,5.4930687,-0.309034,3.950089206624236e-08,1.4813523654151185e-07,0.46443514644351463,0.2575504573834761,0.16036843,0.19515106
Asrgl1,5.484655,-0.32482564,4.142767819821469e-08,1.55058046132613e-07,0.48535564853556484,0.27127196166690865,0.18018407,0.22097607
Ndufb2,5.483452,-0.34028202,4.171055500389164e-08,1.5609507144214044e-07,0.46443514644351463,0.2577682590387687,0.16161317,0.2005411
Ctsd,5.4522295,-0.568998,4.974219814435087e-08,1.8535194343901094e-07,0.5167364016736402,0.2930884274720488,0.20274183,0.28775075
Saraf,5.451668,-0.32217026,4.989959305931488e-08,1.8591265467329322e-07,0.5774058577405857,0.3307681138376652,0.2066407,0.25229406
Fis1,5.376165,-0.3363055,7.608912650881541e-08,2.8022407199724095e-07,0.48326359832635984,0.2717075649774938,0.16034453,0.19849983
Sec61g,5.3505363,-0.35745645,8.769397310218395e-08,3.220799695538112e-07,0.3682008368200837,0.18865253375925656,0.11372166,0.14349744
Zfhx3,5.313646,-0.3405903,1.0745337784738067e-07,3.913353568391324e-07,0.4435146443514644,0.253375925657035,0.25393197,0.31193078
