names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SST (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,33.734455,5.2306404,1.8071842929543385e-249,4.855904195168308e-245,1.0,0.41273294177362047,3.6360343,0.68504137
Nrxn3,33.23685,2.650874,3.161891165886574e-242,4.248000781368612e-238,1.0,0.9278514973533464,4.8725924,3.0747585
Grip1,32.554546,3.0905137,1.805546950626098e-232,1.6171682187774418e-228,1.0,0.7760858530925966,3.5597353,1.6113611
Kcnc2,32.364555,3.7083662,8.65897165084784e-230,5.816664206457037e-226,0.9954954954954955,0.5962946849394533,3.168639,1.0088055
Kcnmb2,32.114185,4.6280556,2.7947069136117495e-226,1.501875495374954e-222,0.9684684684684685,0.24570371981727213,2.2636123,0.29899755
Grik1,31.657715,4.1639085,5.938704623895928e-220,2.659549887401393e-216,0.9932432432432432,0.49129867304763974,2.9941494,0.7218344
Rbms3,31.609114,3.600557,2.7672340718132267e-219,1.0622225644231628e-215,0.9932432432432432,0.5029366978464216,2.4754457,0.64053655
Xkr4,31.393099,1.9092102,2.513405416946551e-216,8.441900444169229e-213,1.0,0.8583133927924008,3.4762397,2.234661
Elavl2,30.15457,2.964655,9.344074883659398e-200,2.7897254680436447e-196,0.9797297297297297,0.5345877746356319,2.1634743,0.68639475
Ptprm,29.911451,3.8251975,1.3966587540009806e-196,3.7528220720006347e-193,0.9617117117117117,0.37078529475745053,2.3329737,0.5048436
Utrn,29.78141,3.4996305,6.801367020083354e-195,1.661388471178543e-191,0.9572072072072072,0.36570952070190704,1.8806643,0.39969942
Meg3,29.022043,2.0043473,3.468426931579428e-185,7.766385970961602e-182,1.0,0.9118265535494163,4.584623,3.225591
Neto1,28.947268,2.5944574,3.0376273278110576e-184,6.278542022944855e-181,0.972972972972973,0.6859546080777319,2.5561965,1.0879315
Grin3a,28.2829,3.4772284,5.609502071058941e-176,1.0766237189239553e-172,0.9211711711711712,0.3929736784859691,1.9079299,0.41564164
Gad2,27.99541,3.4961464,1.8478480069545226e-172,3.310111729791202e-169,0.8963963963963963,0.21278369951417592,1.3175492,0.21698296
Frmd5,27.932146,2.4066117,1.0863389112019e-171,1.8243704089996906e-168,0.9977477477477478,0.7346095279530128,2.7725124,1.3425378
Gria4,27.834131,2.3432486,1.6764679653375513e-170,2.64980554286e-167,0.9954954954954955,0.7878326444782829,3.1273212,1.6674263
Snhg11,27.417168,1.8441833,1.7120697366443467e-165,2.555739656868533e-162,1.0,0.8246320063809731,3.3688304,2.1759708
Kctd8,27.15699,3.8154871,2.093739257725585e-162,2.9609880976361297e-159,0.8671171171171171,0.260604742223189,1.7048968,0.27738944
Etl4,27.038054,2.7774606,5.278538565843362e-161,7.091716563210556e-158,0.9797297297297297,0.707381625697919,3.232673,1.5153548
Alk,26.865358,3.6118224,5.580449762885416e-159,7.140318339463388e-156,0.8738738738738738,0.23011384236096005,1.4850566,0.24635361
Cntnap3,26.740446,3.6013262,1.5948137659309842e-157,1.947847540480252e-154,0.8513513513513513,0.19915162062214486,1.2286568,0.1815835
Maf,26.239357,3.3816206,9.454446178514021e-152,1.1045259513768338e-148,0.8648648648648649,0.2180407512145602,1.3528234,0.24310918
Elfn1,25.784195,4.3777313,1.3338003329368572e-146,1.4933006227505563e-143,0.7680180180180181,0.10720759915887172,0.9377144,0.07209601
Myo16,25.64029,2.5810158,5.425611291863069e-145,5.831447016494426e-142,0.9076576576576577,0.4775940830976724,1.593598,0.5040178
Spock3,25.557978,2.5304766,4.47672823342313e-144,4.626526447387673e-141,0.9797297297297297,0.5644623305054021,2.115108,0.8161847
Fgf12,25.19503,1.6429222,4.540885968711796e-140,4.519022443677257e-137,0.9977477477477478,0.8520049307519396,3.2162948,2.1592135
A230057D06Rik,24.892992,1.6567777,8.860759560364482e-137,8.503164620964058e-134,0.9954954954954955,0.783953302878689,2.542315,1.5504256
Sox2ot,24.736221,3.0347662,4.362145644402623e-135,3.9070284488366163e-132,0.9527027027027027,0.45805235298383,2.3603933,0.7751092
Rian,24.568905,1.6620946,2.7164758018668518e-133,2.3545711224568488e-130,0.990990990990991,0.7568704227394678,2.5525637,1.5562906
Nhs,24.35076,2.9847965,5.690941397239819e-131,4.778612354494811e-128,0.8265765765765766,0.26071350881009353,1.1638554,0.24545144
Synpr,24.337976,2.5659018,7.772625686200641e-131,6.142660358476801e-128,0.9481981981981982,0.5387934159959393,2.19899,0.85601234
Reln,24.324701,3.5574737,1.0741720213970915e-130,8.246572061411386e-128,0.8265765765765766,0.282430570662026,1.8012245,0.35734499
Iqsec1,24.29135,1.8141496,2.4196600236577522e-130,1.8060073565467722e-127,0.9481981981981982,0.6876586179392358,1.7960283,0.88754797
Col19a1,24.203955,3.7909045,2.0213387446611918e-129,1.4292992649749005e-126,0.7905405405405406,0.264266550648974,1.642606,0.26326644
Satb1,24.12591,2.5212052,1.3368542587922507e-128,9.210583059935327e-126,0.8918918918918919,0.45772605322311655,1.4943128,0.47129795
Cacna2d3,23.851421,2.0221605,9.788423477387736e-126,6.414998508229474e-123,0.9774774774774775,0.7413893118700602,2.726792,1.5077392
Sst,23.649134,3.3833363,1.204817334817928e-123,7.707962330132793e-121,0.7995495495495496,0.24534116452759044,1.4041686,0.2580564
Astn2,23.487188,2.2973783,5.514183914560053e-122,3.4457237624239216e-119,0.9707207207207207,0.6284895946631861,2.2776885,1.0227631
Pam,23.40423,1.8417344,3.8700267180550208e-121,2.363354952594055e-118,0.9797297297297297,0.7250018127764484,2.235371,1.202831
Epb41l3,23.325993,1.7873423,2.415910658116173e-120,1.4425670974129238e-117,0.9572072072072072,0.6192081792473352,1.536892,0.7214698
A330076H08Rik,23.245436,1.7373952,1.5821145398550543e-119,9.241612540414198e-117,0.9504504504504504,0.6514756000290044,1.6534615,0.8185153
Gria1,23.18252,1.8771728,6.834541524756741e-119,3.907321931281141e-116,1.0,0.8463490682329056,3.4556403,2.235505
Rasgrf2,23.106314,2.1741512,4.000442688554282e-118,2.239414480030282e-115,0.9144144144144144,0.48470016677543326,1.4689064,0.5544841
Dlx6os1,22.910046,2.8508933,3.6896013402543797e-116,1.9827917602527037e-113,0.8423423423423423,0.26912479153070845,1.4802369,0.38556203
Pclo,22.817034,1.339897,3.1067491946452786e-115,1.636830409021934e-112,0.9977477477477478,0.828946414328185,2.521406,1.7086909
Snhg14,22.7683,1.3852541,9.454405816178167e-115,4.885382390013603e-112,0.9977477477477478,0.812703937350446,2.8527238,1.9814686
Rims2,22.750774,1.4445424,1.4099304552968621e-114,7.1480813837408835e-112,0.9977477477477478,0.8051265317960989,2.6016116,1.7204902
Gm16083,22.671984,2.9144967,8.468905886333134e-114,4.214064836403172e-111,0.7680180180180181,0.27775360742513233,0.9376978,0.18741101
Unc5d,22.654541,2.5775976,1.2584705285698685e-113,6.1482005641222485e-111,0.9279279279279279,0.6329490247262708,2.6631017,1.1739787
Sox6,22.445951,3.1076467,1.4017499824503162e-111,6.6078986014807e-109,0.8220720720720721,0.3006671017330143,1.7772529,0.4511001
Usp29,21.986834,1.9039117,3.849220315165881e-107,1.7530262689577498e-104,0.9076576576576577,0.552751794648684,1.4382565,0.6198584
Garnl3,21.839666,1.97992,9.746502391166933e-106,4.293254413945172e-103,0.9211711711711712,0.5133057791313175,1.4459159,0.6003778
C130073E24Rik,21.809261,3.1986008,1.8950792587880247e-105,8.213028981231327e-103,0.795045045045045,0.33579870930316874,1.6739466,0.38661355
Grm1,21.666267,1.8383615,4.269903019721187e-104,1.8211475260302906e-101,0.9459459459459459,0.6830541657602784,2.209834,1.1845
Trpc6,21.650082,2.623788,6.067245249909283e-104,2.5472949978916007e-101,0.8108108108108109,0.31817852222463927,1.3010993,0.36027583
Grik3,21.622185,2.2774282,1.1109155197939224e-103,4.592353848748107e-101,0.831081081081081,0.35360017402653904,1.1016724,0.34672463
