names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OPC (for_DEGs),mean_expr_Rest (for_DEGs)
Dtnbos,-2.3634162,-0.71326995,0.018107324171815854,0.04980487260688832,0.013717421124828532,0.06575814192035755,0.017606677,0.02870611
Gm31333,-2.3637362,-1.2053407,0.01809168985672069,0.04977205963449216,0.010973936899862825,0.06275414880756126,0.011969847,0.027388776
9330111N05Rik,-2.3640888,-0.710418,0.018074483134900912,0.04972981382703129,0.0205761316872428,0.07297505220353885,0.027199741,0.044128966
Gm15991,-2.3661203,-1.195797,0.017975597131404942,0.04948307498420764,0.009602194787379973,0.06139868850056783,0.01252421,0.028460871
Gm57036,-2.3663802,-2.3076766,0.017962988402946623,0.0494534322118008,0.006858710562414266,0.05843132945012272,0.0051457994,0.025221022
Nifk,-2.3668532,-0.33602065,0.017940042410620388,0.04939532119821394,0.03429355281207133,0.08792174964281789,0.0386659,0.048564088
Gm26954,-2.3671083,-1.4070324,0.01792768023045378,0.049371401844039466,0.00823045267489712,0.059969960068872036,0.010189063,0.026796361
Rbfa,-2.3674123,-0.50989324,0.017912967733812322,0.04933594126768523,0.03017832647462277,0.0833791259112723,0.033861473,0.047877803
Rgs10,-2.3677554,-0.87689185,0.017896358708373427,0.049295249461198766,0.037037037037037035,0.08968018463567425,0.044330444,0.07995712
6820408C15Rik,-2.3699055,-0.81984144,0.017792634432766092,0.04901456707078377,0.012345679012345678,0.06443931567571529,0.015997445,0.02806833
Inca1,-2.3713968,-2.3330295,0.017720997377679175,0.04882723539153398,0.00823045267489712,0.059860057881818515,0.0057415464,0.028599814
B230317F23Rik,-2.3716357,-1.1112531,0.017709545598304698,0.048800686106701595,0.009602194787379973,0.06150859068762135,0.012729072,0.027298767
Ap1g2,-2.3719952,-1.4072312,0.01769232456168173,0.048766906460557945,0.00823045267489712,0.060079862255925556,0.010037872,0.026405543
Hapln4,-2.3720438,-2.579968,0.017689992518246014,0.048766810194446536,0.00411522633744856,0.05568377477378467,0.00582726,0.034347735
Wnt2,-2.3730574,-3.0082526,0.017641524900533483,0.0486381873668515,0.0027434842249657062,0.054291680404440046,0.0031746936,0.02526208
Bud13,-2.3731084,-0.44430438,0.017639087963405953,0.04863645906379866,0.023319615912208505,0.07627211781514452,0.026589893,0.036008924
1110038B12Rik,-2.3739202,-0.8827927,0.017600358176170533,0.048534649445166486,0.01646090534979424,0.068798769095505,0.019144868,0.03502166
5530401A14Rik,-2.3739364,-2.5613713,0.017599584341342192,0.048534649445166486,0.0027434842249657062,0.05432831446679122,0.0038543362,0.022538917
Fmc1,-2.3757129,-0.771945,0.017515084689203694,0.04831933527709479,0.02606310013717421,0.0789830384291314,0.03279796,0.0553717
Ntsr2,-2.37575,-0.3748499,0.017513323482190268,0.04831933527709479,0.07133058984910837,0.12693702604681834,0.08406068,0.1077007
Churc1,-2.3765478,-0.472538,0.01747549506660689,0.048224972007777256,0.03429355281207133,0.08795838370516906,0.04039243,0.05561805
Mamdc2,-2.3769352,-2.6684575,0.017457156535003567,0.04818022226841269,0.0054869684499314125,0.05714913726783163,0.0054152235,0.033938095
Gm43948,-2.379999,-3.537402,0.017312689111245054,0.047810067463428016,0.0027434842249657062,0.05440158259149357,0.0021140238,0.024274554
Smim12,-2.380122,-0.74643016,0.017306914858455286,0.04779903404735261,0.027434842249657063,0.08052166904788072,0.033230588,0.055137098
Pde8a,-2.3807921,-0.35434872,0.017275458544605576,0.04771706117326807,0.1083676268861454,0.1651829871414441,0.14697133,0.18431874
Eps8l1,-2.381321,-0.2804185,0.017250677196151323,0.047653510461661976,0.02880658436213992,0.08242664029014177,0.032630842,0.03949511
Top1mt,-2.3822625,-1.2029597,0.017206626194193494,0.047536710450131525,0.012345679012345678,0.06458585192511998,0.013288579,0.030331295
Ddx39a,-2.3835473,-0.32258698,0.017146676389278723,0.04739545258511668,0.024691358024691357,0.07803055280800088,0.029638609,0.036929578
Mrap2,-2.3851547,-2.1920307,0.017071943054349763,0.04720830604820193,0.0054869684499314125,0.05744220976664102,0.0065852623,0.029743752
Gm26839,-2.38595,-1.5516195,0.01703505967319512,0.047111162352691735,0.009602194787379973,0.06176502912407957,0.010112978,0.029360915
