names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Chodl Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Gad2,3.9379137,2.312745,8.219316286135539e-05,0.014067071885889295,0.7,0.2232094872989144,0.83439046,0.23297241
Srgap1,3.9238763,1.8388244,8.713551829864426e-05,0.014818553016990957,0.8,0.45480276593457775,1.0864505,0.43758488
Vstm2b,3.9054418,2.517124,9.405343386049778e-05,0.01584137201593093,0.65,0.22532334921715452,0.6074208,0.13626683
Rgs17,3.9047344,1.7392677,9.43289736713416e-05,0.01584137201593093,0.85,0.5411128229013651,1.2257836,0.54284674
Gm1604b,3.889698,4.0844264,0.00010036899018650344,0.016647622014267578,0.55,0.0748092150048368,0.47543016,0.0352529
Plcb4,3.8632324,2.0135093,0.00011189649414026935,0.018445759494165874,0.75,0.3310881014653721,0.91286916,0.3143646
Efna5,3.8553536,1.9059939,0.00011556246515620865,0.018933923406995894,0.8,0.41363620078105406,1.2713295,0.5215183
Dach1,3.8499577,3.4529161,0.00011813817491640848,0.0192386227879024,0.65,0.2192325606391745,1.2718608,0.2106372
Lhfpl3,3.8156826,1.6383717,0.00013580696492876765,0.021500152868588585,0.85,0.47526064992296946,1.3561285,0.65517336
Bcl11a,3.8124092,1.3221906,0.00013761885756774603,0.021500152868588585,0.9,0.6799111461430977,1.7651017,1.0772191
Slc22a23,3.812395,1.3816266,0.00013762658330469804,0.021500152868588585,0.95,0.5757228332915338,1.1397736,0.59660995
Syndig1,3.809843,1.8043005,0.0001390550935323714,0.021597747764247513,0.8,0.3998781842284404,0.90747803,0.35290733
Tet2,3.8002858,1.5600095,0.00014452927091874454,0.02219143719763809,0.9,0.5443373580308839,1.0386196,0.48184156
Cdc14b,3.7901046,1.6847353,0.00015058388474798094,0.022749176897224856,0.8,0.37279208914048223,0.7030665,0.275555
Epb41l5,3.7899103,2.8460796,0.00015070165566453383,0.022749176897224856,0.6,0.1664934971874888,0.59207803,0.10646191
Dner,3.7830164,1.5799885,0.0001549391443090375,0.02325818328259127,0.85,0.5445523270395185,1.2802445,0.62531245
Opcml,3.773071,1.1648637,0.00016125037229782664,0.0240710972424589,1.0,0.9259431765253843,3.895741,3.1132631
Mllt3,3.7700472,1.4675567,0.0001632167206646965,0.024230018145085054,0.9,0.7329010067715238,1.9317192,1.1422776
Pcdh18,3.7535408,5.126431,0.00017435422515442222,0.02574119796647981,0.5,0.016480957328651787,0.31707674,0.010624683
Bbs9,3.7441916,1.6592503,0.00018097548673210644,0.026428322437454892,0.8,0.49485865787682276,1.0257416,0.44881687
Plcb1,3.7233574,1.1917149,0.0001965908884691524,0.028553498233330407,1.0,0.8718784708537852,3.0256057,2.2600288
Adar,3.70975,1.3585663,0.00020746399566747082,0.029892233407501634,0.85,0.5330514850775679,0.90623206,0.45438096
Ankrd55,3.7090564,2.42905,0.00020803303487915167,0.029892233407501634,0.6,0.12966214037476265,0.36997944,0.07985803
Ptn,3.7044928,1.5148861,0.00021181402724431667,0.030273632510929727,0.95,0.6012324889828383,1.4857566,0.7867041
Sdk1,3.6953242,1.6840833,0.00021960638607493595,0.031221288856262058,0.85,0.4641539178101824,1.2707869,0.58656985
Tmem65,3.6914265,2.1561103,0.00022299987646862214,0.03145783068124039,0.7,0.3234925298269499,0.7433871,0.22112566
Dach2,3.6898313,3.6349802,0.00022440281601338245,0.03145783068124039,0.55,0.0961628031958726,0.73309565,0.08347225
Rnf152,3.6894014,3.4257994,0.00022478241499062726,0.03145783068124039,0.55,0.09558955250618036,0.50961393,0.06001041
Zwint,3.687404,1.3236231,0.0002265536296770044,0.03154143020425445,0.9,0.6003726129482999,1.1223363,0.6031336
Dnm3,3.6823688,1.3011999,0.00023107687450321394,0.03200533823660494,0.95,0.7278134069005052,1.8107697,1.123524
