names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Chodl Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Prickle2,-3.5446992,-1.2385633,0.00039306120598782326,0.04958476340325264,0.75,0.8116513202679947,1.0379846,1.6682478
Zbtb16,-3.5947874,-2.7922106,0.0003246565896529713,0.04194001232680451,0.15,0.5801296979685429,0.13130039,0.6790047
Brinp1,-3.6758494,-1.6514939,0.00023705938472400642,0.03249890646701047,0.65,0.7804808140159794,0.80002993,1.5790514
Csmd3,-3.6800938,-0.8596667,0.00023314810777919567,0.032126613620651216,0.9,0.9005051771702913,2.0277817,2.562745
Galnt17,-3.7441916,-2.2084193,0.00018097548673210644,0.026428322437454892,0.45,0.7189638493783813,0.47119015,1.3301985
Kalrn,-3.7916443,-1.0130905,0.00014965319176199284,0.022749176897224856,0.9,0.8469778940202788,1.6775243,2.2807326
Nfia,-3.8021445,-2.3223796,0.00014344898017565121,0.022152149984596255,0.5,0.7398874995521479,0.43784618,1.3211384
Rgs7,-3.8145175,-1.5031666,0.00013644928430260484,0.021500152868588585,0.75,0.8080326752893124,1.0263408,1.8044102
Cttnbp2,-3.8205097,-1.3252096,0.00013317615057083506,0.021300256939513918,0.8,0.815879044104475,1.0984918,1.7935036
Olfm1,-3.8322308,-1.9781353,0.00012698657079795048,0.020431911121801975,0.55,0.7482712908888969,0.38667184,1.0507847
Tafa2,-3.8364892,-2.4333506,0.00012480573718525004,0.02020198890462451,0.45,0.7291390491204185,0.5293431,1.5621823
Mef2c,-3.8964117,-2.2461262,9.762838107482075e-05,0.0162936310526735,0.55,0.7809465802013543,0.5566818,1.5115426
Lrrc4c,-3.9919271,-1.5104051,6.553849155498761e-05,0.011509929856748478,0.9,0.9153380387660779,1.702831,2.6239448
Kcnq3,-3.9920104,-1.5772837,6.551548879488782e-05,0.011509929856748478,0.75,0.8128336498154849,0.94582975,1.7404224
Phactr1,-4.0059924,-1.3210965,6.175764083334281e-05,0.010998621747265649,0.9,0.8899358675790907,1.607095,2.394714
Slc1a2,-4.0305576,-2.7007294,5.5644626668757195e-05,0.010102507558037202,0.45,0.7309304575257067,0.30818623,1.2079657
Caln1,-4.0460796,-2.5596173,5.208255430932331e-05,0.009520124042799437,0.35,0.7033785962523736,0.32957157,1.1943569
Msra,-4.093546,-2.3103137,4.2482582888270566e-05,0.008153621444341643,0.4,0.7418222206298591,0.46657792,1.3734101
Cdh2,-4.1393204,-2.0730252,3.483365345599582e-05,0.007074981677068829,0.5,0.7653613270753467,0.4759578,1.2711062
Zeb2,-4.176536,-2.1918478,2.959819373533205e-05,0.00626223201313679,0.5,0.8607359105728924,0.9235023,2.0714097
Sez6l,-4.1971345,-3.1859562,2.703135562211549e-05,0.0058402594209711126,0.25,0.6461968399555731,0.12459705,0.7918971
Nrg3,-4.2034316,-0.90700936,2.628983871557003e-05,0.005838082366011296,0.95,0.9477983590699007,3.0068407,3.6121871
Atp2b1,-4.204486,-1.4645855,2.616761401146045e-05,0.005838082366011296,0.8,0.8990720504460606,1.2142923,2.019562
Kcnj3,-4.2132664,-2.4823732,2.5170398266694263e-05,0.005731598317170126,0.45,0.785245960374046,0.56671757,1.6602788
B3galt1,-4.4609046,-1.7217735,8.161434389589129e-06,0.0022608014644150505,0.75,0.8535344487836337,1.005621,1.9048102
Slc8a1,-4.5002427,-1.8379182,6.787586455531528e-06,0.0019198152427382332,0.85,0.8770377270610153,1.221935,2.2573261
Grm5,-4.53449,-1.9806783,5.774275428513935e-06,0.0016683309759588111,0.85,0.9192074809215005,1.6529135,2.8715289
Cacna2d1,-4.774472,-2.3223033,1.8017934714010373e-06,0.0006051773822068233,0.6,0.8275231987388485,0.7584794,1.8986038
Nfib,-4.7936277,-2.426111,1.6379202177134573e-06,0.0005642425160251359,0.6,0.8185661567124073,0.610747,1.7091444
Csmd1,-4.946999,-2.1901805,7.536630197776576e-07,0.00027740993618391316,0.95,0.9437139479058436,2.16205,3.5859966
Arpp21,-4.957125,-3.108989,7.154396170623843e-07,0.00026699809042314256,0.4,0.7996488839525635,0.5076302,1.9029958
Lrp1b,-4.9938135,-1.999136,5.919850772747543e-07,0.0002410096822177674,0.95,0.9389488015477768,1.82477,3.0815988
Dab1,-4.999029,-2.6115124,5.761968427763107e-07,0.00023819091023691492,0.65,0.8779334312636595,1.1130749,2.6019502
Ppp3ca,-5.047453,-1.4099519,4.4773947047564314e-07,0.00019722556674886118,0.9,0.9404535846082189,1.723761,2.5831084
Celf2,-5.112813,-1.7180583,3.1739685803456954e-07,0.0001445500605998116,0.9,0.9666798036616387,2.573092,3.7093825
Nlgn1,-5.8637457,-2.2699876,4.525406322465125e-09,4.053255596154597e-06,0.9,0.9545698828418903,1.9494396,3.4031377
