names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sncg Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp148,-2.9129536,-0.31785607,0.003580278788709661,0.04890802798811825,0.7718120805369127,0.7475343747750341,0.85399437,0.9863822
Atp10a,-2.9176042,-4.0139985,0.0035273189624404084,0.04825817745456913,0.026845637583892617,0.16233532503059536,0.008107578,0.12356056
Creg2,-2.917655,-0.9603301,0.0035267428657503016,0.04825817745456913,0.21476510067114093,0.3440717011014326,0.12814915,0.23588488
Mylip,-2.9213734,-1.5145171,0.0034849183174146927,0.04784373897582377,0.11409395973154363,0.25196170182132316,0.061767988,0.16723946
Pakap,-2.9251478,-0.43433604,0.003442925654282742,0.04744174991311655,0.7248322147651006,0.6648909365776402,0.69660664,0.8589413
Ajap1,-2.9266658,-0.9727342,0.0034261681691364083,0.04729210273138344,0.18120805369127516,0.31380030235404216,0.10705638,0.20029461
Fam131a,-2.9276896,-0.72030216,0.0034149072666553046,0.04717663663497585,0.30201342281879195,0.4254913253185516,0.2078344,0.32251462
St3gal1,-2.9300938,-2.3757792,0.0033885960960791995,0.04688546709662621,0.053691275167785234,0.19001511770210927,0.024283048,0.12007004
Arid5b,-2.9305727,-0.62037224,0.00338337825082625,0.04683738979891878,0.5302013422818792,0.5817795695054352,0.46396816,0.645826
D16Ertd472e,-2.9325795,-2.7141278,0.0033615872065382744,0.046595956093774725,0.053691275167785234,0.189007270894824,0.019818494,0.12340774
Ccnjl,-2.9326408,-1.4677695,0.003360925529907527,0.046595956093774725,0.0738255033557047,0.2121157584047225,0.053923305,0.14257824
Sh3d19,-2.9399757,-0.84040034,0.0032823799752020105,0.04567454683256242,0.4966442953020134,0.5429054783672882,0.35014534,0.5600326
Lrmda,-2.9511209,-2.5293999,0.0031662311894446846,0.044195653018378536,0.0738255033557047,0.20941616874235117,0.046265345,0.24167447
Lyzl4,-2.9515383,-3.0211754,0.0031619520051427144,0.044158861942923455,0.040268456375838924,0.17720106543805342,0.012238322,0.09527797
Galc,-2.9518185,-0.794224,0.0031590847749403813,0.044141761779848174,0.2214765100671141,0.3598013102008495,0.14262839,0.23574075
Satb1,-2.9624338,-0.82563627,0.003052173503911519,0.042826058511802885,0.3691275167785235,0.46630912101360594,0.30477917,0.489512
