names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astrocytes (for_DEGs),mean_expr_Rest (for_DEGs)
Abca4,-2.339518,-1.9743274,0.019308637818300525,0.04982455566865794,0.00510204081632653,0.04917547881387266,0.0059198625,0.023062821
Ifit1bl2,-2.3396466,-24.137405,0.019301990587737322,0.04981218662048616,0.0,0.04392516453449678,0.0,0.018285481
Polm,-2.340985,-1.4491127,0.01923293644495998,0.0496435160687872,0.009183673469387756,0.05346446794350366,0.009587943,0.025964797
Npas1,-2.3428037,-2.3207123,0.01913944771276685,0.04941169869735254,0.006122448979591836,0.05028470014050137,0.0073219645,0.036055338
Ulk3,-2.344126,-0.845974,0.019071724334195846,0.0492415905505758,0.011224489795918367,0.055793832729423946,0.014456611,0.025837477
Zbtb48,-2.3442426,-1.000235,0.019065764855712954,0.04923093423726765,0.009183673469387756,0.05364933816460844,0.012113318,0.024085533
Sdr39u1,-2.3451831,-0.46778345,0.019017737568688933,0.049111639449367764,0.017346938775510204,0.062301264512312354,0.02420119,0.033316914
Trpv6,-2.3463988,-2.297016,0.018955807793846903,0.048961122312858436,0.003061224489795918,0.0472528285143829,0.0045115366,0.02197829
Nup43,-2.3465717,-1.54711,0.018947018883933492,0.0489431260729949,0.00510204081632653,0.049397323079198405,0.007986033,0.023160813
Gm50152,-2.3483925,-0.7307895,0.018854645032670567,0.048709192580315176,0.011224489795918367,0.05590475486208681,0.014920686,0.024641123
Slc31a2,-2.348732,-0.4411259,0.018837457805141778,0.048669470310015346,0.022448979591836733,0.06773644901279302,0.026478246,0.03578084
Adra1d,-2.3511074,-2.5278106,0.018717631528207566,0.048378487799436064,0.003061224489795918,0.04728980255860386,0.0034878901,0.019949334
Gm38134,-2.3514168,-0.8927901,0.018702068845549123,0.04834756492975802,0.011224489795918367,0.055941728906307775,0.014083623,0.025994174
Dnajc12,-2.3522146,-0.26763177,0.018662001656151075,0.048253270256041134,0.019387755102040816,0.0646676033424536,0.027758557,0.033323266
Cebpd,-2.3525844,-1.0400783,0.018643456956145343,0.04821459946213911,0.014285714285714285,0.05901057457664719,0.017518017,0.03569561
Gm17753,-2.3546503,-0.47799385,0.018540144910134605,0.04796126829068228,0.017346938775510204,0.06241218664497523,0.020846669,0.02891793
D5Ertd615e,-2.3550704,-2.1500103,0.018519202195118798,0.047911704504413836,0.004081632653061225,0.04847297197367448,0.005239074,0.02304606
Tek,-2.3553898,-0.6743779,0.018503283567413265,0.047875130424303754,0.014285714285714285,0.059195444797751975,0.023128834,0.03666135
Gm34102,-2.3565896,-0.2812319,0.01844362046611454,0.04772535457670432,0.014285714285714285,0.059343340974635804,0.02098271,0.02544187
Gm15243,-2.3587198,-1.2000054,0.01833810078983231,0.047475167956719744,0.00816326530612245,0.052835909191747396,0.00996909,0.022756675
Ntsr1,-2.3588483,-2.955827,0.018331746741592006,0.04746786498473327,0.004081632653061225,0.04843599792945352,0.0028126366,0.021617945
Lrrk1,-2.3599374,-1.6948166,0.018278013125425516,0.04733482803098991,0.014285714285714285,0.05886267839976336,0.018145142,0.057587955
Gm16046,-2.3599677,-0.8372619,0.01827652799568136,0.04733482803098991,0.01020408163265306,0.05501737780078385,0.015046198,0.026725316
Dysf,-2.3611574,-0.4222526,0.018217999174980216,0.04719152008403725,0.014285714285714285,0.05930636693041485,0.02045172,0.027311442
Gm15832,-2.3634343,-0.83893085,0.018106441174422713,0.0469161113169468,0.009183673469387756,0.05401907860681801,0.013170597,0.023437588
Zfp78,-2.3645394,-1.4332696,0.018052502828005475,0.046785373359231004,0.007142857142857143,0.051874584042002514,0.008977567,0.02406197
Slc32a1,-2.367994,-0.6647643,0.017884827215805452,0.046368709695937135,0.025510204081632654,0.07117503512534201,0.032972798,0.051779423
Dynlt1f,-2.368241,-2.5475383,0.01787288196199243,0.04634221155251728,0.003061224489795918,0.04765954300081343,0.0035403164,0.020522617
Ackr3,-2.3693604,-0.82891333,0.017818875869366143,0.04620663912467364,0.01020408163265306,0.05520224802188863,0.016616618,0.029329132
Cenpu,-2.3701844,-2.7875578,0.017779214145485934,0.04610824091199759,0.003061224489795918,0.04762256895659247,0.0029918626,0.02047744
Commd9,-2.3715107,-0.64306355,0.017715530927283375,0.04595639274146594,0.0163265306122449,0.06156178362789322,0.02173565,0.03373926
Tsbp1,-2.3741574,-0.5379387,0.017589051161659028,0.045659144499447205,0.0163265306122449,0.061746653848998,0.019446982,0.028112471
Eme2,-2.3760123,-1.0384707,0.01750088210980631,0.045443438566920714,0.00816326530612245,0.05316867558973601,0.011451164,0.02338096
C1qc,-2.3771114,-0.72027224,0.0174488133086633,0.045316993389114914,0.04183673469387755,0.0877394069363307,0.059879784,0.096822575
Gm3739,-2.3788579,-2.65182,0.017366372689952225,0.04511596579126136,0.003061224489795918,0.047844413221918215,0.0040669,0.025288414
Ankrd34b,-2.3791552,-0.57652336,0.01735236626282626,0.04508829721324258,0.015306122448979591,0.06078532869925313,0.020018613,0.029707916
ENSMUSG00000121476,-2.3811889,-0.6147456,0.017256857776432866,0.0448444650341152,0.012244897959183673,0.05760556089625083,0.017011821,0.025933646
5830418P13Rik,-2.3841913,-3.1719973,0.017116702897610026,0.044497465833860425,0.0020408163265306124,0.04688308807217333,0.0027106693,0.02416978
Rbm43,-2.3847017,-0.3861246,0.017092974279724626,0.04444437961062519,0.019387755102040816,0.06514826591732603,0.02463924,0.032080308
Gm12002,-2.3861728,-2.6548204,0.017024752380632287,0.04427127615093289,0.003061224489795918,0.047992309398802044,0.0034200724,0.02134593
Tacr1,-2.3869905,-2.4229138,0.016986923710055727,0.04418573476178097,0.004081632653061225,0.04906455668120979,0.005926754,0.03137927
Setmar,-2.3876517,-0.6726895,0.016956398692513395,0.04411060440195904,0.013265306122448979,0.05871478222287954,0.017264634,0.027381165
Gipc2,-2.389364,-1.6767796,0.0168775727463812,0.04391404858092988,0.007142857142857143,0.05228129852843304,0.007757738,0.024594067
Wdfy4,-2.3908792,-3.1134624,0.016808082091323492,0.04374594786844849,0.004081632653061225,0.04902758263698884,0.0053777695,0.04561146
Runx2os1,-2.3911002,-2.5745325,0.016797965219626936,0.04372808810805811,0.004081632653061225,0.04906455668120979,0.0036409397,0.021495124
Gm9993,-2.3921533,-0.62480545,0.016749845471248723,0.04360704852363658,0.0163265306122449,0.06204244620276566,0.018463524,0.028330112
Gm45904,-2.3941326,-1.4769118,0.01665971883499689,0.04337661289693474,0.00816326530612245,0.05346446794350366,0.009430941,0.026033584
Fgd2,-2.3943357,-1.7095722,0.016650501537786442,0.043356815226312795,0.0163265306122449,0.06148783553945131,0.020617422,0.06591141
Tmprss5,-2.3946393,-2.1699896,0.016636729574111716,0.04332515251564081,0.00510204081632653,0.050247726096280414,0.0051774066,0.023091126
Gm12064,-2.395212,-1.4353287,0.01661076338692812,0.043261724552365856,0.00510204081632653,0.050321674184722325,0.007443829,0.020005036
Sstr2,-2.395445,-0.67725235,0.016600204888185713,0.04323841657091412,0.013265306122448979,0.058899652443984325,0.019120714,0.03040307
Daxx,-2.3957846,-0.8911839,0.01658483279620998,0.04320675365853812,0.011224489795918367,0.05675515787916882,0.015816879,0.029140038
Dnah7a,-2.4000227,-0.8333135,0.016394048843035223,0.042734584052421073,0.012244897959183673,0.05786437920579753,0.014924957,0.02643969
D130062J10Rik,-2.4024303,-0.30264807,0.01628653652480462,0.042462569029837006,0.026530612244897958,0.07309768542483176,0.029630408,0.03642178
Vamp3,-2.4029608,-0.25262138,0.016262927804441815,0.0424051305293888,0.026530612244897958,0.07317163351327369,0.032382492,0.038461745
Frmd8,-2.4033427,-0.7147181,0.016245955295167622,0.04236498629475485,0.02142857142857143,0.06751460474746727,0.028602023,0.046519298
Fcor,-2.4039173,-0.63474923,0.016220436551993303,0.042306652121147356,0.015306122448979591,0.061229017229904606,0.02206581,0.034055125
A430090L17Rik,-2.4055412,-1.6481239,0.016148531888036433,0.042123196954814,0.006122448979591836,0.05157879168823486,0.00702022,0.021840338
Setd6,-2.4087687,-1.0118444,0.016006443868149985,0.04176472584358032,0.01020408163265306,0.05586778081786586,0.012313508,0.024676552
Eif5a2,-2.4118915,-0.26665446,0.01587000398449944,0.0414207874758135,0.02142857142857143,0.06795829327811877,0.030779695,0.03691436
Ess2,-2.4147089,-0.27060878,0.015747788253871204,0.04110979018571061,0.018367346938775512,0.06474155143089551,0.024975298,0.030051358
Gm13944,-2.4148355,-4.075428,0.01574231588105217,0.041099497446936625,0.0010204081632653062,0.04640242549730089,0.001170095,0.019545663
Acr,-2.4171083,-3.53676,0.015644357930274345,0.0408556611513725,0.0020408163265306124,0.047437698735487685,0.0017156487,0.019732434
Trappc1,-2.4182096,-0.6310926,0.015597087826785663,0.04073617320234553,0.02040816326530612,0.06677512386304814,0.026604477,0.04090808
Podn,-2.4192808,-1.1435637,0.015551232216838464,0.04062035672853597,0.007142857142857143,0.05290985728018931,0.010316919,0.022652242
Pkhd1l1,-2.420392,-24.262611,0.015503781378574891,0.04050428834635949,0.0,0.04544110034755602,0.0,0.019926898
Gm16153,-2.4231954,-0.65770346,0.015384647384048732,0.04021259486472659,0.013265306122448979,0.05949123715151963,0.016825646,0.02641618
Grip1os2,-2.4234385,-0.9434555,0.01537435197649011,0.040189594085834154,0.01020408163265306,0.056237521260075425,0.013248422,0.025324557
Gm37573,-2.4257998,-0.36410818,0.015274690879320207,0.03993684381894852,0.015306122448979591,0.061635731716335136,0.01961833,0.025180109
Gm39436,-2.4263122,-2.654859,0.015253137565568729,0.039884371972249096,0.003061224489795918,0.04873179028322118,0.00444671,0.027680421
Gm28198,-2.4272268,-0.83071524,0.015214746201092528,0.03979172964992761,0.013265306122448979,0.05949123715151963,0.015967894,0.02822581
Cfap70,-2.4286113,-1.4817797,0.015156772677025322,0.039643967860573386,0.00510204081632653,0.050950232936478594,0.0083657205,0.023191864
