Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),10/5175,0.0868104696231861,0.1428452523536124,0,0,1.9115843820587288,4.671965843597273,UBB;TMSB4X;FTH1;RPS2;PPIA;CALM2;GAPDH;TPT1;RPL6;EIF1
GO_Cellular_Component_2023,Small-Subunit Processome (GO:0032040),1/73,0.0874127663656434,0.1428452523536124,0,0,11.517939814814817,28.07053166814748,RPS23
GO_Cellular_Component_2023,Lipid Droplet (GO:0005811),1/82,0.0976674550008274,0.1539442051666005,0,0,10.233539094650206,23.805124449422923,GAPDH
GO_Cellular_Component_2023,Autophagosome (GO:0005776),1/83,0.0988000122711018,0.1539442051666005,0,0,10.108231707317072,23.397094838762637,FTH1
GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),1/89,0.1055667517960405,0.1607493720530617,0,0,9.416193181818182,21.171479933603603,TMSB4X
GO_Cellular_Component_2023,Phagocytic Vesicle (GO:0045335),1/100,0.1178459640404217,0.1754595464601834,0,0,8.365319865319865,17.88820673407011,ATP6V0C
GO_Cellular_Component_2023,Cytoplasmic Vesicle Lumen (GO:0060205),1/115,0.1343297991538407,0.1956542726805941,0,0,7.259137426900585,14.572408528789037,PPIA
GO_Cellular_Component_2023,Mitochondrial Envelope (GO:0005740),1/146,0.1674644076219803,0.2387258576738868,0,0,5.698275862068965,10.182730312343526,SLC25A4
GO_Cellular_Component_2023,Mitochondrial Outer Membrane (GO:0005741),1/151,0.1726933530375904,0.24105113861497,0,0,5.506944444444445,9.671503902552772,UBB
GO_Cellular_Component_2023,Azurophil Granule (GO:0042582),1/155,0.1768537947593154,0.2418204948749822,0,0,5.362824675324675,9.290728574129565,ATP6V0C
GO_Cellular_Component_2023,Organelle Outer Membrane (GO:0031968),1/170,0.1922772860592221,0.2576515633193577,0,0,4.883136094674557,8.051396588263774,UBB
GO_Cellular_Component_2023,Microtubule (GO:0005874),1/185,0.2074231350428311,0.2724970597621506,0,0,4.481657608695652,7.049622507038148,CALM2
GO_Cellular_Component_2023,Endocytic Vesicle (GO:0030139),1/196,0.2183564124362456,0.2813438391005473,0,0,4.226495726495727,6.431148456568131,UBB
GO_Cellular_Component_2023,Late Endosome (GO:0005770),1/205,0.2271939853434393,0.2872074909058572,0,0,4.038194444444445,5.984406559421634,TPT1
GO_Cellular_Component_2023,Spindle (GO:0005819),1/210,0.2320622163278283,0.2879290461845277,0,0,3.9405901116427433,5.756216097044229,CALM2
GO_Cellular_Component_2023,Nuclear Membrane (GO:0031965),1/227,0.2483949518642894,0.2994957884630345,0,0,3.6410398230088497,5.071004514482129,GAPDH
GO_Cellular_Component_2023,Nucleolus (GO:0005730),2/771,0.2505765198565146,0.2994957884630345,0,0,2.171764572850116,3.0057024852842336,RPS2;RPL19
