names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-HYa GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Rtn1,6.2726517,1.1856261,3.5495088936523006e-10,2.167620544828121e-07,0.890625,0.9048606888658393,2.581497,1.8517406
Calm1,5.9483037,1.785406,2.709357395092876e-09,8.36786588576386e-07,0.859375,0.8365463714725133,2.3712523,1.3394727
Gad2,4.3943205,2.6663194,1.1111982494380695e-05,0.0003362375784054158,0.46875,0.22307664794878215,0.9796473,0.23273796
Camk1d,4.159378,0.566907,3.191151420049099e-05,0.0007475696482713102,0.875,0.9537537107908008,2.6851265,2.3244767
Atp1b1,4.139492,1.0649263,3.4807540191433855e-05,0.0007973389641464857,0.765625,0.8599377660145212,2.1109493,1.4970281
App,3.7494223,0.5273764,0.00017724232364348138,0.002834822164464491,0.796875,0.8987088236346078,2.1245844,1.810413
Rplp1,3.6923401,1.7405311,0.00022219999797532252,0.0033923374690891565,0.6875,0.65327801423513,1.6483762,0.81379205
Cmss1,3.3826108,1.0087572,0.0007180027919006614,0.008793407027516303,0.78125,0.8410887370792947,1.9384521,1.3752341
Tmsb4x,3.0370777,1.4006916,0.0023888392394930216,0.023264991071104562,0.671875,0.7214134983368504,1.8172629,1.0826333
Hsp90ab1,2.933788,1.2139751,0.003348526837962329,0.03023350676614509,0.703125,0.8092206445151829,1.8140409,1.1674163
