names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-HYa GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Tcea1,-2.749462,-0.30694705,0.00596931911810694,0.04866371501927593,0.21875,0.4603526592510462,0.30167595,0.3615875
Grip1,-2.7495315,-0.9537358,0.005968051313617552,0.04866371501927593,0.453125,0.7804284845666869,1.1488069,1.6434273
Per3,-2.7497327,-2.4762135,0.005964390130132268,0.04865305488665878,0.046875,0.24739797560713903,0.028065737,0.14702207
Foxk2,-2.7502277,-0.5055557,0.005955386607101762,0.04859780473605883,0.234375,0.4901820522908545,0.28706515,0.3866594
Agrn,-2.7502973,-0.6822282,0.005954121469402025,0.04859780473605883,0.171875,0.3832397439107264,0.16971834,0.2599053
Tbc1d15,-2.750746,-0.31587115,0.005945974167692882,0.04856180118112697,0.109375,0.33184305590328694,0.17118463,0.20897093
Ptpn9,-2.7516663,-0.3503922,0.005929289596300663,0.048440258878868596,0.328125,0.5770592653528381,0.46394658,0.5611165
Ankrd45,-2.7519913,-1.6704198,0.005923411005186772,0.048406950641535454,0.109375,0.30959619442755465,0.06469318,0.19287422
Ttc27,-2.7522078,-1.1733747,0.005919494863115311,0.04838966442710934,0.109375,0.3209699917736686,0.09362676,0.19996989
Ints9,-2.7523315,-1.2882183,0.005917258115429792,0.04838610029263497,0.09375,0.3025859293966165,0.0803411,0.18590814
Mtmr6,-2.753283,-0.8954022,0.005900088537406629,0.04826038934554524,0.171875,0.3966522407811438,0.16070731,0.28088138
Ufl1,-2.7538939,-0.67945117,0.005889084616755048,0.04818504983319371,0.140625,0.35959798276047067,0.16661137,0.25491333
Rhobtb2,-2.7551856,-0.6044755,0.005865884024393721,0.048009839700109434,0.125,0.33810222110948174,0.14789274,0.21699557
C230057M02Rik,-2.7561293,-0.9124554,0.005848987202577284,0.04788613227704193,0.078125,0.2894237991344469,0.09021679,0.1635681
Habp4,-2.7566087,-1.10579,0.005840417118518728,0.04783054190021281,0.125,0.33967595407561074,0.108882,0.22119421
Lrrtm2,-2.7569106,-1.0355899,0.005835032060739551,0.04780100959514382,0.078125,0.2865624664687578,0.097556055,0.19067402
Plekha7,-2.757367,-1.5293577,0.005826893942469122,0.04774889912599735,0.09375,0.2984012303730462,0.07789443,0.21012878
Mirg,-2.7579005,-0.69437593,0.005817389464080954,0.047685556711365235,0.28125,0.5038806824278408,0.3066475,0.4578701
Acss2,-2.7590454,-0.4680907,0.0057970501728888246,0.04753333480180736,0.203125,0.431524732644229,0.24523918,0.3253025
Ptprk,-2.7592077,-0.7561272,0.005794169392445195,0.04752421598748547,0.40625,0.6785292750098358,0.81948394,1.1454439
Kcnh5,-2.7595713,-1.2755318,0.005787726608046748,0.04748586685747057,0.09375,0.30441002897099323,0.12199151,0.27314907
Mark1,-2.7595944,-0.31620264,0.0057873155858828434,0.04748586685747057,0.265625,0.5244822776208019,0.3754368,0.44934064
Gpr137c,-2.7598033,-0.5373665,0.005783617570568548,0.047481150052299685,0.28125,0.5528094710111234,0.42432734,0.5693467
Heatr1,-2.7626343,-2.6720967,0.005733698685242857,0.047100117295162204,0.046875,0.24714760899889124,0.022953281,0.13800879
Jmy,-2.763315,-0.37531888,0.005721754421376891,0.047016373486971574,0.203125,0.4469759290389499,0.26920593,0.33698288
Clmp,-2.7638872,-0.808177,0.00571172775522878,0.046948340404710104,0.109375,0.3175006259165206,0.14255676,0.23766603
Fbxl12,-2.7640884,-1.8238611,0.005708208636261484,0.046933771743067954,0.0625,0.2683930040416324,0.04617733,0.15470523
Med23,-2.7641735,-0.87369424,0.005706720367000976,0.046933771743067954,0.140625,0.3554848170535427,0.12953556,0.2258703
Bend6,-2.764978,-0.34866685,0.005692666743801376,0.04683464648069289,0.21875,0.4666475911155621,0.3119805,0.38268903
3110082I17Rik,-2.7654495,-0.7251787,0.005684438284686509,0.0467956056095363,0.078125,0.29081869880897027,0.109368786,0.17483978
Nup205,-2.7669191,-0.7489013,0.005658877359416601,0.04659945897870796,0.109375,0.32984012303730464,0.1283494,0.2071335
Mfap3,-2.7672596,-0.63882893,0.005652972792405284,0.04656510696870937,0.125,0.34765191888121894,0.15410423,0.2306563
Dock10,-2.7675226,-0.8798011,0.005648413979557062,0.04654182264050851,0.359375,0.5919024285561,0.6924275,1.0429143
Got2,-2.7702065,-0.5850103,0.0056020765639211625,0.04617417094250357,0.140625,0.3607067491684252,0.17301613,0.2494643
Dcp1a,-2.771413,-0.94989187,0.00558135673288753,0.0460175070305885,0.15625,0.37394041274723705,0.13648915,0.24881198
Cul1,-2.772264,-0.33123145,0.005566788191475575,0.04591147903773747,0.359375,0.6409027504560249,0.55224013,0.65616447
Gm10862,-2.77255,-1.5641441,0.0055618955814112254,0.04588521162803796,0.078125,0.28831503272649234,0.05637854,0.15828608
Rogdi,-2.77279,-0.47816908,0.005557799355346309,0.04586550020827866,0.078125,0.2944668979577238,0.14575484,0.19768213
Scn1a,-2.7733314,-0.6600887,0.005548559824684492,0.04580331873710363,0.375,0.6835366071747917,0.7039753,0.9611041
Fam133b,-2.77395,-0.89444304,0.005538017335555664,0.04573033982986499,0.09375,0.3091669945277013,0.114824556,0.20390584
Gm20275,-2.774507,-1.6518582,0.0055285445547027506,0.04568019439878933,0.09375,0.2982581637397618,0.06325468,0.18663879
Prkce,-2.7746077,-0.99156874,0.005526835750800874,0.04568012200062119,0.546875,0.8357237383311277,1.2951162,1.8360856
Sgpl1,-2.7754583,-0.73112845,0.005512395710402811,0.0455747916118534,0.078125,0.2952537644407883,0.115753144,0.18540472
Dhx40,-2.7759612,-1.4346154,0.005503878972732412,0.0455183835017913,0.109375,0.3198612253657141,0.08419799,0.21305437
Rpa1,-2.776085,-26.920263,0.005501784367309355,0.045515069565764274,0.0,0.20057941986480204,0.0,0.11955969
Apex2,-2.7762318,-0.5777085,0.005499297957846599,0.04550851128036283,0.28125,0.5262348438785365,0.32201827,0.44916737
Aqr,-2.7763789,-0.7542625,0.005496812562617802,0.045501957349827586,0.171875,0.39203834185772024,0.16928406,0.2708943
Car12,-2.7765102,-3.6754181,0.005494589647355694,0.04549757282725655,0.03125,0.22915697986337136,0.013359857,0.15857303
Cdk17,-2.7768662,-0.5297771,0.005488578767686413,0.045461809953062246,0.375,0.6765978754604958,0.6328425,0.82186276
Ankrd13b,-2.7771213,-1.2346976,0.005484270271767518,0.045440130188835394,0.0625,0.2689295039164491,0.067071624,0.15122215
Atp11c,-2.7786915,-0.7629503,0.005457833577310807,0.04524899358912107,0.21875,0.4300582996530634,0.23459753,0.37065023
Taok2,-2.7798052,-1.1642115,0.005439150256605521,0.04510801462808344,0.078125,0.28749239958510675,0.08229547,0.17582914
Gm12905,-2.7798517,-2.2762454,0.005438373039392568,0.04510801462808344,0.046875,0.2516184412890304,0.030763019,0.14092377
Ero1a,-2.7800992,-0.3462133,0.005434229573945734,0.04509504282023529,0.125,0.34825995207267785,0.1777679,0.22099185
Ncam1,-2.780339,-1.040877,0.005430218309762116,0.04507567685613471,0.515625,0.8553238670910976,1.1959853,1.7485474
E530011L22Rik,-2.7815301,-26.722334,0.005410330980019793,0.044924472630757675,0.0,0.20097285310633428,0.0,0.105008
Rnmt,-2.7818704,-0.8539023,0.0054046609764955835,0.04489126443228326,0.09375,0.30201366286347864,0.1088326,0.18880484
Ppm1g,-2.7828605,-0.68082815,0.0053881969128914365,0.04476835221069663,0.046875,0.2593798061447119,0.09988597,0.15563005
Cacng2,-2.7832007,-0.31118917,0.005382547858553942,0.044749090643361515,0.171875,0.41052970420973567,0.26176223,0.3157212
Rab27b,-2.783959,-0.6334066,0.005369985089079676,0.044658464668390865,0.234375,0.45427232733645695,0.2769009,0.40205604
Mad1l1,-2.7840362,-1.2522421,0.00536870466367299,0.044658464668390865,0.078125,0.28720626631853785,0.083443075,0.18838549
Hadha,-2.78457,-1.1548731,0.005359877239633216,0.04460201344965764,0.078125,0.28534640008584,0.083181776,0.17658693
Napepld,-2.7849953,-26.902266,0.005352850276962642,0.044557337962201425,0.0,0.20122321971458207,0.0,0.118161984
Paip2,-2.785096,-0.27971742,0.00535119057456838,0.04455732591839243,0.34375,0.6297435530598376,0.54599303,0.63218796
Ilrun,-2.7852352,-0.7171711,0.0053488932922870075,0.04455200333656289,0.171875,0.39858364033048393,0.1778625,0.27764252
Oxct1,-2.7856836,-0.41697356,0.005341496995403552,0.04450419357100572,0.390625,0.7116492006151866,0.7139521,0.87181824
Slc1a2,-2.7857687,-0.559278,0.00534009529183478,0.04450419357100572,0.4375,0.7303551629171287,0.9522819,1.2075542
Rlim,-2.7860703,-1.5175189,0.005335128291818312,0.04447871461407324,0.140625,0.34858185199756786,0.08731054,0.23206834
Ybx1,-2.7867045,-0.3697753,0.005324698462069038,0.04440553931588921,0.234375,0.4779856218033549,0.30237865,0.3758466
Lrrcc1,-2.7870991,-0.72151315,0.005318220908355984,0.04437906702097059,0.1875,0.4088486712686434,0.18458721,0.2883842
Marchf6,-2.7873235,-0.44899467,0.005314540768304843,0.0443621343412088,0.34375,0.6504882148860832,0.532695,0.67312884
Snta1,-2.7875013,-0.9986772,0.0053116236721518625,0.04435156248313255,0.15625,0.37179441324797025,0.14118633,0.26467022
Zfp932,-2.7875633,-1.403782,0.005310609369041244,0.04435156248313255,0.109375,0.3144962266175471,0.076277986,0.19039232
Lrig2,-2.787571,-0.25248444,0.00531048259345344,0.04435156248313255,0.3125,0.5556708036768124,0.43429458,0.49949756
Itpk1,-2.7879112,-1.8509867,0.005304907172918005,0.04433681360382793,0.078125,0.2840588003862799,0.053583987,0.18113331
Prkaa1,-2.7882051,-2.271929,0.005300096292264109,0.04431038810614083,0.0625,0.26581780464251226,0.034649253,0.15724105
Son,-2.788383,-0.43843693,0.005297186358148475,0.04429984358650779,0.46875,0.7841482170320827,0.8903351,1.0804173
Slitrk3,-2.7890406,-0.38094535,0.005286444770479087,0.04422377676923197,0.109375,0.33237955577810363,0.16975436,0.21585657
Ifrd1,-2.7893035,-1.0017391,0.005282153647112309,0.044201640765464886,0.125,0.34003362065882187,0.1175891,0.22303559
Flvcr1,-2.7905488,-1.406801,0.005261876609029459,0.04404567740953943,0.078125,0.2933938982080904,0.06777918,0.17054076
Pak3,-2.7906108,-0.7961456,0.0052608708905495785,0.04404567740953943,0.421875,0.7427661933545548,0.81640553,1.160656
Efcab14,-2.7911909,-0.6621363,0.0052514507213054056,0.04398581074858986,0.171875,0.397653707214135,0.19433653,0.29224977
Lonrf1,-2.7916934,-1.4244324,0.0052432989033699,0.0439312259225286,0.09375,0.30834436138631566,0.07480167,0.18935913
Micu1,-2.7924051,-0.3498713,0.005231780486047476,0.04384839103558817,0.265625,0.5200114453306628,0.3647426,0.44528764
Ppp1r12c,-2.7928846,-1.1684706,0.005224030973517943,0.043797102108713605,0.109375,0.31639185950856613,0.09216697,0.19640043
Rrbp1,-2.7950504,-0.9609613,0.005189162192813264,0.043518348352338455,0.078125,0.29164133195035585,0.13900414,0.25487137
Amy1,-2.795677,-0.6894109,0.005179114444666089,0.043447644435896916,0.265625,0.5163990128402304,0.30566233,0.45524043
Mtpn,-2.7960947,-0.5639933,0.00517242571616723,0.04340508400793675,0.1875,0.4138917700919203,0.22170305,0.31256706
Gm11613,-2.7961488,-1.1606236,0.005171559230536166,0.04340508400793675,0.0625,0.2719696698737437,0.07236714,0.15510236
Myo16,-2.7964349,-0.66408706,0.005166981413660078,0.04338649705782696,0.234375,0.4850316534926142,0.35923454,0.5217062
Gm27032,-2.7967365,-2.5376244,0.00516216011160189,0.04335956305056042,0.046875,0.24968704173969025,0.024762303,0.1359046
Nek7,-2.7972162,-1.4381609,0.005154503845781514,0.04330879247534374,0.078125,0.28777853285167565,0.10616301,0.26505372
Slc7a6os,-2.797371,-26.80086,0.005152036272559641,0.0433015998259861,0.0,0.20211738617260988,0.0,0.11056849
Clpp,-2.7977266,-1.717386,0.005146364904957133,0.04326746714524348,0.09375,0.2987588969562574,0.061523225,0.18951732
Lcorl,-2.7980127,-0.5312561,0.005141807247607724,0.04324267941884806,0.359375,0.664687578239565,0.6553108,0.84923965
Rab11fip2,-2.7984228,-0.41249892,0.005135285066252997,0.04320134932066939,0.28125,0.54980507171215,0.3868995,0.48782703
Nck1,-2.80072,-1.6731954,0.005098874389590755,0.042921915679293106,0.109375,0.31810865910797953,0.073090196,0.21658626
Ube2n,-2.8017178,-0.59307677,0.005083132465888557,0.04280281082996726,0.21875,0.44243356343216855,0.23575374,0.33721623
Ndst1,-2.8018956,-0.8868461,0.005080330385460756,0.042792626162172574,0.09375,0.3078436281698201,0.10995735,0.19468227
Gnai1,-2.802174,-0.3717099,0.005075947323489004,0.04276911401133569,0.28125,0.5564219035015558,0.43718317,0.5361951
Lmtk3,-2.8027852,-0.5823232,0.0050663409165565484,0.04270156224211871,0.171875,0.411888837225938,0.19953632,0.2856671
Mapk10,-2.8046029,-1.0780249,0.005037861977559862,0.04247485137654016,0.5,0.8115454773060553,1.2048943,1.7804435
Rac1,-2.8052835,-0.82549024,0.005027234825047269,0.042398556104526086,0.109375,0.32633499052183557,0.14282924,0.24065432
Tafa5,-2.8053453,-0.36497682,0.005026269726027222,0.042398556104526086,0.3125,0.5936549948138345,0.51212895,0.62131464
St18,-2.8059795,-0.8587975,0.005016387114881949,0.04233364377414509,0.171875,0.40190993955434745,0.39970693,0.63718295
Fmr1,-2.8069465,-0.6461821,0.005001355960149818,0.042220054869376564,0.21875,0.4547372938946314,0.23124836,0.34158352
Inpp5b,-2.8072867,-1.0882173,0.004996074692161728,0.04218872626599171,0.15625,0.38137987767802856,0.12594295,0.2510399
Fbxo28,-2.8076348,-1.0452319,0.004990678611857941,0.04215640814228949,0.15625,0.376157945563146,0.12950352,0.25101796
Dram2,-2.8078978,-1.2877457,0.004986605069195753,0.04213524471990248,0.109375,0.320791158482063,0.0942166,0.21608749
