names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SI-MA-LPO-LHA Skor1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ptprt,-3.001336,-2.099577,0.002687977485207748,0.0499487932417235,0.16666666666666666,0.6207501880844051,0.40443864,1.1430497
2610037D02Rik,-3.003266,-1.5971986,0.0026709887768047173,0.04966745220259015,0.05555555555555555,0.49152724536954107,0.14833675,0.39460292
Pcca,-3.004348,-1.5034194,0.0026615077861099246,0.04952542535510642,0.16666666666666666,0.6800415576971304,0.36039865,0.802079
Ptpn11,-3.0043917,-28.352993,0.0026611240711832164,0.04952542535510642,0.0,0.40898506072439367,0.0,0.2947931
Mau2,-3.0067604,-28.304237,0.0026404783951274875,0.04920225691891511,0.0,0.4093074911331638,0.0,0.28627193
Slc1a2,-3.0074768,-1.7786936,0.0026342626171178187,0.04912049723938639,0.2222222222222222,0.7310572134847562,0.5210146,1.2077641
Reps2,-3.0096698,-1.3931763,0.002615317776626614,0.048801103234692444,0.16666666666666666,0.6872066778920216,0.440915,0.89831275
Xkr6,-3.0104449,-1.3609806,0.002608653769425787,0.04871058150414933,0.1111111111111111,0.5858202271343101,0.31834492,0.6743918
Igf1r,-3.0114098,-1.217334,0.0026003768984875168,0.04858979642723197,0.16666666666666666,0.6877440619066385,0.46628788,0.8676493
Kdm3a,-3.012024,-28.425106,0.0025951223074481325,0.048525355881093475,0.0,0.41002400315265286,0.0,0.30779484
Dpm1,-3.0120678,-1.1111711,0.0025947473512586278,0.048525355881093475,0.05555555555555555,0.49296026940851934,0.1969931,0.38550362
Nup214,-3.01255,-28.272549,0.0025906261011713286,0.048508796751549545,0.0,0.4100956543546018,0.0,0.28084874
Prrt1,-3.0128133,-28.382599,0.0025883806700682764,0.04850054993356666,0.0,0.41013147995557625,0.0,0.30007118
N4bp2l2,-3.014363,-0.9697137,0.002575193633306737,0.04828712695530497,0.16666666666666666,0.6869917242861749,0.47110838,0.7786525
Gm12940,-3.015182,-28.257074,0.0025682517253546094,0.04819058928790388,0.0,0.41045391036434636,0.0,0.27823377
Rspry1,-3.015226,-1.5155474,0.0025678803208018888,0.04819058928790388,0.05555555555555555,0.4933185254182639,0.15850048,0.39948252
