names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 ET CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ptprj,-2.836655,-0.2851595,0.0045588868748861625,0.047925387452343975,0.7686274509803922,0.712819771643301,0.87629473,0.99635106
Prox1,-2.8389096,-1.506166,0.004526797007458758,0.04766027366200467,0.25098039215686274,0.30951004480416244,0.14122242,0.35827237
Fam13c,-2.849002,-0.42237157,0.0043856628211730656,0.046683360693566205,0.6509803921568628,0.6340872958520017,0.5950274,0.73698705
Fam135a,-2.85002,-0.3905084,0.004371647747232761,0.04659507138760186,0.6823529411764706,0.6321361468420292,0.5493811,0.6728332
Add3,-2.8567066,-0.5645604,0.004280614350647663,0.04593454776433814,0.6196078431372549,0.5935106229223877,0.44722113,0.60653245
Tns3,-2.8630185,-1.7519492,0.004196260520027425,0.045476885799690524,0.20392156862745098,0.27615984968926144,0.088427424,0.27109632
Agap1,-2.8728063,-0.32191387,0.004068433686230696,0.04445661372469248,0.7568627450980392,0.7076167076167076,0.79290885,0.9211806
Tnr,-2.878143,-0.28528377,0.004000236368982559,0.043925766748901245,0.7803921568627451,0.7377511201040613,1.213834,1.356801
Nrp2,-2.8826373,-0.69459534,0.003943613875841289,0.04348170079764277,0.40784313725490196,0.4433805463217228,0.27215803,0.4096135
Cplx2,-2.8990335,-0.58521426,0.0037431486629231035,0.04193974571906399,0.5843137254901961,0.5493207110854169,0.43615094,0.5989785
Tmsb4x,-2.9080296,-0.25917843,0.0036371404935689818,0.04113214017769299,0.7215686274509804,0.7215999421881775,0.96802336,1.0831792
Pard3b,-2.9227483,-1.6847881,0.003469567985132561,0.03977273539270986,0.27450980392156865,0.32815435756612227,0.121506765,0.34738365
Zhx2,-2.9232516,-1.4201041,0.0034639649017560495,0.03974241541852479,0.27058823529411763,0.3261670761670762,0.09696638,0.24097122
Map4k4,-2.95164,-0.53311443,0.003160912643673044,0.036992039518943684,0.6862745098039216,0.635062870356988,0.51375735,0.67893946
Ttc28,-2.956415,-1.1016746,0.003112380964257774,0.036583410546634464,0.4745098039215686,0.46618008382714266,0.25159544,0.47867152
Dock11,-2.9936626,-1.505491,0.002756505146651145,0.03359060920204819,0.2627450980392157,0.3237462060991473,0.11209861,0.29027614
Igsf11,-3.0063295,-0.941186,0.0026442223256159113,0.032591859582247494,0.39215686274509803,0.4296141060846943,0.21924205,0.38572547
Pard3,-3.0243528,-0.59403765,0.0024916578282440775,0.031139928299962028,0.6509803921568628,0.6103121838415956,0.5217282,0.7099531
Zfhx4,-3.054719,-1.4239284,0.0022527155033000698,0.028961945250561186,0.24313725490196078,0.31442404971816734,0.1150206,0.282971
Eps15,-3.0702922,-0.7206314,0.002138494945665005,0.02786680853056192,0.5254901960784314,0.518210724093077,0.32550505,0.49102783
