names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SCig Foxb1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Slc25a27,-3.4307358,-28.95314,0.0006019467296427301,0.04961444363650355,0.0,0.5115704255624015,0.0,0.418521
Nin,-3.4312963,-3.0346553,0.0006007041726905888,0.04961444363650355,0.06666666666666667,0.6123011892821321,0.11688257,0.7011225
Xpo7,-3.432097,-2.377985,0.0005989332320521558,0.04961444363650355,0.06666666666666667,0.6180326694368821,0.14942952,0.6085615
Sacs,-3.4350598,-29.024115,0.000592422917627371,0.04928298389054941,0.0,0.5122152170798109,0.0,0.43561876
Traf3,-3.437222,-29.153084,0.0005877137876652878,0.04904307290237976,0.0,0.5125376128385155,0.0,0.46810758
Trank1,-3.4389195,-2.5853646,0.0005840406965714565,0.048888391018302294,0.06666666666666667,0.6200386874910445,0.16414112,0.72783035
Tango2,-3.442507,-29.03118,0.0005763488851448803,0.048395295449509164,0.0,0.5133256913597937,0.0,0.43735132
Frrs1l,-3.4428914,-2.4570544,0.0005755303807935739,0.048395295449509164,0.06666666666666667,0.6181043129388164,0.1562809,0.6569066
Ppp1cb,-3.4471836,-2.584397,0.0005664636455551725,0.04786439671719334,0.06666666666666667,0.6177460954291446,0.13304602,0.61706597
Slit1,-3.447552,-29.374392,0.0005656917602217814,0.04786439671719334,0.0,0.5140779481301045,0.0,0.5282387
Pi4ka,-3.4481604,-2.3167408,0.0005644186171203378,0.04786439671719334,0.13333333333333333,0.722273964751397,0.2877923,0.97885746
Dlgap3,-3.4485128,-29.053926,0.0005636827544521438,0.04786439671719334,0.0,0.5142212351339733,0.0,0.4429655
Mtf2,-3.4488811,-2.3971965,0.0005629143988748946,0.04786439671719334,0.06666666666666667,0.6211133400200601,0.1562809,0.63714236
3110039M20Rik,-3.4492335,-29.076893,0.0005621803628851517,0.04786439671719334,0.0,0.514328700386875,0.0,0.44869134
Stxbp1,-3.4583142,-2.2267811,0.0005435670249968943,0.046812967825854326,0.06666666666666667,0.6224029230548789,0.17783755,0.64765066
Chd8,-3.4626544,-2.1838474,0.0005348749636662417,0.04621250891868783,0.06666666666666667,0.6235850408367961,0.17456387,0.62411374
Herc2,-3.4627504,-2.136188,0.0005346839931274575,0.04621250891868783,0.13333333333333333,0.7411520275111048,0.31589872,0.96815085
Gm30439,-3.463407,-29.587193,0.0005333807271792763,0.04621250891868783,0.0,0.5164421836939389,0.0,0.5914205
Zc3h13,-3.4636314,-2.789861,0.0005329363878914357,0.04621250891868783,0.06666666666666667,0.6188923914600946,0.11688257,0.6192074
Elapor1,-3.4650886,-29.106834,0.0005300565794636701,0.04621250891868783,0.0,0.5166929359507093,0.0,0.45624536
Arhgap35,-3.4679716,-2.3570273,0.0005244029164844965,0.046048060019406596,0.06666666666666667,0.6234417538329273,0.1562809,0.62411934
Grb14,-3.4696531,-29.399128,0.0005211309514197004,0.04591078250704049,0.0,0.5173735492190858,0.0,0.53531
Tia1,-3.4698453,-2.3773146,0.0005207582264995442,0.04591078250704049,0.13333333333333333,0.7271099011319674,0.26957256,0.95841765
Trrap,-3.471575,-28.986275,0.0005174148651181714,0.04588428193308669,0.0,0.5176601232268233,0.0,0.42643422
Zfp654,-3.4727762,-28.998295,0.0005151048691077038,0.04583068818849007,0.0,0.5178392319816593,0.0,0.4293367
Lingo1,-3.4739773,-29.167753,0.000512804488802267,0.04577759672464091,0.0,0.5180183407364952,0.0,0.47192165
Epb41l3,-3.4756749,-2.4054139,0.0005095696122449319,0.0456404516034044,0.06666666666666667,0.6262000286574008,0.18661577,0.73569494
Bin1,-3.476972,-2.3380766,0.0005071105112911653,0.04557210514512914,0.06666666666666667,0.623943258346468,0.16977893,0.660434
Specc1l,-3.481905,-28.987677,0.0004978605131056609,0.04489097982264801,0.0,0.5192004585184123,0.0,0.4267732
Fnbp4,-3.482145,-28.987513,0.0004974140686649069,0.04489097982264801,0.0,0.5192362802693795,0.0,0.42673224
Gabrb1,-3.4833143,-2.4559982,0.0004952466962245172,0.04489097982264801,0.3333333333333333,0.8456082533314229,0.8210722,2.0775044
Zzef1,-3.4854283,-2.7988498,0.000491349953587522,0.04475448560303971,0.06666666666666667,0.6234417538329273,0.11688257,0.6220883
Nfyc,-3.4883912,-29.049845,0.00048593670815485384,0.04441197057183987,0.0,0.5201676457945265,0.0,0.4419535
Fam171a1,-3.490313,-29.054989,0.00048245520848348223,0.04424427116706883,0.0,0.5204542198022639,0.0,0.44322821
Ewsr1,-3.4915142,-2.0818045,0.000480291099716204,0.04419665016909041,0.06666666666666667,0.6289583034818742,0.18661577,0.6251555
Pdss2,-3.492571,-2.9495606,0.00047839417704818854,0.04417337298036023,0.06666666666666667,0.6221879925490758,0.10995475,0.64073604
Map2k1,-3.4931958,-29.099686,0.00047727655528728106,0.04417337298036023,0.0,0.5208840808138702,0.0,0.45443082
Micu1,-3.494397,-29.066555,0.000475134124707486,0.04417337298036023,0.0,0.5210631895687061,0.0,0.44610673
