names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-IMN Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Kif26b,53.86944,2.1925292,0.0,0.0,0.7563111798042246,0.3500269251480883,0.90009165,0.27714935
Tanc1,53.62798,1.8258481,0.0,0.0,0.8431221020092736,0.4962511909200116,1.3094162,0.56686467
Clstn2,53.382122,1.5746255,0.0,0.0,0.9237506439979392,0.7227952446046145,2.399597,1.4732916
Htr4,53.302536,2.1212301,0.0,0.0,0.7715095311695003,0.36522927799179816,1.0116924,0.3381101
Grin2a,53.066357,1.3819261,0.0,0.0,0.9453889747552808,0.8166604531709539,2.9942663,2.11374
Frmd4b,52.881016,1.8159242,0.0,0.0,0.8642452344152499,0.519738204713972,1.4000654,0.62477094
Adcy1,52.613724,1.700621,0.0,0.0,0.8433797011849562,0.5706888695580133,1.3489292,0.6301152
Cdh8,51.79658,1.5920187,0.0,0.0,0.907521895929933,0.6545710616793008,1.9836661,1.1247979
Cacna1e,51.787643,1.3334508,0.0,0.0,0.9299330242143226,0.7479391905886251,2.403971,1.6083932
Bcl11b,51.7527,1.7406675,0.0,0.0,0.8379701184956209,0.5017604904519283,1.2280896,0.5438079
Maml3,51.66638,1.8045579,0.0,0.0,0.8423493044822257,0.44836585062756307,1.2790726,0.55525243
Lrp1b,51.524807,1.1287133,0.0,0.0,0.9726944873776404,0.93322563274098,3.7298617,2.975581
Nrg2,51.50648,1.77178,0.0,0.0,0.7957238536836682,0.47574665506814134,1.0459791,0.4322051
Mmp16,51.42361,1.2868056,0.0,0.0,0.9193714580113344,0.7659583281554202,2.2348986,1.486245
Ntrk3,51.35862,1.3141586,0.0,0.0,0.9240082431736218,0.7533656435110393,2.3067179,1.5338681
Kcnd2,51.077026,1.1372334,0.0,0.0,0.9649665121071612,0.9039393562818442,3.510865,2.7577987
Prdm5,50.72908,2.4926643,0.0,0.0,0.663575476558475,0.21121743092663933,0.6805528,0.1597606
Cntnap5a,50.728252,1.797692,0.0,0.0,0.9270994332818135,0.6687792552089806,2.322619,1.29388
Slc35f3,50.588146,1.6311231,0.0,0.0,0.8490468830499742,0.5477403587258192,1.3337966,0.64315164
Adamts17,50.236507,1.810979,0.0,0.0,0.7921174652241113,0.46013006917691895,1.1221709,0.46396962
Cttnbp2,50.19887,1.1681144,0.0,0.0,0.9286450283359093,0.7964458804523424,2.3954995,1.6934582
Iqgap2,50.0068,1.7493857,0.0,0.0,0.8487892838742916,0.502547533242202,1.439955,0.6718564
Kalrn,49.9894,1.1572648,0.0,0.0,0.9487377640391551,0.8291702912058324,2.9118779,2.1744676
Pde7b,49.851837,1.9687233,0.0,0.0,0.7697063369397218,0.36518785468704695,1.0531237,0.38992885
Ptk2b,49.54637,1.5391647,0.0,0.0,0.854198866563627,0.5618242823412452,1.3137119,0.6605697
Slc7a14,49.330936,1.5893289,0.0,0.0,0.8245749613601236,0.5436808748601963,1.1738117,0.55533177
Vps13c,49.23342,1.3576392,0.0,0.0,0.8531684698608965,0.6421026469491736,1.311241,0.7216388
Rasal2,49.00601,1.1646359,0.0,0.0,0.9129314786192684,0.7819063004846527,2.0646884,1.4037089
Cadm2,48.99763,0.8611773,0.0,0.0,0.9804224626481195,0.9600679342197921,3.9669392,3.3853655
F730043M19Rik,48.972183,2.3612998,0.0,0.0,0.6571354971664091,0.26312083177995943,0.6591915,0.16688715
Nsf,48.82504,1.1056017,0.0,0.0,0.9180834621329211,0.7683194565262417,1.8702728,1.2673048
Mycbp2,48.761143,0.81602025,0.0,0.0,0.9417825862957239,0.8692266269002941,2.3307931,1.8365093
Cblb,48.500244,1.6019895,0.0,0.0,0.8021638330757341,0.5329936622343731,1.0874223,0.49946913
Map1b,48.3062,0.98958486,0.0,0.0,0.9549201442555384,0.8408516631456857,2.169618,1.5903741
Olfm1,48.30019,1.2766377,0.0,0.0,0.9116434827408553,0.7206412327575494,1.5939502,0.96291274
Gpc4,48.02756,2.3042,0.0,0.0,0.660741885625966,0.2653162669317758,0.708745,0.1896601
Nfib,47.84354,1.2052953,0.0,0.0,0.9425553838227718,0.7964458804523424,2.3206582,1.6058781
