names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-IMN Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ldhb,-2.4944491,-0.26479894,0.012615281378144366,0.04970272883148667,0.27022153529108706,0.2995733399610621,0.20512323,0.24180561
A230087F16Rik,-2.4954035,-1.570853,0.012581395822986756,0.049576492999509336,0.012107161257083977,0.03703243444762023,0.0052017607,0.015374882
Ccdc141,-2.5009067,-0.9564355,0.01238758052564887,0.04884142167632944,0.07676455435342606,0.10070005385029618,0.04770017,0.09057708
Dysf,-2.5028563,-0.7088863,0.012319559738034487,0.04859462274823645,0.03606388459556929,0.061223644422352015,0.01759361,0.028599057
Btla,-2.505247,-0.49795195,0.012236589188787684,0.0482957038047481,0.03889747552807831,0.0644132388881985,0.020357752,0.028630206
A630031M04Rik,-2.508214,-1.2891593,0.012134315745188057,0.047913161509655126,0.01416795466254508,0.039269292904187895,0.0067991195,0.01653523
Cgrrf1,-2.5134788,-0.3765806,0.011954695549900956,0.04723862785674098,0.10175167439464193,0.1278737417671182,0.055775322,0.07182602
Mycbp,-2.5142367,-0.37368566,0.011929037788940264,0.04714417493584717,0.0633693972179289,0.08926722173895034,0.03482337,0.044891194
Sparc,-2.516294,-0.79651904,0.01185962069413552,0.046918140172470764,0.12725399278722307,0.1490410504950085,0.1096778,0.18343703
Col27a1,-2.516589,-1.5167698,0.011849697322773073,0.04689269028908873,0.03889747552807831,0.06337765626941717,0.021470867,0.06025105
Klhl14,-2.5166318,-0.44828835,0.011848259764073272,0.04689269028908873,0.07496136012364761,0.10078290045979868,0.05621806,0.07594397
ENSMUSG00000121485,-2.5177443,-0.25175956,0.011810901645249618,0.04676671488474171,0.09608449252962391,0.1226544053684603,0.050446764,0.059782613
Gm49417,-2.518669,-0.4423956,0.011779939101498181,0.04665098948522567,0.06388459556929418,0.08959860817696036,0.034943696,0.047191706
Pde6h,-2.5207465,-0.27013475,0.011710616483475596,0.04641065854144385,0.05667181865018032,0.08284660950250611,0.029654123,0.03565279
Kank3,-2.524002,-0.35231274,0.011602724396420822,0.04601700435894133,0.07650695517774343,0.10256410256410256,0.03936676,0.049987644
Uchl1os,-2.5244403,-0.5640537,0.011588269377883402,0.045966459725970917,0.03580628541988665,0.061223644422352015,0.01773414,0.026108492
1700088E04Rik,-2.5255966,-0.28918913,0.011550198931287576,0.04582221250312966,0.08835651725914477,0.11445259102771219,0.044474572,0.054083236
4122401K19Rik,-2.527124,-0.68710655,0.011500089305343948,0.04563015351957943,0.03426069036579083,0.0596495588418044,0.016153298,0.025881002
Nptx2,-2.5275183,-0.46797535,0.011487181254421486,0.04558566833647989,0.05873261205564142,0.08466923491156124,0.035114195,0.04824863
Aplf,-2.5337632,-0.42227417,0.011284493296058759,0.04484755729405396,0.07418856259659969,0.10036866741228616,0.03706634,0.049363676
Slc14a2,-2.5341866,-0.3742418,0.011270872052876153,0.04480004912141749,0.05074703760947965,0.07675738370407191,0.029096449,0.037553545
Gm48956,-2.534955,-1.608709,0.011246177868330426,0.04471191729774368,0.012364760432766615,0.03769520732364028,0.005281149,0.01601998
Ankrd55,-2.5355952,-0.32674935,0.011225641804490292,0.04464007625967946,0.10741885625965997,0.13338304129903483,0.06625568,0.08241971
Xylt2,-2.536944,-0.2991489,0.011182484465646788,0.044501385899278614,0.08526532715095311,0.1118843461331345,0.04509415,0.05520261
Tnip1,-2.547805,-0.36010304,0.01084030541801903,0.04320364974520489,0.10278207109737249,0.12977921378567583,0.054777715,0.06977749
