names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Immune (for_DEGs),mean_expr_Rest (for_DEGs)
Elmo1,46.73467,4.472011,0.0,0.0,0.9251968503937008,0.5584107823897508,3.1659162,0.7047469
Plxdc2,45.220104,4.1741147,0.0,0.0,0.9133858267716536,0.6789721183396897,3.5398946,1.0486091
Tgfbr1,44.572,5.5433884,0.0,0.0,0.8690944881889764,0.2801495908468175,2.714162,0.26402897
Zfhx3,44.538345,5.627754,0.0,0.0,0.8661417322834646,0.23371718443366535,2.6002436,0.22485277
Srgap2,44.386192,3.567894,0.0,0.0,0.905511811023622,0.7134816899322398,3.0028272,0.960955
Epb41l2,43.32164,5.083814,0.0,0.0,0.860236220472441,0.31732513792720407,2.5888908,0.30977878
Mbnl1,42.728306,3.425883,0.0,0.0,0.8887795275590551,0.6986707149998148,2.6827335,0.81880033
Mef2a,42.706158,3.1756346,0.0,0.0,0.8927165354330708,0.7429555300477654,2.757455,0.9683082
Mertk,42.563686,5.463655,0.0,0.0,0.8356299212598425,0.17180730921612916,2.419819,0.20874728
Apbb1ip,42.494995,6.0658345,0.0,0.0,0.8159448818897638,0.12615247898692933,2.2024047,0.113437384
Tanc2,42.214516,2.2455254,0.0,0.0,0.9202755905511811,0.8490021105639278,3.257839,1.8358649
Hexb,41.771717,3.4503481,0.0,0.0,0.8937007874015748,0.6704928351908764,2.6849492,0.8106768
Pde3b,41.315403,4.151702,0.0,0.0,0.8543307086614174,0.5476357981264117,2.5858016,0.52505755
Inpp5d,41.043095,6.5144544,0.0,0.0,0.780511811023622,0.07923871588847337,2.0436563,0.07091756
Lyn,39.799572,5.4573207,0.0,0.0,0.7834645669291339,0.18547043359129115,2.0319066,0.14051892
Ldlrad4,39.790184,2.6167817,0.0,0.0,0.8730314960629921,0.7377346613840856,2.6114054,1.117485
Tmcc3,39.662018,3.9963884,0.0,0.0,0.8336614173228346,0.47276631984300366,2.3719354,0.47555244
Csf1r,39.22716,5.9323535,0.0,0.0,0.7588582677165354,0.1032695227163328,1.9244872,0.09150409
Maml3,38.609154,3.5990517,0.0,0.0,0.8267716535433071,0.49076165438589997,2.375848,0.59080404
P2ry12,38.49981,5.283845,0.0,0.0,0.7706692913385826,0.22083163624245566,2.0684533,0.16334012
Siglech,38.37063,6.203136,0.0,0.0,0.7362204724409449,0.08301551449624171,1.9050335,0.074765496
Dock8,38.33684,6.381808,0.0,0.0,0.7322834645669292,0.07394379235013145,1.8502468,0.0623105
Dock2,37.804073,6.2069097,0.0,0.0,0.7244094488188977,0.07557299959269818,1.7561296,0.06282804
Cx3cr1,37.646004,5.619524,3.80304743820447e-310,2.9196538475586894e-307,0.7421259842519685,0.15499685266782687,1.936249,0.11392866
Mef2c,37.18271,2.232607,1.298779151728109e-302,9.431944812684944e-300,0.9143700787401575,0.7746880438404858,2.8069942,1.4611157
Fli1,36.874386,6.083082,1.189600828033582e-297,8.196044679298038e-295,0.7086614173228346,0.07372162772614507,1.7011517,0.06399444
Numb,36.046875,2.9906075,1.5436881227821064e-284,9.875928537894095e-282,0.812007874015748,0.6480542081682527,2.2294705,0.7147308
Nav2,35.99815,1.96469,8.941399706318548e-284,5.587335118808823e-281,0.8759842519685039,0.8165660754619173,2.8139493,1.6126307
Fyb,35.40741,6.3134856,1.3131470892793433e-274,7.55790302317623e-272,0.6771653543307087,0.06198393009219832,1.5923265,0.048053596
Ikzf1,35.021587,6.314073,1.0559355857527012e-268,5.563331213563741e-266,0.6702755905511811,0.058910652793720146,1.6382216,0.050795782
Pip4k2a,34.87494,3.2585623,1.7835881995023267e-266,9.042455645401417e-264,0.7844488188976378,0.5422297922760766,2.0059924,0.5141606
Qki,34.842632,2.3873706,5.505303289879486e-266,2.7393981370196625e-263,0.922244094488189,0.8248602214240752,3.0078728,1.5429087
Foxn3,34.82917,2.5082095,8.801778874301468e-266,4.30006906095419e-263,0.827755905511811,0.6937090383974525,2.2252584,0.89656574
Dleu2,34.202747,2.7354276,2.200860869679958e-256,9.538247027145238e-254,0.8021653543307087,0.6489058392268671,2.1437056,0.7565236
Gab2,34.184082,2.9045227,4.169108847522075e-256,1.7781580116336218e-253,0.7874015748031497,0.5907357351797682,2.1025155,0.6728439
Gm2629,33.87106,6.0776234,1.7775765281130536e-251,7.02404136917614e-249,0.6525590551181102,0.06513126226533862,1.5564476,0.05392478
Ssh2,33.67777,1.7250421,1.2232294042957335e-248,4.695453441918052e-246,0.843503937007874,0.8114933165475617,2.3315732,1.33799
Cfh,33.631683,5.5506563,5.776799951331026e-248,2.1862340097502066e-245,0.65748031496063,0.07994223719776354,1.5428418,0.07553969
Ophn1,33.478615,3.0377197,9.870170584678153e-246,3.5839389677067834e-243,0.7726377952755905,0.5971414818380419,2.0188901,0.58510727
Fchsd2,33.41295,2.7870543,8.891750888868644e-245,3.143701926103953e-242,0.7942913385826772,0.6379457177768727,2.1282442,0.7285818
Rreb1,33.005257,3.7960265,6.827608144551516e-239,2.2103353113746897e-236,0.7224409448818898,0.3603880475432295,1.7905406,0.30706757
Hpgds,32.88241,5.5480733,3.921958008604331e-237,1.2398001375435103e-234,0.6515748031496063,0.11330395823305069,1.5566789,0.07696071
Runx1,32.43714,6.084657,8.223558081435879e-231,2.35071282604449e-228,0.625,0.05879957048172696,1.4679871,0.048047427
Dock4,32.179787,1.4575773,3.3849502117150463e-227,9.187233554422555e-225,0.905511811023622,0.8571111193394305,2.8876493,1.9701765
Cst3,32.087048,3.2706845,6.683695094711752e-226,1.7606949724990663e-223,0.8031496062992126,0.5779982967378827,2.4570048,0.7445832
Slc8a1,32.03936,1.4523448,3.088157413981102e-225,7.978729780160789e-223,0.9271653543307087,0.8739586033250639,3.1550217,2.2197585
Pag1,31.818972,3.7633574,3.538119738241045e-222,8.195627359184213e-220,0.7125984251968503,0.39626763431702894,1.7765069,0.30859786
Chd9,31.766096,1.7423437,1.903454929884899e-221,4.297969240840945e-219,0.8051181102362205,0.7906838967675047,2.1310759,1.1690372
Slc9a9,31.667,2.3363898,4.424860594729144e-220,9.745574113145254e-218,0.781496062992126,0.6817862035768505,2.1139894,0.8927053
Ankrd44,31.46085,3.671852,2.9828688647355746e-217,6.261694249644132e-215,0.6998031496062992,0.3387269967045581,1.6677498,0.2907326
Ly86,31.183147,5.9512725,1.803272558790301e-213,3.615965198111596e-211,0.6033464566929134,0.05861443329507165,1.409929,0.048820093
Gm10790,30.979042,6.128974,1.032734296695056e-210,1.9963719821723852e-208,0.5964566929133859,0.05291220794608805,1.3913908,0.042252954
Ctss,30.665506,5.0769396,1.641944549851593e-206,2.9412700036341538e-204,0.6190944881889764,0.11193394305180139,1.4451303,0.0917247
Zfp710,30.659798,4.2416763,1.9563867450024457e-206,3.4584284104089285e-204,0.6673228346456693,0.28066797496945234,1.5982653,0.18938303
Inpp4b,30.641174,2.401904,3.464417469265062e-206,6.084241660075308e-204,0.7903543307086615,0.5831080830895694,2.0989697,0.85626554
Itgb5,30.551125,5.3247023,5.46332104374366e-205,9.350282576139627e-203,0.6043307086614174,0.08682934054134113,1.39603,0.07309462
Picalm,30.325724,2.4701004,5.251752213272012e-202,8.449974968300538e-200,0.7618110236220472,0.6851927278113081,1.9831597,0.75650513
Ctsd,30.234766,4.075548,8.27467715129042e-201,1.323455803899843e-198,0.6712598425196851,0.282815566334654,1.6921183,0.23333715
Slco2b1,29.930079,5.843587,7.99423114444676e-197,1.1867679052557152e-194,0.5807086614173228,0.058244158921761026,1.3044742,0.045709576
Plcl2,29.768906,2.2220788,9.873404961890233e-195,1.4111616559893115e-192,0.7480314960629921,0.64586958936572,1.9010979,0.7976172
Entpd1,29.376825,4.911518,1.0860106382749563e-189,1.3700049695046046e-187,0.5974409448818898,0.12119080238456696,1.3860168,0.09498542
Abca9,29.350826,5.2890654,2.3322650461164547e-189,2.8879245064124026e-187,0.5846456692913385,0.09071722146110267,1.3024052,0.06625201
Maf,29.317347,3.8570576,6.234335562846673e-189,7.579936496547064e-187,0.6368110236220472,0.2129447920909394,1.495696,0.21425772
Lpcat2,29.19394,4.319877,2.315078385509719e-187,2.7647180541620512e-185,0.6318897637795275,0.23168067538045692,1.4631257,0.15375715
Rapgef5,28.980776,1.7933059,1.1495346290685107e-184,1.3088133679267324e-182,0.7795275590551181,0.7127041137482875,2.0513396,1.0837046
Lrmda,28.905607,4.3226833,1.0150808821044505e-183,1.1317520042384475e-181,0.6210629921259843,0.19280186618284148,1.636485,0.18792725
Agmo,28.716375,4.5533485,2.3828734142599012e-181,2.561112345646542e-179,0.593503937007874,0.12722627466953013,1.4434582,0.12908904
Lair1,28.47026,5.4038224,2.7357301417803586e-178,2.7326791416222392e-176,0.5649606299212598,0.08216388343762729,1.261347,0.058045983
Csmd3,28.410408,1.1881144,1.504011520869619e-177,1.458945471688327e-175,0.9084645669291339,0.8991372607101863,3.3094506,2.5315697
Ivns1abp,28.372486,3.541069,4.419928666545157e-177,4.226458479361864e-175,0.6653543307086615,0.3905654089680453,1.5662903,0.28178343
4933406I18Rik,28.368362,2.5578408,4.969276350567271e-177,4.734909770912857e-175,0.7116141732283464,0.5845521531454808,1.7746587,0.6053387
Cyrib,28.234858,1.8802222,2.1840401573783622e-175,2.0236261734054e-173,0.7509842519685039,0.7234420705742955,1.8646799,0.9088634
Ptprc,28.092041,5.767915,1.2254086868388853e-173,1.1086441553993551e-171,0.547244094488189,0.05524493649794498,1.2039565,0.041929003
Fcrls,28.055214,5.6570573,3.450316953254901e-173,3.080066994483694e-171,0.5492125984251969,0.06016958566297627,1.2279605,0.04673594
Macf1,28.039244,1.0184163,5.403186878959454e-173,4.807405014491408e-171,0.8720472440944882,0.8773651275595216,2.4170773,1.7986935
Bmp2k,27.958109,3.8775268,5.253617370612772e-172,4.539057837568012e-170,0.6230314960629921,0.24956492761136,1.4316199,0.19616747
Arhgap45,27.941126,5.924975,8.450150694072278e-172,7.16263561986505e-170,0.5403543307086615,0.04665457103713852,1.1611692,0.0354691
Selplg,27.940624,5.456287,8.569592032731743e-172,7.241035783632135e-170,0.5511811023622047,0.06753804569185767,1.2277247,0.05351322
Adap2,27.840933,5.7958984,1.3869505683695983e-170,1.150227215187997e-168,0.5413385826771654,0.05224571407412893,1.1883204,0.04024625
St3gal6,27.699043,4.437141,7.170034019196823e-169,5.733893276661269e-167,0.5866141732283464,0.16036583108083088,1.349765,0.12386515
C1qa,27.686052,4.811504,1.0279264335639906e-168,8.195959427259473e-167,0.5728346456692913,0.11930240308068278,1.4004401,0.10333632
Lgmn,27.507832,3.8231328,1.4150208569830142e-166,1.1020756645545969e-164,0.6309055118110236,0.2945902914059318,1.4685224,0.2120222
E230029C05Rik,27.492498,3.9396374,2.1584125564846546e-166,1.6762007338942969e-164,0.6318897637795275,0.32184248528159365,1.5414829,0.21452577
Diaph2,27.375507,1.5105278,5.368621672740466e-165,4.0407525027040986e-163,0.7893700787401575,0.7704298885474137,2.0834777,1.2436476
Tbc1d5,27.30868,1.5674746,3.3454792725128123e-164,2.483232819127604e-162,0.7785433070866141,0.7778724034509572,1.9947313,1.1450372
Sirpa,27.013945,2.8802228,1.0135733816451314e-160,7.204951525080603e-159,0.6840551181102362,0.5158662568963602,1.6068941,0.43279278
Rasgrp3,26.846716,4.872336,9.213332281160886e-159,6.364067825058946e-157,0.5423228346456693,0.08642203873069945,1.2113962,0.077434234
Mir99ahg,26.830761,1.1537733,1.4145842681350342e-158,9.746122893535479e-157,0.905511811023622,0.8725885881438146,2.8137372,2.0849028
Tbxas1,26.78976,5.5235496,4.252947717613378e-158,2.9078042028567805e-156,0.5285433070866141,0.06564964638797349,1.1544335,0.04614163
Snx29,26.610313,2.4404416,5.1571173360963e-156,3.413097113815457e-154,0.6978346456692913,0.6008812530084793,1.6500773,0.57386506
Lrch1,26.387777,2.3237288,1.8926512181092113e-153,1.1882135100606193e-151,0.6938976377952756,0.6008071981338171,1.6266524,0.5968267
Ubash3b,26.3625,2.839775,3.690124907557397e-153,2.2952235246774825e-151,0.6633858267716536,0.4320731662161662,1.596486,0.43808946
Serinc3,26.023663,2.9295278,2.6735576730004393e-149,1.5482434196879698e-147,0.6653543307086615,0.48450401747695043,1.5361763,0.3911418
Arhgap5,25.8747,2.0750306,1.2832455256820997e-147,7.213558007338497e-146,0.7273622047244095,0.6894508831043803,1.844365,0.8169428
Laptm5,25.675915,5.399545,2.1720646556321154e-145,1.1743134264956728e-143,0.5098425196850394,0.06450179583071056,1.1405157,0.04919247
Sparc,25.4302,4.1964846,1.1691398562883214e-142,5.99518853787542e-141,0.5452755905511811,0.1310030732772985,1.2758331,0.13173904
Wnk1,25.31664,1.6020436,2.0949955598676607e-141,1.0502337815978366e-139,0.7509842519685039,0.7609508645906616,1.8422557,1.0113894
Plcl1,25.305653,1.8380302,2.7679409110268436e-141,1.3824269940388714e-139,0.7864173228346457,0.6810086273928981,2.1933649,1.1718401
Tgfbr2,25.219042,4.689942,2.476680895143554e-140,1.2034071546565516e-138,0.5187007874015748,0.09964083385788869,1.1051706,0.075339
Frmd4b,24.745197,2.1659932,3.49218719109216e-135,1.5639178304107724e-133,0.702755905511811,0.5623727181841744,1.7063985,0.695521
Nav3,24.222971,0.91427934,1.2744482093724917e-129,5.35069115403732e-128,0.9360236220472441,0.895989928537046,3.2749038,2.6740851
Bank1,23.90921,5.624717,2.4566001057466994e-126,9.852066394240868e-125,0.4714566929133858,0.05243085126078424,1.0677401,0.037956268
Dock10,23.84932,1.8740603,1.0292401922890087e-125,4.067012348059657e-124,0.7755905511811023,0.5844410708334876,1.9961661,1.006223
Itgam,23.836939,5.574359,1.3833790099147577e-125,5.442371009723212e-124,0.4675196850393701,0.04650646128781427,0.9846264,0.03458625
