names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Sall3 Lmo1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Slc12a8,4.529585,4.888721,5.909972741593525e-06,0.002835731563689607,0.8181818181818182,0.06199856733524355,0.630083,0.02919921
Chn2,4.5063024,3.6552706,6.596702955687965e-06,0.0031097089196374665,0.9090909090909091,0.2922636103151863,1.6759299,0.29621753
Sema5a,4.4916224,3.1368115,7.0682619619669255e-06,0.0031989314156829277,1.0,0.4356375358166189,2.1365306,0.61478984
Phactr2,4.4906125,3.5389357,7.1018589282584465e-06,0.0031989314156829277,0.9090909090909091,0.3382521489971347,1.5905865,0.28975928
Sox1ot,4.4893785,5.2683673,7.143129324189641e-06,0.0031989314156829277,0.8181818181818182,0.08363180515759312,1.2709606,0.06441192
Pld5,4.481113,5.4347663,7.4254856295659575e-06,0.0032708655551874966,0.8181818181818182,0.11364613180515759,1.7058204,0.09909638
Adgrl3,4.4577556,1.5516914,8.282220152825696e-06,0.003589407346877846,1.0,0.8833810888252149,3.406774,2.3932786
Gria2,4.448125,1.5491408,8.6623148657517e-06,0.0036945460387737806,1.0,0.9214541547277937,3.686577,2.6599357
Cep112,4.441355,2.4552531,8.939404838514332e-06,0.003702163621614105,1.0,0.48964899713467047,1.5793076,0.53199273
Trio,4.440963,1.7213402,8.95573633810632e-06,0.003702163621614105,1.0,0.7642191977077364,2.1621435,1.2035851
Gm26691,4.4107423,2.666127,1.0301680202651928e-05,0.004194032530988747,0.9090909090909091,0.3997134670487106,1.2915119,0.34759575
Col25a1,4.3714337,3.6065023,1.2343329961782012e-05,0.004950228001090786,0.9090909090909091,0.4511819484240688,2.253473,0.5303581
Specc1,4.363149,2.3735476,1.2820333152118058e-05,0.005065916938197239,1.0,0.6830587392550144,2.088057,0.8604183
Nkain3,4.346693,2.4093733,1.3820553080097503e-05,0.005382003786408985,1.0,0.6703080229226361,2.5962176,1.2049446
Shank1,4.3377914,1.9646116,1.4392166580940154e-05,0.005524535943283742,1.0,0.5862464183381089,1.4250892,0.5928653
Fat3,4.322158,2.5054271,1.5451070098767175e-05,0.005847468359913718,1.0,0.7385028653295129,2.827344,1.3350716
Fgf12,4.3088427,1.775639,1.6411092305875145e-05,0.006124528475817572,1.0,0.8551934097421203,3.3246863,2.1775315
Plekha1,4.3053083,2.2083871,1.6675323761036974e-05,0.006137889718617308,1.0,0.6148638968481376,1.6310887,0.6361435
Gnal,4.2341714,2.5973125,2.2939599176364803e-05,0.008329554457688139,0.9090909090909091,0.40644699140401147,1.2074835,0.3275119
Sema6d,4.215508,2.1238217,2.492163923528695e-05,0.008928592616695472,1.0,0.7058381088825215,2.371877,1.1723456
Nav2,4.2015386,1.7111319,2.6510679849625054e-05,0.009284883641655747,1.0,0.8203796561604585,2.7030447,1.6587964
Gm41414,4.200716,3.5167902,2.660722145171167e-05,0.009284883641655747,0.8181818181818182,0.20053724928366762,0.9422819,0.12821718
Atp2a2,4.189365,1.7528142,2.7973650048764804e-05,0.009527919398584406,1.0,0.7652578796561604,1.9540502,1.0286589
Clmn,4.189047,2.1063063,2.8012863136887537e-05,0.009527919398584406,1.0,0.377041547277937,0.9849524,0.3290351
Meis2,4.174292,2.7357352,2.989141394101177e-05,0.010039778657437328,0.9090909090909091,0.489756446991404,1.9975239,0.6711232
Slc35f3,4.131973,2.7431252,3.596633573706014e-05,0.011867294669096862,0.9090909090909091,0.5907593123209169,2.1200173,0.7395559
Rbms3,4.1289244,2.7043371,3.644642580885019e-05,0.011867294669096862,1.0,0.5113180515759312,1.9750828,0.6690501
Prkca,4.127597,2.3319576,3.665744166486935e-05,0.011867294669096862,1.0,0.7605659025787965,2.6385849,1.27555
Map4k3,4.113534,2.2839105,3.896480051441181e-05,0.012334070383904674,1.0,0.6724928366762177,1.9303317,0.79291195
Zic5,4.1126175,6.419157,3.9119834593787346e-05,0.012334070383904674,0.7272727272727273,0.013431232091690544,0.65704274,0.010798097
Ano1,4.107961,6.917978,3.991674966267791e-05,0.012334070383904674,0.7272727272727273,0.022994269340974212,1.123927,0.017029291
Nrxn3,4.107213,1.868618,4.004619568801995e-05,0.012334070383904674,1.0,0.9292621776504298,4.3658395,3.1037397
Igfbpl1,4.105212,6.2245865,4.039442477795353e-05,0.012334070383904674,0.7272727272727273,0.016726361031518623,0.7118836,0.013782921
Npffr1,4.099041,6.342395,4.148658932238282e-05,0.012525220843735129,0.7272727272727273,0.029906876790830945,0.9007546,0.017850647
Brinp2,4.076525,2.5565743,4.571368698685465e-05,0.013648075214853162,0.9090909090909091,0.5457736389684814,1.775513,0.60620356
Ptpn5,4.0729537,3.1149235,4.6420701231500275e-05,0.013706859803191345,0.8181818181818182,0.44358882521489973,1.5222352,0.34608328
Galnt13,4.070055,1.9509389,4.700206521654056e-05,0.013727668395309183,1.0,0.6973495702005731,2.1006763,1.0490512
Lingo2,4.062537,1.9509377,4.854220190381997e-05,0.014025042636082178,1.0,0.8830229226361032,3.9251654,2.6279066
Bcl2,4.05401,2.3692265,5.0347114370617934e-05,0.01432938942039117,0.9090909090909091,0.2939469914040115,0.87543625,0.23976769
Mir124-2hg,4.0525513,2.580096,5.066215090945892e-05,0.01432938942039117,0.9090909090909091,0.38771489971346706,1.1197083,0.29651022
Usp29,4.024388,2.222717,5.712366964734131e-05,0.015908297468452303,1.0,0.5593123209169054,1.6336769,0.63298976
Dnm3,4.023135,1.8604821,5.742853942835405e-05,0.015908297468452303,1.0,0.727865329512894,2.1445694,1.1236138
Chrm3,4.0086236,2.4598515,6.107372231612623e-05,0.016435213558255286,1.0,0.6605659025787965,2.7279608,1.2808042
Cachd1,3.9975152,2.2712517,6.401086979123383e-05,0.01702942644842033,0.9090909090909091,0.34272922636103154,0.9649176,0.2900769
Lrrc49,3.9858835,1.8220675,6.722950267722988e-05,0.017710360166050654,1.0,0.5353151862464184,1.1234996,0.4618531
Znrf3,3.9805913,1.876311,6.874408349484649e-05,0.017933529354432282,1.0,0.5080945558739255,1.1740905,0.4755026
Gnas,3.9696326,1.589483,7.198352437419046e-05,0.018598050960908632,1.0,0.7117120343839541,1.648587,0.8735935
Prkcd,3.9559999,4.482021,7.621518907696161e-05,0.01950382981426627,0.7272727272727273,0.047636103151862466,0.63933975,0.039278418
Pdzd2,3.9490058,2.527189,7.847642226400223e-05,0.0198930327003183,0.9090909090909091,0.4637535816618911,1.4933262,0.46926674
Ndnf,3.9164855,4.599886,8.984920192682331e-05,0.022354148664571687,0.7272727272727273,0.06103151862464183,0.95245016,0.06358767
Aff3,3.8913705,2.0133903,9.967953159149842e-05,0.024572376273977636,1.0,0.6976361031518624,2.1573362,1.0627601
Ptprs,3.8828433,1.4592693,0.00010324216448441,0.025219245088146332,1.0,0.7342406876790831,1.7530346,1.0063128
Rims2,3.8648345,1.6117585,0.00011116455799995021,0.02690983489602398,1.0,0.8093839541547277,2.7271936,1.7361854
Prmt8,3.852567,2.466041,0.00011688603334561767,0.02800501595812947,0.8181818181818182,0.44570200573065905,1.1999706,0.35058248
Dock7,3.8507156,1.7394984,0.00011777323421170935,0.02800501595812947,1.0,0.655945558739255,1.5750632,0.76421076
Tmem131l,3.8423939,2.5596669,0.00012184015877376485,0.02846821796740053,0.8181818181818182,0.39892550143266475,1.0993516,0.29237545
Mob3b,3.8245535,4.6584563,0.00013100935627785316,0.030346736234361328,0.7272727272727273,0.14287249283667622,1.471785,0.12480545
Nhs,3.8185506,2.9673443,0.00013423811005180102,0.030828871940956352,0.8181818181818182,0.2699140401146132,1.1996576,0.25967523
Cryzl1,3.7971196,1.690441,0.00014638716805320654,0.03305397651756017,1.0,0.48628223495702005,0.9107883,0.37877718
Wipf3,3.7855065,2.389296,0.0001533958043287689,0.03434787718595017,0.9090909090909091,0.5289756446991404,1.6422292,0.5851818
Astn2,3.754875,2.1902604,0.0001734280448468801,0.037886272886468855,1.0,0.6348853868194843,2.2398243,1.0433512
Rapgef4,3.7136774,1.6953648,0.0002042690557141758,0.04345844863642033,1.0,0.7254656160458453,2.139901,1.1985729
Kcng3,3.7131352,3.4265313,0.00020470745151168486,0.04345844863642033,0.7272727272727273,0.13617478510028652,0.57846683,0.07032039
Pbx3,3.712275,2.176965,0.0002054046511658125,0.04345844863642033,0.9090909090909091,0.3375,1.0692459,0.35282537
Ralgps2,3.7035606,1.8655233,0.000212594450735701,0.04394836029201264,1.0,0.5652220630372493,1.2723303,0.5335887
Slc24a4,3.7017465,2.5720377,0.0002141204591976446,0.04394836029201264,0.8181818181818182,0.36880372492836677,1.0790948,0.2826059
Pitpnm3,3.7015781,2.8962953,0.00021426256785462061,0.04394836029201264,0.8181818181818182,0.31909025787965617,1.0191795,0.2133863
Tnik,3.6920035,1.3392885,0.0002224943776866036,0.04529109036696241,1.0,0.8184097421203438,2.4930518,1.6838348
Stac,3.6720686,3.7871566,0.0002405949919174393,0.048607424306929284,0.7272727272727273,0.16325214899713467,0.9961256,0.116629906
