names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Sall3 Lmo1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Nell2,-3.7034297,-3.4485633,0.0002127042322280454,0.04394836029201264,0.2727272727272727,0.7677292263610315,0.28284973,1.5192895
Clstn2,-3.7375395,-3.6712015,0.00018582990905945468,0.040268142390544735,0.2727272727272727,0.7520773638968481,0.27165154,1.604683
Syn2,-3.7608593,-2.501381,0.0001693307682203782,0.03729440772198002,0.6363636363636364,0.8032951289398281,0.47842482,1.498273
Gm20754,-3.7659082,-3.9773102,0.00016594469222989424,0.03685069322493602,0.18181818181818182,0.7453796561604584,0.22435685,1.6017029
Cdk14,-3.8147357,-2.726577,0.00013632883423083045,0.03104369301510521,0.5454545454545454,0.8082736389684814,0.4612131,1.5848575
Unc5c,-3.84331,-3.2540596,0.00012138593730188945,0.02846821796740053,0.36363636363636365,0.8077722063037249,0.40172243,1.7433954
Csmd1,-3.9402728,-1.4829819,8.138903417860701e-05,0.02043853596616047,1.0,0.9436962750716332,2.6060178,3.5853624
Nrg1,-4.008268,-3.6878316,6.116566266563188e-05,0.016435213558255286,0.6363636363636364,0.8488180515759313,0.51441497,2.2688756
Pcdh9,-4.016889,-2.550593,5.897146668517439e-05,0.016169013365618733,0.9090909090909091,0.9715616045845272,2.1710024,3.8395689
Dab1,-4.555541,-4.185952,5.225087886985233e-06,0.0027416882964149993,0.36363636363636365,0.8779727793696275,0.5223814,2.6017027
Grik2,-4.663481,-3.1544282,3.109048380832117e-06,0.0018564473331768663,0.7272727272727273,0.9169770773638969,0.92108953,2.6715772
Nrxn1,-4.7153378,-1.9140002,2.413100521313473e-06,0.0015814636831144638,1.0,0.966797994269341,2.367949,3.6233308
Il1rapl1,-4.839884,-3.9639525,1.2991506034614937e-06,0.001090880522344073,0.5454545454545454,0.9251790830945559,0.7201439,2.8598692
Ptprd,-5.00127,-3.612665,5.695388524073907e-07,0.0006436739657924177,0.8181818181818182,0.9655085959885387,1.4108297,3.6613362
