names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vascular (for_DEGs),mean_expr_Rest (for_DEGs)
Dclre1c,-9.496417,-1.6889832,2.172355358001982e-21,3.8176055244939996e-20,0.08084358523725835,0.31908074443675566,0.06534096,0.19697528
Nol10,-9.497818,-0.95573497,2.143345977778615e-21,3.769090734483729e-20,0.10193321616871705,0.3513493826710857,0.118894085,0.21903221
Arhgap32,-9.498394,-0.830957,2.1315283858304843e-21,3.753222000476089e-20,0.421792618629174,0.7314710274247005,0.6635499,0.98399425
Tia1,-9.498564,-0.82746834,2.1280491766009825e-21,3.7495528770667804e-20,0.4165202108963093,0.7315802891794442,0.648431,0.9629293
Banp,-9.501713,-0.75450593,2.06466184115961e-21,3.642643707942135e-20,0.2126537785588752,0.4871981644025203,0.24143133,0.37890503
Htr2c,-9.503906,-1.67451,2.0216141162849105e-21,3.5690388504977366e-20,0.11072056239015818,0.3497468769348436,0.15039843,0.4174397
Abhd17b,-9.50888,-0.78212684,1.927273102041404e-21,3.404722436019232e-20,0.23725834797891038,0.517973558655352,0.3023166,0.47438273
Ndrg3,-9.513693,-0.6937149,1.8401129431788804e-21,3.252883867316876e-20,0.31985940246045697,0.6361583567032086,0.45635208,0.6603037
Eftud2,-9.519074,-0.82047653,1.7472790723721497e-21,3.090808997672131e-20,0.14938488576449913,0.4070000364205849,0.16862662,0.2809395
Lix1,-9.519797,-1.1159052,1.7351750264914907e-21,3.07141982620727e-20,0.12478031634446397,0.37600611865826566,0.1420944,0.28586772
Lzts1,-9.521028,-0.82777995,1.714753681582426e-21,3.0372730009307704e-20,0.140597539543058,0.4005535928907018,0.17957328,0.29947096
Sun1,-9.524718,-0.75407875,1.6549055313529809e-21,2.933199975425765e-20,0.17223198594024605,0.43835816003205014,0.19576742,0.31094068
Zmiz1os1,-9.526192,-2.041855,1.6315902436274846e-21,2.893784148268681e-20,0.0492091388400703,0.2862657974287067,0.049138654,0.18846454
Sod2,-9.527953,-0.74926037,1.6041456683237817e-21,2.8469877217873195e-20,0.1827768014059754,0.44841024146847797,0.21094725,0.33272296
Arhgap35,-9.528807,-0.71138805,1.5910162594053623e-21,2.825552339076145e-20,0.3093145869947276,0.6280001456823396,0.4267488,0.62675196
Armc8,-9.529168,-0.66314214,1.5854904910324568e-21,2.8176011570133674e-20,0.28646748681898065,0.590414102050479,0.37477338,0.5423073
Trrap,-9.5318165,-0.7015781,1.5455442211577857e-21,2.7484297301462414e-20,0.23198594024604569,0.5220526641657866,0.2845146,0.42868322
Tro,-9.532678,-0.9989189,1.5327734670306816e-21,2.7275247059016166e-20,0.12126537785588752,0.37374804239356085,0.13604425,0.25560823
Galnt13,-9.536965,-0.7526501,1.4707287805805549e-21,2.6188523746984432e-20,0.36906854130052724,0.702735185927086,0.7464204,1.0540572
Msh3,-9.541266,-0.89561135,1.4109918096784802e-21,2.5141478730809525e-20,0.140597539543058,0.39938813417343483,0.16145355,0.2821483
Rnf32,-9.541366,-1.6805587,1.4096389777317438e-21,2.5134040697844695e-20,0.06678383128295255,0.3081909895472921,0.060384966,0.18192895
Tmem130,-9.54474,-1.0014004,1.3645017872091235e-21,2.4345393773113644e-20,0.11072056239015818,0.3624576610700368,0.13421668,0.2527491
Ola1,-9.54564,-0.69629955,1.3526995538640631e-21,2.4166912907132563e-20,0.28295254833040423,0.5849874348982045,0.37424362,0.5512737
Cdip1,-9.55533,-0.700445,1.2319078735039548e-21,2.2023529315403372e-20,0.24077328646748683,0.5361838511126489,0.2992644,0.44910616
Lrp11,-9.556793,-0.78763294,1.2146206354893981e-21,2.1728932407190497e-20,0.15641476274165203,0.41967439997086353,0.18723144,0.30412948
Iqce,-9.556921,-0.9254909,1.2131167876426738e-21,2.1716487730818552e-20,0.1195079086115993,0.3743671923371089,0.13356353,0.24012117
Memo1,-9.559926,-0.6956655,1.178406211866052e-21,2.1109183275227214e-20,0.3110720562390158,0.6369231889864151,0.45549458,0.6598253
Mamld1,-9.562895,-0.81297934,1.1450840735581288e-21,2.0525956675454918e-20,0.1616871704745167,0.4268492551990385,0.19817951,0.3257475
Map3k12,-9.5649805,-0.89801115,1.1222241234096612e-21,2.0129614283055805e-20,0.13532513181019332,0.3949448228138544,0.15015703,0.26383832
Lin28b,-9.565818,-1.5763729,1.1131732921822993e-21,1.9980605451528644e-20,0.061511423550087874,0.3038569399424555,0.08266283,0.22872144
Gnaz,-9.566988,-1.0576422,1.1006512020719782e-21,1.9769049331332923e-20,0.08963093145869948,0.33721819572422335,0.11112311,0.21885224
Abhd6,-9.5687,-0.79673207,1.082581018609842e-21,1.9457492956552812e-20,0.20738137082601055,0.4797683650799432,0.24075875,0.38721883
Abhd18,-9.569051,-0.7019267,1.078914959600407e-21,1.9404581636186704e-20,0.23550087873462214,0.5184834468441564,0.28857216,0.43447962
Arnt2,-9.570441,-0.7114402,1.0645079064819296e-21,1.9158290319604454e-20,0.281195079086116,0.5813817969916597,0.40604028,0.5989095
Plekhm3,-9.573852,-0.62312305,1.0299566374376017e-21,1.8548883946346082e-20,0.2565905096660808,0.5647011691007757,0.35674757,0.5069675
Riok3,-9.57782,-0.6378163,9.911518490664643e-22,1.7862005489212538e-20,0.2460456942003515,0.5391703390756456,0.3143762,0.45411763
Stxbp5,-9.580105,-0.8633411,9.694659129279837e-22,1.748291884588921e-20,0.44112478031634444,0.7394471355209965,0.7158088,1.0656213
Erbb4,-9.583416,-1.1893618,9.388729361148978e-22,1.6942589518742314e-20,0.5008787346221442,0.723895545762465,0.9895352,1.5798142
Rps6kl1,-9.589918,-1.585627,8.815522345148444e-22,1.5929595522134413e-20,0.05975395430579965,0.30057908730014204,0.061496112,0.17426108
Rgs6,-9.590616,-1.0370222,8.7560096526731e-22,1.5832703860519934e-20,0.2565905096660808,0.5162982117492807,0.44896477,0.7714231
Naa40,-9.59187,-1.0213374,8.650238071511435e-22,1.565197959471463e-20,0.13708260105448156,0.3925774847944058,0.1364381,0.25984108
Rabgap1l,-9.595967,-0.84845495,8.313394402903428e-22,1.505262180633525e-20,0.6098418277680141,0.8335943475252212,1.1698029,1.6093816
9530052E02Rik,-9.5997305,-2.2889261,8.01534396466959e-22,1.4522743919802556e-20,0.0421792618629174,0.27839895108715446,0.036326822,0.1661837
Kcna2,-9.601961,-0.9573375,7.84376629946656e-22,1.4221457521367506e-20,0.140597539543058,0.39997086353206834,0.16497284,0.2988225
Hnrnpll,-9.602798,-0.7215729,7.78026713922201e-22,1.4115852669202932e-20,0.2390158172231986,0.5281713224314383,0.30797744,0.46671048
Hunk,-9.604911,-1.3404257,7.6223801803015575e-22,1.3838740232750194e-20,0.11599297012302284,0.3629675492588411,0.12458196,0.28965524
Mecr,-9.608165,-0.98172677,7.385372692369835e-22,1.3417509414738166e-20,0.1054481546572935,0.3576501438613104,0.119039565,0.22286083
Cacna1i,-9.609509,-2.9087145,7.289511066090825e-22,1.3252311390112344e-20,0.033391915641476276,0.26834686965072657,0.021885905,0.15371966
Zfp704,-9.613894,-0.72252285,6.985584827067006e-22,1.2708372667792177e-20,0.30052724077328646,0.6081145063189715,0.40788415,0.60487825
Agap3,-9.619527,-0.71975696,6.613447348080775e-22,1.2039521019168726e-20,0.19156414762741653,0.46571001930291,0.22851314,0.35263363
Pparg,-9.622485,-2.7420337,6.425965984211157e-22,1.1706149559034155e-20,0.026362038664323375,0.26437702589503587,0.032554723,0.19998065
Cep290,-9.627921,-0.82963026,6.094980061275126e-22,1.1110726882392311e-20,0.1335676625659051,0.3931237935681247,0.16313015,0.2737665
Myo9b,-9.632515,-0.7904708,5.828498937167548e-22,1.063216337010808e-20,0.1704745166959578,0.44028845103252356,0.19433858,0.31555587
Ttc13,-9.637907,-0.95364565,5.530384986416649e-22,1.0095206833221152e-20,0.14762741652021089,0.4108970390064464,0.15307866,0.27791384
Taf1b,-9.643124,-0.68815935,5.25634315281905e-22,9.608023164370603e-21,0.19859402460456943,0.477546709400153,0.24032827,0.36305568
Pdss2,-9.646022,-0.71859074,5.10997865778476e-22,9.346843195008611e-21,0.3163444639718805,0.6265069017008413,0.43729475,0.6432322
Gm37529,-9.648239,-1.9831519,5.000720773514604e-22,9.153226647434428e-21,0.043936731107205626,0.2828786830316495,0.044606574,0.16580833
Acer3,-9.64927,-0.639394,4.950688085970576e-22,9.067824735516658e-21,0.2530755711775044,0.5520632261354117,0.34658712,0.49788564
Olfm2,-9.650299,-1.884596,4.901275926201369e-22,8.983443665554623e-21,0.061511423550087874,0.3038933605273701,0.06313232,0.2156205
Gpr176,-9.653238,-1.7673541,4.762754210632609e-22,8.735508917385543e-21,0.07381370826010544,0.3155479477000401,0.07092544,0.22331932
Pstk,-9.658002,-1.0663966,4.546440212361792e-22,8.344456865174957e-21,0.11599297012302284,0.37178133080817277,0.122256085,0.24085562
Cyrib,-9.659306,-0.8270724,4.488964539402695e-22,8.244598576469613e-21,0.4077328646748682,0.7309247186509815,0.6383932,0.94973737
Cnr1,-9.659661,-0.9111699,4.473393762239015e-22,8.221620409805905e-21,0.18101933216168717,0.4458608005244564,0.24829954,0.42528623
Pip4k2a,-9.660122,-0.80943716,4.453322662230936e-22,8.190334013288519e-21,0.2618629173989455,0.5569435845139673,0.36519453,0.57239443
Micu2,-9.662363,-0.7130775,4.356967795041943e-22,8.018611277587467e-21,0.22495606326889278,0.5152420147867575,0.28318143,0.4295846
Spns2,-9.668883,-1.75276,4.0881532840982943e-22,7.53420293166812e-21,0.07381370826010544,0.3158757329642714,0.06404607,0.2012241
Vwc2l,-9.668915,-2.079647,4.0868988848457207e-22,7.53420293166812e-21,0.07557117750439367,0.31514732126597955,0.09908518,0.36484408
Tnk2,-9.673632,-0.99164563,3.90278938381408e-22,7.202469144442605e-21,0.13708260105448156,0.4009177987398478,0.14398584,0.26845914
Npas3,-9.679078,-1.0607672,3.700368449554654e-22,6.833601391033235e-21,0.3251318101933216,0.5891393815784681,0.6307049,1.0415103
Ccdc88c,-9.68345,-1.4849724,3.5454701176159407e-22,6.552048284755181e-21,0.09490333919156414,0.3399497395928179,0.09178246,0.23828346
Hbs1l,-9.685237,-0.7572844,3.483984383824063e-22,6.44285343381642e-21,0.19332161687170474,0.47587136249408163,0.2283665,0.36021644
Ar,-9.685573,-1.5364194,3.4725794152533628e-22,6.426185185114177e-21,0.0913884007029877,0.3374002986487963,0.09335889,0.2498665
Ube2o,-9.685957,-0.7512199,3.4595270986553174e-22,6.406443359122563e-21,0.1546572934973638,0.42247878500928726,0.18693322,0.29712197
Neurl1a,-9.693472,-1.0162805,3.21412409885163e-22,5.956104450768504e-21,0.11775043936731107,0.37356593946898786,0.12865046,0.24506304
Kdm2b,-9.6981945,-1.0442076,3.068822599895578e-22,5.690770411262538e-21,0.13708260105448156,0.394799140474196,0.15178567,0.2911928
Ccdc39,-9.698898,-1.3576728,3.0477206162199647e-22,5.6555423313418824e-21,0.08084358523725835,0.32709327311796627,0.080945835,0.1956228
Lhfpl4,-9.70207,-1.5127571,2.954411327899358e-22,5.4861805377094505e-21,0.08260105448154657,0.32836799358997704,0.075679466,0.20239918
