sample,n_cells_before_filtering,n_genes_before_filtering,n_cells_after_filtering,n_genes_after_filtering,cells_removed,genes_removed,percent_cells_removed,percent_genes_removed,median_genes_per_cell,median_umi_per_cell,n_clusters
Emx1_Ctrl,5062,33696,4506,22606,556,11090,10.983800869221652,32.911918328585,3732.5,10442.5,19
Emx1_Mut,6562,33696,5934,23146,628,10550,9.570252971654982,31.30935422602089,3772.0,11054.0,24
Nestin_Ctrl,9013,33696,8401,23920,612,9776,6.790191944968379,29.01234567901235,3023.0,7704.0,22
Nestin_Mut,10011,33696,9182,24136,829,9560,8.280891019878133,28.371320037986703,3331.0,9948.0,23
