names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Microglia NN (for_DEGs),mean_expr_Rest (for_DEGs)
Daxx,-2.3037622,-0.35382923,0.02123599940853544,0.04975682805261138,0.011815252416756176,0.05677777777777778,0.022669801,0.02888063
Rcn1,-2.3041651,-1.2238532,0.02121337089489868,0.04971247827890525,0.008592910848549946,0.05333333333333334,0.014456772,0.033446264
Bak1,-2.3045785,-0.41021428,0.02119018398426016,0.04966680422689031,0.010741138560687433,0.05566666666666667,0.020699259,0.027414327
Stard4,-2.306747,-1.6834779,0.02106892986743599,0.04938690966919699,0.004296455424274973,0.04888888888888889,0.007800661,0.02484264
Stk32b,-2.3071024,-4.238845,0.02104910614893823,0.04934474631146138,0.0010741138560687433,0.04551851851851852,0.0015112464,0.028154975
Nkd1,-2.308905,-3.1685305,0.020948854364119734,0.04911829989213763,0.0021482277121374865,0.04666666666666667,0.0038438432,0.034041632
Lsmem1,-2.309091,-1.7528543,0.020938531004030064,0.04909837927203838,0.00322234156820623,0.04781481481481482,0.0058740224,0.019660626
Mterf1b,-2.3098123,-0.96642673,0.02089854122502985,0.049013162495989526,0.00644468313641246,0.051222222222222225,0.011525665,0.022398645
Col8a1,-2.3099427,-2.5662088,0.02089132953646263,0.04900052589426946,0.00322234156820623,0.04781481481481482,0.006117528,0.03569738
Zkscan14,-2.3104057,-0.40771896,0.020865705539949646,0.048948970478299894,0.010741138560687433,0.05577777777777778,0.02014331,0.026634917
Oat,-2.3106537,-1.6646531,0.0208519896703073,0.04892106543623131,0.0053705692803437165,0.050074074074074076,0.00993268,0.031156756
Gm45609,-2.3106701,-3.4886193,0.020851075558469805,0.04892106543623131,0.0010741138560687433,0.045592592592592594,0.001754972,0.019524682
Dazl,-2.3131673,-24.228767,0.02071344488115964,0.04860451174192293,0.0,0.04451851851851852,0.0,0.019469334
Cdkn2d,-2.3135765,-0.8604399,0.020690961918736785,0.04855599534990895,0.010741138560687433,0.05577777777777778,0.020458225,0.036839366
Mrpl36,-2.3142257,-0.46873215,0.02065535074357532,0.04847665948815345,0.018259935553168637,0.06374074074074074,0.033379536,0.045903426
Kifc5b,-2.3143206,-0.5321764,0.020650138310073646,0.0484686597127602,0.010741138560687433,0.055851851851851854,0.01895102,0.027290769
Gm49890,-2.3147464,-1.1592535,0.02062680973871136,0.04842236394191632,0.0053705692803437165,0.05018518518518519,0.009323518,0.020704854
Pusl1,-2.3165035,-1.2614496,0.020530793928965563,0.048201173689061134,0.00644468313641246,0.051333333333333335,0.010779689,0.025650827
Clp1,-2.3166482,-0.91060257,0.02052290414352603,0.04818686074244533,0.007518796992481203,0.05248148148148148,0.013588741,0.025393713
Fancg,-2.3166811,-1.0677272,0.02052110113529809,0.04818683802372277,0.0053705692803437165,0.050222222222222224,0.011021079,0.022963671
Prokr2,-2.3189406,-24.358103,0.020398259719405034,0.04790675978152375,0.0,0.04462962962962963,0.0,0.021276064
Gm57450,-2.319267,-0.36670604,0.020380555389849817,0.047869363927033615,0.010741138560687433,0.055962962962962964,0.019587426,0.02518529
Vcpkmt,-2.3197508,-1.3092561,0.020354359679486483,0.04781201543734608,0.004296455424274973,0.04914814814814815,0.008707583,0.0214413
Zbtb48,-2.3208816,-0.7544691,0.020293238958173275,0.0476726115410138,0.008592910848549946,0.053703703703703705,0.014256756,0.023934824
5830418P13Rik,-2.323333,-2.1574292,0.020161267318042787,0.04736672666221996,0.0021482277121374865,0.04696296296296296,0.005457704,0.024121154
Gm11520,-2.3238995,-0.79665375,0.02013088479788463,0.047299481857219314,0.007518796992481203,0.05262962962962963,0.013874771,0.023979578
Myo5c,-2.3240814,-3.258403,0.020121135388753947,0.04728070904204797,0.0010741138560687433,0.04585185185185185,0.0020564138,0.019507056
Gatd1,-2.324317,-0.4000303,0.020108511598980118,0.04725517812354345,0.013963480128893663,0.059444444444444446,0.025049603,0.03292333
Psmg3,-2.3245711,-0.33650956,0.020094898946559935,0.04722731869973458,0.01288936627282492,0.058333333333333334,0.023917327,0.030106667
Gm38134,-2.3250818,-0.5040669,0.02006758725840278,0.047171382174200215,0.010741138560687433,0.056074074074074075,0.018344158,0.02591711
Catsper3,-2.325979,-1.7118583,0.02001967676703493,0.04707111609469974,0.004296455424274973,0.04925925925925926,0.006523145,0.021211954
H2ax,-2.3270042,-0.5892501,0.019965044197089887,0.046946769718719285,0.013963480128893663,0.059444444444444446,0.025968915,0.03881779
Ogfod2,-2.3270144,-0.76763856,0.019964494128759232,0.046946769718719285,0.008592910848549946,0.053814814814814815,0.015193864,0.025730876
Tpmt,-2.3271716,-1.2764819,0.01995613471876032,0.04693403412630983,0.007518796992481203,0.05266666666666667,0.011955449,0.02871924
Pcdhb7,-2.3295321,-2.818518,0.019830890986801658,0.04664356099574234,0.0021482277121374865,0.047074074074074074,0.0036228376,0.025280923
A430090L17Rik,-2.332674,-0.9822095,0.019665256737588503,0.04626612805700053,0.00644468313641246,0.051666666666666666,0.011069398,0.021750666
Mcts2,-2.3336394,-0.62318593,0.019614611018081946,0.0461510155915816,0.00966702470461869,0.055074074074074074,0.019105302,0.02927746
E130006D01Rik,-2.333718,-3.258237,0.019610494969750585,0.04614537173458256,0.0010741138560687433,0.046037037037037036,0.0019982194,0.018957518
