names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Car3 (for_DEGs),mean_expr_Rest (for_DEGs)
Arhgef3,-3.0604122,-1.1465492,0.0022103256345911452,0.04978568539285498,0.2602739726027397,0.457088684577684,0.19235547,0.3849623
Cacnb2,-3.070617,-0.3944718,0.002136169269807041,0.04839702215827588,0.9178082191780822,0.780095159732408,1.5053852,1.7242583
Trpm3,-3.0817344,-1.1754537,0.002057982971345158,0.04703927397659853,0.684931506849315,0.6859371087182056,0.8669631,1.4149232
Ptprm,-3.1051645,-2.3376575,0.0019017326579707614,0.04405134182730548,0.2191780821917808,0.38056738096089865,0.13094668,0.534858
Ccdc88c,-3.105331,-2.0775588,0.0019006618575658748,0.04405134182730548,0.1506849315068493,0.33545594390584194,0.06108563,0.23576412
Galnt9,-3.1467154,-1.7020729,0.001651155667898181,0.039401911897357124,0.2054794520547945,0.3860050799556398,0.10665805,0.31204268
Slc35f3,-3.1528137,-1.0599931,0.0016170494655215447,0.03869111232285299,0.5616438356164384,0.5894895002325332,0.42213854,0.73957264
Sox2ot,-3.159535,-2.0209892,0.0015802116716557525,0.03804685270375454,0.3424657534246575,0.46621114012807213,0.26455534,0.801623
Klf12,-3.1667051,-0.7506296,0.0015417656956701932,0.037321841660052334,0.8082191780821918,0.7151647408149394,0.76888126,1.0808794
Igsf11,-3.180046,-1.4925689,0.0014725164616782394,0.03596956120481299,0.2602739726027397,0.42836189317783424,0.15372865,0.38362694
A830018L16Rik,-3.230455,-0.7978445,0.0012359344203964062,0.031036969977618165,0.726027397260274,0.6879404715057418,0.837982,1.1879615
Lamb1,-3.2327652,-3.9903934,0.0012259827988731202,0.030873624935070985,0.0273972602739726,0.24333703001466747,0.010043243,0.1487905
Fam13c,-3.2861362,-0.90726143,0.0010157188630164975,0.026369435603143275,0.5753424657534246,0.6326333488355453,0.45637926,0.73461515
Trim2,-3.2866795,-0.40103146,0.0010137618016167246,0.02634408086019477,0.9178082191780822,0.7931170178513934,1.1193409,1.3147624
Dpy19l3,-3.2916262,-2.3496585,0.0009960994406538297,0.025935263537178687,0.0958904109589041,0.30994884270024686,0.044386547,0.2080996
Pkp4,-3.2986586,-0.5141449,0.0009714794450302632,0.025442156615948508,0.8493150684931506,0.7512968196615748,0.90663594,1.1339526
Dscaml1,-3.316845,-0.6199246,0.0009104011756848228,0.024077243691585818,0.7808219178082192,0.7363789217615283,0.9526066,1.2375867
Gria1,-3.317258,-0.31217992,0.0009090569336582024,0.02406537912058709,0.9863013698630136,0.8484241405215898,2.0639594,2.2553341
Ramp1,-3.354485,-2.4936311,0.0007951287732652838,0.021577774202445846,0.1506849315068493,0.34593782420491537,0.051443096,0.2602902
Ano4,-3.3836439,-1.1006744,0.0007153073627708869,0.019753657592655426,0.5342465753424658,0.6411834150180661,0.5663619,0.9684329
Adcy8,-3.389655,-1.2401912,0.00069980584465048,0.019485785539646007,0.4794520547945205,0.5564340142381855,0.35230997,0.6920045
St3gal3,-3.4071317,-1.1564893,0.0006564944716715644,0.018432608624676,0.410958904109589,0.5509963152434444,0.25219133,0.49433804
Esrrg,-3.4180825,-1.3501184,0.0006306397813702401,0.017799675341826002,0.410958904109589,0.5256680857153079,0.27089953,0.5840047
Mir99ahg,-3.4273098,-0.26479846,0.0006095934878999243,0.01729649104527029,0.9863013698630136,0.8733946266948092,1.9520665,2.1115158
Rfx3,-3.434183,-0.73176354,0.0005943429639998476,0.016989356853910537,0.8904109589041096,0.7938325045612278,1.1574469,1.5311
Ptprz1,-3.4367177,-1.5684425,0.0005888086352025954,0.01684908203183572,0.4383561643835616,0.5668443458662755,0.36507067,0.8358618
Zbtb16,-3.4529777,-1.1009716,0.0005544351129149192,0.01595039773450094,0.4794520547945205,0.5783636818946088,0.37283292,0.6776247
Mical2,-3.4651017,-0.75247824,0.0005300309269519097,0.015346908412928677,0.7397260273972602,0.6896576396093442,0.7161769,1.016381
Dennd1b,-3.4740536,-0.9523478,0.0005126585441476352,0.014875955811281812,0.589041095890411,0.6258719994276106,0.4167487,0.69337034
Tmem44,-3.4926455,-3.1545377,0.00047826099328631105,0.0140754358046037,0.0547945205479452,0.2859800379207956,0.028289678,0.227536
Sema3e,-3.5024955,-1.9359665,0.000460921622402405,0.01362741603303662,0.273972602739726,0.43798518942510645,0.16627488,0.526016
Cntnap5c,-3.5263164,-1.9159187,0.00042138306198558507,0.012693456138511963,0.4246575342465753,0.5073874002790398,0.26207876,0.7564341
Zfp536,-3.52749,-1.8656615,0.0004195199131402415,0.012693456138511963,0.3150684931506849,0.476764569098129,0.24040726,0.6883425
Sorl1,-3.5446548,-1.0223216,0.00039312749940983706,0.011990165617641683,0.6301369863013698,0.6298429506671913,0.42984718,0.7375439
Pakap,-3.5561054,-0.8390277,0.00037639303182372924,0.01157171712254417,0.6575342465753424,0.6636496977068651,0.56438524,0.857222
Entrep2,-3.5784853,-0.7800858,0.0003455914217690417,0.010720340846936793,0.8493150684931506,0.6839337459306694,0.79387534,1.1253197
