names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ProS (for_DEGs),mean_expr_Rest (for_DEGs)
Hcn1,30.021471,2.784283,5.148354489309865e-198,1.3833628512775608e-193,1.0,0.7445770065075922,3.245371,1.5219795
Ldb2,29.51268,3.1366556,1.9795320585537815e-191,2.6595013206670056e-187,1.0,0.5493130874909616,2.500112,0.8205045
Ndst3,29.375973,3.3908324,1.113549191795669e-189,9.973688927849876e-186,0.9918032786885246,0.4680404916847433,2.1969252,0.5666958
Kcnh7,28.208086,2.5305142,4.653761973283111e-175,3.12616460555293e-171,1.0,0.793347794649313,3.449534,1.8367895
Gm2164,28.174107,3.6624687,1.2143676972649973e-174,6.526012005102095e-171,0.9781420765027322,0.29793926247288505,1.8436309,0.3507271
Ndst4,27.687618,3.7934523,9.842410094926206e-169,4.407759320844453e-165,0.9508196721311475,0.367353579175705,2.122794,0.42553198
Fras1,27.3449,3.5076845,1.2417725339332834e-164,4.7666325695410465e-161,0.9426229508196722,0.3942516268980477,1.9744865,0.43525296
Cadps2,27.041718,3.1669834,4.7799173893211385e-161,1.6054547531382376e-157,0.9699453551912568,0.543058568329718,2.4400566,0.7729394
Tox,26.653664,3.3142602,1.6229659081791833e-156,4.845454883641629e-153,0.9836065573770492,0.40556760665220537,2.137499,0.56064713
Astn2,26.562449,2.8023956,1.8444123831768593e-155,4.95593607359622e-152,0.994535519125683,0.6291395516992047,2.596019,1.0220894
Pex5l,26.463068,2.528888,2.580975928443142e-154,6.304620290660656e-151,1.0,0.7760665220535069,3.2555761,1.6715639
Meg3,26.344297,1.9907243,5.965786344746076e-153,1.3358389923610587e-149,1.0,0.9120751988430947,4.5793,3.2294912
Cttnbp2,26.254324,1.8682545,6.379625444821431e-152,1.3186195054027064e-148,0.9972677595628415,0.8122559652928416,2.9390335,1.7753289
Ntng1,26.23711,2.996303,1.0029846486994105e-151,1.925014107896654e-148,1.0,0.5639551699204628,2.5551994,0.9114975
Trpc4,26.085888,2.610204,5.271685104999743e-150,9.443345251422872e-147,0.9918032786885246,0.5353217642805496,1.9454123,0.6841498
Grm8,26.067936,3.0437288,8.424807545043328e-150,1.414841117095714e-146,0.9890710382513661,0.5080621836587129,2.4541411,0.8284872
Cntn4,26.042706,2.9057302,1.627309368719009e-149,2.572106043381163e-146,1.0,0.6456616052060737,2.9318647,1.2149878
Kcnn2,25.971403,2.3570173,1.0423150685373177e-148,1.5559447717554292e-145,0.9972677595628415,0.6375632682574114,2.1370533,0.89974165
Rit2,25.663607,2.1449559,2.9805299782265585e-145,4.2150968692077695e-142,0.9972677595628415,0.661352133044107,1.9949194,0.8904037
Grm5,25.35395,1.5410936,8.128644211797587e-142,1.0920833498550058e-138,1.0,0.9174258857556038,3.884826,2.8551273
Etv1,24.765194,2.797317,2.126963472650636e-135,2.721500405243933e-132,0.953551912568306,0.45798987707881417,1.685167,0.4898092
Slc35f1,24.190447,2.3177106,2.8043303899518686e-129,3.425107162636669e-126,0.994535519125683,0.6494215473608098,2.293739,1.0251837
Enox1,23.978075,1.7496978,4.709688102485783e-127,5.5021443179909996e-124,1.0,0.7823210412147505,2.6238518,1.5692167
Agbl4,23.897926,1.9854487,3.2185550775655535e-126,3.6034406222577676e-123,1.0,0.7487346348517715,2.8033245,1.5921128
St6galnac3,23.529888,2.0613804,2.0172093379363908e-122,2.1680965964140327e-119,0.9918032786885246,0.6979031091829356,2.196125,1.0696399
Lrrtm4,23.233686,1.9704063,2.079819966384947e-119,2.1494139421832123e-116,1.0,0.9189804772234273,4.34943,3.0206625
Snhg11,23.01712,1.7211188,3.1413369785236387e-117,3.1262120227011174e-114,1.0,0.8251265365148228,3.2913544,2.1803603
Rian,23.009127,1.6731108,3.7769959782209234e-117,3.624567211957007e-114,1.0,0.7574114244396241,2.562734,1.5589654
Cntnap5b,22.940536,2.3688726,1.831574086688025e-116,1.6970481279071457e-113,0.9808743169398907,0.5900216919739696,2.1206,0.88387483
Ctnnd2,22.643347,1.2872046,1.622433028148131e-113,1.453159182211343e-110,1.0,0.8827187274041938,3.2856598,2.4459276
Samd5,22.597574,2.3855727,4.578467180267248e-113,3.968497197863902e-110,0.953551912568306,0.4769342010122921,1.5892246,0.55751485
Anks1b,22.47974,1.229127,6.552211460233022e-112,5.501810060514415e-109,1.0,0.9012292118582791,3.5772321,2.7621458
Caln1,22.127436,1.7443258,1.7209160194864878e-108,1.4012428316243009e-105,0.994535519125683,0.6977584960231381,2.1447628,1.1788045
Osbpl6,22.091835,1.7207333,3.786893745161454e-108,2.9927598509555377e-105,0.9918032786885246,0.6693420101229212,1.771636,0.90854543
Slc8a1,21.902803,1.5403024,2.44278063491774e-106,1.875357590292562e-103,1.0,0.8741865509761388,3.23581,2.240529
Gpr161,21.825268,3.0268931,1.3355349196955387e-105,9.968284247838645e-103,0.7759562841530054,0.17241503976861894,0.61219144,0.09858582
Xylt1,21.799395,1.9113619,2.3510788875168804e-105,1.7073916137183398e-102,0.9836065573770492,0.6358279103398409,1.9030985,0.9230934
Ctxnd1,21.746601,2.8259783,7.43927202451171e-105,5.2603484025955166e-102,0.8333333333333334,0.24291395516992045,1.0186747,0.22278087
Ptprr,21.572279,1.9540472,3.271759376328246e-103,2.2541583190241017e-100,0.9562841530054644,0.5681127982646421,1.493499,0.63715875
Trmt9b,21.522814,3.3037791,9.52050904417484e-103,6.395401950424448e-100,0.7540983606557377,0.16713665943600867,0.7476215,0.10670407
Zfp385b,21.426022,1.9159833,7.643910223716062e-102,5.009557749054893e-99,1.0,0.6607736804049168,2.185681,1.1289998
Cntn3,21.36312,1.9884007,2.9448084882430674e-101,1.8839762875974103e-98,1.0,0.6580260303687635,2.1679811,1.0820754
Chst8,21.360586,2.598822,3.108910712985858e-101,1.9427076943704653e-98,0.8087431693989071,0.25462762111352133,0.73925674,0.16606717
Stxbp5l,21.256271,1.6469041,2.8843967606950814e-100,1.761448658179019e-97,1.0,0.7913232104121475,2.7034578,1.6953582
Ptprn2,21.255167,1.54119,2.953134547520718e-100,1.7633494509307042e-97,0.994535519125683,0.7596529284164859,2.5033445,1.5802839
Stac,21.127234,3.4717755,4.46985711883596e-99,2.610979582241788e-96,0.7404371584699454,0.15535068691250903,0.8144251,0.10739885
Gria3,21.077583,1.5192745,1.2774183152017243e-98,7.3030276871213475e-96,1.0,0.8011207519884309,2.732821,1.7943064
Dnah9,21.024168,2.1613579,3.942446939247803e-98,2.1619091685222136e-95,0.8934426229508197,0.40704989154013016,1.1199522,0.37950215
Thrb,20.78299,1.7948711,6.169544830376758e-96,3.3155133918444697e-93,0.9918032786885246,0.6881417208966016,2.0777354,1.1030861
Opcml,20.779922,1.4383416,6.576446270789282e-96,3.464884535217804e-93,1.0,0.9245119305856833,4.0668793,3.0987773
Epha6,20.72258,1.689805,2.1675578685303538e-95,1.0989109420266151e-92,0.9972677595628415,0.8838756326825741,3.6569633,2.5415452
Plekha7,20.678885,2.319087,5.366836195028193e-95,2.6704979363038434e-92,0.8278688524590164,0.29088937093275485,0.75184023,0.20263205
Ptprt,20.505928,2.2785993,1.9060038226041304e-93,9.311695038795087e-91,0.9836065573770492,0.6147143890093999,2.4062908,1.1249582
Ralyl,20.494127,1.5326216,2.429020243776227e-93,1.1654959633976287e-90,1.0,0.853000723065799,3.2267022,2.23682
Khdrbs2,20.262735,1.7857052,2.742906310539505e-91,1.293015659020991e-88,0.9972677595628415,0.7084960231381056,2.2777228,1.263871
Parm1,20.218836,2.1677282,6.68430029875195e-91,3.096674983232153e-88,0.8743169398907104,0.3929862617498192,1.0810926,0.3601378
Khdrbs3,20.19727,1.7799401,1.0346113319812954e-90,4.711865506836849e-88,0.9972677595628415,0.6689081706435286,2.1029143,1.1293684
Crim1,20.00642,1.7274959,4.8419822472320815e-89,2.1684010497187674e-86,0.9617486338797814,0.5708604483007954,1.3820735,0.64229643
Gria2,19.781555,1.0467201,4.292520170461575e-87,1.8908199504967627e-84,1.0,0.9198481561822126,3.3382652,2.6498725
Ankrd33b,19.712034,1.9339703,1.699952468716029e-86,7.367374650709629e-84,0.8770491803278688,0.43532176428054953,1.0095319,0.37603793
Adgra1,19.700708,2.1443005,2.126244981283374e-86,9.06860359477528e-84,0.8278688524590164,0.32454808387563266,0.77573115,0.2351928
Snhg14,19.664146,1.3309735,4.3746602890583776e-86,1.8366737807343532e-83,1.0,0.8131959508315256,2.8204532,1.9843501
Galnt9,19.642628,1.9758863,6.684888630968343e-86,2.7634301156018368e-83,0.8688524590163934,0.3791395516992046,0.8745642,0.3040577
Neto1,19.590912,1.7401551,1.8484694610679965e-85,7.525511275590464e-83,0.9781420765027322,0.6866955892986262,2.0391934,1.0989126
Gabrg3,19.57655,1.9335603,2.4506686664196498e-85,9.828278666671044e-83,0.9808743169398907,0.6483007953723788,2.2597816,1.1775349
Rbms1,19.5119,2.168253,8.698736482502697e-85,3.4372801365418747e-82,0.8360655737704918,0.39020245842371654,1.0560124,0.34862956
Grid2,19.47899,1.7238526,1.655112434542725e-84,6.445343640023626e-82,0.9972677595628415,0.8090744757772957,2.8271248,1.7600273
B830012L14Rik,19.446058,1.5992453,3.1471860005681438e-84,1.208069826218086e-81,0.9808743169398907,0.6077368040491685,1.5147752,0.77525574
Tmem200a,19.34768,1.9092146,2.13233016483953e-83,8.069818525244813e-81,0.8879781420765027,0.4231019522776573,1.0456241,0.39961767
Plcl2,19.223547,1.5211929,2.351373656602543e-82,8.77519585457088e-80,0.9808743169398907,0.645119305856833,1.5475539,0.8281398
Tmem132d,19.207485,1.9639889,3.20410118511288e-82,1.1793725869038779e-79,0.9289617486338798,0.47024584237165584,1.4239426,0.59238225
Pde1a,19.111162,1.7555181,2.0387781846169783e-81,7.402968894683542e-79,1.0,0.7587129428778019,2.6800935,1.6141968
Slc4a10,19.036224,1.3647935,8.547166935032905e-81,3.0621650072577885e-78,0.994535519125683,0.7701735357917571,2.1636858,1.384053
Garnl3,18.795906,1.7290021,8.157401692004428e-79,2.8840708350547234e-76,0.9426229508196722,0.514172089660159,1.322272,0.6043982
Cacna2d3,18.7826,1.635234,1.0481755170068573e-78,3.657724174282371e-76,0.9972677595628415,0.7417932031814896,2.4863057,1.5143588
Sox5,18.709415,1.8899336,4.148984783285424e-78,1.4292720657292222e-75,0.9726775956284153,0.614352856109906,2.054235,1.0420429
Arhgap26,18.603096,1.463811,3.0327568343395386e-77,1.0315212169456126e-74,0.9890710382513661,0.6660520607375271,1.6110986,0.8973758
Entrep2,18.534021,1.5648975,1.0976930841299773e-76,3.6868766463215614e-74,0.9972677595628415,0.6802241503976862,1.9530557,1.1134927
Gm6260,18.483545,4.968924,2.801524781967912e-76,9.29345319647874e-74,0.587431693989071,0.03644251626898048,0.5307001,0.022108968
Schip1,18.424238,1.5582678,8.396424026661127e-76,2.7513647999559083e-73,1.0,0.8300433839479393,2.942225,1.9597753
Csrnp3,18.25142,1.320385,2.0160460341360415e-74,6.526645414124751e-72,0.9754098360655737,0.7140997830802603,1.7351271,1.0542668
Kcnip4,18.155254,1.4921268,1.166867956554682e-73,3.732588332455275e-71,1.0,0.9519161243673174,4.7021523,3.684214
Pcnx2,17.993452,1.5490797,2.1926641613898416e-72,6.931398354887653e-70,0.9098360655737705,0.5061099060014461,1.0174272,0.4721993
Cds1,17.95308,1.8278344,4.540233526235657e-72,1.418559009883164e-69,0.8142076502732241,0.36518438177874185,0.7417009,0.26981
Pde11a,17.93804,2.8225727,5.951799832513404e-72,1.838216798846381e-69,0.6967213114754098,0.18900939985538684,0.90391713,0.1887108
Lncpint,17.892199,1.2482128,1.3565109225413028e-71,4.1419827828050917e-69,0.994535519125683,0.7446854663774404,1.9415472,1.2564659
Rapgef5,17.871864,1.4549211,1.953524435684401e-71,5.897887818746051e-69,0.9918032786885246,0.7113882863340564,1.881775,1.1085695
Nr3c2,17.863668,1.6611695,2.2627053121800667e-71,6.755432415364266e-69,1.0,0.7709327548806941,2.613281,1.6089885
Pbx3,17.82134,2.0108159,4.826573702416817e-71,1.4251652239993393e-68,0.8087431693989071,0.33080260303687636,0.97773474,0.34466043
Adgrl2,17.811148,1.8448845,5.7911081652078586e-71,1.6913812652079908e-68,0.8661202185792349,0.43033261026753433,1.119558,0.45389488
Prkcg,17.752565,1.4716079,1.6465939801591554e-70,4.757417230846936e-68,0.9453551912568307,0.5402024584237165,1.1254528,0.55995333
Gm10649,17.74947,1.7459439,1.7399075318713578e-70,4.97354418950887e-68,0.8715846994535519,0.43593637020968906,0.9892808,0.40789264
Magi2,17.723722,1.0110284,2.75091313209945e-70,7.78074061679076e-68,1.0,0.9216919739696312,3.6259532,2.9518313
Sv2b,17.707165,1.616311,3.692060406947663e-70,1.0227387952029248e-67,0.994535519125683,0.6151843817787419,1.7827396,0.9606025
Mllt3,17.691303,1.3447878,4.8930396374377574e-70,1.3415915822240056e-67,0.9863387978142076,0.7281634128705712,1.8463577,1.1317638
Bcl11b,17.672798,1.54948,6.794163499903335e-70,1.8440320529535617e-67,0.953551912568306,0.5429139551699205,1.2724688,0.6301419
Npr3,17.671604,2.2352216,6.939434926802417e-70,1.8646261648318094e-67,0.7240437158469946,0.23875632682574113,0.58479655,0.15595141
Ikzf2,17.667862,2.2325218,7.415428240048436e-70,1.9727975921792224e-67,0.7595628415300546,0.33796095444685464,0.9106124,0.27472425
Cdh6,17.631496,2.2910976,1.4118262983781246e-69,3.719193395825511e-67,0.7459016393442623,0.2772234273318872,0.845872,0.24039184
Hs3st2,17.576809,2.186181,3.708695183966577e-69,9.675013552736109e-67,0.726775956284153,0.21738973246565438,0.6250415,0.17462413
Prkcb,17.565104,1.3235961,4.5586545876691117e-69,1.1777985458718175e-66,0.994535519125683,0.7943600867678958,2.2659383,1.4933705
Nos1ap,17.547613,1.4470791,6.203356078311267e-69,1.5874683602307022e-66,0.9890710382513661,0.6947577729573391,1.738188,1.0002776
