names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_COAp Grxcr2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
AU040320,-3.3682785,-1.2574362,0.0007563914356536137,0.0494507004282545,0.19642857142857142,0.4512286995515695,0.15663134,0.34030718
Dpf3,-3.3700619,-5.117381,0.0007515129831323296,0.04925159477259926,0.03571428571428571,0.28703139013452916,0.008558048,0.26109093
Lncpint,-3.3718784,-0.77839506,0.0007465738207617374,0.04904752705102172,0.5892857142857143,0.7499551569506726,0.91235054,1.2686274
Ptpn9,-3.373015,-1.0103214,0.0007434993713916318,0.04896526497375771,0.32142857142857145,0.5781883408071748,0.3179298,0.5618625
Tmem135,-3.3797917,-0.9291289,0.0007254076953384215,0.04812766610800836,0.5,0.7031748878923767,0.5290558,0.8449226
Dync1i1,-3.3801236,-0.8722548,0.0007245325232599823,0.04812766610800836,0.5535714285714286,0.7185291479820628,0.8035792,1.1811092
Plekhg5,-3.3857806,-1.0650351,0.0007097609623198034,0.04744098770530626,0.25,0.5023497757847534,0.25133324,0.46864656
Ldlrad3,-3.3883107,-2.954824,0.0007032458904016639,0.0471227358481115,0.07142857142857142,0.3262062780269058,0.03370416,0.23568457
Runx2,-3.3906164,-1.3325078,0.0006973560170295033,0.046844890443956885,0.2857142857142857,0.516627802690583,0.26352862,0.5649349
Brwd3,-3.3963814,-1.5190454,0.0006828313068992008,0.0459841534245151,0.23214285714285715,0.4736860986547085,0.14862156,0.37791094
Gmds,-3.3964894,-0.9723995,0.000682562320535552,0.0459841534245151,0.48214285714285715,0.6670134529147982,0.4918569,0.8094261
Galnt17,-3.3988202,-0.9752476,0.000676772096751745,0.045805708412391406,0.5714285714285714,0.7190672645739911,0.8819114,1.3304831
Map2k5,-3.4039133,-0.97441417,0.0006642786849553966,0.04518776775886457,0.42857142857142855,0.6302421524663677,0.3802189,0.6465508
Scaf8,-3.404079,-0.9005231,0.0006638753628828178,0.04518776775886457,0.48214285714285715,0.6956053811659193,0.5069431,0.80309755
Cask,-3.4045105,-0.8437564,0.0006628277908470715,0.04518776775886457,0.5535714285714286,0.7367533632286996,0.6765221,1.006325
Immp2l,-3.4118514,-1.0320961,0.0006452329500202942,0.04434120042722585,0.42857142857142855,0.6708520179372197,0.5560553,0.92466074
Zhx3,-3.415841,-1.3997353,0.0006358532864084314,0.043808661040498846,0.21428571428571427,0.47881614349775786,0.16783023,0.39349768
Ubr2,-3.4164634,-0.94952697,0.00063440224287512,0.043808661040498846,0.32142857142857145,0.5722690582959641,0.29866928,0.5141364
Stxbp5l,-3.4177158,-0.97330964,0.0006314901478349479,0.04373232028949755,0.6071428571428571,0.7957309417040359,1.1976837,1.7120107
Ror1,-3.421913,-3.186211,0.0006218221429956138,0.043174059385767814,0.08928571428571429,0.3347085201793722,0.04195938,0.32933787
Fut9,-3.431593,-0.7870844,0.0006000472393257063,0.041878621612160334,0.6071428571428571,0.7509596412556053,0.8611291,1.2110049
Lrrfip2,-3.432066,-1.4540657,0.0005990020821428165,0.041878621612160334,0.23214285714285715,0.4872466367713004,0.16391604,0.39743122
Arsb,-3.4331856,-0.95337677,0.0005965334649268661,0.04185079426262374,0.42857142857142855,0.6339013452914798,0.43727928,0.72372365
Ptprj,-3.435641,-0.79803354,0.0005911539003481722,0.04158195105328635,0.5357142857142857,0.7136860986547086,0.6840111,0.99588007
Ppp2r2a,-3.4364455,-0.8763569,0.0005894008499812271,0.04156745627032959,0.375,0.6067085201793722,0.37055153,0.60069716
Spop,-3.4403772,-0.88748664,0.0005809037885029937,0.04107601262388274,0.39285714285714285,0.6625650224215247,0.45747972,0.72905904
Srek1,-3.4462667,-0.84565866,0.0005683892603112517,0.04040375509143739,0.5357142857142857,0.7315156950672645,0.64006525,0.95983887
Edil3,-3.4496179,-1.1156563,0.0005613808567750264,0.040011415441763815,0.5178571428571429,0.7593183856502242,0.9277076,1.4615426
Dnm3,-3.4508536,-0.9984063,0.000558816452005541,0.03993456932284278,0.5535714285714286,0.7283228699551569,0.7134453,1.1248406
Adamts6,-3.451567,-4.6115885,0.0005573412960835056,0.03993456932284278,0.017857142857142856,0.2838744394618834,0.011606756,0.25107318
Lnpk,-3.454014,-1.1915619,0.0005523086821965622,0.03968057296957654,0.32142857142857145,0.5584215246636771,0.25074401,0.5013188
Lsamp,-3.4564776,-0.7329621,0.0005472847357315319,0.03942504249090151,0.9285714285714286,0.9730224215246637,3.5768237,4.07368
Pakap,-3.4618526,-0.99331766,0.0005364708081498383,0.0387499210080273,0.48214285714285715,0.6655784753363229,0.52073395,0.85875314
