"gene","status","n_links_nestin","n_links_emx1","n_links_total","max_correlation"
"Srsf2","success",1,0,1,0.134196281333345
"Rbfox3","success",1,0,1,0.11430730729427
"Rbfox1","success",1,0,1,0.10143578113441
