names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lamp5 (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnk12,-2.8080382,-0.8133059,0.004984429010652738,0.049974480416507115,0.08362369337979095,0.1869930422870327,0.05852068,0.10066245
Txnrd1,-2.8111038,-0.79722434,0.004937185673851897,0.049537781574458734,0.12195121951219512,0.22592739464292153,0.08102054,0.13684879
Jun,-2.813777,-1.5975453,0.004896319994014488,0.0491461031898279,0.07317073170731707,0.17015753992573632,0.04539773,0.13151285
Pde4a,-2.8141692,-0.45740357,0.0048903476957388725,0.049122857040935886,0.46689895470383275,0.5379069180576084,0.38617238,0.4990653
Plce1,-2.8196108,-1.6787779,0.0048081936981452765,0.04840620632040599,0.059233449477351915,0.1562421139911316,0.039260842,0.12062
Mapk11,-2.8271093,-1.2402564,0.004697028921213897,0.04735803644015662,0.05226480836236934,0.15137531994664552,0.031144245,0.072072305
Ankfn1,-2.8288364,-2.6420202,0.004671757634318739,0.04716442599588883,0.03832752613240418,0.13353040845019648,0.017758802,0.10601782
Lmln,-2.83353,-0.5637756,0.004603700473152307,0.046556805311856415,0.17073170731707318,0.2769025559681315,0.114219,0.16453977
Myo10,-2.833541,-1.4427679,0.004603542024382103,0.046556805311856415,0.08362369337979095,0.18017953062475214,0.049220875,0.12852573
Rab36,-2.8351653,-0.5643161,0.004580198561070668,0.04640646128807272,0.1254355400696864,0.23295720826273478,0.08458218,0.1226708
Tiam2,-2.83529,-0.580641,0.0045784114008703795,0.046405852260047946,0.289198606271777,0.3852337863657666,0.21284342,0.30359668
Hsph1,-2.8358326,-0.823759,0.004570639353686794,0.04634455827681666,0.27526132404181186,0.3774829662208443,0.18055701,0.300296
Myrip,-2.83738,-0.43891892,0.004548544086027359,0.04613793114063991,0.4425087108013937,0.5091387577057572,0.36094138,0.46325973
Tmem121b,-2.8389714,-1.7438987,0.004525921478197642,0.045960510249119665,0.04529616724738676,0.14337214751793503,0.022736339,0.07420274
Fermt2,-2.8407717,-0.5473714,0.004500450622519127,0.04575372993836131,0.3832752613240418,0.4860304985760121,0.29409546,0.40525046
Il6ra,-2.846767,-2.4152799,0.0044165677325568664,0.044986040551100455,0.0313588850174216,0.12934857060456398,0.01870924,0.09598155
Cacnb1,-2.8487763,-0.5558807,0.004388771518792259,0.044787805055050506,0.1602787456445993,0.27199971159738995,0.110762976,0.15887307
Fibcd1,-2.8508298,-2.1665664,0.0043605305325067675,0.044516510413547435,0.0313588850174216,0.1295648725620967,0.018964127,0.08245755
Shroom4,-2.8512478,-0.7412604,0.004354801695671649,0.04447492267681384,0.15331010452961671,0.2588052921878943,0.10977668,0.17727384
Sdc3,-2.8552153,-1.0487432,0.004300766739913003,0.04395648623106215,0.10452961672473868,0.20678467140127618,0.06556619,0.13118976
Fhip1a,-2.8607779,-1.7565426,0.004226031460396675,0.04327494868172967,0.03484320557491289,0.13453981758534914,0.022587556,0.07435484
Cdk5rap2,-2.8627615,-0.76056564,0.004199665262682961,0.04303775957600731,0.1916376306620209,0.29626158116730955,0.121202715,0.19745521
Zfp697,-2.866454,-0.4678584,0.004150985113768132,0.04260388464742158,0.3623693379790941,0.4590648545369336,0.28279662,0.37296358
Rab26,-2.8666446,-1.2114006,0.004148485299682644,0.042594497517184804,0.06968641114982578,0.1704098922095245,0.037812114,0.085475646
Chst9,-2.8684707,-0.62055975,0.004124613861911463,0.04236558657093311,0.23693379790940766,0.3341865243880457,0.25260523,0.3659142
Slc16a7,-2.8716168,-0.37368366,0.0040837781660209216,0.04196218712083448,0.6202090592334495,0.6292223944626699,0.5835168,0.70635456
Syt5,-2.8773444,-0.8156125,0.00401037712819711,0.04126728369652826,0.13240418118466898,0.23980677025127078,0.09100514,0.15502562
Gramd1c,-2.882192,-1.4855847,0.003949192183737881,0.040688187874630695,0.05226480836236934,0.15249288006056455,0.030896323,0.084221385
