names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP PPP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Nfib,-3.4110413,-0.9903121,0.0006471530977038492,0.049682867815149794,0.875,0.8183609846991794,1.1867502,1.7088066
Dpp6,-3.4271617,-0.6977255,0.0006099259598265001,0.047093995806143846,0.9166666666666666,0.8215859820116816,1.4457469,1.8346959
ENSMUSG00000121513,-3.4325814,-1.2488316,0.0005978641433384897,0.04656408559856585,0.75,0.7933851721790232,0.9957864,1.6206334
Grin2b,-3.4332273,-0.28068125,0.0005964417693228546,0.04656408559856585,1.0,0.8856200953165873,2.3036158,2.4803493
Pip5k1b,-3.4448016,-2.3940773,0.0005714786722129116,0.04503117865794995,0.3333333333333333,0.5936861719281901,0.20863195,0.79725635
Gabra4,-3.4803476,-2.012798,0.000500763752208951,0.03980923675104886,0.25,0.6135019887483427,0.22468819,0.7014669
Cracdl,-3.4864006,-2.267576,0.0004895672863901678,0.039150812456261334,0.3333333333333333,0.5938653384455513,0.19702436,0.717164
Rab3c,-3.4913774,-1.9564123,0.0004805371631696735,0.038774875598706085,0.2916666666666667,0.6465761278532268,0.30675888,0.87267935
Nfia,-3.5278223,-1.8350272,0.0004189933308279684,0.03485557523017806,0.4583333333333333,0.7399577167019028,0.5710661,1.32115
Dlgap2,-3.5314188,-1.0608059,0.00041333692945470655,0.03470738529514989,0.9166666666666666,0.8130576557852869,1.5154098,2.1292274
Cap2,-3.5342047,-1.9278013,0.00040900431969225653,0.034559578836889725,0.3333333333333333,0.634141971548357,0.2782052,0.79768807
Ctnna2,-3.5444493,-0.6475718,0.0003934342622508701,0.033348828475334005,1.0,0.8864800945999212,2.0726597,2.474935
Pde8b,-3.5611267,-1.9137435,0.0003692666622448265,0.03170030419973958,0.3333333333333333,0.6389436342136382,0.26678273,0.76641804
Malat1,-3.5746765,-0.4894433,0.00035066110532620094,0.030394399677790382,1.0,0.9937291718923568,4.6502914,4.986798
Gabrg3,-3.6015356,-2.2866683,0.0003163432648381766,0.027508555100976714,0.375,0.654136954885871,0.38625512,1.1940404
Tafa1,-3.674894,-1.879241,0.00023794814373460354,0.021821387788903746,0.625,0.7915576737019386,0.96023875,1.9360607
Nav1,-3.6949906,-1.7018363,0.00021989481496906683,0.020234841363763103,0.4166666666666667,0.6949510875407604,0.35328028,0.86645126
Fstl4,-3.713302,-3.4976852,0.00020457262521652564,0.019152844737170886,0.125,0.5182570681191099,0.07573489,0.635887
Tmtc2,-3.7177215,-3.3014343,0.00020102780690215544,0.01895304270688041,0.08333333333333333,0.5194037338302218,0.08408535,0.62317795
Tafa2,-3.7216597,-2.0667272,0.00019791765891009075,0.01872551934828922,0.5,0.7291360590532842,0.64173585,1.5622339
Cdh8,-3.7235844,-2.0225437,0.00019641408809022593,0.01864892772785997,0.4166666666666667,0.6908660909449242,0.47565326,1.2454921
Tmem132b,-3.752634,-1.4893847,0.0001749861480947036,0.016732661207489986,0.5833333333333334,0.7226860644282797,0.52799636,1.0827675
Iqgap2,-3.7571802,-3.1658282,0.00017183871409769968,0.01649037945644711,0.16666666666666666,0.5523345397212169,0.12382389,0.7806962
Camk2a,-3.7788725,-1.0542704,0.00015754004191985513,0.015449273453965356,0.9166666666666666,0.7875085104095747,0.98240095,1.4973484
Edil3,-3.7798855,-1.871897,0.00015690043912933136,0.015442911353132357,0.5,0.7590568674526105,0.6442807,1.4611744
Il1rap,-3.7849002,-2.3288753,0.00015377023593515446,0.01519046411609412,0.2916666666666667,0.6413086322428064,0.2617381,0.9175502
Rtl4,-3.8509014,-2.398345,0.00011768384667071676,0.012115574559548503,0.20833333333333334,0.6290178091518257,0.26014313,0.94250244
Zdhhc14,-3.8600824,-1.9540813,0.00011334881335679676,0.011714163903450496,0.375,0.686924427562977,0.32834545,0.9186746
B3galt1,-3.8714666,-1.2104802,0.00010818244556233417,0.011223406611042158,0.8333333333333334,0.8534776221019816,1.2443653,1.9047341
Slc9a9,-3.90467,-2.1282182,9.435408780713911e-05,0.00990349351319464,0.2916666666666667,0.6873902605081162,0.30488136,0.939378
Pex5l,-3.9273245,-2.0427418,8.58960319943796e-05,0.009158834840035636,0.5416666666666666,0.7807718493567922,0.7328393,1.6963416
Pcdh7,-3.9307563,-1.9094229,8.467906172941506e-05,0.009065045373184791,0.625,0.7857168452359623,0.77361757,1.6838274
Zfp608,-3.9330611,-2.257374,8.387092594546873e-05,0.00901444712061898,0.3333333333333333,0.6602286164761529,0.24103725,0.8343033
Alcam,-3.9567795,-2.1727612,7.596701226779939e-05,0.008297697640795812,0.4583333333333333,0.7197119002400831,0.41929343,1.2085433
Enox1,-3.9921608,-1.4009817,6.547396582652993e-05,0.007239857867320409,0.75,0.7867918443401297,0.9049377,1.5865093
Slc2a13,-3.994035,-2.3666213,6.495829300032483e-05,0.007214445267701923,0.2916666666666667,0.6636686136094887,0.26945418,0.95354915
Grm5,-3.9983404,-0.51563114,6.378816036699486e-05,0.007141616121088134,1.0,0.919088400759666,2.5375795,2.8709424
Magi2,-4.1083593,-0.52691966,3.9847981283503605e-05,0.00478942098750841,1.0,0.9233525638728635,2.6207905,2.9635127
Slit3,-4.1392074,-2.3343759,3.485081541352174e-05,0.004295602798905179,0.625,0.7268427276310603,0.60652846,1.6498888
Arl15,-4.1454377,-1.7552718,3.3916549713202636e-05,0.004199712860800714,0.5416666666666666,0.7626043644963629,0.6188033,1.3589582
Brinp2,-4.152098,-3.8941178,3.294405312605107e-05,0.004098179201374964,0.08333333333333333,0.5463145447378794,0.05465235,0.60713893
Lrrc7,-4.1951284,-0.9162313,2.72717108610577e-05,0.0035230330328683674,0.9583333333333334,0.8633317805568496,1.9066919,2.4693787
Cacna2d3,-4.236816,-2.2601788,2.2671178528183106e-05,0.003015715678476634,0.5416666666666666,0.7465510445407962,0.562615,1.5299737
Grid2,-4.258002,-2.0391393,2.0626236849851654e-05,0.0027850602218870047,0.5416666666666666,0.8130934890887591,0.7861498,1.7768446
Zbtb20,-4.3332977,-2.141465,1.468922040282653e-05,0.0020450743638546574,0.7083333333333334,0.8686709427742143,1.1192782,2.3125927
Ppp3ca,-4.3939805,-0.73268634,1.1129385905285927e-05,0.0016252532569295264,1.0,0.9403733830221808,2.1238215,2.5828881
Tcf12,-4.4052763,-1.5997483,1.0564924164223649e-05,0.001551254165533822,0.6666666666666666,0.8128426559644534,0.6715257,1.3612953
Plxna4,-4.4121647,-2.178298,1.023421124400415e-05,0.001510951956738415,0.4583333333333333,0.7469093775755187,0.5051433,1.3799573
Gria1,-4.4415565,-1.5066731,8.931050332113468e-06,0.0013406554325356922,1.0,0.8495359587200344,1.3894196,2.2576075
Dscaml1,-4.523564,-2.424995,6.080689400688853e-06,0.0009725483583125564,0.375,0.7387393843838463,0.3768183,1.2405889
Tcf4,-4.548384,-0.8815946,5.405937820789386e-06,0.0008750454773771736,0.9583333333333334,0.9339233883971764,2.2219563,2.7821946
Dcc,-4.616323,-2.3019996,3.905990908066309e-06,0.000643889421470808,0.6666666666666666,0.8460601282832264,0.9557318,2.1852667
Epha4,-4.6253643,-2.7985942,3.7394023099874002e-06,0.00062023296339112,0.25,0.7012935822553481,0.26755974,1.1424378
Dgkb,-4.652236,-2.412256,3.283549130613644e-06,0.0005565375916921053,0.5416666666666666,0.7797685168595693,0.57347023,1.633589
Kctd16,-4.6768026,-2.1628509,2.9138211788716074e-06,0.0005084050329628577,0.7083333333333334,0.8046009961658366,0.8693211,1.9745302
Gm20754,-4.7074733,-2.782906,2.5080597157336456e-06,0.0004492770970784204,0.4583333333333333,0.7454043788296844,0.45483816,1.6021465
Schip1,-4.770258,-2.0638154,1.8398998442192454e-06,0.0003409524745804905,0.6666666666666666,0.8336259719783566,0.91098315,1.9762962
Gabra2,-4.7899747,-2.2882082,1.6680216216931837e-06,0.00031563197869644965,0.5,0.7699501917081736,0.50194913,1.4313599
Nr3c2,-4.889673,-2.8201752,1.010035205175181e-06,0.00020445165125224462,0.3333333333333333,0.7753968538359551,0.4557806,1.6249022
Grik2,-4.9077945,-0.9928885,9.210633431023493e-07,0.00019037670791661635,0.9583333333333334,0.9168667359443867,2.0494409,2.6714227
Epha7,-4.9224586,-3.189666,8.546368316546291e-07,0.0001780162144694565,0.2916666666666667,0.7096069086609095,0.25113365,1.2822493
Auts2,-4.9649315,-1.1765474,6.872540079495801e-07,0.0001501342698667091,0.9583333333333334,0.9054000788332677,1.9541494,2.6873696
Kcnip4,-5.034478,-1.7066526,4.791521843205356e-07,0.00011495374279189991,1.0,0.9528075393270505,2.5712717,3.6997623
Nlgn1,-5.0385303,-1.1130011,4.6911975409403555e-07,0.00011356079092348409,1.0,0.9544917045902461,2.669237,3.402727
