names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Neuroblast (for_DEGs),mean_expr_Rest (for_DEGs)
Rab26,-2.6651444,-0.87900054,0.007695527620409762,0.04997071705181497,0.035211267605633804,0.1700616841199254,0.04721359,0.08517992
Inpp5j,-2.665758,-1.4375113,0.007681498773783637,0.0499037408248468,0.028169014084507043,0.16145459761870606,0.03207235,0.08459572
Tbkbp1,-2.665841,-1.2181273,0.007679598323032008,0.0499034599612745,0.028169014084507043,0.16181322622292355,0.036100347,0.082058944
Add2,-2.6690855,-0.3344548,0.007605808657649268,0.049495780729240935,0.352112676056338,0.6038947066418018,0.53813225,0.64121014
Qrich1,-2.669569,-0.39682657,0.007594865751893293,0.04944852017285505,0.3732394366197183,0.6302180461913642,0.52472353,0.6462895
Creb5,-2.6722727,-1.1861708,0.007533939303656447,0.04911134136080755,0.06338028169014084,0.19893128675943192,0.102864824,0.22036271
2310057M21Rik,-2.6730266,-2.345817,0.007517028518010081,0.049012995942472916,0.014084507042253521,0.14567493903313727,0.015051217,0.07426406
Prpf8,-2.674337,-0.38316378,0.007487719702099738,0.048833744756169896,0.09859154929577464,0.24670061684119926,0.122919366,0.15749988
Mbnl1,-2.6744149,-0.47087184,0.007485978365559382,0.048833744756169896,0.4225352112676056,0.7069287046334816,0.70831025,0.8871922
Atf4,-2.6744254,-0.8140189,0.007485746214794824,0.048833744756169896,0.04225352112676056,0.17838186773777076,0.06159831,0.10589129
Evc2,-2.67703,-1.0191664,0.00742779541599428,0.04851357871360386,0.035211267605633804,0.17070721560751687,0.04746531,0.09396379
Gosr2,-2.6773784,-1.6389965,0.007420076090130043,0.04847494396834288,0.02112676056338028,0.1540309855114044,0.027546847,0.083409816
Ranbp2,-2.6774201,-0.37295133,0.007419154860624396,0.04847494396834288,0.4014084507042254,0.6739707359058958,0.61584616,0.74304533
Dlk2,-2.67859,-25.911522,0.007393287261796723,0.0483351894706759,0.0,0.13011045761009898,0.0,0.06120501
Trub2,-2.6796403,-0.54949766,0.007370132857197339,0.04819553902966475,0.056338028169014086,0.1961698465069574,0.073064454,0.10520552
Gm48027,-2.6797962,-1.3784516,0.007366699637855496,0.04819553902966475,0.014084507042253521,0.146284607660307,0.027558591,0.0701283
Sh3bgrl2,-2.6809504,-0.41986743,0.007341338373386749,0.0480657315041184,0.06338028169014084,0.20535073877492468,0.08964955,0.11820417
Zfp706,-2.6809764,-0.32813895,0.007340768076820564,0.0480657315041184,0.14084507042253522,0.2992038444986372,0.18563347,0.22799231
Mta1,-2.6819227,-0.83396876,0.007320036317333795,0.04794962843655755,0.056338028169014086,0.1958829436235834,0.060661457,0.105693415
Mog,-2.6832278,-2.2617311,0.007291530898121374,0.04779786173030528,0.04225352112676056,0.17328934155788267,0.048514728,0.21381728
Derl2,-2.6832798,-0.36447814,0.0072903972900526925,0.04779786173030528,0.07746478873239436,0.22163247740639794,0.098465614,0.12506098
Mettl2,-2.6833422,-1.2796838,0.007289037169117011,0.04779786173030528,0.035211267605633804,0.17059962702625162,0.035720073,0.08460829
Pgm1,-2.6855466,-0.395907,0.00724112547522794,0.047537024558850415,0.08450704225352113,0.2304906039305695,0.107375406,0.13901834
Armc8,-2.6878552,-0.2812485,0.0071912569138066805,0.04724427219412848,0.323943661971831,0.585568784966289,0.46259508,0.53929436
Akain1,-2.6885417,-1.9033326,0.00717649068644525,0.04715879304103299,0.02112676056338028,0.1541027112322479,0.024982264,0.09041616
