names,scores,logfoldchanges,pvals,pvals_adj
Tenm2,19.996231,0.75369287,2.4379880226526018e-79,1.534713460259813e-75
Naaladl2,18.987785,0.8943238,2.1221645740931407e-71,8.906017329277547e-68
Kctd16,18.426184,0.6005306,1.2657169030711054e-68,3.983843952416304e-65
Dab1,17.062054,0.33213967,1.70922942950752e-59,4.303839703499935e-56
Frmpd4,16.440838,0.6765575,3.1332441535440782e-56,6.574590648853324e-53
Dpp10,14.404687,0.77011937,5.853558607093832e-44,6.141358571942612e-41
Dcc,13.704793,0.6721643,2.738972500783399e-40,2.155228986553937e-37
Mir99ahg,12.914759,0.61966884,4.827631316431336e-36,3.038993913693526e-33
Tenm4,12.765459,1.1110871,5.566829280978068e-35,3.0472339411962557e-32
Negr1,12.423664,0.30698505,1.4217021421691024e-33,6.629344433299629e-31
Grik4,12.220312,0.69580954,1.3257755426400773e-32,5.755694510978819e-30
Nlgn1,11.901803,0.24843049,2.659360464413694e-31,1.0145863105141944e-28
Gm28307,11.726667,1.3815446,8.485819355299105e-30,2.9676796023115482e-27
Ncam2,11.271201,0.4026764,2.7977236957429974e-28,9.031625981898548e-26
Rbfox1,11.159591,0.21194229,1.0575863029892853e-27,3.1702408463416907e-25
Car10,10.882897,0.88032484,1.9212213702276944e-26,4.936362663503403e-24
Pdzrn4,10.567187,0.9696926,5.139464041702089e-25,1.1982565237968389e-22
Trpm3,10.316913,0.43573868,4.484889034532249e-24,9.90609700785281e-22
St6galnac3,10.144189,0.4603357,2.117264974008499e-23,4.369896069306066e-21
Shisa9,10.048161,0.39812332,6.420810687088205e-23,1.2436616392375462e-20
Cdh10,10.021952,0.85471517,9.726857835263263e-23,1.8554718203934014e-20
Adcy8,10.005791,0.9145674,1.181750627550483e-22,2.1879765295383205e-20
Pde1a,9.9073715,0.7722019,2.601309753424842e-22,4.548679138280383e-20
Prr16,9.898555,0.9015677,2.866976275488044e-22,4.944552234026641e-20
Mlip,9.735457,0.7034534,1.349334845228217e-21,2.1779648335158015e-19
Gm26871,9.701029,0.32451043,1.4793203967770104e-21,2.3280804744278203e-19
Zfpm2,9.691379,0.27534494,1.377237847593543e-21,2.194863860911735e-19
Meg3,9.654071,0.30806303,2.386441298154214e-21,3.709295795526117e-19
Msra,9.592396,0.4182883,4.2763912582768945e-21,6.409495945441202e-19
Ptprd,9.455023,0.2301195,1.3263469507468893e-20,1.815076968467754e-18
Pam,9.398768,0.62537706,2.640143666690268e-20,3.5361073152798376e-18
Slit2,9.311796,0.8830412,6.223058509747809e-20,7.994725167114787e-18
Celf2,9.242004,0.13736826,8.469447530390054e-20,1.0770741859354624e-17
Xkr4,9.173751,0.31304896,1.7726302022368423e-19,2.1879817888393965e-17
Auts2,9.099431,0.1975166,3.260518393838001e-19,3.872634582869852e-17
Arpp21,9.096208,0.31843278,3.5727087831363193e-19,4.203776035484697e-17
Cntnap5a,8.965494,0.37742156,9.290530621551228e-19,1.0443551832618746e-16
Fgf14,8.644111,0.17956573,1.5217462825210865e-17,1.3984515107255824e-15
Ano3,8.557266,0.39528838,3.048491099087224e-17,2.6653127039936216e-15
Csmd1,8.535178,0.13782015,3.494787665194415e-17,3.013655938684773e-15
