names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-TE NN (for_DEGs),mean_expr_Rest (for_DEGs)
Cenpo,-2.3435183,-0.28726438,0.019102823403814397,0.04999443506968859,0.020895522388059702,0.0654386095223947,0.02557953,0.031128429
Gsto1,-2.3453033,-0.29411107,0.01901160324891142,0.049765394963297606,0.024875621890547265,0.06952388026442843,0.033804983,0.0412934
Gm57446,-2.3461878,-0.2792112,0.0189665416975341,0.049657115406093855,0.01890547263681592,0.06347025180123302,0.024437074,0.029578665
Uck1,-2.3462417,-0.528836,0.0189638044828795,0.04965478722032471,0.01791044776119403,0.06228180940355047,0.021614315,0.03103715
Tmem42,-2.348248,-0.326333,0.018861962895800177,0.04939775273003418,0.021890547263681594,0.06662705192007724,0.027664145,0.034565818
Sdr39u1,-2.3485408,-0.45200962,0.018847136328980857,0.049363734590088276,0.01791044776119403,0.06243036470326079,0.024395484,0.033223987
Rpusd4,-2.3504014,-0.7295727,0.018753170069518488,0.04913678008463791,0.013930348258706468,0.05819653866151675,0.016487628,0.027192457
Gm48860,-2.350535,-2.7267673,0.0187464452296011,0.04912395000189015,0.0029850746268656717,0.04664636410903959,0.0029438469,0.019328104
Ccr5,-2.3506207,-1.4809285,0.01874213039901696,0.04911743331918324,0.01691542288557214,0.06087053405630246,0.0225505,0.06171572
Gm37864,-2.352599,-3.3084888,0.018642729309912145,0.048885540798022764,0.001990049751243781,0.04568075466092253,0.0019907695,0.019550411
Gm15243,-2.353111,-1.0881404,0.018617078403039205,0.04882780836404719,0.008955223880597015,0.05303424199658323,0.010797681,0.022817913
Gm41764,-2.3534336,-3.6098092,0.018600925221313194,0.04879020506605677,0.001990049751243781,0.045717893485850106,0.0017545449,0.021212526
Hpgd,-2.3544059,-1.6732248,0.018552340341246868,0.0486722695732575,0.014925373134328358,0.058902176335140756,0.01733566,0.054270446
Zfp78,-2.3554738,-1.2908105,0.018499104621815386,0.048537344125395905,0.007960199004975124,0.05203149372353859,0.009916061,0.024089364
Slc31a2,-2.3567927,-0.3684512,0.018433539090505355,0.04837476270747914,0.022885572139303482,0.06788977196761495,0.02777264,0.03571074
Ets1,-2.358255,-1.2583828,0.018361080421969742,0.04819402470824724,0.023880597014925373,0.068149743742108,0.025731053,0.060487676
Kics2,-2.359775,-0.9665995,0.01828602335457881,0.048006394483393514,0.010945273631840797,0.055225432667310406,0.012411315,0.024112618
Mtg1,-2.3599522,-0.45994523,0.018277285853860663,0.047997524520449183,0.01791044776119403,0.06254178117804353,0.02319262,0.031764157
Gm34102,-2.3622594,-0.33950156,0.01816393290525976,0.04771850578454534,0.014925373134328358,0.059570675183837185,0.020256573,0.025562877
C1ql2,-2.3629267,-0.46255198,0.01813125582957031,0.04764197576183789,0.031840796019900496,0.0772858946742925,0.0430447,0.058843933
5830418P13Rik,-2.3691344,-2.4517658,0.017829768378817848,0.046895641771616633,0.0029850746268656717,0.047054891183242964,0.0044691483,0.024209343
D130062J10Rik,-2.3698857,-0.2718143,0.01779359142122521,0.046805071119757354,0.027860696517412936,0.0733491792319691,0.030350845,0.036529697
Slco2a1,-2.3729057,-1.5741683,0.01764876447335213,0.04645139596424446,0.006965174129353234,0.051288717224987,0.008803256,0.025987994
Alkbh2,-2.3752666,-0.743843,0.017536279180726137,0.046168902761719706,0.010945273631840797,0.05555968209165862,0.014797914,0.024658768
Ifit1bl2,-2.3766074,-24.142351,0.01747267536982755,0.04601948511931644,0.0,0.04408378518903662,0.0,0.018347709
Ehbp1l1,-2.3786414,-1.2572116,0.017376568990523242,0.04578431150964498,0.014925373134328358,0.059570675183837185,0.014097973,0.033374343
Fcrls,-2.381819,-1.0248299,0.01722735985139676,0.04540452763188141,0.03482587064676617,0.07966277946965758,0.045878865,0.091233864
Marveld2,-2.381861,-0.91588765,0.017225402861383333,0.04540452763188141,0.008955223880597015,0.05355418554556934,0.012670018,0.02377216
Tsbp1,-2.3840463,-0.62889427,0.017123444209274783,0.0451660887310507,0.01691542288557214,0.06198469880412984,0.018365953,0.028260054
Dyrk1b,-2.3844588,-1.4473033,0.01710426446678743,0.0451243579992713,0.006965174129353234,0.05151155017455248,0.009319443,0.025212187
Piezo2,-2.3857737,-1.350469,0.017043237460334797,0.04499428085667086,0.01791044776119403,0.06265319765282626,0.021222042,0.05325013
Setmar,-2.3912582,-0.64373744,0.0167907367285112,0.04437127221627615,0.013930348258706468,0.05893931516006833,0.017670264,0.027472025
Pes1,-2.3924158,-0.65551186,0.0167378699649116,0.04423591678540127,0.020895522388059702,0.06625566367080146,0.02366141,0.03702146
Dlx1,-2.3946033,-0.9249502,0.016638358914592737,0.0439815744254901,0.014925373134328358,0.05994206343311297,0.019600488,0.036892004
Brf2,-2.3949618,-0.57784784,0.01662209528717057,0.043942906372124474,0.01990049751243781,0.0652900542226844,0.022375764,0.03321711
Gm32031,-2.3965197,-0.2798699,0.016551600820800365,0.04376946305037947,0.020895522388059702,0.06647849662036694,0.026991077,0.03267602
Tubg2,-2.3978326,-0.738513,0.01649239836755166,0.04361719922599539,0.015920398009950248,0.061167644655723094,0.018361816,0.030450476
Ccdc142,-2.3991494,-1.1813791,0.016433203168796644,0.04347348322787888,0.009950248756218905,0.054891183242962195,0.010606292,0.023894634
Zfp712,-2.399795,-0.4706383,0.01640425589504976,0.04340545109798001,0.01791044776119403,0.06335883532645027,0.021327723,0.029434228
Gm5086,-2.3999205,-1.3812696,0.016398632463381788,0.04339484481889587,0.01890547263681592,0.06391591770036396,0.020816173,0.05334547
Ogfod2,-2.4014406,-1.1815089,0.01633066079820396,0.04322774659124623,0.008955223880597015,0.05392557379484513,0.011500776,0.025897674
Gm3854,-2.4027634,-0.30141163,0.016271710100903673,0.043075945853328246,0.020895522388059702,0.06670132956993241,0.024219478,0.02976385
Myof,-2.4049828,-1.2304504,0.01617322784047944,0.042840559155528646,0.012935323383084577,0.05801084453687885,0.014678995,0.034108505
Adap2,-2.4066422,-1.4140515,0.016099929851436552,0.04265481316388288,0.026865671641791045,0.07178934858501076,0.032323893,0.08392331
Gm50152,-2.4068077,-0.85683405,0.016092642471979505,0.042641571172815695,0.010945273631840797,0.056153903290499886,0.01375871,0.024780454
Ccdc51,-2.4070966,-0.3544615,0.01607991846493446,0.04261858548699901,0.01990049751243781,0.0656243036470326,0.02529123,0.03222268
Gm35417,-2.4077818,-0.48871043,0.016049767227318826,0.04254288698806914,0.026865671641791045,0.072829235682983,0.02802921,0.039111793
Nfil3,-2.4143982,-1.6770164,0.015761231606910474,0.0418069391192186,0.006965174129353234,0.05195721607368343,0.0079529965,0.025211865
Ermn,-2.4160337,-0.75822246,0.015690608617632076,0.04162371937563174,0.04875621890547264,0.0948525588650375,0.054541603,0.09058463
Gm17753,-2.4209983,-0.5620469,0.015477947066689302,0.04108391165483963,0.01691542288557214,0.06265319765282626,0.019717783,0.028975606
Itga10,-2.4217634,-0.44909954,0.015445403946060357,0.04100158111347972,0.01990049751243781,0.06584713659659808,0.022134274,0.030096851
Rbm19,-2.423688,-0.36289728,0.015363803817674155,0.04078899403032354,0.021890547263681594,0.06800118844239768,0.024893554,0.031900786
Gm11457,-2.4239488,-1.3468336,0.015352767233618921,0.04076372090586368,0.007960199004975124,0.053294213771076286,0.009440392,0.023839213
Pnpo,-2.4240186,-0.7390627,0.015349819709613705,0.04076282944622944,0.01890547263681592,0.06477011067369828,0.022158274,0.036714643
Arhgef15,-2.4268754,-1.4751266,0.015229482962541426,0.040456372437319636,0.007960199004975124,0.053294213771076286,0.009675728,0.026670987
Gm12002,-2.4289296,-2.6954243,0.015143478759234217,0.04024780160837027,0.0029850746268656717,0.04816905593107034,0.003334996,0.021407513
Gm28198,-2.4289553,-0.7691255,0.015142397058286803,0.04024780160837027,0.013930348258706468,0.05968209165861992,0.016676323,0.028255723
1700010K24Rik,-2.4306867,-0.4606303,0.015070243634515871,0.04006504862564969,0.014925373134328358,0.06087053405630246,0.019794004,0.027139094
Slc32a1,-2.430824,-0.6678606,0.015064527534552978,0.04005381504585776,0.024875621890547265,0.07115798856124192,0.032569792,0.051259503
Zfp87,-2.432155,-0.27400184,0.015009287718721757,0.039918792537073505,0.01890547263681592,0.06506722127311892,0.026347898,0.031772073
Runx2os1,-2.4370518,-2.826349,0.014807558258026899,0.03940957709916628,0.003980099502487562,0.04928322067889772,0.0030749976,0.021608664
