names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-TE NN (for_DEGs),mean_expr_Rest (for_DEGs)
Slc1a2,52.278854,5.0728245,0.0,0.0,0.9880597014925373,0.7211245636188071,4.2186556,1.0949255
Slc1a3,50.98533,5.6786547,0.0,0.0,0.9711442786069652,0.2907227215330907,2.9478621,0.3020971
Atp1a2,49.81263,5.8402205,0.0,0.0,0.9621890547263682,0.2912426650820768,3.1155655,0.31924453
Gpc5,49.21709,5.3481956,0.0,0.0,0.9641791044776119,0.6010176038030157,4.372982,1.0721611
Plpp3,49.118664,5.6790395,0.0,0.0,0.9412935323383085,0.23913689370868305,2.6201153,0.2220308
Npas3,48.209984,4.3278975,0.0,0.0,0.9701492537313433,0.5704523508876179,3.4805849,0.9429103
Ptprz1,47.967884,4.3058157,0.0,0.0,0.9671641791044776,0.5522914654980317,3.136923,0.7485901
Nrxn1,47.848457,1.8159415,0.0,0.0,0.9860696517412936,0.9660922528411201,4.816795,3.5782733
Msi2,47.797806,3.8007996,0.0,0.0,0.9502487562189055,0.6420560053479908,2.7943358,0.7426736
Dtna,47.567314,3.0980058,0.0,0.0,0.954228855721393,0.7462675480947782,2.8932505,1.0957737
Rorb,46.7319,5.392996,0.0,0.0,0.9084577114427861,0.21729926465126642,2.5014052,0.23628302
Rgs20,46.598995,5.159211,0.0,0.0,0.9044776119402985,0.27557008096263835,2.3469074,0.23471284
Prex2,46.121086,4.84054,0.0,0.0,0.9054726368159204,0.3706826116021689,2.4551618,0.3160137
Ntm,46.075317,2.8420076,0.0,0.0,0.9741293532338309,0.8093292728218079,3.7559469,1.9207588
Gm3764,45.971405,4.112394,0.0,0.0,0.9174129353233831,0.5254029562504642,2.4537866,0.47915864
Tspan7,45.74397,3.1516268,0.0,0.0,0.945273631840796,0.7411423902547724,2.811299,1.0148675
Nfia,44.710224,2.7996716,0.0,0.0,0.9592039800995025,0.7315234345985293,2.923213,1.2606851
Slc4a4,44.418613,3.9798996,0.0,0.0,0.9134328358208955,0.4926093738394117,2.8198736,0.6930256
Rora,44.043396,2.5066593,0.0,0.0,0.9641791044776119,0.7959221570229518,3.1342509,1.5823026
Lama2,43.941475,4.9364614,0.0,0.0,0.8766169154228856,0.19809849216370795,2.1132088,0.21315123
Mir99ahg,43.708744,2.15348,0.0,0.0,0.9641791044776119,0.8718339151749238,3.4534955,2.0643718
Gabrb1,43.426903,2.0194774,0.0,0.0,0.9701492537313433,0.8406744410606848,3.3258426,2.0302088
