names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LA-BLA-BMA-PA Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Csmd3,2.874098,-0.31310648,0.004051831647813998,0.024269441902978632,0.7546875,0.90392437067165,2.3683243,2.566921
Azin2,-2.6088305,-0.28295794,0.009085222591866077,0.04998360586475051,0.175,0.2342164083397457,0.10616046,0.12775044
Tubgcp4,-2.6089199,-0.47944626,0.00908285286394508,0.04998080205902197,0.1703125,0.22710783774870835,0.09377467,0.12845272
Kctd20,-2.609396,-0.31939423,0.009070223632492071,0.049921529906813186,0.165625,0.2252390898098274,0.1018577,0.12557243
Gm43696,-2.6094801,-0.8026252,0.00906798884079404,0.049919455060876014,0.1375,0.19299402733501886,0.05820001,0.099419
Lonrf1,-2.6106927,-0.29391322,0.009035901614288208,0.04976320483212218,0.2546875,0.30999230515554577,0.1578263,0.19028509
Junos,-2.6108713,-0.82849634,0.009031185687039402,0.049747429153495025,0.128125,0.18606866732622476,0.059916615,0.10404861
Cnn3,-2.6121285,-0.29995215,0.008998039877426959,0.049575011586315845,0.08125,0.14129200102597925,0.07411654,0.09049107
Pms1,-2.6125476,-0.54922724,0.008987015439172989,0.04952442675360504,0.16875,0.22685134293356785,0.09221305,0.13221413
Lrp4,-2.6131628,-2.0393832,0.008970859402672667,0.04944553685124402,0.046875,0.10534608478985746,0.021386791,0.08513266
Mtx3,-2.6132495,-0.7040699,0.00896858140668023,0.04944312318372954,0.1453125,0.20164156681689935,0.06861792,0.10949051
Scrn3,-2.6147075,-0.747755,0.008930388238774045,0.049262888929554216,0.1046875,0.1633505551280642,0.055487197,0.091490425
Chsy1,-2.6153448,-0.50690687,0.008913740637206456,0.04918115213998716,0.184375,0.24007914697152907,0.10684327,0.14861988
Rxylt1,-2.615464,-0.2508226,0.008910634431325509,0.04917411114596763,0.2421875,0.29804697519328716,0.16663262,0.19536169
Rnf32,-2.617537,-0.41454825,0.008856689516693416,0.048886451789965514,0.2515625,0.3053387563665677,0.13856557,0.18073648
Naa60,-2.6185215,-0.42955503,0.008831174451232486,0.04875563129332585,0.1421875,0.20116521930306694,0.08799839,0.11679473
Grm4,-2.6189406,-1.0561199,0.00882033281624533,0.048715795020043584,0.0671875,0.12538932248726686,0.032560147,0.066553034
Hip1r,-2.6195407,-0.6286411,0.008804828813092361,0.0486401624604835,0.1609375,0.2166281924443956,0.09067859,0.13693345
Rasgrp3,-2.6225412,-1.8668476,0.008727673439482808,0.04823376909068347,0.0453125,0.10453995822798724,0.034548335,0.12063395
Numbl,-2.625296,-0.33909947,0.008657363430599505,0.047864887938314546,0.2296875,0.28522223443626105,0.1354392,0.16845112
Ptdss2,-2.6258094,-0.5043608,0.008644319458429865,0.04780260626631209,0.1484375,0.20823714777765565,0.08225521,0.114766635
Zmpste24,-2.6271858,-0.33398676,0.008609433137370058,0.04762929141468673,0.2203125,0.276428126488586,0.13652603,0.16922861
9530077C05Rik,-2.6276767,-0.746838,0.008597017699308884,0.047570400654948455,0.1375,0.1931772379172621,0.062849686,0.10332675
Napepld,-2.6292043,-0.33221486,0.008558494182807979,0.047386511166711394,0.14375,0.20259426184456414,0.095303014,0.118569046
Twf2,-2.6302779,-0.4221185,0.008531507598634473,0.04724682794214927,0.1515625,0.21065552746326627,0.09073325,0.119789034
Cep192,-2.6315105,-0.47662872,0.008500626038133667,0.04709522095766013,0.225,0.27924956945513174,0.12796117,0.17391147
Ndufaf7,-2.6350193,-0.30981272,0.008413250359513073,0.04663999116156721,0.2859375,0.3395624931296032,0.17694218,0.21505462
Inpp5j,-2.6353292,-0.50202894,0.00840557040939306,0.04660703196458761,0.103125,0.16247114433329668,0.060615987,0.08480027
Nos1,-2.6356046,-0.32703704,0.00839875587061556,0.046578858667376696,0.165625,0.22373676303543294,0.11654387,0.14414933
Pcid2,-2.6366808,-0.5902881,0.008372159044732777,0.046464537557719884,0.146875,0.206441684071672,0.0728136,0.107700616
Coq9,-2.6367006,-0.26275483,0.008371669488637597,0.046464537557719884,0.140625,0.2014583562346561,0.09131439,0.10859759
St6gal1,-2.6385405,-0.59911203,0.008326374337119715,0.046234692795702984,0.278125,0.3246491517350042,0.19529472,0.2826892
Ak3,-2.6441646,-0.76062965,0.008189281165072271,0.04552047681123126,0.128125,0.18493276171631673,0.06413619,0.10635947
Zcchc24,-2.644445,-1.7338504,0.008182503822753689,0.0454922155426012,0.0484375,0.10787439082481404,0.031033725,0.09970133
Arntl2,-2.6449432,-0.3891071,0.008170460954901128,0.04543466180840093,0.2171875,0.2726173463779268,0.116507486,0.14998756
Dynlt3,-2.6449606,-0.27929103,0.008170041837541149,0.04543466180840093,0.1328125,0.19339709061595398,0.10093641,0.12123654
Unkl,-2.6455956,-0.39132947,0.008154727330507842,0.045365946867649214,0.2109375,0.2671210289106299,0.118805274,0.15311542
Lysmd4,-2.6470437,-0.5993417,0.008119887234259125,0.04519042700106942,0.1734375,0.22937964896852442,0.09435376,0.13968296
Fli1,-2.6471577,-2.3515193,0.008117148649170859,0.04518495632965008,0.0390625,0.09834744054816606,0.025941044,0.12586178
Prkce,-2.6486108,-0.3482138,0.008082333739727755,0.0450191350718252,0.7125,0.8391777509068924,1.6428139,1.841812
Clic4,-2.6504037,-1.3154403,0.008039563753775653,0.044790188277825375,0.06875,0.12817412333736397,0.053516395,0.12823416
Gm960,-2.6508105,-1.0371904,0.008029890366160752,0.0447455732349107,0.0796875,0.1391667582719578,0.037477296,0.07545186
Riok2,-2.6515121,-0.38754952,0.008013222379195946,0.04466195505683366,0.1890625,0.2467846542816313,0.11069789,0.14248075
Mturn,-2.6519759,-0.48322585,0.008002225555643889,0.04460991715355836,0.1265625,0.1861785936755707,0.07276596,0.100306235
Plbd2,-2.6519957,-0.42353725,0.008001755404862972,0.04460991715355836,0.0859375,0.14645853944523834,0.058217116,0.07733044
Adam17,-2.6524544,-0.43896613,0.007990890065256667,0.04456521711362529,0.2109375,0.2668645340954894,0.13410807,0.1777744
Fhl2,-2.6556287,-0.37083888,0.007916074895557635,0.044166306570521945,0.25,0.3038730717086219,0.15309048,0.19385436
Abhd5,-2.6562583,-0.8515877,0.007901303576395584,0.04410220754003934,0.1203125,0.17789747535817668,0.05510307,0.0973293
Snx19,-2.6567023,-0.25670055,0.00789090870178752,0.04405333821255572,0.1921875,0.2491663918507933,0.12558925,0.14831316
Gm5468-1,-2.6594524,-0.597208,0.007826779532681674,0.04371348286076836,0.1625,0.2197427723425305,0.08586674,0.12719475
Gm12905,-2.6596482,-0.5956381,0.00782222913375567,0.04369715110686379,0.196875,0.2531603825436957,0.096269116,0.1421149
Bcl9l,-2.6603675,-0.7759757,0.00780554545026296,0.043613018558653724,0.0984375,0.15741453226338353,0.05263274,0.088504836
Kcnh5,-2.663802,-0.30847016,0.0077263053806498495,0.04318823082547565,0.240625,0.3061082408119893,0.22702572,0.27430788
Ankrd55,-2.6644366,-0.90027726,0.007711738029937243,0.043115772131588376,0.0703125,0.13139862958484483,0.044161342,0.08090778
Parp11,-2.6663337,-0.6416427,0.007668353253080852,0.042882133592150366,0.1671875,0.2244329632479572,0.08282832,0.12638885
Zbed4,-2.6664205,-0.73085266,0.0076663735722593,0.04287998707048447,0.1375,0.19680480744567808,0.06649945,0.10806161
Pgap2,-2.6674173,-0.6084554,0.007643668347932452,0.0427618922567031,0.1875,0.24410977978088014,0.09995152,0.14864826
Tor1b,-2.66865,-0.34323344,0.0076156807968698285,0.04262306665525772,0.171875,0.23080869151002162,0.10422598,0.13046406
Atad5,-2.6688828,-0.66504264,0.007610397718950692,0.04260237223087606,0.140625,0.19955296617932652,0.07183585,0.111626424
Arhgap15,-2.6691458,-0.31057882,0.007604444147033909,0.042577915030381566,0.321875,0.38067494778498406,0.27703974,0.33353677
