Number,Pathway
1,Nonsense Med. Decay (Nmd) Indep. Of Exon Junction Complex...
2,Nonsense Med. Decay (Nmd) Enhanced By Exon Junction Compl...
3,Major Pathway Of Rrna Proc. In Nucleolus And Cytosol R-Hs...
4,Rrna Proc. In Nucleus And Cytosol R-Hsa-8868773
5,Rrna Proc. R-Hsa-72312
6,Mrna Splice Site Recog. (Go:0006376)
7,Reg. Rna Splicing (Go:0043484)
8,Ras Activ. Upon Ca2+ Influx Thru Nmda Receptor R-Hsa-442982
9,Rrna Proc. (Go:0006364)
10,Reg. Mrna Proc. (Go:0050684)
11,Auf1 (Hnrnp D0) Binds And Destabilizes Mrna R-Hsa-450408
12,"Reg. Mrna Splicing, Via Spliceosome (Go:0048024)"
