names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SMC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Atxn7,-3.3068407,-3.8849325,0.0009435453183445551,0.04990760374787047,0.06666666666666667,0.5447055452070497,0.040920693,0.48062044
Dip2c,-3.3098996,-1.9678822,0.0009332942781172314,0.04946275592309666,0.4,0.8394827339160338,0.8232802,1.7916441
Papola,-3.314624,-2.173007,0.0009176640986624605,0.04873050263055398,0.2,0.7295816019487033,0.2943396,0.93349326
Sh3d19,-3.3147042,-4.16494,0.0009174012831711874,0.04873050263055398,0.06666666666666667,0.5429144576586904,0.040920693,0.55919135
Zfyve9,-3.3157291,-2.1098347,0.0009140433993788954,0.04873050263055398,0.13333333333333333,0.6555022209485599,0.21916564,0.7215821
Arpp21,-3.316626,-2.077042,0.0009111145977855384,0.048671270859835816,0.4666666666666667,0.79954148158762,0.85510516,1.9025594
Spon1,-3.3173468,-29.466375,0.0009087674012974601,0.04864258978657919,0.0,0.4946625591058891,0.0,0.5548943
Tub,-3.318548,-28.88036,0.0009048678565669334,0.04853053753683333,0.0,0.49484166786072503,0.0,0.4015548
Ablim2,-3.3206298,-3.1614192,0.0008981453617235714,0.048266331739024726,0.06666666666666667,0.5844318670296604,0.08583824,0.58885795
Nav1,-3.3213027,-2.4128916,0.0008959833918292942,0.048246640758423116,0.13333333333333333,0.6950136122653675,0.23015969,0.86635184
Dapk1,-3.3243134,-2.2472215,0.0008863649950801072,0.04792077951268105,0.13333333333333333,0.648051296747385,0.23224348,0.80700076
Slain1,-3.324794,-29.02598,0.0008848390297055909,0.04792077951268105,0.0,0.4957730333858719,0.0,0.4360752
Slc24a2,-3.325755,-2.1748967,0.0008817944024765128,0.047866294130391715,0.4666666666666667,0.8157329130247887,0.7670799,1.825922
Arl3,-3.3298388,-28.906565,0.0008689627734660618,0.04736111505686223,0.0,0.49652529015618285,0.0,0.40759918
Ext1,-3.330079,-2.264335,0.0008682133900118188,0.04736111505686223,0.26666666666666666,0.7761856999570139,0.52359515,1.4599558
Hmg20a,-3.331136,-3.053804,0.0008649232161254802,0.047332967041327195,0.06666666666666667,0.5885155466399198,0.08583824,0.5563452
Eefsec,-3.332001,-28.88516,0.0008622398590617289,0.04728241839385439,0.0,0.49684768591488754,0.0,0.4026562
