names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Afdn,3.6902425,0.34461764,0.00022404025387272894,0.009875288721114402,0.9034653465346535,0.9988412,1.1562219
Bptf,3.6646047,0.33864537,0.0002477208655341874,0.010529119804510639,0.8217821782178217,0.71470875,0.8414347
Srcap,3.663219,0.42378026,0.0002490655260093916,0.0105374842329099,0.7202970297029703,0.5286566,0.6598568
Wnk2,3.630421,0.37740728,0.0002829594789849052,0.011480223406845907,0.7673267326732673,0.63002175,0.76084006
Amy1,3.6285732,0.3973449,0.0002849920980923828,0.011486022801309982,0.8193069306930693,0.717463,0.86790633
Zc3h12b,3.621182,0.4795768,0.0002932601672888587,0.011676987553274966,0.7524752475247525,0.6237169,0.79176337
St3gal3,3.6193342,0.5049926,0.00029536201114900546,0.01171712037561851,0.6955445544554455,0.44611248,0.5866003
Zfp512,3.6144838,0.624884,0.00030094667918200476,0.011839088586185044,0.6014851485148515,0.2923218,0.42107013
Hexb,3.5969298,0.6155802,0.0003219952474892398,0.012450870382156129,0.6485148514851485,0.36550298,0.5164425
Srrm1,3.570599,0.39089644,0.0003561657457087594,0.013527983341441568,0.7871287128712872,0.66047794,0.80061954
Herc2,3.5675964,0.3178732,0.00036027084706183386,0.013563745725802946,0.8910891089108911,0.95122814,1.0921025
Gm19951,3.5671344,1.5368092,0.0003609063142427261,0.013563745725802946,0.297029702970297,0.060576253,0.16652744
Dnm2,3.562977,0.51234895,0.0003666728702792313,0.013636920533197384,0.6955445544554455,0.43801984,0.5788493
Nova2,3.522095,0.51820564,0.00042815087127235247,0.015235627847834443,0.6707920792079208,0.41091785,0.54686755
4933406I18Rik,3.4911447,0.471035,0.0004809558528303896,0.01636817022468661,0.7153465346534653,0.573957,0.7297761
Srsf1,3.4825985,0.44291544,0.0004965722419811247,0.01677850247274393,0.7574257425742574,0.49767083,0.6294747
Usp9x,3.4784412,0.29392916,0.0005043391826978398,0.016881178080864256,0.9381188118811881,1.2534789,1.403154
Vezt,3.4747455,0.2890037,0.0005113380636531041,0.017062124609932703,0.8886138613861386,0.9523687,1.0800769
Gpi1,3.4611182,0.35063013,0.0005379365113566723,0.01785381924886818,0.7846534653465347,0.62089884,0.7406819
Mdn1,3.4564989,0.4114726,0.0005472416783194357,0.018035401896859926,0.7722772277227723,0.5720763,0.70641726
Npas2,3.447722,0.6358893,0.0005653359308495491,0.01829399744812544,0.5915841584158416,0.37801385,0.53873295
1500004A13Rik,3.4340944,0.3517416,0.0005945369257832016,0.01900920899123544,0.8143564356435643,0.737596,0.87217224
Gm47283,3.4320157,0.73117036,0.0005991128046737076,0.019090541639277616,0.5544554455445545,0.25409666,0.39219594
Scn8a,3.4151547,0.28127962,0.0006374578149872594,0.019898840962384024,0.9108910891089109,1.1721311,1.3106763
Pknox2,3.387669,0.39809802,0.000704892574191396,0.02138839762652703,0.8267326732673267,0.7771283,0.9355698
Osbpl6,3.3541782,0.3544737,0.0007960110891793672,0.023683541045000565,0.8366336633663366,0.8597885,1.0087566
Ppp6r3,3.3516374,0.384069,0.0008033516024102216,0.023769886777391946,0.8242574257425742,0.67251444,0.81169295
Dgkg,3.3479419,0.32993302,0.0008141409055814286,0.023956767141985393,0.8539603960396039,1.0596105,1.2148151
Dnajc13,3.3398578,0.41364357,0.0008382128891963433,0.024597529468991873,0.7475247524752475,0.59357184,0.73215055
Bclaf1,3.338703,0.28285798,0.0008417051441184623,0.02463252404003511,0.9133663366336634,0.9687488,1.0948439
Senp7,3.3179154,0.33823645,0.0009069192587373219,0.026112935968643693,0.8638613861386139,0.8324048,0.9715386
Fnbp1,3.3107553,0.37776953,0.0009304452284341628,0.026647055726626515,0.7772277227722773,0.6800316,0.8177826
Rnf216,3.3086765,0.40721667,0.0009373805155713753,0.026774087206093335,0.7301980198019802,0.5506227,0.6799693
Hnrnpr,3.2915847,0.37303677,0.0009962463229693087,0.02808103780348491,0.8168316831683168,0.695334,0.83323383
Gabbr2,3.2901988,0.36940065,0.001001166192601316,0.028145645902762976,0.8712871287128713,1.1105489,1.2892797
Fbxl20,3.2701042,0.36317566,0.001075078641258994,0.029832039706023532,0.8143564356435643,0.6763493,0.8079935
Jmy,3.2680254,0.48556426,0.001083006157399887,0.029974364216822195,0.6608910891089109,0.35751382,0.471088
Ubr4,3.2495477,0.59334236,0.0011558868974102235,0.03142310801563681,0.6014851485148515,0.31036437,0.43765035
Cmss1,3.2414637,0.29147452,0.001189175876279153,0.03216480507784345,0.8811881188118812,0.97984403,1.1107394
