names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_COAa-PAA-MEA Barhl2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Mbnl1,-3.461672,-1.1182702,0.0005368308532313241,0.04939946926823863,0.4444444444444444,0.7073669116329091,0.50615686,0.8880534
Gpm6b,-3.4645162,-1.1042134,0.0005311864471990421,0.04904804067435829,0.6111111111111112,0.8330166696540598,0.9756098,1.5158302
Hace1,-3.4717863,-1.2815859,0.0005170076846754612,0.04790343616286083,0.3611111111111111,0.6217960207922567,0.3346965,0.6761985
Zmat4,-3.4735548,-1.5520599,0.000513612544523813,0.047753526198459705,0.3055555555555556,0.6015414948915576,0.38605452,0.8677824
Setbp1,-3.475375,-1.1121056,0.0005101398425736408,0.047595338784561556,0.5277777777777778,0.7784549202366016,0.9004823,1.4249569
Odf2,-3.4778569,-1.6045053,0.0005054396052691648,0.04748658109644216,0.2777777777777778,0.5683814303638645,0.20027398,0.51538795
Wnk1,-3.4782705,-1.2003121,0.0005046601686477787,0.04748658109644216,0.4444444444444444,0.7626456354185338,0.58824897,1.0438833
Zfp277,-3.4789946,-2.5674348,0.0005032988503401725,0.04748658109644216,0.1111111111111111,0.4337336440222262,0.06211487,0.32198566
Fam135a,-3.4790463,-1.4193909,0.000503201744440183,0.04748658109644216,0.3611111111111111,0.6329449722172432,0.3062736,0.67217857
Tspan5,-3.4793668,-1.1739506,0.000502600077624403,0.04748658109644216,0.4722222222222222,0.7387345402401864,0.6629747,1.1385297
Asb3,-3.482821,-1.6475614,0.0004961600072177972,0.04744419713146694,0.19444444444444445,0.5488080301129235,0.17918272,0.4792272
Adcy1,-3.4840724,-1.266142,0.0004938459755863445,0.047391576300018126,0.3055555555555556,0.6102527334647786,0.37024948,0.73128694
Lyst,-3.4842584,-1.4522892,0.0004935026006080063,0.047391576300018126,0.4166666666666667,0.6339487363326761,0.32807386,0.7239332
Mta3,-3.484579,-1.7175705,0.0004929117544165938,0.047391576300018126,0.2222222222222222,0.5114895142498656,0.14991416,0.42651996
C2cd5,-3.4876401,-1.2085327,0.00048730325138685244,0.047270174602038716,0.3888888888888889,0.6905538626994085,0.47046635,0.8705905
6530403H02Rik,-3.4940314,-1.980823,0.0004757849137989825,0.04632007476006761,0.1111111111111111,0.4627352572145546,0.20687297,0.6456161
Eml1,-3.4957585,-2.3410125,0.00047271622615541984,0.04618867271562229,0.19444444444444445,0.484387883133178,0.099662885,0.42590144
Herc3,-3.4964101,-1.2454318,0.0004715633814900207,0.04618867271562229,0.3333333333333333,0.6120810181036028,0.3194741,0.6378528
Osbpl8,-3.5008054,-1.245594,0.000463854519144322,0.04565483856925982,0.3055555555555556,0.661086216167772,0.40040958,0.77364266
Phf21a,-3.5067415,-1.1879182,0.00045362955499950506,0.044812596113370226,0.4722222222222222,0.7739021329987453,0.6615256,1.1430804
Asxl2,-3.5077343,-1.4422855,0.0004519401268649517,0.04481044726517067,0.3055555555555556,0.6406882953934396,0.3001896,0.6685683
Adcy9,-3.5095649,-1.1911695,0.0004488406270515256,0.044667954255090715,0.4722222222222222,0.6977953038178885,0.54882264,0.9819426
Gabrb3,-3.5109506,-1.1773552,0.00044650732039573605,0.044600935684139136,0.5833333333333334,0.8227997849076896,1.3177998,1.9721214
Stag1,-3.5143635,-1.2843137,0.0004408092997146108,0.04419606672884922,0.5,0.8246280695465137,0.8534238,1.4545326
Bbs9,-3.5146632,-2.1831856,0.00044031182266722723,0.04419606672884922,0.19444444444444445,0.49546513712134793,0.117798515,0.4496577
Rtl4,-3.518252,-1.5843973,0.0004343997637491462,0.043880908465938194,0.3611111111111111,0.6290016131923284,0.4202935,0.9425893
Fbxo38,-3.522637,-2.2426045,0.0004272764099656797,0.04332421560670873,0.1388888888888889,0.468435203441477,0.08527383,0.35154793
Phlpp1,-3.5241468,-1.2969443,0.0004248489067395682,0.043241250470046205,0.5,0.7487363326761068,0.61747193,1.1310531
Luc7l3,-3.5255222,-1.3151761,0.00042264876581969533,0.04318088341283351,0.4166666666666667,0.6805879189818964,0.37007034,0.74875677
Spon1,-3.526546,-1.6489328,0.00042101797924464147,0.043178446955356935,0.1388888888888889,0.4948557089084065,0.21237281,0.55503803
Jph1,-3.526608,-1.176974,0.0004209193327916469,0.043178446955356935,0.2222222222222222,0.5758021150743861,0.34579748,0.6596245
A330023F24Rik,-3.5280042,-1.1584933,0.000418705485722338,0.043178446955356935,0.4444444444444444,0.7180139810001792,0.588283,1.0252489
