names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Microglia (for_DEGs),mean_expr_Rest (for_DEGs)
Elmo1,53.301376,4.560003,0.0,0.0,0.9449838187702265,0.5544232922732363,3.1839237,0.6836261
Plxdc2,52.24038,4.2798142,0.0,0.0,0.9385113268608414,0.6758491974617394,3.5776565,1.026401
Srgap2,50.663143,3.6272428,0.0,0.0,0.9231391585760518,0.7110115714818962,3.014945,0.94352025
Zfhx3,50.440083,5.7806616,0.0,0.0,0.883495145631068,0.22769690182904068,2.6040058,0.20514718
Tgfbr1,50.431156,5.6660314,0.0,0.0,0.8851132686084142,0.27454273982829414,2.7103636,0.24405403
Tanc2,49.237373,2.3570647,0.0,0.0,0.948220064724919,0.8470324748040313,3.3155806,1.8213179
Epb41l2,48.95922,5.1857743,0.0,0.0,0.8754045307443366,0.31213139231056364,2.5876172,0.29108658
Mef2a,48.19867,3.184342,0.0,0.0,0.9053398058252428,0.7410600970511385,2.7417686,0.95423096
Mertk,47.90961,5.6212354,0.0,0.0,0.848705501618123,0.16573348264277715,2.4262078,0.19027182
Mbnl1,47.88914,3.4243414,0.0,0.0,0.8980582524271845,0.6966032101530422,2.6578765,0.8045486
Apbb1ip,47.4423,6.29407,0.0,0.0,0.8228155339805825,0.12015677491601344,2.193411,0.096684925
Pde3b,47.027794,4.221728,0.0,0.0,0.8697411003236246,0.5443449048152296,2.5911827,0.5078276
Hexb,46.001236,3.4348137,0.0,0.0,0.8948220064724919,0.6685703620754012,2.651679,0.79687697
Inpp5d,45.566452,6.799433,0.0,0.0,0.7839805825242718,0.07331093691675998,2.0086968,0.05632234
Ldlrad4,45.01515,2.6453831,0.0,0.0,0.8859223300970874,0.735946248600224,2.612584,1.1050366
Tmcc3,44.8546,4.073678,0.0,0.0,0.8462783171521036,0.46916759985069056,2.3815005,0.4594849
Lyn,43.79397,5.533987,0.0,0.0,0.7815533980582524,0.18062709966405374,1.98525,0.12712371
Maml3,43.769245,3.6574283,0.0,0.0,0.8414239482200647,0.48727136991414705,2.3817706,0.57580596
Csf1r,43.137646,6.106034,0.0,0.0,0.7556634304207119,0.09809630459126539,1.888671,0.07830577
Siglech,41.86986,6.391764,0.0,0.0,0.7281553398058253,0.07801418439716312,1.853309,0.06211326
P2ry12,41.81708,5.3069406,0.0,0.0,0.761326860841424,0.21672265770810004,2.0058553,0.15056469
Dock2,41.79188,6.514501,0.0,0.0,0.7241100323624595,0.07025009331840239,1.7357869,0.04985417
Nav2,41.324577,2.0265224,0.0,0.0,0.8964401294498382,0.8150429264650989,2.8409836,1.6013389
Cx3cr1,41.252808,5.736985,0.0,0.0,0.7370550161812298,0.15039193729003358,1.8957468,0.10081957
Dock8,41.19676,6.5462265,0.0,0.0,0.7144012944983819,0.06935423665546846,1.7748806,0.0510981
Mef2c,40.67461,2.2159755,0.0,0.0,0.919093851132686,0.7732736095558044,2.783877,1.4510752
Qki,39.56013,2.4364119,0.0,0.0,0.9377022653721683,0.8232549458753267,3.0244849,1.5299402
Numb,39.316154,2.9690475,0.0,0.0,0.8074433656957929,0.6468458379992534,2.1968472,0.70371747
Foxn3,39.202457,2.5424063,0.0,0.0,0.837378640776699,0.6920865994774169,2.2294533,0.8853608
Ikzf1,38.645348,6.6476736,0.0,0.0,0.669093851132686,0.05393803658081374,1.6090454,0.03910025
Gab2,38.406986,2.929978,0.0,0.0,0.7969255663430421,0.588615154908548,2.097143,0.66127723
Ssh2,38.326073,1.7629759,0.0,0.0,0.8584142394822006,0.8104889884285181,2.344537,1.3291916
Dleu2,38.21502,2.757475,0.0,0.0,0.808252427184466,0.6472937663307204,2.1384194,0.7452917
Fli1,38.214413,6.080863,0.0,0.0,0.6699029126213593,0.07028742067935798,1.5865195,0.055831593
Fchsd2,37.955566,2.8417304,0.0,0.0,0.8066343042071198,0.6360209033221351,2.1408243,0.7164261
Gm2629,37.607754,6.4266334,1.60553632690445e-309,9.178885341260135e-307,0.6545307443365695,0.06020903322135125,1.5463139,0.042047538
Ophn1,37.19368,3.0561097,8.633730966754928e-303,4.734456144422549e-300,0.7775080906148867,0.5954087346024636,2.0076282,0.57378674
Pip4k2a,37.149693,3.1767054,4.434147103800159e-302,2.3829106535822053e-299,0.7718446601941747,0.5407614781634938,1.9374372,0.50501513
Cfh,37.008667,5.7032423,8.307347116637995e-300,4.3768317063541745e-297,0.6553398058252428,0.07528928704740574,1.5060699,0.06517828
Rreb1,36.610035,3.8287811,1.9802671730718381e-293,9.335048936919348e-291,0.7249190938511327,0.3572601717058604,1.772963,0.29566166
Fyb,36.395306,6.320369,5.0506781663026e-290,2.3398572815267387e-287,0.6351132686084142,0.058865248226950356,1.4695337,0.04103186
Hpgds,36.362858,5.760491,1.6459292334502896e-289,7.495952288611744e-287,0.651294498381877,0.10888391190742815,1.5412405,0.06551293
Slc8a1,36.294853,1.5277286,1.9505015893681734e-288,8.591799623987347e-286,0.9490291262135923,0.8724524076147816,3.1947017,2.2101026
Runx1,35.964252,6.4377913,3.0308042297636496e-283,1.313511446028214e-280,0.6262135922330098,0.05408734602463606,1.4527915,0.037082568
Dock4,35.92391,1.5107877,1.2936026959962804e-282,5.431110068971883e-280,0.9255663430420712,0.8557297499066816,2.9128253,1.9613705
Slc9a9,35.527996,2.3587203,1.8171995087408386e-276,7.287783701472587e-274,0.7912621359223301,0.6804404628592758,2.1125607,0.8826419
Chd9,35.265526,1.7489817,1.983766039619847e-272,7.7251874615341e-270,0.8114886731391586,0.7901829040686823,2.125195,1.1612774
Pag1,34.93643,3.7843254,2.0812406339186552e-267,7.767074421304759e-265,0.7103559870550162,0.3937290033594625,1.7535813,0.29756615
Inpp4b,34.736927,2.4393983,2.1837336432689203e-264,7.427458606915935e-262,0.8058252427184466,0.5806270996640538,2.1055362,0.8456617
Ly86,34.254932,6.2646303,3.68313214060952e-257,1.13753747836986e-254,0.5995145631067961,0.05431131019036954,1.3909686,0.038511876
Picalm,34.248745,2.5059707,4.5530128947438205e-257,1.3746006346265895e-254,0.7710355987055016,0.6840612168719672,1.9876796,0.74613774
Plcl2,34.130634,2.2710063,2.591656045403316e-255,7.408276376594373e-253,0.7629449838187702,0.6442702500933184,1.9147624,0.7878356
Ankrd44,34.049294,3.6508548,4.157610940330911e-254,1.1759474312283324e-251,0.6925566343042071,0.3360582306830907,1.6255193,0.28134036
Zfp710,33.82603,4.3051705,8.172678676743562e-251,2.152939961216662e-248,0.6666666666666666,0.277491601343785,1.5819421,0.17854518
Gm10790,33.745514,6.4496126,1.244021295300614e-249,3.24532545676966e-247,0.5881877022653722,0.048824188129899214,1.3602068,0.032607812
Csmd3,33.454323,1.3192878,2.2270550907343907e-245,5.540830582225285e-243,0.9352750809061489,0.8977230309817096,3.3864548,2.5213463
Itgb5,32.98147,5.433616,1.497751707220271e-238,3.4995294237398853e-236,0.5922330097087378,0.08312803284807764,1.3525074,0.064230464
Cst3,32.967133,3.096755,2.404028464446026e-238,5.5686417965228204e-236,0.7799352750809061,0.5772676371780515,2.3335235,0.7365705
Ctsd,32.557858,4.0642486,1.6209155459907632e-232,3.3503077477516776e-230,0.6601941747572816,0.2801418439716312,1.64679,0.22353232
Abca9,32.512527,5.468009,7.09362327399124e-232,1.4224302788966017e-229,0.5857605177993528,0.08659947741694662,1.2809644,0.057082478
Slco2b1,32.27423,6.0453877,1.6086859297447406e-228,3.1783375685471456e-226,0.5679611650485437,0.054535274356103024,1.258919,0.037469175
Lrmda,32.24372,4.402859,4.3081302966065006e-228,8.449595698526765e-226,0.6254045307443366,0.18906308324001492,1.6259689,0.17649585
Entpd1,32.22062,5.0094695,9.078408849741299e-228,1.767658302844556e-225,0.5938511326860841,0.11743187756625606,1.3566515,0.085727654
Agmo,32.163357,4.697047,5.745600711276618e-227,1.102744936514305e-224,0.5995145631067961,0.1231056364315043,1.4473187,0.11810282
Rapgef5,32.02805,1.7864199,4.438333538147708e-225,8.224691184139926e-223,0.7847896440129449,0.711832773422919,2.037399,1.07628
Arhgap45,31.471025,6.440357,2.164845518469105e-217,3.3516006190129086e-215,0.5485436893203883,0.04221724524076148,1.1766646,0.025505977
Lpcat2,31.404837,4.328269,1.7379896958603082e-216,2.594432395987027e-214,0.6205501618122977,0.22892870474057483,1.4198658,0.1450871
Diaph2,31.364498,1.5623491,6.172038968266947e-216,9.062441916794146e-214,0.8025889967637541,0.769578200821202,2.105061,1.235616
