names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT EP-CLA Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Bach2,-2.9710913,-0.69930696,0.0029674359134808097,0.04992799185674975,0.616,0.6173487736459757,0.5214967,0.7474075
Utrn,-2.9809415,-1.5687873,0.0028736363800974827,0.04856264750516941,0.272,0.3763935841185356,0.16418575,0.4248311
Tmem44,-2.9862392,-2.091251,0.0028243168929772697,0.04787974442542539,0.16,0.28673667553765375,0.058392886,0.22811525
A330008L17Rik,-2.988963,-1.2471803,0.0027992605099444816,0.047544962011509616,0.336,0.42372149895705963,0.19537944,0.41356167
Ptprj,-3.0039997,-0.4433419,0.0026645560777177383,0.04581471268610947,0.768,0.7130835071567287,0.8135205,0.9960717
Ubash3b,-3.0100698,-1.2647113,0.0026118753273386914,0.045219774513911494,0.352,0.4417391929799324,0.22902514,0.4814476
Tle1,-3.0157456,-0.8838473,0.0025634829201451243,0.044583033051326534,0.4,0.49852549809393654,0.27537847,0.46059182
Chsy3,-3.0216324,-0.6160156,0.0025141569182434834,0.04383867384373939,0.776,0.7038049341868662,0.97040594,1.2561913
Rreb1,-3.0306044,-1.4035504,0.0024406482864966993,0.04272327000532007,0.248,0.3749910091347191,0.15278734,0.36235946
Camk1d,-3.0329113,-0.2783872,0.0024220679583272673,0.04252880648381405,0.968,0.9539308063007984,2.1528172,2.3251796
Scn1a,-3.0503106,-0.39976013,0.002286048934665578,0.04062575057834926,0.76,0.6837013594188305,0.8000777,0.9620538
Ccdc85a,-3.0805173,-0.5603571,0.002066413386012489,0.03741544992059001,0.72,0.693555347766669,0.8640232,1.1066488
Arhgef25,-3.085448,-1.188456,0.002032457462089708,0.03697503859603958,0.296,0.4094799683521542,0.14804012,0.31016466
Zfp536,-3.1548336,-1.3302302,0.001605896413775465,0.030777772209805092,0.408,0.47781054448680144,0.33310202,0.69010615
1700025G04Rik,-3.225448,-0.6676856,0.0012577577710868137,0.025487142767045765,0.584,0.6203337409192261,0.46474588,0.6625774
Hsp90ab1,-3.2288833,-0.6986917,0.001242746588932101,0.025220997616771566,0.824,0.8092857656620873,0.86027384,1.1673636
Phactr2,-3.230573,-1.598505,0.0012354233125908354,0.025148351825239203,0.2,0.3390994749334676,0.105783224,0.29110092
Vav3,-3.2366154,-1.5026275,0.0012095625705113358,0.024640596110416673,0.296,0.3984391857872402,0.15045637,0.37848666
Rbms1,-3.2477443,-1.4667166,0.0011632373529007127,0.023932762383186944,0.28,0.3974681723369057,0.14531955,0.35928357
Pvt1,-3.281759,-0.8946836,0.001031617405032172,0.021740831116246636,0.48,0.535424009206646,0.3129361,0.52065885
Zfhx4,-3.2879848,-1.8693477,0.0010090725082800732,0.021366255553574125,0.168,0.3144285406027476,0.085517205,0.2823185
Trps1,-3.302727,-0.90565324,0.0009574956015428294,0.020435192067875953,0.704,0.682011076746026,0.78575575,1.1746324
Map4k4,-3.3942924,-0.8029363,0.0006880617383676574,0.015707917510568357,0.6,0.63569013881896,0.44243732,0.678488
Erbb4,-3.3968163,-1.1715081,0.0006817475054970942,0.015577002952982075,0.728,0.720024455153564,0.9900511,1.570652
Epha10,-3.4245827,-1.2980603,0.0006157445312333749,0.014349571165863644,0.224,0.37452348414011366,0.13552076,0.30518734
Syndig1,-3.4825783,-1.2700435,0.0004966101916592012,0.012054124525639328,0.256,0.40081277422139105,0.16230588,0.35416296
Nr3c2,-3.4893878,-0.54359466,0.0004841282890460304,0.011819616582787311,0.848,0.7746889160612818,1.334663,1.6251982
Cntnap5b,-3.506398,-0.9530767,0.00045421570299145677,0.011238283553757314,0.552,0.596597856577717,0.5639009,0.90282166
Shisa6,-3.5204563,-0.8952459,0.0004308051089404816,0.010778059384976594,0.6,0.6179241890239516,0.69194657,1.0492306
Kcnk2,-3.5873516,-1.6083177,0.00033405389593242646,0.008689281881611131,0.248,0.3859239013162627,0.12108824,0.33108258
Ptchd4,-3.609398,-1.4030986,0.00030690854307597573,0.008084933874952419,0.376,0.4699345465007552,0.2680816,0.5950492
Pdzrn3,-3.6187756,-1.745235,0.0002960000637368732,0.007851452825873429,0.256,0.39401568006904986,0.18806666,0.5269045
Cpne4,-3.6377203,-1.0580112,0.00027506193379358293,0.007376161837358855,0.456,0.5458534129324606,0.4470726,0.77643955
Slit1,-3.653741,-1.0258583,0.00025844709321483025,0.006986391745153408,0.408,0.514277494066029,0.29447985,0.5290045
Pde7b,-3.748547,-1.5797745,0.00017786189943995199,0.005062658091050329,0.288,0.4228583758900957,0.18918818,0.48400584
Ephb1,-3.774396,-1.4739366,0.0001603959120095192,0.004674444854333819,0.272,0.4265266489246925,0.19318964,0.46498078
Pcdh11x,-3.7823339,-1.5166957,0.00015536477847930783,0.004552509921198475,0.296,0.4412357045242034,0.23018457,0.5542356
Limch1,-3.7898216,-0.59791535,0.0001507554844657136,0.0044416665214843465,0.792,0.7315327627130835,0.8355936,1.0908973
Syne1,-3.8094556,-0.27562875,0.000139273152980489,0.004135104553133414,0.904,0.8181687405595914,1.4448233,1.5940048
Nlk,-3.8366272,-0.42558357,0.00012473559602745523,0.0037616671888414392,0.84,0.755951952815939,0.97088027,1.1641098
Kirrel3,-3.8414745,-0.6696963,0.00012229742576330056,0.0036964362545105585,0.808,0.7729267064662303,1.3981699,1.7661383
Zfp608,-3.8736992,-0.77425385,0.00010719570244982679,0.0033107454308354553,0.64,0.6600374019995684,0.56696105,0.8349929
Fat3,-3.8889472,-0.573343,0.00010068003472499127,0.003136023109643912,0.768,0.7384737107099187,1.0600878,1.3368971
Iqcj,-3.8968184,-1.5593832,9.746460739476144e-05,0.0030452023263921398,0.208,0.3805293821477379,0.13772154,0.36129236
Cpne8,-3.9153461,-1.5575359,9.027459267361293e-05,0.002850385787473536,0.304,0.4337193411493922,0.19115828,0.48246083
Cdk14,-3.9157298,-0.33068871,9.013117746302234e-05,0.0028492055746251886,0.88,0.8078472272171474,1.4074388,1.5852106
Tspan5,-3.9175863,-0.5329165,8.944000180758797e-05,0.002830686511860882,0.808,0.7380781126375603,0.9032868,1.1389713
Gm4258,-3.9583383,-0.71739304,7.547299596390042e-05,0.002458132607939399,0.736,0.7239085089549018,0.78995156,1.0914056
Hdac9,-3.9757597,-0.43849042,7.015491016627622e-05,0.002321505463260889,0.864,0.8002949003812126,1.3700975,1.6051236
Fgf13,-3.9862604,-1.0275211,6.712282352402751e-05,0.0022349321785509533,0.576,0.6395382291591742,0.5207104,0.8724501
Kcnc2,-3.9866219,-1.186685,6.702073023751192e-05,0.0022343015154862845,0.536,0.6041142199525282,0.59428096,1.0465189
Cux1,-4.000274,-1.345946,6.326909269172026e-05,0.0021250506507831542,0.408,0.5090627922031217,0.24591205,0.5357145
Mical2,-4.001386,-0.60699207,6.297250202853306e-05,0.002117736081985837,0.688,0.6916133208660001,0.7713202,1.0191216
Lpp,-4.0105195,-1.1969391,6.058534379095913e-05,0.0020451359141495876,0.424,0.5313241746385672,0.2872697,0.5669694
Synpr,-4.023983,-1.2945268,5.722208325054973e-05,0.0019487419226137787,0.432,0.5470042436884126,0.45480818,0.8807032
Schip1,-4.1925716,-0.36282444,2.7580972828157142e-05,0.0010379562183369501,0.944,0.8329856865424728,1.7637095,1.9763321
Htr4,-4.3383584,-1.5497811,1.4355096103767502e-05,0.000593417588166512,0.232,0.4235776451125656,0.170109,0.43366414
Sh3rf1,-4.3619666,-1.1649712,1.288984311049776e-05,0.0005386470985677679,0.448,0.5568941954973746,0.33175504,0.6324097
Igsf11,-4.379822,-1.7754692,1.1877637471152828e-05,0.0005010237344582048,0.272,0.4299791411925484,0.12867992,0.38535434
Frmd4b,-4.4057927,-1.3516196,1.0539766750243166e-05,0.0004481068553465725,0.44,0.5694094799683521,0.35458982,0.7353035
Fbxo34,-4.4231253,-1.0696484,9.728327048515396e-06,0.00041624227355670175,0.496,0.5725383010860965,0.3069411,0.56193316
Diaph2,-4.5163918,-0.57016474,6.290223576239882e-06,0.000283587764250949,0.832,0.7725311083938718,1.0089791,1.2774624
Stxbp6,-4.547866,-1.8228378,5.419261295585653e-06,0.0002502117553138318,0.304,0.4660145292382939,0.23157366,0.65330327
Tmtc1,-4.587356,-1.4261374,4.488945519488274e-06,0.00021161046685728058,0.368,0.5124793210098539,0.23585185,0.5392826
Cdh12,-4.6149282,-0.9166574,3.932315046994428e-06,0.00018868090234417908,0.68,0.685535495936129,0.8561709,1.2687056
Galnt17,-4.672796,-0.82093847,2.9712723023657932e-06,0.00014516015775376155,0.768,0.7185499532475006,0.9466524,1.3313055
Tanc1,-4.675753,-1.2923177,2.9287687947189636e-06,0.00014386840496178894,0.392,0.5462490110048192,0.33043024,0.6724485
Dock4,-4.7162495,-0.35175908,2.402320427454067e-06,0.00012065485959942203,0.944,0.8599942458462202,1.8003297,2.0077426
Zfp462,-4.788498,-1.2040318,1.6803445005829947e-06,8.682857063589436e-05,0.4,0.5662806588506077,0.34392974,0.66560787
Nrp1,-4.8415294,-1.1437707,1.2884372268381996e-06,6.76177896194188e-05,0.52,0.6234985254980939,0.51355696,0.90952027
Pip5k1b,-4.879791,-1.2359476,1.061984166208974e-06,5.639429752180856e-05,0.48,0.5939725239157017,0.41795963,0.7984535
Thsd7a,-4.8877454,-1.4739438,1.0199724191647026e-06,5.448639940945439e-05,0.456,0.5796231029274257,0.39521477,0.85288614
Slc24a2,-4.9157233,-0.69853747,8.845527816757371e-07,4.782280330709669e-05,0.888,0.8152197367474646,1.4384025,1.8270929
Brinp1,-5.066268,-0.5625283,4.0569028527113546e-07,2.324285280433989e-05,0.856,0.780047471768683,1.2836117,1.5798185
Dock10,-5.144737,-1.5518098,2.678958972390271e-07,1.5785883243010213e-05,0.408,0.5933251816154786,0.48852518,1.0461966
Cntn5,-5.151741,-1.0558325,2.5807912315118685e-07,1.5240848437521738e-05,0.808,0.7665611738473711,1.2486222,1.8192552
Cadm2,-5.1653714,-0.32676202,2.3996191598559573e-07,1.4328392627851017e-05,0.976,0.9631014888872905,3.2494895,3.468093
Slc1a2,-5.211432,-1.155017,1.8738841633760895e-07,1.1417520968234812e-05,0.616,0.7312450550240955,0.7208208,1.2095081
