names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Excitatory (for_DEGs),mean_expr_Rest (for_DEGs)
Rpl15,25.36541,-0.32319272,6.0760652475314796e-142,3.260061365838076e-141,0.5135996876626757,0.26670880075841363,0.3133779,0.3787444
Hsph1,24.217754,-0.2908517,1.446403271202075e-129,7.38875587399235e-129,0.4793727225403436,0.25146152630747354,0.27541378,0.3277898
Tomm20,23.560976,-0.2619229,9.689230381828324e-123,4.778810946397339e-122,0.482756376887038,0.2573866329593933,0.27655244,0.3235293
Gde1,23.544756,-0.26034263,1.4206907865076108e-122,7.003111618686388e-122,0.45471108797501303,0.2364512561226102,0.25392967,0.29732293
Arf1,23.285252,-0.28737026,6.254536566581693e-120,3.0528500916267044e-119,0.46668401874023946,0.2473534523621425,0.26707053,0.31744096
Atp6v1d,23.045462,-0.33310786,1.6334213854970886e-117,7.881133529952734e-117,0.5386517438833941,0.2974403539263707,0.33106637,0.40171224
Serinc3,22.751453,-0.2751916,1.3882419286071288e-114,6.624411405021053e-114,0.6124414367516918,0.343577184389319,0.40222245,0.46950415
Eid1,22.205767,-0.297153,3.021014896370067e-109,1.4171555563104697e-108,0.5281103591879229,0.2943592984673724,0.32737523,0.38927403
Ptms,22.097193,-0.34940913,3.3633549779252453e-108,1.5706178007794812e-107,0.6117907339927121,0.3465792384262917,0.42296866,0.51328206
Pgrmc1,21.94094,-0.31872737,1.056924379561007e-106,4.904932310674311e-106,0.5244013534617387,0.2922262600726813,0.3283791,0.39529136
Ywhab,21.879087,-0.25460294,4.1098405492057756e-106,1.902349966531597e-105,0.6808953669963561,0.3928740717332912,0.5053969,0.57918054
Rac1,21.7113,-0.25469,1.6045299180974844e-104,7.378695687023687e-104,0.4139770952628839,0.2187549375888766,0.22328329,0.2611924
Sncb,21.65966,-0.3986089,4.92857787388353e-104,2.2591417173533e-103,0.50865434669443,0.28448412071417284,0.31431937,0.39666787
Ywhah,21.60355,-0.2721433,1.6632812890867843e-103,7.613691352259267e-103,0.7117386777719937,0.41341444145994627,0.55668586,0.64160186
Vcp,21.428337,-0.2583826,7.273041622595436e-102,3.307270746304609e-101,0.6045028630921395,0.3450782114078053,0.38715088,0.44821087
Atp6ap1,21.289932,-0.31437176,1.4073276765148836e-100,6.360789683423873e-100,0.5205622071837585,0.29396429135724444,0.311583,0.37472755
Clmn,21.206224,-0.26336536,8.366622455830457e-100,3.765050165603155e-99,0.47423217074440394,0.2573076315373677,0.30540943,0.35677555
Fkbp3,21.021095,-0.37308392,4.206164902875716e-98,1.8805266379412726e-97,0.46264966163456533,0.25604360878495813,0.2566917,0.3213672
Cmpk1,20.764626,-0.2533772,9.043066262744774e-96,4.006384014508691e-95,0.4262753774076002,0.23329119924158634,0.23014985,0.26886266
Norad,20.51037,-0.26903978,1.7396488157839347e-93,7.6354726690810725e-93,0.6656038521603331,0.3882919892558066,0.49512637,0.57213926
Pcp4,20.51,-0.380557,1.7529378265443113e-93,7.692542773027216e-93,0.48711608537220197,0.2734239216305894,0.33303234,0.41507116
Uba1,20.444674,-0.33408993,6.70059398257135e-93,2.9347181794896852e-92,0.37968505986465384,0.20003160056881022,0.19454126,0.23957926
Atp6ap2,20.347353,-0.3560573,4.900233863622267e-92,2.138877256587562e-91,0.5286959916710047,0.3036814662663928,0.32076582,0.39477164
Eef1g,20.28356,-0.32221845,1.7964478411686933e-91,7.815827961820399e-91,0.40877147319104634,0.2234950229104124,0.21951199,0.2676557
Nfe2l1,20.249424,-0.34997624,3.5941175229542793e-91,1.560917049325707e-90,0.4018740239458615,0.2187549375888766,0.21352127,0.26495996
Uchl1,20.181702,-0.4649165,1.4177843039500772e-90,6.136576070737528e-90,0.6220718375845914,0.3612735029230526,0.4153504,0.5368949
Akr1a1,20.1745,-0.33939198,1.6401275478834235e-90,7.0966549455116885e-90,0.3870380010411244,0.20706272712908833,0.20244293,0.24990556
Ndufb3,20.095709,-0.37998557,8.045738977266861e-90,3.4684583077035225e-89,0.3769521082769391,0.1991625849265287,0.20060764,0.25393188
Maged1,19.938631,-0.36563092,1.8814329566716358e-88,8.069290270673082e-88,0.5112571577303487,0.295228314109654,0.31241024,0.38695607
