names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Excitatory (for_DEGs),mean_expr_Rest (for_DEGs)
Celf2,126.503075,2.0439918,0.0,0.0,0.9998047891723061,0.9255806604518881,4.327726,2.9513452
Kalrn,116.2795,2.4692402,0.0,0.0,0.9975273295158772,0.661320903776268,2.9535718,1.4544328
Lrrc7,110.32138,2.2565653,0.0,0.0,0.9985033836543467,0.6980565650181704,3.1026459,1.6953095
Slit3,107.093,2.9711976,0.0,0.0,0.969807391983342,0.42802970453468164,2.3482258,0.7917414
Nrg3,103.8557,1.8903917,0.0,0.0,1.0,0.8841839153104756,4.1839504,2.9140596
Arpp21,103.708115,2.5579512,0.0,0.0,0.995770432066632,0.5579870437667878,2.554291,1.1034018
Cacna1e,103.42344,2.580016,0.0,0.0,0.9932326913066112,0.5059251066519197,2.350964,0.9509024
Csmd1,103.149284,1.9445072,0.0,0.0,0.9994143675169183,0.8753357560436088,4.1715136,2.8667073
Kcnip4,103.14906,2.1711154,0.0,0.0,0.9973971889640812,0.8980881655869806,4.3573575,2.8963714
Cnksr2,101.96973,2.1899054,0.0,0.0,0.9976574700676731,0.6936324853847369,2.814569,1.4901732
Dab1,101.70224,2.2261455,0.0,0.0,0.9965512753774076,0.731395165112972,3.2332597,1.8256676
Grin2a,100.70102,2.4669306,0.0,0.0,0.9970067673086934,0.6369884657923842,2.9080148,1.4189641
Dlg2,99.96295,1.6633518,0.0,0.0,0.9998047891723061,0.9010112182019276,4.2248445,3.1031075
Ryr2,98.952576,2.3499684,0.0,0.0,0.9944039562727746,0.5717332911992415,2.4996762,1.1608604
Gabrb3,98.81325,2.178063,0.0,0.0,0.9983081728266527,0.6061779112024016,2.539664,1.2753454
Gm26871,98.35672,2.4414246,0.0,0.0,0.9922566371681416,0.5631221361984515,2.5390155,1.14675
Nalf1,98.168304,1.9831764,0.0,0.0,0.9998698594482041,0.7775319955759203,3.4289494,2.1457634
Ryr3,98.00466,2.6544483,0.0,0.0,0.9704580947423217,0.4123084215515879,2.03436,0.7206658
Erc2,97.96539,2.1847446,0.0,0.0,0.9991540864133264,0.661320903776268,2.9039934,1.567253
Grm7,95.640015,2.0390923,0.0,0.0,0.9990239458615304,0.7622847211249802,3.2744827,1.9723456
5730522E02Rik,95.32216,2.5115907,0.0,0.0,0.9820406038521603,0.46310633591404643,2.1833284,0.86756814
Miat,94.82339,2.3946002,0.0,0.0,0.8911374284226965,0.24956549217885923,1.0018979,0.28348967
Kcnma1,94.290825,1.9841412,0.0,0.0,0.9988938053097345,0.6836783062095118,2.7619324,1.5578436
Itga8,92.58132,2.77979,0.0,0.0,0.827368558042686,0.1960815294675304,1.0811391,0.24971393
Entrep2,92.40721,2.365184,0.0,0.0,0.9476184279021344,0.36474956549217885,1.5872904,0.5625333
Grin2b,92.050285,1.8228016,0.0,0.0,0.9983081728266527,0.7473534523621426,2.9947848,1.850881
Lmo7,91.68918,2.4401166,0.0,0.0,0.853461738677772,0.213777848001264,0.9803556,0.2676448
Rbfox1,91.233574,1.8551298,0.0,0.0,0.9988287350338365,0.8692526465476379,3.9783015,2.7402499
Kcnj6,90.9737,2.292426,0.0,0.0,0.9070796460176991,0.29570232264180757,1.1930162,0.38450953
Mlip,90.64381,2.42537,0.0,0.0,0.8718115564809995,0.24134934428819718,1.0956167,0.31528628
Galnt17,90.00142,2.3410492,0.0,0.0,0.9508719416970328,0.43348080265444777,1.8337026,0.7117527
Lrfn5,89.8086,1.9807229,0.0,0.0,0.997852680895367,0.6870753673566125,2.8284273,1.6160631
Clstn2,89.412,2.3809626,0.0,0.0,0.9798932847475273,0.47211249802496447,2.1695242,0.911738
Fam135b,89.316414,2.2903817,0.0,0.0,0.9693519000520562,0.37146468636435453,1.644858,0.6176367
Trank1,89.13406,2.1738446,0.0,0.0,0.898555439875065,0.27768999841997155,1.0425614,0.3414571
Sidt1,88.93976,2.2411594,0.0,0.0,0.8651093180635085,0.24901248222468003,0.96706533,0.296258
Galnt18,88.93976,2.268342,0.0,0.0,0.9256246746486205,0.3188497392953073,1.3644423,0.47297165
Cracdl,88.826454,2.2201626,0.0,0.0,0.8753253513794899,0.24838047084847528,1.0339365,0.32851994
Unc79,88.6851,2.1339178,0.0,0.0,0.9857496095783446,0.4397219149944699,1.7804996,0.75324607
Phactr1,87.45275,1.7511369,0.0,0.0,0.9966814159292036,0.7581766471796493,2.8839998,1.7944416
Cttnbp2,87.42306,1.9820907,0.0,0.0,0.9918662155127538,0.5995417917522515,2.2933016,1.1801081
