names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pvalb chandelier Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Grik3,-3.0984173,-2.0047643,0.0019455729347223143,0.049835600339359944,0.14035087719298245,0.36245246466240943,0.102423824,0.35965812
Syt7,-3.098746,-0.92907107,0.0019434147099607754,0.04982781799298286,0.543859649122807,0.6361483820047356,0.48278117,0.7800618
Ywhaz,-3.0995436,-0.7902685,0.0019381901402307931,0.04974132671251328,0.6842105263157895,0.7239362847097653,0.61399627,0.9026758
Abr,-3.1030955,-0.6660435,0.0019150782017651523,0.049195173309206155,0.6842105263157895,0.7076845806127574,0.6704825,0.9225127
Hecw1,-3.1049867,-0.6019956,0.0019028767372687577,0.048928514765944044,0.7719298245614035,0.7145009686446151,0.90221244,1.1705217
Timp2,-3.1060061,-1.9855415,0.0018963282175315907,0.04880683831903625,0.17543859649122806,0.39384372533543804,0.09291753,0.3261338
Chst9,-3.1155598,-2.9184186,0.001835960392262945,0.04743486128856282,0.12280701754385964,0.3345411494582765,0.056861497,0.3662668
Cnih3,-3.1203616,-1.8369814,0.0018062920491169,0.04675825371846927,0.17543859649122806,0.3924086962760996,0.095755324,0.3067582
Pcdh1,-3.124341,-2.1830673,0.0017820385022432595,0.046219473508954036,0.12280701754385964,0.3519050010762718,0.05858117,0.24214152
Fam135b,-3.133574,-0.57488006,0.0017269129499363786,0.04496332457828536,0.8421052631578947,0.7006170624955156,0.9249287,1.1837621
Pced1b,-3.1393623,-1.8750348,0.001693159421315167,0.04417009092304713,0.08771929824561403,0.3375905862093707,0.068846524,0.23224854
Tnrc6c,-3.1492863,-0.32271844,0.0016366982648702189,0.04286362804781947,0.9122807017543859,0.7830236062280261,1.1500444,1.3081657
Ccdc88c,-3.1512349,-2.3285248,0.0016258174431731725,0.04270353342919173,0.10526315789473684,0.3364066872354165,0.05165884,0.23609686
Plekhg5,-3.154573,-1.4282385,0.0016073323098029632,0.04230070437258141,0.3333333333333333,0.5021884193154912,0.20066041,0.46875793
Tmeff1,-3.1810803,-1.4217782,0.0014672695335792706,0.03915147206283515,0.3157894736842105,0.5028700581186769,0.19156227,0.44832006
Dync1i1,-3.1861944,-0.583317,0.0014415773310192974,0.038619324909759244,0.7719298245614035,0.7180885412929612,0.91891086,1.1808865
Grb14,-3.1932323,-1.364055,0.001406897280721349,0.03787908810920105,0.3333333333333333,0.5174714787974456,0.24313968,0.53561944
Synj1,-3.2071683,-0.73081636,0.0013404849696176788,0.03638265771073437,0.7192982456140351,0.7216761139413073,0.65601146,0.9316054
Rap2a,-3.2115178,-2.3300207,0.0013203579142259216,0.035945306135005586,0.10526315789473684,0.3425414364640884,0.05008981,0.22973962
Mcu,-3.2145762,-1.0176768,0.0013063716949284208,0.035600616067674104,0.5263157894736842,0.6215110855994834,0.4102096,0.7064434
Slc26a4,-3.2157438,-3.8132768,0.0013010690215141136,0.03549210620110074,0.03508771929824561,0.2769247327258377,0.014754423,0.18975128
Wipf3,-3.2320232,-1.5071778,0.001229170618380514,0.033736276318574475,0.40350877192982454,0.5293822199899548,0.24724402,0.58628994
Ar,-3.2354107,-2.6542623,0.0012146789194996985,0.033372620211612365,0.10526315789473684,0.33378775920212383,0.043645095,0.24751689
Neto1,-3.2469625,-0.94028115,0.0011664378328007858,0.03214583032549447,0.631578947368421,0.6920786395924517,0.7256119,1.1136801
Dennd4a,-3.2556777,-0.8318173,0.0011312209984243584,0.03136832634433696,0.6491228070175439,0.7041328836908948,0.5814198,0.87697154
Adamts3,-3.2637928,-1.5866576,0.0010993157497306031,0.03054665376966009,0.22807017543859648,0.44335222788261464,0.15323651,0.4037208
Sorl1,-3.2659798,-1.0372277,0.0010908606644195777,0.03034309115212635,0.5614035087719298,0.6313051589294684,0.4266247,0.73810834
Pantr1,-3.269326,-2.3330302,0.0010780400952921185,0.030056550190569947,0.14035087719298245,0.3691253497883332,0.071145274,0.31592974
Mbp,-3.2700741,-1.6859521,0.001075192710196976,0.030032502980361725,0.38596491228070173,0.5695989093779149,0.31402692,0.7825443
Zmiz1os1,-3.2724586,-3.6478114,0.0010661649700021724,0.02984151327495664,0.03508771929824561,0.2826648489631915,0.016188225,0.18611394
Akap13,-3.2745798,-1.5077723,0.0010581923895420097,0.02964924870385172,0.3157894736842105,0.5064935064935064,0.22403884,0.5388936
Etl4,-3.2748594,-1.0805538,0.0010571458624881996,0.02964924870385172,0.7192982456140351,0.712635430867475,1.0095584,1.5452505
