names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pvalb chandelier Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp804b,12.892163,5.8141117,4.982630245833397e-38,9.354453676454215e-34,1.0,0.46613331419961257,4.0522513,0.6954882
Thsd7a,12.84418,4.5785294,9.272908449687547e-38,9.354453676454215e-34,1.0,0.5782090837339456,3.4890342,0.84544337
Cntnap5b,12.834971,4.3155417,1.0444123940961164e-37,9.354453676454215e-34,1.0,0.5955729353519409,3.3970993,0.89620155
Sntg1,12.749365,2.7504647,3.142943542895208e-37,2.111272324939856e-33,1.0,0.8141637368156706,3.6766105,1.9055358
Erbb4,12.71499,5.5592303,4.881761168333288e-37,2.6234584518623088e-33,1.0,0.7194876946258162,5.1839232,1.5606594
Nyap2,12.634423,3.6850362,1.3639118094138548e-36,6.1080517198250465e-33,1.0,0.6029992107340174,2.8603773,0.8243407
Sdk1,12.548488,4.3826246,4.051753077025073e-36,1.5552943597094813e-32,1.0,0.46333500753390255,2.8614087,0.5824088
Mctp2,12.420933,6.2377257,2.012016314975103e-35,6.757859797922627e-32,0.9649122807017544,0.09263112578029706,1.807846,0.06536224
Tll1,12.320782,5.2592173,7.001223321200142e-35,2.09025411822942e-31,0.9824561403508771,0.12484752816244529,1.6314756,0.10197134
Fgf13,12.130215,4.318002,7.305785977321844e-34,1.9630646921063794e-30,0.9824561403508771,0.6385520556791275,3.3486292,0.8658098
Rora,12.121614,3.1420162,8.114485376722883e-34,1.9821474733867626e-30,1.0,0.8015713568199756,3.621987,1.6340863
Kcnmb2,12.030384,4.8497396,2.4601366560609005e-33,5.5086559956963664e-30,0.9824561403508771,0.25615268709191363,2.4940124,0.32590944
Astn2,11.931071,3.4791684,8.151725016448942e-33,1.6848988553229466e-29,1.0,0.6342828442275956,3.0628722,1.0396934
Pde4d,11.824762,2.929184,2.907241088042374e-32,5.579826288264185e-29,0.9824561403508771,0.8248905790342255,3.7700703,1.8816644
Dlx6os1,11.7569895,5.003342,6.501141213086026e-32,1.1645710959708104e-28,0.9824561403508771,0.27731936571715576,2.8157444,0.3985508
Inpp4b,11.749951,3.57168,7.065957390693056e-32,1.1866392192995152e-28,0.9824561403508771,0.5910167180885413,2.9071412,0.8982775
Pde11a,11.495409,4.628169,1.3912005349015987e-30,2.1989151984003506e-27,0.9473684210526315,0.19455406471981057,1.8444517,0.19500232
Gpr176,11.449984,3.8293815,2.3519097331038386e-30,3.510878584916674e-27,0.9473684210526315,0.31007390399655593,1.4946856,0.21773154
Cntnap2,11.405913,2.7557123,3.9065322070014936e-30,5.524658968533165e-27,1.0,0.9141493865250772,4.635852,2.7800333
Ano4,11.22333,2.9312887,3.132486346500157e-29,4.208495406522961e-26,1.0,0.6416014924302217,2.5957382,0.9656355
Col26a1,11.205883,4.417773,3.815298575777992e-29,4.881765368150221e-26,0.9122807017543859,0.13514386166319867,1.1051512,0.09029147
Esrrg,11.17598,3.0039277,5.345703740267134e-29,6.529048159135358e-26,1.0,0.5257587716151252,1.9916729,0.5815567
Trps1,11.116346,3.3409798,1.0446271132571384e-28,1.2203969797051873e-25,0.9824561403508771,0.6814953002798306,3.1560357,1.1688367
Arhgap18,11.07194,3.9483953,1.7164400553701722e-28,1.9216976786581885e-25,0.9298245614035088,0.2663413934132166,1.479866,0.19864121
Rbms3,10.957672,3.6313155,6.104966669098687e-28,6.561618175947269e-25,0.9473684210526315,0.5106192150391046,2.5433009,0.66573346
Grip1,10.944756,2.6425507,7.040757982262316e-28,7.27635257628417e-25,1.0,0.7801894238358327,3.2943141,1.6403906
Gm13629,10.927785,4.4000206,8.489510117986155e-28,8.448634698899554e-25,0.8947368421052632,0.175145296692258,1.3587368,0.12834616
Kcnc1,10.889471,3.107702,1.2938935022815719e-27,1.2416756573680654e-24,0.9649122807017544,0.39631915046279687,1.4310924,0.31428832
Dner,10.870043,2.7869682,1.6012563621353048e-27,1.4836468431232978e-24,0.9824561403508771,0.5438760134892732,1.9413073,0.62309134
Kcnc2,10.839762,3.2453487,2.2305163009435873e-27,1.9977991002118064e-24,0.9824561403508771,0.6030350864605009,2.9104369,1.0406793
Slc6a1,10.770598,3.217293,4.739084404056813e-27,4.107716062484083e-24,0.9824561403508771,0.31215469613259667,1.4737486,0.3088612
Gabrg3,10.696363,2.9396415,1.0585143088519251e-26,8.88821233714101e-24,0.9824561403508771,0.6532252278108631,2.920053,1.189816
Alk,10.664364,3.7160609,1.4941837743067282e-26,1.2166278186552057e-23,0.9473684210526315,0.23932697137117026,1.6021457,0.26360512
Sgcz,10.65897,3.0659864,1.5834118103900775e-26,1.2235853125089623e-23,1.0,0.7474348855564326,3.6472054,1.6978301
Osbpl3,10.658361,3.202747,1.5938029749837617e-26,1.2235853125089623e-23,0.9298245614035088,0.3509004807347349,1.4292078,0.2963083
Dlx1as,10.645963,4.341556,1.8209157432055826e-26,1.3591112783315e-23,0.8771929824561403,0.13126928320298487,1.1162308,0.09647227
Gria4,10.640923,2.4131274,1.9221576065556865e-26,1.395902024004089e-23,1.0,0.7918131592164741,3.1991985,1.6890714
Cit,10.617951,2.8127995,2.458993971100106e-26,1.738767579038417e-23,0.9649122807017544,0.4338451603644974,1.5907412,0.44217834
Zfp536,10.601491,3.337073,2.9326781766036456e-26,2.0205400668035885e-23,0.9649122807017544,0.47650139915333284,2.3926096,0.6850237
Pde5a,10.574292,4.8122983,3.921252529317001e-26,2.6341013865686952e-23,0.8596491228070176,0.10497237569060773,1.2695816,0.08718022
Cntnap4,10.504333,3.6846867,8.250445018799223e-26,5.407059942808174e-23,0.9298245614035088,0.3506134749228672,2.087166,0.43773803
Zfp804a,10.491818,2.9036667,9.419750853393778e-26,6.026397748349782e-23,1.0,0.660364497381072,2.7549598,1.0875887
Epha5,10.443967,1.830367,1.5614568912397867e-25,9.757289922700714e-23,1.0,0.8529812728707756,3.1732283,2.0061924
Cntnap5c,10.428132,3.1677742,1.8447964271952513e-25,1.1265836363349183e-22,0.9649122807017544,0.5073903996555931,2.4066563,0.7530856
Cacna1d,10.407035,1.9512187,2.3028383845639896e-25,1.37505038651632e-22,0.9473684210526315,0.726555212743058,2.1990256,1.1226467
Ints6l,10.365284,2.5283194,3.5669892169941175e-25,2.083586962187651e-22,0.9649122807017544,0.5092918131592165,1.4781573,0.4616762
Nxph1,10.320844,3.882987,5.672223671545073e-25,3.2428223415833215e-22,0.9824561403508771,0.4211451531893521,2.8196874,0.7270679
Dlgap1,10.305148,1.4405279,6.678842251030598e-25,3.73876023510817e-22,0.9824561403508771,0.9189567338738609,3.899879,2.9355044
Myo16,10.283673,2.6189344,8.348417669702295e-25,4.577999648671442e-22,0.9649122807017544,0.4846093133385951,1.6461651,0.5197457
Htr1f,10.275739,3.0608938,9.06472500601369e-25,4.8713832182317575e-22,0.9649122807017544,0.3548109349214322,1.6049964,0.38979566
Cntnap5a,10.26084,2.7392383,1.0578176348444e-24,5.573247029072358e-22,1.0,0.7049221496735308,3.106414,1.4341471
Tenm1,10.193635,2.2033176,2.116977893284893e-24,1.093907615241636e-21,0.9824561403508771,0.7523498600846668,2.8083525,1.4778581
Tafa2,10.158643,2.5669167,3.032698056743968e-24,1.5375206940511399e-21,1.0,0.7283848747937146,3.1451037,1.558205
Dlc1,10.128492,2.6831715,4.1296623791543795e-24,2.0548894097755218e-21,0.9824561403508771,0.5474635861376193,2.0307102,0.7083535
