names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Atp1b1,5.588422,1.4623103,2.2914238573467708e-08,2.123122725755439e-05,0.9069767441860465,0.8596497498213009,2.3568952,1.4971108
Zic1,5.356471,5.666558,8.486309926804939e-08,4.7505655777760145e-05,0.4883720930232558,0.020621872766261616,0.7403241,0.021360138
Calm1,4.9248385,1.5478606,8.442998688103422e-07,0.00026379462180155694,0.9069767441860465,0.8364903502501787,2.2243793,1.3404727
Hspa8,4.583459,1.6810538,4.573473223455827e-06,0.0008654170810863244,0.8372093023255814,0.6708720514653324,1.662417,0.84683347
Ubb,4.1107655,1.915248,3.9434934935322014e-05,0.004289946160777743,0.6976744186046512,0.48227305218012867,1.4146703,0.6020745
Plcb4,4.0894003,2.391154,4.3248958237977515e-05,0.004462819982655112,0.5581395348837209,0.3303431022158685,1.074889,0.31324106
Gad2,4.0315685,2.513638,5.5405866343019054e-05,0.00543341470305446,0.5116279069767442,0.2231951393852752,0.9167705,0.23339514
Tmsb4x,4.025324,1.7234225,5.689693850019971e-05,0.005519208438629481,0.7906976744186046,0.721193709792709,2.008192,1.0828912
Ndfip1,3.994262,1.2512078,6.489608655397275e-05,0.006139992414455098,0.7441860465116279,0.7477841315225161,1.5654063,0.9516195
Prdm16,3.8146343,3.244423,0.00013638467591109375,0.01061839515737639,0.3953488372093023,0.06776268763402431,0.5086952,0.06763231
Zic4,3.813295,5.3611073,0.00013712627910716812,0.01061839515737639,0.3488372093023256,0.014403145103645461,0.48512748,0.015077123
Ano1,3.760849,5.2834477,0.00016933763409484768,0.012221227750924973,0.3488372093023256,0.022766261615439598,0.5071367,0.016817419
Gabrg1,3.704413,3.3463533,0.00021188083919061314,0.014410602651533842,0.4186046511627907,0.1389206576125804,0.7210882,0.09884318
Rps23,3.6793501,1.897861,0.00023382899355916346,0.015268837084662657,0.6046511627906976,0.3843817012151537,1.037295,0.39797166
Gria2,3.654995,0.24715322,0.00025718710652072565,0.01626749596663453,0.813953488372093,0.9210507505360972,2.8187697,2.6585457
Sox1ot,3.5235686,3.5917358,0.0004257768093326685,0.02403492198901009,0.37209302325581395,0.08330950679056469,0.58621603,0.064026006
Grm8,3.333697,1.640197,0.0008569990516035782,0.03844334643837754,0.5813953488372093,0.5142959256611865,1.6420106,0.84859073
Col6a3,3.3315654,6.105706,0.0008635901214652575,0.03861009411609229,0.3023255813953488,0.010972122944960687,0.41039976,0.0073412815
Gm29478,3.328877,5.5884867,0.0008719688814832426,0.03883312663578713,0.3023255813953488,0.009828448892065762,0.42335656,0.010894459
Prlr,3.3026068,3.965874,0.0009579057106428796,0.041514397491893826,0.3488372093023256,0.08112937812723374,0.60144556,0.05143526
Prkcd,3.2076004,3.1154768,0.0013384732335933417,0.051599391372529536,0.32558139534883723,0.047390993566833454,0.29636016,0.03903071
Rpl26,3.1696055,2.065736,0.0015264609708905837,0.05610944772616961,0.5116279069767442,0.33631165117941386,0.93797225,0.31582084
Gria1,3.168181,0.7139819,0.0015339596952169238,0.05623123739492326,0.7906976744186046,0.848856325947105,2.7070649,2.2540126
Nrxn3,3.1586635,0.60611457,0.0015849442801737633,0.057477272724605226,0.8837209302325582,0.9291279485346676,3.5074275,3.1028233
Cpa6,3.1116507,3.9869878,0.0018604450667364224,0.06448414056463202,0.32558139534883723,0.06711937097927091,0.6290627,0.053765044
Atp6v0c,3.0399902,1.4217398,0.002365858396043985,0.07523149716177738,0.7209302325581395,0.6812723373838456,1.5654056,0.88072693
Vsnl1,3.0161726,0.9719883,0.002559875315760998,0.07988832721776773,0.6511627906976745,0.6688348820586133,1.3414204,0.89196867
Igfbpl1,3.0026367,4.7510686,0.0026765183247510677,0.08247482498401512,0.27906976744186046,0.016547533952823445,0.3129325,0.013552316
Grm5,2.9977882,0.3859856,0.00271946624938585,0.0833204767628253,0.8837209302325582,0.9185489635453896,3.1222565,2.868136
Lin28b,2.983639,1.9478136,0.0028484255769873302,0.08615550059699727,0.46511627906976744,0.2987133666904932,0.6799768,0.22508223
Rplp1,2.9824224,1.3306079,0.0028597727804398803,0.08615550059699727,0.7209302325581395,0.6532523230879199,1.4268531,0.81475896
App,2.8276405,0.5407274,0.004689242554327854,0.11999994993789471,0.8372093023255814,0.8985704074338814,2.1329725,1.810636
Ttc3,2.8066244,0.19288091,0.005006357368169284,0.1252521624606226,0.813953488372093,0.8951751250893495,2.011986,1.8972322
Pafah1b1,2.792164,0.6179418,0.005235680434305646,0.12847738198154585,0.813953488372093,0.8617941386704789,1.7786905,1.4368097
Myo5b,2.7887022,2.0283449,0.005291969542743634,0.1291509733092838,0.4418604651162791,0.2878484631879914,0.6772287,0.21300717
Atp2a2,2.7729495,0.8253061,0.005555072794234244,0.13390923374146288,0.6744186046511628,0.7644746247319514,1.4314996,1.0287188
Rps10,2.7645357,1.6389856,0.005700389051942775,0.13521462955949778,0.5116279069767442,0.3474624731951394,0.7992461,0.33143127
Ptk2b,2.764328,1.0617748,0.005704016013327248,0.13521462955949778,0.6511627906976745,0.6022516082916369,1.2039616,0.7503521
Rps8,2.7575648,1.4372164,0.005823367197241159,0.1367778641519842,0.627906976744186,0.5445318084345961,1.1694652,0.59878236
Rpl37a,2.7530181,1.4596006,0.005904861128162917,0.1380240275754406,0.5813953488372093,0.47473195139385277,1.0131474,0.49337605
Zic2,2.7145894,3.8291175,0.006635801454523701,0.14858665423587653,0.2558139534883721,0.016547533952823445,0.19741254,0.015238946
Pld5,2.71225,3.0964599,0.006682818095730717,0.1488728070916506,0.32558139534883723,0.11343817012151537,0.63628346,0.098930985
Trpc4,2.7092974,1.2844293,0.006742585043322334,0.14960632544514543,0.5581395348837209,0.5413152251608292,1.2437729,0.69986135
Clic4,2.702138,2.160499,0.0068895149007458965,0.15194941291772146,0.3488372093023256,0.1261615439599714,0.46947795,0.12576826
Npffr1,2.6202242,4.164915,0.008787197174309732,0.1770978876821669,0.2558139534883721,0.029735525375268048,0.27840957,0.017738627
Dlx6os1,2.6097162,1.4635477,0.00906173776867729,0.18026342799951642,0.46511627906976744,0.2779485346676197,0.8610416,0.40224352
Zic3,2.5977082,5.702462,0.009384818439493417,0.18352989189897242,0.23255813953488372,0.0036812008577555397,0.16460827,0.0034302732
Met,2.5644767,2.9381018,0.010333149582980556,0.19566718061641122,0.3023255813953488,0.09885632594710507,0.3876933,0.059958313
Ndnf,2.557987,2.9283683,0.010528001238666955,0.19879648157623406,0.27906976744186046,0.06086490350250179,0.4050827,0.06354388
Zic5,2.495816,4.4638176,0.012566779795304206,0.22098780962030368,0.23255813953488372,0.013402430307362401,0.21538025,0.010832212
