names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-LGE GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Meis2,11.801711,3.2705076,3.8245469781909773e-32,5.1382788651995785e-28,0.8181818181818182,0.48764503652771807,2.3134358,0.6647286
Rarb,9.973743,4.564635,1.985993688216646e-23,7.623378628911611e-20,0.6565656565656566,0.1954949147686578,1.4996127,0.13719827
Lrrk2,9.485405,2.6487825,2.414426348176757e-21,8.109454496938683e-18,0.7272727272727273,0.3822518263859046,1.1209354,0.28495887
Sv2c,9.063391,3.813737,1.264572305615357e-19,3.775450872431627e-16,0.6060606060606061,0.14020197679415555,0.9255487,0.102848455
Adcy5,8.904198,2.6945593,5.377353424854951e-19,1.2040790543821046e-15,0.6767676767676768,0.3297879959891133,0.95190096,0.2197067
Gad2,8.720077,2.480593,2.7801486122889543e-18,5.335899515157442e-15,0.6767676767676768,0.2220312276178198,0.8993428,0.23208657
Dchs2,8.626808,3.0852504,6.3087915077138534e-18,9.971601636015955e-15,0.6060606060606061,0.1668815355966194,0.70294225,0.11346012
Gucy1a1,8.393457,3.2348764,4.720503027656082e-17,7.046662019617718e-14,0.5959595959595959,0.19828821085804327,0.8504108,0.13313048
Pde7b,8.321534,2.2793806,8.68322183469781e-17,1.2279903720964745e-13,0.7171717171717171,0.4201761925225612,1.381274,0.47861078
Usp29,8.2049055,1.7339567,2.307728436740237e-16,2.818575595236826e-13,0.7676767676767676,0.5576923076923077,1.3663679,0.63029
Dlx6os1,8.11707,2.1236863,4.775743476091878e-16,5.346842800107866e-13,0.7070707070707071,0.2767153702907893,1.1459538,0.40031323
Gnal,7.9632907,2.2640038,1.675232142861896e-15,1.8005395071479658e-12,0.6666666666666666,0.40481306403094114,1.0452857,0.3249439
Penk,7.8982186,4.8827496,2.8291805768120386e-15,2.715002932104981e-12,0.494949494949495,0.053860478441484026,0.77405787,0.03884456
Grm8,7.8503523,1.9607792,4.148702715116399e-15,3.595988450167021e-12,0.797979797979798,0.5133934966337201,1.8216152,0.8463627
Spock3,7.835629,1.7223685,4.665013419333671e-15,3.917153455546742e-12,0.797979797979798,0.5702979515828678,1.6671932,0.83390784
Kcnd2,7.793438,0.9187983,6.521002565682918e-15,5.3096769375727276e-12,0.898989898989899,0.912440911044263,3.469481,2.8599606
Dgkb,7.753749,1.2295175,8.921873536657335e-15,6.659187275832849e-12,0.8181818181818182,0.778505944707062,2.3618288,1.6289263
Foxp2,7.6849303,3.9099762,1.5308028147947094e-14,1.111693827933347e-11,0.5555555555555556,0.200866638017476,1.5287933,0.2153745
Plppr1,7.6337285,1.715681,2.2805951719013116e-14,1.571271596640724e-11,0.7373737373737373,0.458028935682567,1.0642372,0.4561923
Robo1,7.62455,1.2571671,2.4488706573573757e-14,1.645028864079817e-11,0.8484848484848485,0.7918636298524566,2.5252824,1.7593839
Gabrg3,7.439993,1.5969005,1.0069076678602998e-13,6.292002101257269e-11,0.797979797979798,0.652198825383183,2.067523,1.1886901
Otof,7.436141,3.9661636,1.0366927223668963e-13,6.330893965908751e-11,0.48484848484848486,0.08071909468557513,0.5469582,0.045526836
Galnt13,7.4299054,1.4415215,1.0867521620649805e-13,6.489117909930228e-11,0.7777777777777778,0.695745595186936,1.7932546,1.0452812
Arhgap6,7.2913537,2.5363688,3.0685554691149124e-13,1.6805681229141796e-10,0.5959595959595959,0.2535095258558946,0.9266215,0.23352043
Htr1f,7.2888026,2.629301,3.1272201766173794e-13,1.6805681229141796e-10,0.6262626262626263,0.35424724251539896,1.3700594,0.3882887
Osbpl8,7.251714,1.3435478,4.1152907809896616e-13,2.1264973708690807e-10,0.7676767676767676,0.6587523277467412,1.3716078,0.769726
Necab1,7.2421126,1.9624504,4.4174916084549563e-13,2.23958489658839e-10,0.6767676767676768,0.40685431886549206,1.1539013,0.44272354
Unc13c,7.2200336,2.471926,5.197463895310755e-13,2.5862195345740737e-10,0.5858585858585859,0.22675834407677983,0.9154937,0.23902996
Nrxn3,7.1800833,1.0930772,6.966902928525659e-13,3.4036487579906263e-10,0.9494949494949495,0.9289858186506231,3.834322,3.1008534
Kcnh5,7.075589,2.1924374,1.4881520140882276e-12,7.015200810272048e-10,0.6161616161616161,0.30282194528004586,0.8840116,0.27063686
Cacna2d2,7.0663605,2.883458,1.590497634280267e-12,7.368391626398408e-10,0.5151515151515151,0.14729265148259563,0.5986483,0.105330184
Fgf14,6.9923835,0.65421665,2.702550789701083e-12,1.1712506406333565e-09,0.9292929292929293,0.9240080217733849,3.5080104,3.071584
Rgs9,6.9815183,3.2965963,2.920068178112709e-12,1.2454322531093413e-09,0.5050505050505051,0.16534164159862483,0.67635024,0.093837276
Unc5d,6.8976283,1.7028941,5.287795016050716e-12,2.1206425683773544e-09,0.8080808080808081,0.6370505658215155,2.1390414,1.1942546
Rps6ka5,6.8758483,1.5305872,6.162211449339382e-12,2.4349797300551353e-09,0.7272727272727273,0.5307620684715657,1.1092556,0.5326151
Ssbp2,6.8736267,1.0127474,6.2589914543553166e-12,2.4373782663554688e-09,0.8181818181818182,0.771021343647042,1.851347,1.2976224
Tenm1,6.867105,1.17339,6.5517826058688005e-12,2.514948551709924e-09,0.8484848484848485,0.7511101561380891,2.1534169,1.4761287
Plcb1,6.8548026,0.614964,7.141111934351547e-12,2.7025588405074096e-09,0.8484848484848485,0.870792150121759,2.6452281,2.256005
Cpne5,6.831137,2.5724974,8.424423678459609e-12,3.1439481144473566e-09,0.5151515151515151,0.17046268442916487,0.4804334,0.09865712
Gm1604a,6.731422,2.1383052,1.6801279888996965e-11,5.9401367186493216e-09,0.5656565656565656,0.2522561237645036,0.5669942,0.15982334
Prkg1,6.718995,0.8761371,1.829821169691639e-11,6.303499337130043e-09,0.8282828282828283,0.8092322016903023,2.4602485,1.9218833
Ttc3,6.71411,0.7411514,1.892173760225548e-11,6.435785941425376e-09,0.9494949494949495,0.8948574702764647,2.3473105,1.8958143
Nsg2,6.6133747,1.2217078,3.756560656825885e-11,1.2461578376408831e-08,0.8383838383838383,0.6539535883111303,1.2490443,0.725792
Rcan2,6.5561247,1.7433866,5.522414223723457e-11,1.7665151213267773e-08,0.6363636363636364,0.3655994843145681,0.8480267,0.3355667
Sesn3,6.500878,1.4946938,7.985255634534128e-11,2.438225214771955e-08,0.6767676767676768,0.4622905027932961,0.8500129,0.38892362
Ephb1,6.4057307,1.7183917,1.4965091583081502e-10,4.518112481319101e-08,0.6666666666666666,0.423936398796734,1.0738201,0.46086884
Alcam,6.3985806,1.2456557,1.5682790996883577e-10,4.6821843787362414e-08,0.7777777777777778,0.717948717948718,1.8768,1.2039244
Samd12,6.360198,0.8502013,2.0149368939081205e-10,5.949599377946285e-08,0.797979797979798,0.74960607362842,1.8408393,1.3714188
Gpr88,6.2337437,4.3021245,4.5541816065864296e-10,1.261555255350282e-07,0.3939393939393939,0.041541326457527575,0.3818732,0.023299124
Nrg1,6.1653485,1.2139493,7.032815579438295e-10,1.871007471480267e-07,0.8383838383838383,0.8482309124767226,3.0449748,2.2644558
