names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Fnbp1,3.6003876,2.3984237,0.0003177431962828355,0.3880799856418087,0.8888888888888888,0.6915113871635611,2.1266546,0.87591195
Gigyf2,3.4875302,2.0618217,0.00048750364902211033,0.40631581673631717,0.8888888888888888,0.7005068894124367,1.8694587,0.8388373
Cacnb4,3.095281,1.4819217,0.0019662666576298836,0.5336725766718684,0.8888888888888888,0.76808024559149,2.2297711,1.3789371
Caln1,2.9199471,1.613401,0.0035009077721873563,0.5709047856145424,0.7777777777777778,0.7016848718497893,2.0807595,1.1912602
Chn2,2.8537412,3.98295,0.004320772675576676,0.5709047856145424,0.6666666666666666,0.2919611622760049,1.8647529,0.29635647
Pde4b,2.661243,1.8256357,0.007785276340079495,0.6069057193923362,0.8888888888888888,0.7625116013421861,2.7695951,1.6521679
Pde1c,2.5163233,2.7426305,0.011858636205997152,0.690049588383011,0.6666666666666666,0.3346184050831727,1.33154,0.34811297
Zfp521,2.4951613,4.034606,0.012589990896948499,0.6907120247191035,0.5555555555555556,0.1359320339830085,1.1999043,0.13238792
Etv1,2.4522395,2.3910148,0.014197008584346584,0.7141915835718178,0.6666666666666666,0.4644106518169487,1.4921184,0.50505203
Hspa5,2.3470066,2.5280066,0.01892492656116841,0.7749002747116418,0.6666666666666666,0.43224816163346896,1.346902,0.40101957
Msi2,2.310143,1.5591563,0.0208802430601051,0.786889384326822,0.7777777777777778,0.6517098593560363,1.5500331,0.81516135
Gabra6,2.3072376,12.538771,0.021041582601767254,0.7890191843176321,0.4444444444444444,0.000606839437424145,0.9920421,0.00028510494
Cbln1,2.244823,6.923458,0.02477950132258583,0.8368659432375564,0.4444444444444444,0.020632540872420932,0.847152,0.010921588
Camk4,2.2346232,1.8482817,0.02544210064886859,0.8450299683993807,0.6666666666666666,0.6255086742343114,1.8065923,0.8810849
Snap25,2.2291007,0.81022096,0.025807197639494694,0.8518911554953592,0.8888888888888888,0.8526451060184194,2.3434453,1.8516704
Rps4x,2.1858702,3.1880956,0.028825108889707556,0.8844912713043396,0.5555555555555556,0.23017062897122867,1.0974824,0.19808732
Kctd8,2.0926502,2.8263507,0.03638040371985221,0.9518417214726669,0.5555555555555556,0.27015063896623115,1.2467185,0.29973266
Ntng1,2.0671403,1.5676944,0.03872094066373849,0.9587433798890656,0.7777777777777778,0.5696437495537945,1.7173754,0.93281025
Erbb4,2.056384,1.6370556,0.03974550891948876,0.9675982643766743,0.8888888888888888,0.7193546084100807,2.5497339,1.5675844
Fubp1,2.0472558,1.6680635,0.04063297770249232,0.979806797922787,0.6666666666666666,0.6737702577282787,1.511416,0.74753994
Ttc3,1.9999245,0.6712117,0.04550841173827993,0.9991865609913785,0.7777777777777778,0.8950881702006139,2.3051214,1.8972775
Kirrel3,1.9877672,1.2077475,0.04683744238126385,0.9991865609913785,0.8888888888888888,0.7717926750910259,2.496582,1.7618834
Setd2,1.9712415,1.5801945,0.04869626406998609,0.9991865609913785,0.6666666666666666,0.6723424002284571,1.4456639,0.73483443
Naaladl2,1.8423117,1.1509657,0.0654295580324644,0.9991865609913785,0.8888888888888888,0.8624616263296923,2.343421,1.6564419
Cnksr2,1.8137935,1.0019718,0.06970951905470113,0.9991865609913785,1.0,0.8603555365174556,2.8547313,2.216334
Syne1,1.8119184,0.8860922,0.06999880377693221,0.9991865609913785,0.6666666666666666,0.8175912043978011,2.1082735,1.5921223
Gphn,1.802275,0.35889497,0.07150215614231015,0.9991865609913785,0.7777777777777778,0.8798100949525237,2.1700952,1.9530584
Dnajc1,1.7947127,0.94578207,0.072699489438952,0.9991865609913785,0.6666666666666666,0.7510530449061183,1.583745,1.1021867
Cuedc2,1.7342557,3.580541,0.08287273423961014,0.9991865609913785,0.4444444444444444,0.1813022060398372,0.9394757,0.12247023
Fat2,1.7188426,9.025708,0.0856430361845773,0.9991865609913785,0.3333333333333333,0.0036767330620404086,0.7035017,0.0019566522
Usp32,1.6943425,1.190358,0.09020022690286769,0.9991865609913785,0.6666666666666666,0.7181052330977369,1.4883809,0.91747856
Rplp1,1.6690799,1.7970608,0.09510154488234272,0.9991865609913785,0.6666666666666666,0.6533518954808311,1.6825175,0.8154198
6820431F20Rik,1.6667515,1.3968697,0.09556383460495399,0.9991865609913785,0.6666666666666666,0.6767330620404084,1.3873773,0.76122785
Nsd3,1.652142,1.2659684,0.09850559749146409,0.9991865609913785,0.6666666666666666,0.7392018276575998,1.6159616,0.9846566
Macf1,1.6416332,0.52305186,0.10066605258164427,0.9991865609913785,0.7777777777777778,0.8772042550153495,2.1330903,1.8210148
Unc13c,1.6129295,3.2818935,0.10675983510176107,0.9991865609913785,0.4444444444444444,0.22795744984650532,1.2951739,0.24108125
Syt2,1.5767047,5.1920805,0.11486349162753763,0.9991865609913785,0.3333333333333333,0.04326408224459199,0.69199836,0.026925864
Ldha,1.5711205,2.5881221,0.11615465021275294,0.9991865609913785,0.4444444444444444,0.21849789391018776,0.68957967,0.1528222
Oxr1,1.5637643,0.5149894,0.11787292513779285,0.9991865609913785,0.7777777777777778,0.8549653744556294,2.362168,2.0448284
Foxn3,1.5594165,1.2696275,0.11889782673296767,0.9991865609913785,0.6666666666666666,0.6985792817876776,1.5663571,0.9445392
Grin2c,1.5559342,3.9452543,0.11972374691322263,0.9991865609913785,0.3333333333333333,0.03944456343256943,0.4910851,0.0403386
Atp2b3,1.5484337,1.8647792,0.12151791122519925,0.9991865609913785,0.5555555555555556,0.5173127721853359,1.102505,0.4397666
Hsp90ab1,1.50306,1.5945811,0.1328235672197236,0.9991865609913785,0.6666666666666666,0.809024059398872,2.0408392,1.1686132
Tmsb4x,1.451175,1.6423503,0.14673115252410052,0.9991865609913785,0.6666666666666666,0.7213179124723352,1.961204,1.084029
Hsp90aa1,1.4453641,1.3663229,0.14835562957364978,0.9991865609913785,0.6666666666666666,0.7953166274005854,1.8395911,1.116261
Rps6ka1,1.4400891,3.5257378,0.14984219491592862,0.9991865609913785,0.3333333333333333,0.07260655386592418,0.4790375,0.051981237
Calm1,1.4269838,1.0477788,0.1535845396486308,0.9991865609913785,0.7777777777777778,0.8366174055829229,1.922926,1.3416421
