names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-HYa GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Rtn1,6.2726517,1.1856261,3.5495088936523006e-10,2.167620544828121e-07,0.890625,0.9048606888658393,2.581497,1.8517406
Calm1,5.9483037,1.785406,2.709357395092876e-09,8.36786588576386e-07,0.859375,0.8365463714725133,2.3712523,1.3394727
Gad2,4.3943205,2.6663194,1.1111982494380695e-05,0.0003362375784054158,0.46875,0.22307664794878215,0.9796473,0.23273796
Camk1d,4.159378,0.566907,3.191151420049099e-05,0.0007475696482713102,0.875,0.9537537107908008,2.6851265,2.3244767
Atp1b1,4.139492,1.0649263,3.4807540191433855e-05,0.0007973389641464857,0.765625,0.8599377660145212,2.1109493,1.4970281
App,3.7494223,0.5273764,0.00017724232364348138,0.002834822164464491,0.796875,0.8987088236346078,2.1245844,1.810413
Rplp1,3.6923401,1.7405311,0.00022219999797532252,0.0033923374690891565,0.6875,0.65327801423513,1.6483762,0.81379205
Gpm6a,3.41495,0.2019766,0.0006379377089586934,0.007941080969305786,0.765625,0.8918773918952753,2.1184564,1.9963523
Cmss1,3.3826108,1.0087572,0.0007180027919006614,0.008793407027516303,0.78125,0.8410887370792947,1.9384521,1.3752341
Ttc3,3.1332202,0.21702832,0.0017289965479186018,0.017986115850783132,0.71875,0.8954540577273865,2.02638,1.8971133
Tmsb4x,3.0370777,1.4006916,0.0023888392394930216,0.023264991071104562,0.671875,0.7214134983368504,1.8172629,1.0826333
Hsp90ab1,2.933788,1.2139751,0.003348526837962329,0.03023350676614509,0.703125,0.8092206445151829,1.8140409,1.1674163
Mt3,2.6190314,1.7723612,0.008817984923032929,0.06647618820756267,0.515625,0.5004470832290139,1.2997264,0.57722527
Calm2,2.6032913,0.69384223,0.009233350042946382,0.06899335807952428,0.765625,0.8569333667155478,1.7887686,1.4060858
Unc5d,2.5889974,0.92418945,0.009625582183500132,0.07148684170001343,0.59375,0.637755284523767,1.6827933,1.1964822
Hspa8,2.5137076,1.3766292,0.011946943880377722,0.08461106538369778,0.59375,0.671304410028971,1.4946921,0.84660476
Rpl38,2.4748948,1.7151561,0.013327543974577825,0.09251126494365956,0.5,0.47898708823634606,1.1367203,0.49751648
Ubb,2.436082,1.6058289,0.014847321399158963,0.10064266548824453,0.515625,0.48252798741013625,1.256308,0.6018264
Hsp90aa1,2.395699,1.1194425,0.016588709518111075,0.1098419479427414,0.671875,0.7955577810365178,1.6963588,1.115166
Npy,2.3318799,3.0252483,0.019707018675414426,0.12548047199250842,0.265625,0.12117743839193104,0.71552086,0.12079169
Ndufa4,2.2606585,1.7571951,0.023780417790599962,0.14538790125902637,0.453125,0.40777567151900995,1.0478199,0.4367666
Rps29,2.2162225,1.711073,0.02667627271249133,0.15916763774286818,0.5,0.5166851461067993,1.2412875,0.56040794
Cox6c,2.1737125,1.6361796,0.029726741654282945,0.1724433394323365,0.46875,0.4329911656353947,1.0115728,0.44658276
Gad1,2.1632009,1.6403033,0.030525731037748135,0.17597648422748174,0.375,0.26495940484280556,0.62865525,0.24742135
Ppia,2.1330044,1.5524242,0.032924353587955424,0.18671958229387128,0.515625,0.5324582424264102,1.2682937,0.62648237
Atp6v0c,2.09768,1.1565541,0.035933417247102264,0.199944278614545,0.609375,0.6814979076504882,1.4226595,0.8805393
mt-Co1,1.9337735,1.5773028,0.05314097631884156,0.27146350450328377,0.484375,0.5143245466576057,1.2474827,0.60518557
Rpl13,1.9006999,1.5334135,0.05734133510054251,0.28777767541120236,0.46875,0.4623913587753496,1.0193981,0.47746852
Morf4l1,1.8789344,1.2742032,0.06025345601812999,0.29854515272121573,0.546875,0.6056010586930863,1.0803148,0.59023815
mt-Nd2,1.8662262,1.4591944,0.062009723041976314,0.3048300874749183,0.453125,0.43696126470903823,0.9972033,0.48376492
Cox7c,1.8623898,1.5508097,0.06254816709192083,0.3068594576884997,0.46875,0.462820558675203,1.0292517,0.4787284
Chchd2,1.7737576,1.5400523,0.07610325408608391,0.35637755965372514,0.453125,0.456489860152366,0.9749718,0.44965112
Rps14,1.7575921,1.4423099,0.07881695039271729,0.3665936397874872,0.46875,0.4626059587252763,0.94726956,0.45800132
mt-Co3,1.7486429,1.284711,0.08035275620946487,0.3716760860194703,0.53125,0.6077828248506743,1.359141,0.78270537
Rps27a,1.7457733,1.7603433,0.08085033946580547,0.3733371062804937,0.40625,0.39625880753961157,0.95067173,0.38429508
Selenow,1.7361746,1.3586786,0.08253297009195054,0.37911873472293955,0.515625,0.5449408061804786,1.0682981,0.5567246
Plp1,1.7324542,0.8233547,0.0831927283891083,0.3813354847859672,0.671875,0.718444865696198,1.6428027,1.2108579
Cst3,1.6395601,1.12679,0.10109665279818858,0.44321537945624523,0.546875,0.5862512965413641,1.3091776,0.80551815
Tuba4a,1.5812017,2.018319,0.11383193280065723,0.4868158577675728,0.328125,0.2757609356557817,0.7263589,0.23389955
Ndufa5,1.5449258,1.7401286,0.12236420645203334,0.5143814498382566,0.328125,0.2662827712006867,0.62194973,0.22968225
Sv2c,1.5323956,1.7672613,0.12542484948160137,0.5240500241907369,0.234375,0.1416359669516077,0.32053334,0.10526324
Rps11,1.5316839,1.7520702,0.1256004381204468,0.5244574626723241,0.34375,0.29292893164991596,0.7173065,0.2710915
Nrgn,1.5291315,0.8790797,0.12623184305490026,0.5265212081473408,0.625,0.73489752852391,1.4678175,1.0352728
Gpx4,1.4928402,1.6608593,0.13547902187713168,0.5552656067477926,0.375,0.34890375192245787,0.7859885,0.32047725
