names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pineal Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Col8a1,2.9982157,9.73227,0.002715653995875855,0.9994874769415684,1.0,0.046074232690935045,3.4217498,0.03423481
Zfhx4,2.9404755,5.0467396,0.0032770907692505212,0.9994874769415684,1.0,0.31331192005710207,2.4632583,0.2814252
Gm49797,2.9339805,3.5678377,0.003346452843548209,0.9994874769415684,1.0,0.5715560314061384,2.2123046,0.5224523
Memo1,2.9144602,3.2351522,0.0035630438092771576,0.9994874769415684,1.0,0.6303354746609564,2.2743657,0.6555733
Prkci,2.9046822,4.58475,0.003676263487570024,0.9994874769415684,1.0,0.3000356887937188,1.7446457,0.1796991
Ctnna1,2.9046464,5.5206637,0.0036766826222228675,0.9994874769415684,1.0,0.19428979300499644,2.123584,0.14871703
Esco1,2.886268,3.6391838,0.003898401170248495,0.9994874769415684,1.0,0.48344039971448965,1.9054705,0.37794906
Filip1l,2.8798802,4.811109,0.003978264304404591,0.9994874769415684,1.0,0.22027123483226266,1.7308258,0.15312696
Nfat5,2.870673,2.6573017,0.004095989325165027,0.9994874769415684,1.0,0.7522483940042827,2.5283003,1.0395821
Entpd6,2.8572907,4.1594644,0.004272743103467634,0.9994874769415684,1.0,0.30688793718772306,1.570001,0.19311312
Usf3,2.8508315,3.7010949,0.004360507075822047,0.9994874769415684,1.0,0.42469664525339046,1.7308258,0.3054018
Mtf2,2.8427665,2.867622,0.004472383637181205,0.9994874769415684,1.0,0.619450392576731,2.0134943,0.6361178
Scaf11,2.8393404,3.8008366,0.004520688549820163,0.9994874769415684,1.0,0.4405067808708066,1.9054705,0.34401986
Map3k5,2.8232102,3.4787183,0.004754536697073198,0.9994874769415684,1.0,0.46216987865810133,1.9054705,0.41430995
Rcbtb1,2.8197844,4.151623,0.004805591611833537,0.9994874769415684,1.0,0.32091363311920057,1.7308258,0.23219658
Dennd5b,2.8044393,2.6877012,0.0050404165454155875,0.9994874769415684,1.0,0.6668451106352605,2.127507,0.7643568
Mark3,2.7914495,2.5635223,0.005247253171045658,0.9994874769415684,1.0,0.6928979300499644,2.127507,0.811272
Fam120c,2.7882736,2.926341,0.005298978599924445,0.9994874769415684,1.0,0.5867237687366167,1.9054705,0.56121045
Map3k3,2.781172,3.0488167,0.0054163041680539824,0.9994874769415684,1.0,0.5953604568165596,2.019483,0.58200914
Psmb1,2.7799587,3.9744468,0.00543658271081161,0.9994874769415684,1.0,0.3573518915060671,1.7446457,0.26276302
Add1,2.7776747,3.3812585,0.005474940114575797,0.9994874769415684,1.0,0.6568522483940042,2.4437895,0.69777954
Hectd4,2.770716,2.4173214,0.005593321009673303,0.9994874769415684,1.0,0.7012847965738758,2.127507,0.86884975
Cadm3,2.7700021,3.6279037,0.005605592293739173,0.9994874769415684,1.0,0.43265524625267665,1.7446457,0.3236129
Zswim5,2.7332454,3.329597,0.006271360382927485,0.9994874769415684,1.0,0.4805496074232691,1.8388495,0.4227324
Lcor,2.7272143,2.566673,0.006387153492071475,0.9994874769415684,1.0,0.7250535331905782,2.3030884,0.9242563
Zc3h12b,2.7270002,2.7659914,0.006391299626498051,0.9994874769415684,1.0,0.5979300499643112,1.9054705,0.61046594
Zdhhc20,2.7242167,2.7061493,0.006445420188274948,0.9994874769415684,1.0,0.6464311206281228,2.0134943,0.6903586
Ankrd33b,2.7209337,3.30981,0.00650978440323048,0.9994874769415684,1.0,0.4410778015703069,1.7308258,0.38420796
Usp46,2.7179716,3.5715466,0.006568347560973129,0.9994874769415684,1.0,0.4631334760885082,1.8586583,0.3753322
Ap3b2,2.706338,3.2617888,0.006802978911777973,0.9994874769415684,1.0,0.4486081370449679,1.570001,0.3342339
Acyp2,2.7061594,2.8488128,0.006806635465162255,0.9994874769415684,1.0,0.5991077801570307,2.019483,0.6455565
Stag2,2.6942046,2.8796394,0.007055684691261861,0.9994874769415684,1.0,0.5961456102783725,1.9054705,0.5752408
Zmiz1,2.68539,3.6016986,0.0072445204720022,0.9994874769415684,1.0,0.39657387580299786,1.7446457,0.3286669
Aftph,2.6751838,2.9664526,0.00746882927014147,0.9994874769415684,1.0,0.5660956459671663,1.8388495,0.5168396
Chrm3,2.670045,3.1519294,0.007584108844124456,0.9994874769415684,1.0,0.6593504639543183,3.1798713,1.2788585
Rnf13,2.662194,3.0383668,0.007763312104440291,0.9994874769415684,1.0,0.5589935760171306,1.9054705,0.52859557
Psd3,2.6493826,2.108777,0.00806389753485612,0.9994874769415684,1.0,0.7801213418986438,2.4267051,1.2217065
Atrx,2.6045964,1.9289722,0.00919825424096534,0.9994874769415684,1.0,0.8034975017844397,2.2743657,1.1910332
Map7,2.5709798,2.7802033,0.010141119771615945,0.9994874769415684,1.0,0.6948608137044968,2.4800618,0.9527547
Tubb2a,2.5659482,3.4311078,0.010289419581491268,0.9994874769415684,1.0,0.3737330478229836,1.7446457,0.3632234
Slc24a2,2.5479624,2.1950593,0.010835417320110171,0.9994874769415684,1.0,0.8143468950749465,3.2094269,1.822913
Gphn,2.5269074,1.6275314,0.011507182684573979,0.9994874769415684,1.0,0.8797644539614561,2.9802866,1.9530183
Tmem178b,2.523303,1.7858412,0.011625813834634664,0.9994874769415684,1.0,0.7842255531763026,2.6324654,1.5567542
Kifap3,2.5164871,2.0551474,0.01185312552653483,0.9994874769415684,1.0,0.7335117773019272,2.0134943,0.9405986
Smchd1,2.5093856,2.7906153,0.012094142089097475,0.9994874769415684,1.0,0.5713418986438258,1.7446457,0.5204095
Actr3,2.4967525,2.8012872,0.012533638112793087,0.9994874769415684,1.0,0.5618843683083512,1.7446457,0.5174139
Kif16b,2.4557133,2.7577357,0.014060525334050212,0.9994874769415684,1.0,0.5147751605995717,1.570001,0.44650322
Ddx5,2.4405825,2.3597593,0.01466360002569196,0.9994874769415684,1.0,0.8058172733761599,2.5212018,1.1723169
Nfia,2.440511,2.477925,0.014666497927757389,0.9994874769415684,1.0,0.7382940756602426,2.7884169,1.3186448
Rere,2.4367282,1.3601313,0.01482081094638794,0.9994874769415684,1.0,0.8520699500356888,2.4813585,1.6617368
