names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Tmsb4x,3.1812298,2.181706,0.0014665123173596881,0.029254035610582645,0.7083333333333334,0.7213114754098361,2.289161,1.0832781
Lars2,2.7736366,1.3455471,0.005543357906440036,0.07113181802580887,0.7083333333333334,0.7966713096896317,1.8972955,1.1725802
Calm1,2.5867846,1.474507,0.009687615974794261,0.10500453458762476,0.7083333333333334,0.8367084538733526,2.1799247,1.3411106
Apoe,2.5827203,2.2179296,0.009802475640550675,0.10573766377422586,0.5416666666666666,0.3465480910032501,1.2727938,0.43992817
Ttc3,2.1413639,0.2031178,0.03224470756449578,0.24736643190070298,0.7083333333333334,0.8952105432336869,2.0182097,1.897305
Atp1b1,2.1163728,0.7818072,0.0343131102355778,0.2584061861070559,0.7083333333333334,0.859852137576342,1.9417568,1.4980503
Rpl11,1.9944091,2.5378919,0.046107362823577344,0.31840268287574486,0.4583333333333333,0.373977642058645,1.2313625,0.349053
Camk1d,1.9555342,0.44697464,0.05052004980285969,0.3386910524458183,0.7916666666666666,0.9537126325940212,2.608488,2.3250573
Atp6v0c,1.8492088,1.3483715,0.06442766795741857,0.4026916580636978,0.625,0.6813814779099253,1.526061,0.88122517
Dynlrb1,1.8260605,2.9429033,0.06784113990870816,0.4178068827290828,0.375,0.24058002071502554,0.97787994,0.19533853
Hsp90ab1,1.7853934,1.1236411,0.07419753383484735,0.44531778738940103,0.6666666666666666,0.8091003250116076,1.7630664,1.1683842
Ndufa4,1.6917781,2.16657,0.09068830239891469,0.5115018231441725,0.4583333333333333,0.40783599414264793,1.2423688,0.4374728
Cd81,1.5965092,1.8531702,0.11037513889336906,0.5882149904928256,0.4583333333333333,0.4028715311261116,1.0500171,0.41487506
Rpl27a,1.5826128,1.8881992,0.11350975640665825,0.5985100381960179,0.4583333333333333,0.4284438729954641,1.0750839,0.41965845
Gapdh,1.568792,2.1397946,0.11669642272036657,0.6101640160529772,0.4166666666666667,0.3494410514661238,1.112985,0.38095257
Fth1,1.5580003,1.5548762,0.11923315695130031,0.6194809978884344,0.5416666666666666,0.5799135683417265,1.4337889,0.7358686
Hspa8,1.5163361,1.349924,0.12943439458368147,0.6521474184255618,0.5833333333333334,0.6712025429479624,1.4816304,0.8475419
Sparcl1,1.5092174,1.5963638,0.13124322971619837,0.6575621074910032,0.5416666666666666,0.5902710811100397,1.4200054,0.7117139
Cox6a1,1.5002308,2.2084043,0.13355463968017667,0.6660380787316903,0.4166666666666667,0.37551341119325693,1.070027,0.34674332
Chgb,1.4523313,1.8448808,0.14640950561537977,0.7079823774259744,0.5,0.5420550733954784,1.3567532,0.589297
Uqcr11,1.3722465,2.0965323,0.16998672340699317,0.7848012470697434,0.375,0.2916532733311904,0.87071997,0.28117818
Cox4i1,1.3423961,1.6513491,0.17946760091805725,0.8136147185200266,0.5,0.5274831243972999,1.254402,0.5864996
Gnas,1.3384833,1.1360267,0.1807389216579084,0.8164853438043037,0.5416666666666666,0.7107753848351727,1.4024483,0.87324935
Ppia,1.3334347,1.5885084,0.182389201663133,0.8211792641904128,0.5,0.5324475874138362,1.2877314,0.62738234
Calr,1.2687736,1.6893419,0.20452183211742858,0.8836632302613453,0.4583333333333333,0.48148148148148145,1.076718,0.4699976
Atp5h,1.1833119,2.1363933,0.2366855655620972,0.9735617027286755,0.375,0.32901175041965786,0.9666493,0.31520498
Rps21,1.183274,1.5476468,0.23670056704868214,0.9735617027286755,0.4583333333333333,0.4591592556877031,1.0703226,0.50411093
Mt1,1.1775942,2.165828,0.23895840699779913,0.9793795601023281,0.3333333333333333,0.26918818529233185,0.88196164,0.27420154
Cox7b,1.1675094,2.0469642,0.24300468090952965,0.9909494822462596,0.4166666666666667,0.4365513054037644,1.0703697,0.38101402
Cox6b1,1.1351726,2.0289674,0.2563029966385968,0.9988100266275479,0.375,0.34986963820136435,0.9490221,0.32781234
Calm2,1.1149274,0.7090748,0.2648815424012796,0.9988100266275479,0.625,0.8569234615521983,1.7981652,1.4066242
Olig1,1.1059912,2.6352024,0.26873032845526656,0.9988100266275479,0.20833333333333334,0.08939604985892353,0.4166348,0.0799134
Ubb,1.0709406,1.4921714,0.284196106766309,0.9988100266275479,0.4583333333333333,0.48262437944212294,1.2021114,0.6028082
Gm1673,1.0416456,2.4905982,0.29757599577916105,0.9988100266275479,0.25,0.16057716347012393,0.5745794,0.12939878
Fabp5,1.0362436,2.5736988,0.30008853324763884,0.9988100266275479,0.25,0.16554162648666024,0.6713818,0.14905766
Rplp2,1.0131079,1.7677666,0.311008610118093,0.9988100266275479,0.375,0.35847708846744525,0.8613925,0.33738428
Psmb5,1.0014833,2.554091,0.31659319841435196,0.9988100266275479,0.25,0.16947033822636523,0.6413333,0.1424332
