names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hspa8,6.448628,2.8776472,1.1286709517123619e-10,1.907382922799444e-08,0.7547169811320755,0.6709688952449052,2.376139,0.8451896
Calm1,5.025494,1.6445997,5.021380941654494e-07,1.2539452221399279e-05,0.7735849056603774,0.8367179120486236,2.283874,1.3400441
Tmsb4x,4.9502964,2.1276274,7.410062225087208e-07,1.7090847380952212e-05,0.7169811320754716,0.721308544869503,2.253938,1.0820946
Hsp90ab1,4.7587876,1.9957637,1.947592343443485e-06,3.7811998748790784e-05,0.7358490566037735,0.8091169109760458,2.2844784,1.1667794
Camk1d,4.6872606,0.63772917,2.7688600074298186e-06,5.096263358242904e-05,0.8113207547169812,0.9538434036467643,2.7310004,2.3245323
Hsp90aa1,4.6650047,1.9749978,3.086097867281645e-06,5.5728124794259276e-05,0.7169811320754716,0.7954236682159457,2.2028356,1.1144347
App,4.1771493,0.45433798,2.9518549452010536e-05,0.0003666959888005192,0.7358490566037735,0.8987844118698606,2.0803604,1.8106208
Rtn1,3.60366,0.61163867,0.00031376727022850863,0.0028329726313978585,0.7358490566037735,0.9051483732570611,2.220969,1.8527113
Atp1b1,3.5866814,1.1069576,0.0003349131706990477,0.00299172769171656,0.7169811320754716,0.8599928494815874,2.136818,1.4972211
Ebf1,3.239126,3.7942064,0.0011989663052630378,0.00897888088696149,0.32075471698113206,0.08637826242402574,0.8518244,0.0924635
Canx,2.940051,1.7320467,0.003281582574747089,0.021472071509372397,0.5849056603773585,0.6529495888451913,1.4781328,0.7025493
Atp6v0c,2.6902893,1.5670244,0.007139009641628765,0.04236781175974219,0.6037735849056604,0.6814801573114051,1.6453372,0.8803306
Ubb,2.6901875,2.0016358,0.007141191643463803,0.04236781175974219,0.5094339622641509,0.4825527350732928,1.4596875,0.60169846
Ckb,2.689703,1.9264233,0.0071515643302284895,0.04241998533184095,0.5283018867924528,0.5497318555595281,1.3913131,0.584746
Calm2,2.6565356,1.0937015,0.00789480966796488,0.04615612179682688,0.6415094339622641,0.8571326421165535,2.0242832,1.4057901
Lars2,2.6447747,1.1256063,0.008174535167780146,0.04755353105829239,0.6226415094339622,0.7969252770825885,1.7686325,1.1720717
Fth1,2.5593028,1.7241025,0.010488235569538469,0.05874535857354315,0.5471698113207547,0.5799427958526994,1.5230058,0.7349762
mt-Co3,2.5387633,1.6933346,0.011124504607630306,0.06169565300454619,0.5471698113207547,0.6077225598855917,1.5766478,0.78252006
Plp1,2.3240554,1.3100891,0.020122519237889727,0.10224888273867189,0.6226415094339622,0.7185198426885949,1.9227563,1.2104971
Tubb2a,2.3157275,2.2099044,0.020573148098718307,0.10412516282022244,0.4339622641509434,0.37368609224168753,1.1045388,0.36196682
Atp2b1,2.2642899,0.027949754,0.02355629608237506,0.1165882622459786,0.7169811320754716,0.898569896317483,2.0350893,2.0182638
Sec62,2.121287,1.6439768,0.033897639361239976,0.15872883753914113,0.5283018867924528,0.6165534501251341,1.337451,0.6412788
Cst3,1.965079,1.6012064,0.04940510643812511,0.2174472088439675,0.5094339622641509,0.5863067572398999,1.5589311,0.8052431
Ttc3,1.9306369,-0.2272368,0.05352796782190634,0.2322080231473399,0.6415094339622641,0.8955309259921345,1.7654097,1.8976587
Nrgn,1.8682793,1.1865999,0.06172314078771942,0.2617996516126316,0.5849056603773585,0.7349302824454773,1.6355461,1.0351253
Actb,1.8413665,1.3441145,0.0655678637123333,0.2753686305017811,0.5471698113207547,0.6830175187701109,1.4776131,0.84687424
Cck,1.7886117,1.5073823,0.07367738895039136,0.3011425982806535,0.5094339622641509,0.5964962459778334,1.3466368,0.6934185
Cmss1,1.7756948,0.66287553,0.07578323576401413,0.30843616252333533,0.6037735849056604,0.8414015016088666,1.7376217,1.3758359
Ndfip1,1.7368764,0.8860974,0.08240898857739797,0.33044762320171367,0.5471698113207547,0.7481587415087594,1.3709589,0.9517685
Sparcl1,1.7114167,1.3853338,0.08700421430495088,0.3454711450235008,0.5094339622641509,0.5903825527350733,1.3103416,0.7111873
Cox4i1,1.5902537,1.7070704,0.11177762713352164,0.42201276395640386,0.4716981132075472,0.5275652484805149,1.2809495,0.5857567
Ppia,1.5551829,1.6920508,0.1199025158840182,0.4462918135203725,0.4528301886792453,0.5325706113693243,1.338971,0.62660074
Rps16,1.5378472,1.9053822,0.1240859817549401,0.45849702004334986,0.39622641509433965,0.4184125849124061,1.0870484,0.42178628
Ndufa4,1.4890523,1.7404948,0.13647360384320037,0.49374521815898664,0.39622641509433965,0.40790132284590636,1.0407826,0.4370203
Ptma,1.4865113,1.8059572,0.13714390273263166,0.49570307592491425,0.39622641509433965,0.4047908473364319,0.99214345,0.3956373
Tubb5,1.43945,2.311929,0.1500230504113429,0.5323718125399872,0.3018867924528302,0.2567393636038613,0.7857606,0.21549477
Rps21,1.4307142,1.7589977,0.15251213592740684,0.5398499660610488,0.41509433962264153,0.459242045048266,1.1676222,0.50333947
Hexb,1.3967736,1.0958624,0.1624816559714406,0.5671449851848024,0.5283018867924528,0.6788702180908116,1.387208,0.8776666
Aplp1,1.3252128,1.3728812,0.18510056610353798,0.6286213613753875,0.49056603773584906,0.6121916338934573,1.231312,0.66094327
Rps11,1.320658,2.0259204,0.18661543318395535,0.6328861150641021,0.32075471698113206,0.2929924919556668,0.8189289,0.2710744
Cldn11,1.2916292,1.855908,0.19648560016319871,0.6586287520440555,0.2830188679245283,0.22356095816946728,0.6744897,0.23589863
Slc25a4,1.2391971,1.595983,0.21527249768171963,0.7074818997930292,0.41509433962264153,0.46306757239899893,1.0302405,0.46750587
