names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-IMN GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,4.9365273,1.812623,7.95259012306613e-07,5.99568172297382e-06,0.47924528301886793,0.42153613372721377,1.554572,0.72401524
Camk1d,4.8767295,0.22783183,1.07859237709164e-06,7.929350799576572e-06,0.8905660377358491,0.9541753728654803,2.4674678,2.323944
Gad1,4.7696233,1.8257372,1.8457064631533536e-06,1.3037146679183926e-05,0.3660377358490566,0.2642481446790115,0.68321806,0.2441398
Auts2,4.7509804,-0.07167042,2.024329691347401e-06,1.4172417615035085e-05,0.7283018867924528,0.9063333093162331,2.6385157,2.684721
Tmsb4x,4.6311173,1.0508842,3.636977364269846e-06,2.4388715192895125e-05,0.6641509433962264,0.7218459543194755,1.6143076,1.0792508
Pbx3,4.596898,2.21217,4.28827388228267e-06,2.8450844251095144e-05,0.3886792452830189,0.3365876504070898,1.0703344,0.34611708
Maml3,4.5310764,1.0920669,5.868390149281204e-06,3.797272599951682e-05,0.5018867924528302,0.502954103321565,1.0843712,0.6514279
Frmd7,4.2569103,3.9844103,2.0727164437371105e-05,0.0001222966421678001,0.17735849056603772,0.02986526406801643,0.21302041,0.014887942
Msi2,4.2512794,1.1633856,2.125528273203629e-05,0.00012519277663520717,0.5433962264150943,0.6527847827653289,1.3342966,0.8104439
Plp1,4.226933,0.6939327,2.3689822753678524e-05,0.0001382592392248788,0.6830188679245283,0.7186756970963326,1.5683582,1.2084422
Cmss1,4.1626945,0.37689355,3.145140037901331e-05,0.00018026858536349994,0.6943396226415094,0.8423517544491678,1.5759463,1.3746163
Dlx1,3.7867095,2.8070471,0.00015265532838336834,0.0007718947447612171,0.18490566037735848,0.05699257871604582,0.21997389,0.03455279
Naaladl2,3.7570224,0.29159576,0.00017194713078967197,0.0008610174066937171,0.7433962264150943,0.8636068881043303,1.8216099,1.6550875
Pbx1,3.727484,0.2796825,0.00019340090063937272,0.0009607473100720919,0.6150943396226415,0.8140355933424598,1.793447,1.6345589
Lars2,3.5373514,0.5003877,0.00040416166966609736,0.0018899798231688195,0.6716981132075471,0.7977880250738526,1.4223777,1.1708218
Nol4,3.5056689,0.49837583,0.0004554614010004206,0.0021111346980992414,0.5660377358490566,0.7320051876936379,1.3612133,1.1163139
Plcb4,3.4666314,1.130619,0.0005270239610948393,0.002420292913112003,0.3849056603773585,0.3301750846602781,0.588393,0.31179413
Peli2,3.4592535,1.4207429,0.0005416748022511346,0.002479945806182993,0.32452830188679244,0.25585416816773543,0.47523227,0.20477216
Zeb2,3.30862,0.13699947,0.0009375700434373462,0.00411799281040029,0.7471698113207547,0.8596440665754017,2.1487794,2.0653658
Calm1,3.2405705,0.5198079,0.0011929076501127288,0.005143361450341628,0.7056603773584905,0.8378485481662944,1.616911,1.3392035
Syt6,3.2341998,2.7930055,0.001219841295181191,0.0052510630569558795,0.16226415094339622,0.052525398083435405,0.23841755,0.03811165
Lgr5,3.1694806,3.4132662,0.0015271164893599092,0.006463005208552647,0.16226415094339622,0.05692052741551985,0.30748135,0.03323267
Tshz1,3.1482203,2.0292935,0.001642677901669468,0.006914145892127523,0.27547169811320754,0.2123712083003098,0.5164134,0.15324023
Cacng5,3.0579646,2.9763167,0.0022284587357681287,0.009171187966011582,0.15849056603773584,0.05674039916420491,0.21518725,0.03005238
mt-Co3,3.0293493,1.0012167,0.002450810807124291,0.010006577478715955,0.5471698113207547,0.6081850277397507,1.2133079,0.7799235
Pde5a,2.9933486,2.326853,0.002759344249420431,0.01113601381524887,0.19622641509433963,0.10541105266950068,0.37452847,0.08668363
2610307P16Rik,2.9405851,2.988572,0.0032759286991361153,0.0130136316005008,0.1471698113207547,0.04726565314503927,0.29221866,0.041872844
Map3k1,2.910097,1.574298,0.003613167522847818,0.014253392111175376,0.23018867924528302,0.14608401181641328,0.30101535,0.11149252
Adarb2,2.8758395,0.89494675,0.004029546387360944,0.015767279951709415,0.5283018867924528,0.582066431299085,1.5341767,1.083879
Lgr6,2.8754122,3.525926,0.004035003934974885,0.01578174028133554,0.12452830188679245,0.024137185676201454,0.16505127,0.015458998
Meis1,2.86243,1.8359976,0.00420405850210883,0.016388082395424965,0.21509433962264152,0.1310252900064846,0.36481062,0.116280176
Zic1,2.8324683,2.9272645,0.004619014692114703,0.017878554419061086,0.12075471698113208,0.02039051804885078,0.15121636,0.02123417
Erbb4,2.8190477,0.58474284,0.004816637223893637,0.018555274868246884,0.6679245283018868,0.7199005692052741,1.8978184,1.5647495
Pde1c,2.8177352,1.7323523,0.0048363662195145055,0.0186232674574885,0.35094339622641507,0.3345702139923626,0.8595569,0.34354922
mt-Co1,2.803399,1.0848935,0.005056705773528309,0.01939390295956404,0.47547169811320755,0.5146264140067728,1.013279,0.6027703
G630016G05Rik,2.779911,2.3224196,0.0054373802715272325,0.020770885398910543,0.17735849056603772,0.09139707471719864,0.21197978,0.046128
