names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MH-LH Glut (for_DEGs),mean_expr_Rest (for_DEGs)
D130079A08Rik,6.712723,10.893164,1.910260081370067e-11,5.132868838641371e-07,0.9411764705882353,0.004963222166678569,1.8375394,0.0027730009
Nwd2,6.3883815,4.9638004,1.6765069589398863e-10,2.2523870993357373e-06,0.9411764705882353,0.5322073841319718,3.4047973,0.65894026
Rbms3,6.1501865,4.2490945,7.739194056906059e-10,5.88593628347484e-06,0.9411764705882353,0.5104977504820396,2.948736,0.66829413
Trpm3,6.130468,4.3379436,8.762093462560238e-10,5.88593628347484e-06,0.9411764705882353,0.6858173248589587,4.155225,1.4118786
Msi2,6.032386,3.5835276,1.6155638956268327e-09,8.682040375098599e-06,0.9411764705882353,0.6515746625723059,2.7771776,0.8142066
Kctd8,5.9716864,5.4053154,2.3481373186279743e-09,1.0515741625255612e-05,0.8823529411764706,0.2698707419838606,2.7564528,0.29854578
Dach1,5.919984,4.842535,3.219736548510636e-09,1.2359188722640112e-05,0.8823529411764706,0.2187745483110762,2.0436459,0.21040127
Tmem117,5.874579,2.8244953,4.2391961704510005e-09,1.4238400137502298e-05,0.9411764705882353,0.5178890237806184,1.7154299,0.4968921
Robo1,5.818453,2.675797,5.939486062356102e-09,1.666106201988742e-05,0.9411764705882353,0.791973148611012,3.4591658,1.7610601
Pou6f2,5.811255,4.4977283,6.200618541082032e-09,1.666106201988742e-05,0.8823529411764706,0.17703349282296652,1.4633799,0.13713214
Dpp6,5.790172,2.019799,7.031430196382972e-09,1.7175866306982768e-05,0.9411764705882353,0.8207169892165964,3.103972,1.8324255
Grb10,5.7554736,2.7847052,8.639910450633492e-09,1.934619948404349e-05,0.9411764705882353,0.35506677140612725,1.1340123,0.26691008
Kcnma1,5.725469,2.8118541,1.0314844028087354e-08,2.0835222170279037e-05,0.9411764705882353,0.856530743412126,4.06808,2.217116
Apba1,5.716787,2.2332618,1.0855716798805603e-08,2.0835222170279037e-05,0.9411764705882353,0.7274869670784831,2.2467785,1.0291415
Vav3,5.5361123,4.0083895,3.092590738034602e-08,5.539860875399317e-05,0.8823529411764706,0.3967721202599443,2.1216974,0.3759802
Cntnap2,5.5238767,2.3189237,3.316005101656686e-08,5.568816067594697e-05,0.9411764705882353,0.9141612511604656,4.339297,2.782678
Scube1,5.4839897,4.8025045,4.15838460380916e-08,6.572693782608949e-05,0.8235294117647058,0.21277583374991074,1.6378797,0.13846335
Galnt13,5.2349534,2.4183867,1.6502641612637193e-07,0.0002463477667397563,0.8823529411764706,0.6959223023637792,2.3875172,1.04711
Rgs6,5.2223725,3.123195,1.766449799954825e-07,0.0002498131901304534,0.8823529411764706,0.510854816824966,2.39717,0.7639676
Syt9,5.1752734,6.068807,2.2757734699820023e-07,0.000305750165692082,0.7647058823529411,0.15460972648718133,1.9986514,0.09078292
Tspan13,5.164762,2.1627338,2.407449972603115e-07,0.00030803895601831286,1.0,0.6109762193815611,1.6689329,0.67385626
Cpne4,5.144054,3.352613,2.688722120549797e-07,0.0003283907426326048,0.8823529411764706,0.5440262800828394,2.5579,0.7727951
Hs6st2,5.0183063,2.7865534,5.212904944386294e-07,0.0006090032863289552,0.8823529411764706,0.4445475969435121,1.584178,0.4457435
Gm29478,4.995874,7.9694676,5.856998306620027e-07,0.0006557397687453339,0.7058823529411765,0.009855031064771834,1.3099966,0.010739176
Kcnh5,4.949779,3.48855,7.429773329641888e-07,0.0007985520374699101,0.8235294117647058,0.3036135113904163,1.506158,0.2720552
Necab2,4.9071937,3.8020673,9.238889114714041e-07,0.0009194405574532084,0.7647058823529411,0.16642862243804898,0.892485,0.09832377
Pde4d,4.8710556,1.8943508,1.1100360173069813e-06,0.0010376786661254898,0.9411764705882353,0.824144826108691,3.0786219,1.8834007
Lrrc55,4.8693013,5.234636,1.1199360371283664e-06,0.0010376786661254898,0.7058823529411765,0.05730914803970578,0.73889667,0.028632065
Cadps2,4.8262057,2.6732755,1.3915882454727498e-06,0.0012140233228289067,0.8823529411764706,0.5484896093694208,2.1669898,0.7939632
Fgf14,4.824916,1.1109027,1.400622367238411e-06,0.0012140233228289067,0.9411764705882353,0.9240162822252375,3.8175166,3.0726736
Car10,4.800684,2.3559287,1.5812445541795871e-06,0.001327751286587672,0.9411764705882353,0.6375062486610013,2.5568376,1.201042
Mcc,4.788823,2.9888186,1.6776221762000582e-06,0.0013659911477119867,0.8235294117647058,0.3143255016782118,1.2672708,0.2786725
Mgat4c,4.7673054,2.3494813,1.8670618634940744e-06,0.001475528008002523,0.9411764705882353,0.7346282939370135,2.9583468,1.5225931
Cdh8,4.688042,1.9866514,2.7583142341405055e-06,0.002117597242038725,0.9411764705882353,0.6894594015568093,2.3771648,1.2430902
Tcf7l2,4.6505694,3.663749,3.3101955699551753e-06,0.0024706931934637658,0.7647058823529411,0.16514318360351354,1.2988563,0.19085863
Cables1,4.638529,3.3840773,3.5089836859614847e-06,0.0025482808551833807,0.7647058823529411,0.21834606869956438,1.016431,0.15606004
Pbx3,4.6302366,2.9733474,3.652485078455647e-06,0.002582691422581664,0.8235294117647058,0.33678497464828966,1.462501,0.35229212
Gabbr1,4.616066,1.8334782,3.91082343805263e-06,0.002694457071294209,0.8823529411764706,0.6209026637149182,1.404748,0.6220084
Pld5,4.5997367,4.4060183,4.230254335162996e-06,0.0028416733496457428,0.7058823529411765,0.1134042705134614,1.1658915,0.09910836
Pam,4.580753,1.8625739,4.633047781881652e-06,0.0030363413146136586,0.9411764705882353,0.7289866457187746,2.2685015,1.2186835
Fat3,4.548484,1.8768139,5.403379627966147e-06,0.0034568764429392944,0.8823529411764706,0.737234878240377,2.4211435,1.3332292
Cntnap4,4.538317,2.5735369,5.6704911747964885e-06,0.003543397624808876,0.8823529411764706,0.35074626865671643,1.4564618,0.44007328
Cacna1e,4.518404,1.5461116,6.230753714456017e-06,0.0036395728762485475,0.9411764705882353,0.7730486324359066,2.6641705,1.7180247
Thsd7a,4.506663,2.4608736,6.585514523269863e-06,0.003764952664686409,0.9411764705882353,0.578090409198029,2.1253016,0.8500004
D130009I18Rik,4.4987903,6.5933256,6.8341164490539825e-06,0.0038256814372100104,0.6470588235294118,0.03656359351567521,1.1878179,0.023337413
Zic1,4.473434,5.33471,7.697332255540071e-06,0.004152246276816306,0.6470588235294118,0.020959794329786473,0.6425153,0.02208697
Tlcd4,4.458469,2.8322613,8.2547122529437e-06,0.004349100357580338,0.7647058823529411,0.30043562093837034,0.9284092,0.19466026
Cdc14a,4.44061,3.7561712,8.97042295840963e-06,0.00463529355562436,0.7058823529411765,0.1280796972077412,0.91726273,0.105433464
Syt6,4.420217,5.5096245,9.860190092773249e-06,0.0049547068295969455,0.6470588235294118,0.053202885096050846,1.0405359,0.039398517
C130073E24Rik,4.4168878,3.1269927,1.001320905414012e-05,0.0049547068295969455,0.8235294117647058,0.34281939584374777,1.6824489,0.40627772
