names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_HY GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Hspa8,3.7910266,2.6721435,0.00015002592165277266,0.01139199937513759,0.75,0.6710709566832125,2.2507844,0.8470833
App,3.1833718,0.72899055,0.0014557058902770234,0.04196868805981075,0.75,0.8985822947541335,2.24906,1.8108178
Ubb,3.137969,2.5638232,0.001701228289718325,0.045575278309801986,0.65,0.48248401956933185,1.7728792,0.60248625
Rtn1,2.9714696,0.8932068,0.002963782599885824,0.06448327000723246,0.85,0.9048673356426097,2.3970437,1.8530194
Fth1,2.9058404,2.3157997,0.0036626834412031785,0.07411193705178101,0.65,0.5798307324215263,1.8580639,0.73566544
Gad2,2.8499303,3.1849947,0.004372881091848892,0.08262961669337533,0.5,0.22344034567724885,1.2222173,0.23373827
Ttc3,2.7247412,0.7250169,0.006435192008895501,0.10517859445195991,0.75,0.8951540906331464,2.3385625,1.8970935
Tmsb4x,2.707183,1.8675822,0.006785687127650199,0.10885457499699155,0.7,0.7213155733314288,2.0961933,1.0835881
Itm2b,2.4671874,1.604338,0.0136179062531861,0.16971852552092323,0.7,0.7232796486090776,1.6819534,0.8916814
Snap25,2.4482188,0.47809687,0.014356438959499574,0.1742355532257243,0.7,0.8527657750955254,2.1377325,1.8516241
Hsp90ab1,2.4373937,1.6649073,0.014793565684277038,0.17752461331059105,0.7,0.8090561725529407,2.0829117,1.1682405
Cpe,2.37529,0.87915987,0.01753517412719781,0.19697747859440015,0.75,0.8452308681212727,2.027228,1.5226802
Camk1d,2.2920194,0.57464254,0.021904526094027467,0.22913988472007515,0.8,0.9536835339070814,2.690705,2.325039
Stmn2,2.0103126,1.9214917,0.04439811083508377,0.36673139813670486,0.55,0.5686533585687248,1.4123671,0.5987508
Gpm6a,1.9926714,0.24409555,0.04629744139760357,0.3772234242120228,0.75,0.8916901760525658,2.1443636,1.9965258
Cox4i1,1.9450428,1.9761877,0.05176982363135046,0.40709837897992,0.55,0.5274434881976932,1.4202945,0.5864765
Rtn3,1.9423608,0.42127383,0.052093449519879355,0.40904470736386855,0.7,0.8653001464128843,1.8605658,1.6199764
Hsp90aa1,1.9291435,1.5256584,0.05371303769713287,0.41520981672093216,0.65,0.7953790665285863,1.9328353,1.1159103
Eif1,1.9066496,2.2782097,0.05656597196978113,0.4306964201836268,0.5,0.40931328786201476,1.270448,0.42412737
Gria3,1.8674269,0.5213452,0.06184199189289118,0.45701163975852194,0.8,0.8037353140734921,2.1165757,1.8063059
Grik1,1.7609574,1.5302855,0.07824561641569858,0.531556376652713,0.55,0.49923222511873727,1.4519098,0.7573156
Ndfip1,1.7182506,1.173916,0.08575090382705387,0.5647369573119945,0.6,0.7478841552690784,1.5239484,0.9521531
Aplp1,1.7110615,1.8579583,0.08706977009852619,0.5702417418399965,0.55,0.6120058565153733,1.4812982,0.6614369
Atp6v0c,1.7084622,1.751611,0.08755060172787862,0.5722414664140352,0.6,0.6813912795057673,1.7510033,0.8811565
Atp5b,1.67824,2.2581291,0.09330027466198437,0.5959064369307155,0.5,0.46894975538335176,1.3023584,0.4445635
Plp1,1.637289,1.6322747,0.1015700952853745,0.6319028618471898,0.65,0.7183873156447523,2.1172576,1.2111974
