names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_P Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Slc7a14,3.1418421,2.632437,0.0016788850792650621,0.9995987210370895,1.0,0.5825183810407595,1.8822219,0.6407877
Rims2,2.9238183,1.6371602,0.0034576639504329803,0.9995987210370895,1.0,0.8082304232993076,2.741693,1.7344556
Herc1,2.919893,1.5378137,0.0035015154253917207,0.9995987210370895,1.0,0.8003783282175744,2.229751,1.3500782
Pde10a,2.9086697,1.9634666,0.0036297000075237672,0.9995987210370895,1.0,0.7440217003354986,2.5980506,1.4324918
Mdh1,2.8816068,2.8252897,0.003956530207301941,0.9995987210370895,1.0,0.47644371475480046,1.5981877,0.44242522
Unc13c,2.7564926,4.195866,0.005842491704041901,0.9995987210370895,0.8,0.2279249054179456,1.7913787,0.24114317
4732471J01Rik,2.5890841,2.5643387,0.009623160010968431,0.9995987210370895,1.0,0.6007923477764294,1.8272127,0.63230455
Sptbn2,2.5695677,2.6164775,0.01018254654953953,0.9995987210370895,1.0,0.5168820044257263,1.5090483,0.4538657
Rufy2,2.544357,2.6529243,0.010947913355143193,0.9995987210370895,0.8,0.5058890713112999,1.4218069,0.4054558
Rftn1,2.5284343,3.0479295,0.011457250639052972,0.9995987210370895,0.8,0.29202655435791275,1.110001,0.21992673
Mamld1,2.495898,2.999438,0.012563870763149559,0.9995987210370895,0.8,0.4214433578413877,1.3984542,0.3230004
Cep112,2.4282823,2.464678,0.015170533823450658,0.9995987210370895,0.8,0.4886144621314869,1.5833857,0.5314158
Zfp385b,2.4066374,1.8708688,0.016100146669878013,0.9995987210370895,0.8,0.6652509101292027,2.1758938,1.1427369
Apoo,2.3818965,2.7922223,0.0172237366448193,0.9995987210370895,0.8,0.3476693554143765,1.0040668,0.22286892
Agpat3,2.3480334,2.630592,0.01887283327176437,0.9995987210370895,0.8,0.36497965593547005,1.0211954,0.25221092
Gm30382,2.331309,3.08818,0.019737070143329257,0.9995987210370895,0.8,0.3356770647440931,1.469782,0.33197653
Ptprz1,2.3085308,2.232206,0.020969629279195125,0.9995987210370895,1.0,0.5664572774644872,1.9634215,0.83435196
Rfc1,2.3059046,2.7308247,0.021115956898832413,0.9995987210370895,0.8,0.36323078021272037,1.0641754,0.25152218
A230006K03Rik,2.2949579,1.5673492,0.021735536016667566,0.9995987210370895,0.8,0.6651438361053609,2.0551894,1.1931064
Rabac1,2.2785654,2.705396,0.022692914919938703,0.9995987210370895,0.8,0.27510885859090584,0.9965604,0.23270886
Glud1,2.2657664,2.9283905,0.023465686419038057,0.9995987210370895,0.8,0.4148047683631951,1.3853005,0.33186242
Nedd4,2.2531886,1.8764739,0.024247254235217078,0.9995987210370895,1.0,0.7539795845527875,1.96849,0.98493123
9330158H04Rik,2.2511153,5.2909575,0.024378227246491628,0.9995987210370895,0.6,0.025626383039474624,0.4930992,0.016149234
Ndufb2,2.2467754,2.621647,0.024654383854261375,0.9995987210370895,0.8,0.2612249268327504,0.85907775,0.19978078
Hps5,2.2451167,2.8798516,0.024760634932145146,0.9995987210370895,0.8,0.2868156185309444,0.85907775,0.16965605
Epha3,2.2447574,2.071129,0.024783708204890585,0.9995987210370895,0.8,0.5930830180598187,1.9197166,0.86910313
Aig1,2.2423801,1.7449646,0.024936816382399255,0.9995987210370895,0.8,0.6757798558069812,1.6547104,0.81644857
Ccdc149,2.2400029,2.5416489,0.025090742941712266,0.9995987210370895,0.8,0.3823256477978442,0.9931577,0.25613335
Rbms3,2.2392564,2.4795532,0.02513923807803505,0.9995987210370895,0.8,0.5107074023841816,1.8431202,0.66946816
Nsd3,2.23804,2.032313,0.025218441047690613,0.9995987210370895,1.0,0.7391319865800556,2.0617356,0.98466706
Fam135b,2.2300787,1.6821401,0.0257422133937096,0.9995987210370895,0.8,0.6993718323934613,2.1094244,1.1808752
Pebp1,2.2209566,3.126281,0.026353911537166777,0.9995987210370895,0.8,0.31154971803840387,1.4021766,0.30077496
Mreg,2.2208736,4.684476,0.02635952954715405,0.9995987210370895,0.6,0.040795203083731885,0.37879592,0.017751109
Usp3,2.212691,2.3218846,0.026918952276306158,0.9995987210370895,0.8,0.48772217859947176,1.2977645,0.42672828
Map1b,2.1833613,1.1210089,0.02900920805741084,0.9995987210370895,1.0,0.8566278820758084,2.3403265,1.6704973
Rhoj,2.150355,3.9347167,0.03152713595744586,0.9995987210370895,0.6,0.054143764722678275,0.4930992,0.04083524
L3mbtl4,2.1370034,4.6377916,0.03259772035192262,0.9995987210370895,0.6,0.08719394674851881,0.9295348,0.059769273
Clock,2.1347919,1.735226,0.03277801545634839,0.9995987210370895,0.8,0.6295952601898779,1.3949488,0.6479046
Ptn,2.1203067,2.1966596,0.03398018894041211,0.9995987210370895,1.0,0.600471125704904,1.8694845,0.7868643
Rnf152,2.1135616,4.087794,0.03455271972622087,0.9995987210370895,0.6,0.09575986865586408,0.72115856,0.0602963
Col12a1,2.1127324,3.646559,0.03462367850598526,0.9995987210370895,0.6,0.06995502890998644,0.4930992,0.049642347
Psma1,2.1109357,2.5461237,0.034777849637574604,0.9995987210370895,0.8,0.3547362409879363,0.94312394,0.23780592
Msi2,2.1072037,2.0158257,0.03509992523325238,0.9995987210370895,0.8,0.6517238917838533,1.807348,0.8152203
Etfb,2.098966,4.371253,0.03581990069555497,0.9995987210370895,0.6,0.06610036405168106,0.6941636,0.0472821
Pdgfc,2.0944047,2.3745666,0.03622393529016522,0.9995987210370895,0.8,0.3626597187522307,1.0555894,0.3084455
Ldlrad4,2.0889866,1.3471714,0.036708921341885484,0.9995987210370895,0.8,0.742629738025555,1.8969454,1.1715192
Slc6a17,2.0882404,2.002389,0.03677616217185886,0.9995987210370895,0.8,0.5067099721607538,1.1427758,0.42721447
Osbpl5,2.0872452,3.688991,0.036865979785940604,0.9995987210370895,0.6,0.10168463130844457,0.5031854,0.049463287
Dpp6,2.084619,0.96789443,0.03710389596031261,0.9995987210370895,0.8,0.8207937754300807,2.4226048,1.8330916
Brinp3,2.0818822,2.2096257,0.037353219420829115,0.9995987210370895,0.8,0.6300592476265258,2.3210578,1.093939
