names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_HY Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90aa1,3.861139,2.625389,0.00011285965448965449,0.04639084773600739,0.8571428571428571,0.7952443857331571,2.6145368,1.1157444
Hsp90ab1,3.8481357,2.5513864,0.00011902016247020279,0.046408282919106716,0.8571428571428571,0.8089542647006319,2.6383774,1.1681589
Camk1d,3.3849363,1.0660163,0.0007119474727934215,0.08580037384969573,0.9285714285714286,0.9535863472455283,3.0114386,2.324957
Atp1b1,3.1507592,1.6881566,0.001628466640792448,0.11365428217686514,0.7857142857142857,0.859759363061873,2.500588,1.4979293
Pafah1b1,3.0347695,1.033065,0.002407196383425919,0.134730747586753,0.7857142857142857,0.8617587204112964,2.023556,1.4370412
Grik1,2.6306226,1.9802431,0.008522862764876417,0.23904939717351703,0.7142857142857143,0.4991609839694384,1.699052,0.7573409
Gabra1,2.450954,1.7485695,0.014247815014443098,0.3067618505112869,0.6428571428571429,0.619836481131065,1.4849967,0.70125204
Tmsb4x,2.4319363,1.8752135,0.015018347421799886,0.3152679650185648,0.7142857142857143,0.7213038666143026,2.1011188,1.0838023
Kansl1,2.4103246,0.7022648,0.01593833546988465,0.3246876983137229,0.7142857142857143,0.8366596451140704,1.9130989,1.5148507
Nrgn,2.402592,1.8585935,0.01627934399490845,0.32776353759639076,0.7142857142857143,0.734656717483666,2.026879,1.0357656
Slc17a6,2.3825498,4.7862697,0.017193207482899316,0.33356063903646543,0.42857142857142855,0.10393087936020565,1.0619123,0.06631429
Calm2,2.3426309,1.1844903,0.019148322204642413,0.3483516707100485,0.7857142857142857,0.8567603270377379,2.08009,1.4066234
Syp,2.2758293,1.6578254,0.02285623248740463,0.38145774343885863,0.6428571428571429,0.6270484487129137,1.3752644,0.6610565
Bsg,2.266973,2.5547469,0.023391873415890205,0.38692286980563756,0.5714285714285714,0.4194723124709915,1.3435713,0.39346698
Rtn3,2.2370007,0.48202392,0.025286292240248504,0.4006147833110125,0.7142857142857143,0.8652575957727873,1.8962743,1.6200103
Epha6,2.0966399,0.8431386,0.03602547005649847,0.4773171259771506,0.9285714285714286,0.8853939805062658,3.1054742,2.556011
Epha5,2.0643213,0.6855994,0.03898726216430658,0.49531334957679324,0.8571428571428571,0.8527259095290799,2.4307725,2.0076852
Rab3a,1.9976023,2.7040617,0.04575978519132256,0.5341292042097469,0.5,0.31829054946624297,1.1415018,0.28299284
Naaladl2,1.9917368,0.98419386,0.04639994413638125,0.5373993529933466,0.7857142857142857,0.8625084794173301,2.2394407,1.656371
Itm2b,1.9374926,1.5471807,0.05268516236677255,0.5754891017254951,0.6428571428571429,0.7233032239637259,1.6500778,0.89186686
Atp6v0b,1.8125639,1.1934558,0.06989910608983221,0.6766057316844287,0.6428571428571429,0.7405476811025028,1.5399653,0.9563885
Galnt13,1.7774861,0.94335055,0.07548829692653168,0.700212809521703,0.6428571428571429,0.6960619800778322,1.5172263,1.0476885
