names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MB GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Naaladl2,6.49735,1.0769508,8.174694388308313e-11,2.7117782495536345e-09,0.7545454545454545,0.8628954250707556,2.2946086,1.6541481
Camk1d,5.059775,0.45955813,4.197522386054865e-07,4.666422280235591e-06,0.8636363636363636,0.9539282771468491,2.615644,2.3241565
Hsp90ab1,4.049479,1.1615285,5.133179616361486e-05,0.00035640448654168763,0.6818181818181818,0.8094794540178412,1.7825664,1.1664752
Hsp90aa1,3.8314252,1.3146875,0.00012740310028154107,0.000816047986785461,0.6454545454545455,0.7958657256475478,1.80648,1.113774
Gad2,3.818305,2.3512402,0.00013437171948717152,0.0008565997870985287,0.37272727272727274,0.22305019166696521,0.84697855,0.23202993
Nxph1,3.6248503,1.4958681,0.0002891290169654987,0.0017199239950991699,0.5181818181818182,0.42170314907032563,1.3932167,0.72926307
Rtn1,3.066699,0.20819238,0.0021643667995998993,0.010541333316159016,0.7272727272727273,0.9055278902303586,1.9759506,1.8529247
Hexb,2.547324,1.0697132,0.010855264613663906,0.0448119465615531,0.5454545454545454,0.6791100920717945,1.3723851,0.8766845
Hspa8,2.31752,1.1889888,0.020475433006947354,0.07923025416138758,0.5454545454545454,0.6716225414681332,1.3944254,0.84593195
Cst3,2.1404622,1.286187,0.03231742961352175,0.11874324267951994,0.509090909090909,0.5864650879518504,1.3894528,0.8043717
Zfhx3,1.9283369,1.7068627,0.05381324700521394,0.18526856031836794,0.3090909090909091,0.25643965177515854,0.7804742,0.3091247
Lars2,1.8354563,0.5155551,0.06643811253881157,0.22270360328316702,0.6090909090909091,0.7973345752875004,1.4318653,1.1721808
Abca9,1.7114758,1.9141182,0.08699331103474367,0.28196746290754676,0.19090909090909092,0.10830079174578154,0.3636333,0.1100746
Zfpm2,1.5506974,0.3591489,0.12097420891555706,0.3747062816785035,0.6090909090909091,0.673019739906137,1.4472278,1.2626534
