names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vascular (for_DEGs),mean_expr_Rest (for_DEGs)
Utrn,19.460365,3.3591132,2.3807883059461917e-84,4.2647854520516114e-82,0.7076167076167076,0.3701839513325608,1.8063091,0.40269247
Cped1,19.197338,6.17693,3.895441974729245e-82,6.3436682339984735e-80,0.5896805896805897,0.08277809965237544,1.558196,0.050535664
Ptn,19.023464,2.6661296,1.0903400284006735e-80,1.713300383808544e-78,0.7813267813267813,0.5978780417149478,2.1193857,0.76742095
Foxp1,18.852621,1.6709212,2.796355602474696e-79,4.245088985225711e-77,0.8230958230958231,0.7934530706836617,2.3919752,1.4158796
9530026P05Rik,18.604328,3.8791304,2.9638566920454046e-77,4.21369467276508e-75,0.6339066339066339,0.22262456546929316,1.4899036,0.2099065
Arhgap29,18.552282,5.0582,7.816083889892704e-77,1.0995715922587275e-74,0.5945945945945946,0.1382169756662804,1.2970909,0.07677346
Phldb2,17.748728,5.3404675,1.763024274031846e-70,2.0419164760015387e-68,0.5503685503685504,0.07466685979142526,1.2390993,0.058768492
Rbms1,17.140974,2.9351141,7.341040975484348e-66,7.121074765749618e-64,0.6560196560196561,0.3922363847045191,1.4163214,0.34230736
Atp1a2,16.953308,3.8416152,1.8192335226019624e-64,1.715186131660166e-62,0.6412776412776413,0.31025492468134414,2.0749106,0.39591554
Tmsb4x,16.633224,2.0098145,4.004528965226e-62,3.527924370348283e-60,0.8157248157248157,0.7199087485515643,2.1627734,1.0684167
Ebf1,16.55972,5.401401,1.3623073543516739e-61,1.180812858433209e-59,0.5208845208845209,0.08042439165701043,1.4457806,0.07397584
Pdgfd,15.917871,5.695713,4.763057161618199e-57,3.615348755160481e-55,0.48157248157248156,0.03613847045191194,1.0447012,0.034932584
Sptbn1,15.815307,1.156976,2.440201163155414e-56,1.8315141132398318e-54,0.7985257985257985,0.8480228852838934,2.1807697,1.5089068
Lama2,15.4713545,3.3220062,5.415576976460802e-54,3.7601176578165824e-52,0.5773955773955773,0.2168308227114716,1.3941454,0.26477373
Slc6a20a,15.216052,7.451538,2.767357572801604e-52,1.8360221723747927e-50,0.44963144963144963,0.01861239860950174,1.2544427,0.014214583
Ptgds,15.142259,3.4829783,8.523524304893308e-52,5.545450316525016e-50,0.6265356265356266,0.3612760718424102,1.9217862,0.41982943
Gulp1,15.132828,4.7811728,9.837624363425498e-52,6.36956546133116e-50,0.47911547911547914,0.06901796060254925,1.0196525,0.06246111
2610307P16Rik,14.632219,5.319256,1.74985980979099e-48,1.0177214954347166e-46,0.44963144963144963,0.042294322132097335,0.8410448,0.032497056
Nxn,14.559787,4.342829,5.0615447274914014e-48,2.9122849427771725e-46,0.48157248157248156,0.10468568945538818,1.0035534,0.08172312
Sparc,14.368732,3.5155156,8.130618348494427e-47,4.495261626009161e-45,0.5110565110565111,0.1406431054461182,1.0919163,0.1596797
Cald1,14.240725,3.409287,5.119358832803316e-46,2.756656750249e-44,0.5356265356265356,0.24015063731170336,1.1388701,0.18219535
Hmcn1,14.201052,5.9513907,9.0247502281496e-46,4.830578458772505e-44,0.43243243243243246,0.037152375434530704,1.105001,0.032110494
Uaca,13.927695,6.757336,4.3000693821407516e-44,2.1800540433607924e-42,0.41277641277641275,0.017598493626882965,0.72751206,0.009841328
Itga1,13.917805,5.796021,4.938423747622505e-44,2.489595611606317e-42,0.4275184275184275,0.0430909617612978,0.9570854,0.028461542
Rplp1,13.688003,1.8806837,1.1975543056114755e-42,5.818857900864439e-41,0.7174447174447175,0.6524116454229433,1.7108415,0.8025055
Cfh,13.649244,3.6634104,2.0398376088292518e-42,9.875754333196757e-41,0.4668304668304668,0.09548812282734646,0.94345206,0.11673081
Ahnak,13.605541,5.886008,3.712117171089983e-42,1.7811533640569258e-40,0.4103194103194103,0.026796060254924682,0.80050117,0.020530153
Cst3,13.586848,1.8484021,4.792798079291374e-42,2.291503280970805e-40,0.7321867321867321,0.5840092699884125,1.6796463,0.79380286
Sned1,13.313807,4.7870708,1.924227323443485e-40,8.704375114634081e-39,0.4275184275184275,0.06883690614136732,0.8748102,0.04940967
Zic1,13.166903,6.324943,1.3606663329484259e-39,6.003465413189525e-38,0.3906633906633907,0.015896581691772885,0.69776696,0.012510833
Malat1,13.082178,0.60704416,4.1633667151583176e-39,1.8072643559984492e-37,0.9926289926289926,0.9936993047508691,5.396282,4.9778857
Ddx5,13.00404,1.0405123,1.1604745256101166e-38,4.918288722893349e-37,0.7542997542997543,0.8065976245654692,1.7109783,1.1645249
Col1a2,12.924062,6.92415,3.292879851300326e-38,1.378188186985043e-36,0.3808353808353808,0.011877172653534183,0.75619215,0.009262881
Zbtb20,12.899259,1.2822865,4.54448655841609e-38,1.884419040503709e-36,0.9262899262899262,0.8667439165701043,3.124934,2.297153
Gnas,12.642098,1.4166563,1.2370781056605575e-36,4.796578455858467e-35,0.7027027027027027,0.7107473928157589,1.5398135,0.86388445
mt-Co1,12.601753,2.1542218,2.0650314839619542e-36,7.904187460691981e-35,0.6388206388206388,0.5124203360370799,1.526848,0.59309125
Rbpms,12.5880785,5.8734636,2.45579462755071e-36,9.359886757771288e-35,0.3783783783783784,0.02147305909617613,0.68663204,0.016695652
Calm1,12.574759,1.1742257,2.9068753467637492e-36,1.0985617520048093e-34,0.7960687960687961,0.8371958285052143,1.987306,1.3323153
Abcb1a,12.516812,7.2034197,6.041272271555604e-36,2.2577049504408775e-34,0.36855036855036855,0.011116743916570105,0.8374417,0.008852189
Itih5,12.500428,5.592655,7.425013958363392e-36,2.7671307220696857e-34,0.3808353808353808,0.02918597914252607,0.76923054,0.023715433
Flt1,12.48941,6.787003,8.528292346242866e-36,3.1651272837506328e-34,0.37346437346437344,0.01984356894553882,1.2066703,0.02098903
Tcf12,12.327955,0.88384783,6.405138152742172e-35,2.2705285245934322e-33,0.7616707616707616,0.8116671494785631,1.8375086,1.3511342
Neat1,12.255585,3.2153382,1.5681360316924752e-34,5.486434267132397e-33,0.44717444717444715,0.12891077636152956,0.8283503,0.13001224
Slco1a4,12.2382345,6.936422,1.9421091048811295e-34,6.759646586548699e-33,0.36363636363636365,0.015425840092699884,1.1293099,0.016948104
Colec12,12.201015,4.9676614,3.0697119681380514e-34,1.0574764177419159e-32,0.4004914004914005,0.07810689455388181,0.9253777,0.04751971
Cp,12.11074,4.811392,9.265521492955127e-34,3.143491950955862e-32,0.3857493857493858,0.05286790266512167,0.7675618,0.040294357
mt-Co3,12.00206,1.9172608,3.465604005363413e-33,1.1482216969681247e-31,0.6658476658476659,0.6067497103128621,1.6839291,0.7707592
Cgnl1,11.809873,6.428935,3.4708516826770155e-32,1.1063082409671578e-30,0.35135135135135137,0.015280996523754345,0.6449369,0.010458963
Tbx15,11.700879,6.279203,1.261397567243081e-31,3.9183529054129e-30,0.3538083538083538,0.0241526651216686,0.76951635,0.014809187
Nfia,11.688213,1.1195611,1.4643424878267701e-31,4.543519936247727e-30,0.7592137592137592,0.7380141946697567,1.9284075,1.3098168
