names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_P GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Atp1b1,7.164878,1.9522817,7.785597979833715e-13,1.5425646695898076e-09,0.8723404255319149,0.8597011724335144,2.6680906,1.4964656
Hsp90aa1,5.84872,2.3134074,4.953696327992241e-09,4.7368619335641114e-07,0.7872340425531915,0.7952888189877038,2.4138668,1.1143134
Camk1d,5.5265245,1.0676904,3.2663618319143186e-08,1.903842568840298e-06,0.8723404255319149,0.953710323134115,3.011688,2.3241472
Hsp90ab1,4.748313,1.9796703,2.051204854198397e-06,4.707785470745859e-05,0.7446808510638298,0.8090863597369173,2.2747986,1.1670353
Rtn1,3.728175,0.73661214,0.0001928715555760905,0.001993253345511366,0.7659574468085106,0.9050614812696597,2.2984948,1.8526603
Hspa8,3.7160568,2.084428,0.00020235605428709622,0.002077687114518256,0.6382978723404256,0.6711824420932228,1.8938935,0.84632796
App,3.1879914,0.43241897,0.0014326483221185824,0.010948595112436378,0.7021276595744681,0.8988061195310266,2.0671613,1.8107008
Naaladl2,2.877905,0.8453434,0.004003258490468723,0.026293707073794817,0.6595744680851063,0.8628109808407206,2.1533074,1.6558278
Lars2,2.8387718,1.137949,0.004528752408055259,0.029167683893682843,0.6382978723404256,0.7968615956534172,1.7758732,1.1721877
Calm1,2.4493005,0.98825675,0.014313397381758615,0.0774780394133469,0.6382978723404256,0.8369316557048899,1.8869687,1.340913
Apoe,2.179917,2.0145235,0.029263609818850483,0.1406589558024235,0.425531914893617,0.34658278524449526,1.1723306,0.43941218
Eef1a1,1.9801015,1.7558511,0.047692134904175204,0.2111530177747879,0.48936170212765956,0.550471832999714,1.3158537,0.59207577
Tmsb4x,1.9525179,1.1089938,0.05087674604387496,0.22268417758575015,0.5957446808510638,0.7215112953960537,1.6517178,1.0833577
Cmss1,1.8384935,0.7859633,0.06598971714071575,0.2735910661273001,0.5957446808510638,0.8413640263082642,1.8084008,1.3757942
Cst3,1.7830558,1.6220332,0.07457721511235439,0.3020635770378297,0.5106382978723404,0.5862882470689162,1.5705514,0.8053852
Dpp10,1.4030406,0.37648854,0.16060471623049788,0.5602296150997634,0.8723404255319149,0.8855804975693452,2.770304,2.527842
Pafah1b1,1.3888474,0.27261856,0.16487916376818623,0.5722427189939504,0.5957446808510638,0.8621675722047469,1.5842738,1.437087
Apod,1.3874308,2.19389,0.16531045042631987,0.573591400175002,0.2553191489361702,0.17325564769802687,0.6471876,0.18142614
Gprasp1,1.1514056,0.6568048,0.2495654242854335,0.7857772381707988,0.5106382978723404,0.7519659708321418,1.3244406,1.0118445
Plp1,1.103015,0.86855495,0.2700206949855888,0.8310946247723678,0.5531914893617021,0.7186159565341721,1.6684022,1.211077
Guk1,1.0773352,2.4792104,0.28133051014115895,0.8540946496225096,0.2127659574468085,0.14737632256219615,0.4779696,0.10427022
Ttc3,0.9972105,-0.39417034,0.3186623443288801,0.9335430867986271,0.5957446808510638,0.8955533314269374,1.6705987,1.8977896
Hsd17b10,0.8901158,3.5872948,0.3734037058114088,0.9983041607051687,0.10638297872340426,0.03481555619102088,0.28000447,0.026529443
Atp2b1,0.85996073,-0.30201566,0.3898106830820919,0.9983041607051687,0.6382978723404256,0.8986631398341436,1.8397248,2.0185955
Vps28,0.78304815,2.2131777,0.43359881841703507,0.9983041607051687,0.14893617021276595,0.09254360880754933,0.287445,0.069356404
C1qb,0.7387179,2.045136,0.4600783198992602,0.9983041607051687,0.14893617021276595,0.09833428653131256,0.39159214,0.109878466
Cox8a,0.6854457,1.3855453,0.49306268508464635,0.9983041607051687,0.3829787234042553,0.4621103803259937,1.0075862,0.5101763
mt-Nd4,0.6747805,1.3630263,0.4998152375198406,0.9983041607051687,0.3617021276595745,0.4262582213325708,0.93468887,0.47075075
Sst,0.66455734,1.904218,0.5063336474569655,0.9983041607051687,0.2553191489361702,0.2541106662853875,0.7821741,0.27528998
Timm10,0.6420358,2.5595548,0.5208499342949613,0.9983041607051687,0.10638297872340426,0.056655704889905636,0.22830094,0.042583648
St18,0.6306758,0.98513734,0.5282525420410893,0.9983041607051687,0.3617021276595745,0.4014512439233629,1.0150906,0.63600457
Ndufb9,0.580679,1.6328473,0.5614568167347149,0.9983041607051687,0.2765957446808511,0.29410923648841863,0.64372855,0.25569242
Adgrl3,0.58019173,-0.074157715,0.5617853123705041,0.9983041607051687,0.7872340425531915,0.882613668859022,2.344912,2.3914924
Fth1,0.5784774,1.0006483,0.5629418683080205,0.9983041607051687,0.44680851063829785,0.5801043751787246,1.1553463,0.7357629
Crhbp,0.5666301,2.9136763,0.5709655220813701,0.9983041607051687,0.0851063829787234,0.040463254217901055,0.21578458,0.031460527
Mt2,0.55672276,2.2328527,0.5777168516604259,0.9983041607051687,0.10638297872340426,0.06487703746068059,0.2459282,0.0576205
Edf1,0.54740196,2.1564224,0.5841026107673863,0.9983041607051687,0.19148936170212766,0.17665141549899915,0.52798647,0.14497645
Fundc2,0.5296987,2.448476,0.5963208393762653,0.9983041607051687,0.1276595744680851,0.09275807835287389,0.28073305,0.057680596
Prxl2b,0.5210095,2.6563642,0.6023601478302081,0.9983041607051687,0.10638297872340426,0.06938089791249642,0.28054896,0.050093785
Ndst4,0.50737566,1.1110626,0.6118912570653903,0.9983041607051687,0.3191489361702128,0.3751072347726623,0.7965924,0.44715866
Rplp1,0.5022957,0.96575105,0.6154595458405425,0.9983041607051687,0.46808510638297873,0.6536674292250501,1.2410377,0.81498367
