names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-IMN GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Gm56549,-2.45305,-0.8080463,0.014165064749772983,0.0498775114436378,0.03773584905660377,0.12864759708912746,0.039374255,0.06795124
Necab3,-2.4536452,-0.6974445,0.01414164659825521,0.049801578518364024,0.03018867924528302,0.12075797968153325,0.03882165,0.062216174
Cflar,-2.4572349,-0.46058118,0.014001110344561245,0.04934546628519946,0.05660377358490566,0.14936234599034512,0.08572185,0.116150595
Oxsr1,-2.4596956,-0.7699123,0.013905494503709558,0.049021337879123036,0.04905660377358491,0.14031990777433534,0.04216109,0.07085784
Tmem18,-2.4603937,-1.2203379,0.01387847148241778,0.04893249294483214,0.018867924528301886,0.10804092513869876,0.023472903,0.053862147
Gnb4,-2.4608743,-0.46582282,0.013859892430041175,0.04887981488321385,0.09811320754716982,0.19511492182433893,0.10374573,0.14061391
Mppe1,-2.4615839,-2.3295674,0.013832506345822962,0.0487896357984068,0.018867924528301886,0.10728438648317602,0.0105112875,0.051751602
Matn4,-2.463514,-1.1082869,0.01375824607203236,0.04855320093978323,0.026415094339622643,0.11571438864471503,0.04279566,0.09008335
Il27,-2.4636667,-0.5570871,0.013752390738511425,0.048538912274241695,0.04150943396226415,0.13325888032278982,0.056747016,0.08241473
Plekhh1,-2.4647503,-1.7177268,0.013710881115573099,0.04839876189903431,0.045283018867924525,0.13383529072699762,0.04152241,0.13054553
Gm49066,-2.4649105,-1.1932236,0.013704751770385656,0.048383481811885766,0.018867924528301886,0.10829310469053967,0.023194557,0.052267212
2610203C22Rik,-2.4673595,-1.3828807,0.01361136112323037,0.0480664047024839,0.026415094339622643,0.11600259384681894,0.033902645,0.08611351
Arhgap29,-2.4675999,-0.42630148,0.013602226982169913,0.04804046254086561,0.052830188679245285,0.14572375531378343,0.07132706,0.09471839
Tmem91,-2.4688625,-0.67567647,0.013554325402980237,0.04789016746588809,0.04905660377358491,0.14122054903091,0.048992645,0.077152714
2810001G20Rik,-2.469122,-0.77802104,0.013544503069637238,0.04786175663876283,0.026415094339622643,0.11657900425102673,0.037221078,0.06300166
Ccdc84,-2.4696255,-1.6216415,0.013525454138269829,0.04781330781414423,0.01509433962264151,0.1036818214568773,0.016572673,0.050144687
Aaas,-2.4709303,-1.006,0.013476210159425617,0.04764549565575873,0.026415094339622643,0.11704733770444556,0.029075196,0.05756107
Mocs1,-2.472071,-1.6325105,0.013433287546664627,0.04749999162769818,0.01509433962264151,0.10415015491029612,0.017279988,0.052632842
Mrpl2,-2.4728034,-1.1596605,0.013405788940744174,0.04740899563540352,0.03018867924528302,0.12028964622811442,0.033025954,0.072333194
Socs4,-2.4756148,-0.3257672,0.01330069583608184,0.04705591798756011,0.07169811320754717,0.1686360688810433,0.07528282,0.09348744
